ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-107-1,lezg1247-Mikrakh,concepticon-965,1.1,дуьньйа,world,du'n'ia
clics-doculect-107-2,lezg1247-Mikrakh,concepticon-626,1.21,чил,"earth, land",chil
clics-doculect-107-3,lezg1247-Mikrakh,concepticon-626,1.21,уьлкве,"earth, land",u'lkve
clics-doculect-107-4,lezg1247-Mikrakh,concepticon-1228,1.212,чил,"earth=ground, soil",chil
clics-doculect-107-5,lezg1247-Mikrakh,concepticon-1228,1.212,накьв,"earth=ground, soil",nak'v
clics-doculect-107-6,lezg1247-Mikrakh,concepticon-2,1.213,руг,dust,rug
clics-doculect-107-7,lezg1247-Mikrakh,concepticon-640,1.214,кьар,mud,k'ar
clics-doculect-107-8,lezg1247-Mikrakh,concepticon-640,1.214,палчух,mud,palchukh
clics-doculect-107-9,lezg1247-Mikrakh,concepticon-671,1.215,къум,sand,k'um
clics-doculect-107-10,lezg1247-Mikrakh,concepticon-2118,1.22,дагъ,"mountain, hill",dag'
clics-doculect-107-11,lezg1247-Mikrakh,concepticon-2118,1.22,тепе,"mountain, hill",tepe
clics-doculect-107-12,lezg1247-Mikrakh,concepticon-618,1.222,раг,"cliff, precipice",rag
clics-doculect-107-13,lezg1247-Mikrakh,concepticon-618,1.222,дагьар,"cliff, precipice",dag'ar
clics-doculect-107-14,lezg1247-Mikrakh,concepticon-652,1.23,дуьзен,"plain, field",du'zen
clics-doculect-107-15,lezg1247-Mikrakh,concepticon-652,1.23,чуьл,"plain, field",chu'l
clics-doculect-107-16,lezg1247-Mikrakh,concepticon-921,1.24,дере,valley,dere
clics-doculect-107-17,lezg1247-Mikrakh,concepticon-622,1.25,кьурамат,island,k'uramat
clics-doculect-107-18,lezg1247-Mikrakh,concepticon-113,1.27,къерех,shore,k'erekh
clics-doculect-107-19,lezg1247-Mikrakh,concepticon-113,1.27,кьер,shore,k'er
clics-doculect-107-20,lezg1247-Mikrakh,concepticon-1155,1.28,хъиткьер,cave,kh'itk'er
clics-doculect-107-21,lezg1247-Mikrakh,concepticon-948,1.31,йад,water,iad
clics-doculect-107-22,lezg1247-Mikrakh,concepticon-1474,1.32,гьуьл,sea,g'u'l
clics-doculect-107-23,lezg1247-Mikrakh,concepticon-258,1.322,секин,calm (of sea),sekin
clics-doculect-107-24,lezg1247-Mikrakh,concepticon-259,1.323,лепеалай,rough (of sea),lepealai
clics-doculect-107-25,lezg1247-Mikrakh,concepticon-1768,1.324,каф,foam,kaf
clics-doculect-107-26,lezg1247-Mikrakh,concepticon-624,1.33,вир,lake,vir
clics-doculect-107-27,lezg1247-Mikrakh,concepticon-663,1.34,вир,"gulf, bay",vir
clics-doculect-107-28,lezg1247-Mikrakh,concepticon-978,1.35,лепе,wave,lepe
clics-doculect-107-29,lezg1247-Mikrakh,concepticon-666,1.36,вацІ,"river, stream, brook",vatsI
clics-doculect-107-30,lezg1247-Mikrakh,concepticon-666,1.36,сел,"river, stream, brook",sel
clics-doculect-107-31,lezg1247-Mikrakh,concepticon-666,1.36,кІам,"river, stream, brook",kIam
clics-doculect-107-32,lezg1247-Mikrakh,concepticon-1982,1.362,вацІундегьне,whirlpool,vatsIundeg'ne
clics-doculect-107-33,lezg1247-Mikrakh,concepticon-2144,1.37,булах,"spring, well",bulakh
clics-doculect-107-34,lezg1247-Mikrakh,concepticon-2144,1.37,чешме,"spring, well",cheshme
clics-doculect-107-35,lezg1247-Mikrakh,concepticon-2144,1.37,къуй,"spring, well",k'ui
clics-doculect-107-36,lezg1247-Mikrakh,concepticon-1145,1.38,уьлен,swamp,u'len
clics-doculect-107-37,lezg1247-Mikrakh,concepticon-943,1.39,чарчар,waterfall,charchar
clics-doculect-107-38,lezg1247-Mikrakh,concepticon-420,1.41,там,"woods, forest",tam
clics-doculect-107-39,lezg1247-Mikrakh,concepticon-420,1.41,рук,"woods, forest",ruk
clics-doculect-107-41,lezg1247-Mikrakh,concepticon-1803,1.43,кІарас,wood,kIaras
clics-doculect-107-42,lezg1247-Mikrakh,concepticon-2125,1.44,къван,"stone, rock",k'van
clics-doculect-107-43,lezg1247-Mikrakh,concepticon-2125,1.44,раг,"stone, rock",rag
clics-doculect-107-44,lezg1247-Mikrakh,concepticon-6,1.45,залзалаг,earthquake,zalzalag
clics-doculect-107-45,lezg1247-Mikrakh,concepticon-1732,1.51,цав,sky,tsav
clics-doculect-107-46,lezg1247-Mikrakh,concepticon-1343,1.52,рагъ,sun,rag'
clics-doculect-107-47,lezg1247-Mikrakh,concepticon-1313,1.53,варз,moon,varz
clics-doculect-107-48,lezg1247-Mikrakh,concepticon-1430,1.54,гъед,star,g'ed
clics-doculect-107-49,lezg1247-Mikrakh,concepticon-1654,1.55,цІайлапан,lightning,tsIailapan
clics-doculect-107-50,lezg1247-Mikrakh,concepticon-1150,1.56,цаврахун,thunder,tsavrakhun
clics-doculect-107-51,lezg1247-Mikrakh,concepticon-2007,1.57,цІайлапан,lightning (as striking),tsIailapan
clics-doculect-107-52,lezg1247-Mikrakh,concepticon-858,1.58,тІурфан,storm,tIurfan
clics-doculect-107-53,lezg1247-Mikrakh,concepticon-1733,1.59,йаргъируш,rainbow,iarg'irush
clics-doculect-107-54,lezg1247-Mikrakh,concepticon-630,1.61,экв,light (noun),ekv
clics-doculect-107-55,lezg1247-Mikrakh,concepticon-11,1.62,мичІмичІивал,darkness,michImichIival
clics-doculect-107-56,lezg1247-Mikrakh,concepticon-1388,1.63,эхъвен,"shade, shadow",ekh'ven
clics-doculect-107-57,lezg1247-Mikrakh,concepticon-1977,1.64,чиг,dew,chig
clics-doculect-107-58,lezg1247-Mikrakh,concepticon-27,1.71,гьава,air,g'ava
clics-doculect-107-59,lezg1247-Mikrakh,concepticon-960,1.72,гар,wind,gar
clics-doculect-107-60,lezg1247-Mikrakh,concepticon-1489,1.73,булут,cloud,bulut
clics-doculect-107-61,lezg1247-Mikrakh,concepticon-1489,1.73,циф,cloud,tsif
clics-doculect-107-62,lezg1247-Mikrakh,concepticon-249,1.74,циф,fog,tsif
clics-doculect-107-63,lezg1247-Mikrakh,concepticon-658,1.75,къвал,rain (noun),k'val
clics-doculect-107-64,lezg1247-Mikrakh,concepticon-784,1.76,жив,snow (noun),zhiv
clics-doculect-107-65,lezg1247-Mikrakh,concepticon-617,1.77,мурк,ice,murk
clics-doculect-107-66,lezg1247-Mikrakh,concepticon-617,1.77,мурйагъун,ice,muriag'un
clics-doculect-107-67,lezg1247-Mikrakh,concepticon-952,1.78,гьава,weather,g'ava
clics-doculect-107-68,lezg1247-Mikrakh,concepticon-221,1.81,цІай,fire,tsIai
clics-doculect-107-69,lezg1247-Mikrakh,concepticon-889,1.82,йалав,flame (noun),ialav
clics-doculect-107-70,lezg1247-Mikrakh,concepticon-778,1.83,гум,smoke (noun),gum
clics-doculect-107-71,lezg1247-Mikrakh,concepticon-646,1.84,руьхъ,ashes,ru'kh'
clics-doculect-107-72,lezg1247-Mikrakh,concepticon-67,1.841,цІунцукІвар,embers,tsIuntsukIvar
clics-doculect-107-73,lezg1247-Mikrakh,concepticon-141,1.851,кун,burn (vb trans),kun
clics-doculect-107-74,lezg1247-Mikrakh,concepticon-1428,1.852,туькьуьлвал,burn (vb intrans),tu'k'u'lval
clics-doculect-107-75,lezg1247-Mikrakh,concepticon-737,1.86,цІайкутун,"light, kindle, ignite",tsIaikutun
clics-doculect-107-76,lezg1247-Mikrakh,concepticon-737,1.86,цІайкьун,"light, kindle, ignite",tsIaik'un
clics-doculect-107-77,lezg1247-Mikrakh,concepticon-127,1.861,хкадарун,extinguish,khkadarun
clics-doculect-107-78,lezg1247-Mikrakh,concepticon-1133,1.87,кирбит,match (noun),kirbit
clics-doculect-107-79,lezg1247-Mikrakh,concepticon-10,1.88,кІарасар,firewood,kIarasar
clics-doculect-107-80,lezg1247-Mikrakh,concepticon-1188,1.89,кІарасцІивин,charcoal,kIarastsIivin
clics-doculect-107-81,lezg1247-Mikrakh,concepticon-683,2.1,инсан,"person, human being",insan
clics-doculect-107-82,lezg1247-Mikrakh,concepticon-1554,2.21,итим,man (vs. woman),itim
clics-doculect-107-83,lezg1247-Mikrakh,concepticon-962,2.22,дишегьли,woman,disheg'li
clics-doculect-107-84,lezg1247-Mikrakh,concepticon-1553,2.23,эркек,male,erkek
clics-doculect-107-85,lezg1247-Mikrakh,concepticon-1551,2.24,диши,female,dishi
clics-doculect-107-86,lezg1247-Mikrakh,concepticon-1366,2.25,гада,boy,gada
clics-doculect-107-87,lezg1247-Mikrakh,concepticon-76,2.251,жегьил,young man (adolescent),zheg'il
clics-doculect-107-88,lezg1247-Mikrakh,concepticon-76,2.251,жегьилинсан,young man (adolescent),zheg'ilinsan
clics-doculect-107-89,lezg1247-Mikrakh,concepticon-1646,2.26,гъвечІируш,girl,g'vechIirush
clics-doculect-107-90,lezg1247-Mikrakh,concepticon-77,2.261,руш,young woman (adolescent),rush
clics-doculect-107-91,lezg1247-Mikrakh,concepticon-1304,2.27,айал,child,aial
clics-doculect-107-92,lezg1247-Mikrakh,concepticon-1289,2.28,чагъаайал,"infant, baby",chag'aaial
clics-doculect-107-93,lezg1247-Mikrakh,concepticon-1200,2.31,гуьл,husband,gu'l
clics-doculect-107-94,lezg1247-Mikrakh,concepticon-1199,2.32,паб,wife,pab
clics-doculect-107-95,lezg1247-Mikrakh,concepticon-203,2.33,эвлемишхьун,marry,evlemishkh'un
clics-doculect-107-96,lezg1247-Mikrakh,concepticon-203,2.33,гъуьлуьзфин,marry,g'u'lu'zfin
clics-doculect-107-97,lezg1247-Mikrakh,concepticon-1259,2.34,мехъер,"marriage, wedding",mekh'er
