ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-200-1,limo1249-std,concepticon-965,1.1,ʊɔl,world,Uol
clics-doculect-200-2,limo1249-std,concepticon-965,1.1,ʊərl,world,U@rl
clics-doculect-200-3,limo1249-std,concepticon-626,1.21,ɛrt,"earth, land",ert
clics-doculect-200-4,limo1249-std,concepticon-626,1.21,lan,"earth, land",lan
clics-doculect-200-5,limo1249-std,concepticon-1228,1.212,ɛrt,"earth=ground, soil",ert
clics-doculect-200-6,limo1249-std,concepticon-1228,1.212,grɔŋ,"earth=ground, soil",groNG
clics-doculect-200-7,limo1249-std,concepticon-1228,1.212,groŋ,"earth=ground, soil",groNG
clics-doculect-200-8,limo1249-std,concepticon-1228,1.212,saɩl,"earth=ground, soil",sail
clics-doculect-200-9,limo1249-std,concepticon-2,1.213,das,dust,das
clics-doculect-200-10,limo1249-std,concepticon-640,1.214,mɔd,mud,mod
clics-doculect-200-11,limo1249-std,concepticon-671,1.215,san,sand,san
clics-doculect-200-12,limo1249-std,concepticon-2118,1.22,mɔutɩn,"mountain, hill",moutin
clics-doculect-200-13,limo1249-std,concepticon-2118,1.22,ɩl,"mountain, hill",il
clics-doculect-200-14,limo1249-std,concepticon-618,1.222,klɩf,"cliff, precipice",klif
clics-doculect-200-15,limo1249-std,concepticon-652,1.23,fil,"plain, field",fil
clics-doculect-200-16,limo1249-std,concepticon-921,1.24,valɩ,valley,vali
clics-doculect-200-17,limo1249-std,concepticon-622,1.25,aɩlan,island,ailan
clics-doculect-200-18,limo1249-std,concepticon-166,1.26,mɛɩnlan,mainland,meinlan
clics-doculect-200-19,limo1249-std,concepticon-166,1.26,kantɩnɛnt,mainland,kantinent
clics-doculect-200-20,limo1249-std,concepticon-113,1.27,baŋk,shore,baNGk
clics-doculect-200-21,limo1249-std,concepticon-113,1.27,bič,shore,bic
clics-doculect-200-22,limo1249-std,concepticon-113,1.27,šʊɔr,shore,sUor
clics-doculect-200-23,limo1249-std,concepticon-1155,1.28,kɛɩv,cave,keiv
clics-doculect-200-24,limo1249-std,concepticon-948,1.31,wāta,water,wata
clics-doculect-200-25,limo1249-std,concepticon-1474,1.32,si,sea,si
clics-doculect-200-26,limo1249-std,concepticon-258,1.322,kʸām,calm (of sea),kyam
clics-doculect-200-27,limo1249-std,concepticon-259,1.323,rɔf,rough (of sea),rof
clics-doculect-200-28,limo1249-std,concepticon-1768,1.324,fʊɔm,foam,fUom
clics-doculect-200-29,limo1249-std,concepticon-645,1.329,ʊɔšan,ocean,Uosan
clics-doculect-200-30,limo1249-std,concepticon-624,1.33,lɛɩk,lake,leik
clics-doculect-200-31,limo1249-std,concepticon-663,1.34,gɔlf,"gulf, bay",golf
clics-doculect-200-32,limo1249-std,concepticon-663,1.34,bɛɩ,"gulf, bay",bei
clics-doculect-200-33,limo1249-std,concepticon-623,1.341,lagun,lagoon,lagun
clics-doculect-200-34,limo1249-std,concepticon-1662,1.343,paɩnt,"headland, point",paint
clics-doculect-200-35,limo1249-std,concepticon-978,1.35,wɛɩv,wave,weiv
clics-doculect-200-36,limo1249-std,concepticon-891,1.352,taɩd,tide,taid
clics-doculect-200-37,limo1249-std,concepticon-1026,1.353,lʊɔtaɩd,lowtide,lUotaid
clics-doculect-200-38,limo1249-std,concepticon-613,1.354,aɩtaɩd,hightide,aitaid
clics-doculect-200-39,limo1249-std,concepticon-666,1.36,riva,"river, stream, brook",riva
clics-doculect-200-40,limo1249-std,concepticon-666,1.36,riba,"river, stream, brook",riba
clics-doculect-200-41,limo1249-std,concepticon-666,1.36,strim,"river, stream, brook",strim
clics-doculect-200-42,limo1249-std,concepticon-666,1.36,bruk,"river, stream, brook",bruk
clics-doculect-200-43,limo1249-std,concepticon-1982,1.362,wilɩnʊɔl,whirlpool,wilinUol
clics-doculect-200-44,limo1249-std,concepticon-2144,1.37,sprɩŋ,"spring, well",spriNG
clics-doculect-200-45,limo1249-std,concepticon-2144,1.37,wɛl,"spring, well",wel
clics-doculect-200-46,limo1249-std,concepticon-1145,1.38,swɔmp,swamp,swomp
clics-doculect-200-47,limo1249-std,concepticon-1145,1.38,swamp,swamp,swamp
clics-doculect-200-48,limo1249-std,concepticon-943,1.39,wātafal,waterfall,watafal
clics-doculect-200-49,limo1249-std,concepticon-420,1.41,wudz,"woods, forest",wudz
clics-doculect-200-50,limo1249-std,concepticon-420,1.41,farɩs,"woods, forest",faris
clics-doculect-200-51,limo1249-std,concepticon-420,1.41,buš,"woods, forest",bus
clics-doculect-200-53,limo1249-std,concepticon-1803,1.43,ud,wood,ud
clics-doculect-200-54,limo1249-std,concepticon-1803,1.43,bʊɔd,wood,bUod
clics-doculect-200-55,limo1249-std,concepticon-2125,1.44,rakstʊn,"stone, rock",rakstUn
clics-doculect-200-56,limo1249-std,concepticon-2125,1.44,stʊɔn,"stone, rock",stUon
clics-doculect-200-57,limo1249-std,concepticon-2125,1.44,rak,"stone, rock",rak
clics-doculect-200-58,limo1249-std,concepticon-6,1.45,ɛrtkwɛɩk,earthquake,ertkweik
clics-doculect-200-59,limo1249-std,concepticon-1732,1.51,skaɩ,sky,skai
clics-doculect-200-60,limo1249-std,concepticon-1343,1.52,sɔn,sun,son
clics-doculect-200-61,limo1249-std,concepticon-1313,1.53,mun,moon,mun
clics-doculect-200-62,limo1249-std,concepticon-1430,1.54,stār,star,star
clics-doculect-200-63,limo1249-std,concepticon-1654,1.55,laɩtnɩn,lightning,laitnin
clics-doculect-200-64,limo1249-std,concepticon-1654,1.55,laɩtnɩŋ,lightning,laitniNG
clics-doculect-200-65,limo1249-std,concepticon-1150,1.56,tɔnda,thunder,tonda
clics-doculect-200-66,limo1249-std,concepticon-2007,1.57,tɔndabal,lightning (as striking),tondabal
clics-doculect-200-67,limo1249-std,concepticon-858,1.58,stām,storm,stam
clics-doculect-200-68,limo1249-std,concepticon-1733,1.59,rɛɩnbʊɔ,rainbow,reinbUo
clics-doculect-200-69,limo1249-std,concepticon-630,1.61,laɩt,light (noun),lait
clics-doculect-200-70,limo1249-std,concepticon-11,1.62,dāknɩs,darkness,daknis
clics-doculect-200-71,limo1249-std,concepticon-1388,1.63,šɛɩd,"shade, shadow",seid
clics-doculect-200-72,limo1249-std,concepticon-1388,1.63,šadɔ,"shade, shadow",sado
clics-doculect-200-73,limo1249-std,concepticon-1977,1.64,ǰu,dew,ju
clics-doculect-200-74,limo1249-std,concepticon-27,1.71,ɛɩr,air,eir
clics-doculect-200-75,limo1249-std,concepticon-960,1.72,wɩn,wind,win
clics-doculect-200-76,limo1249-std,concepticon-1489,1.73,klod,cloud,klod
clics-doculect-200-77,limo1249-std,concepticon-249,1.74,fag,fog,fag
clics-doculect-200-78,limo1249-std,concepticon-658,1.75,rɛɩn,rain (noun),rein
clics-doculect-200-79,limo1249-std,concepticon-784,1.76,snʊɔ,snow (noun),snUo
clics-doculect-200-80,limo1249-std,concepticon-617,1.77,aɩs,ice,ais
clics-doculect-200-81,limo1249-std,concepticon-952,1.78,wɛda,weather,weda
clics-doculect-200-82,limo1249-std,concepticon-221,1.81,faya,fire,faya
clics-doculect-200-83,limo1249-std,concepticon-889,1.82,flɛɩm,flame (noun),fleim
clics-doculect-200-84,limo1249-std,concepticon-778,1.83,smʊɔk,smoke (noun),smUok
clics-doculect-200-85,limo1249-std,concepticon-646,1.84,ašɩz,ashes,asiz
clics-doculect-200-86,limo1249-std,concepticon-646,1.84,sɩnda,ashes,sinda
clics-doculect-200-87,limo1249-std,concepticon-67,1.841,fayakʊɔl,embers,fayakUol
clics-doculect-200-88,limo1249-std,concepticon-67,1.841,kʊɔl,embers,kUol
clics-doculect-200-89,limo1249-std,concepticon-141,1.851,bɔn,burn (vb trans),bon
clics-doculect-200-90,limo1249-std,concepticon-141,1.851,bərn,burn (vb trans),b@rn
clics-doculect-200-91,limo1249-std,concepticon-1428,1.852,bɔn,burn (vb intrans),bon
clics-doculect-200-92,limo1249-std,concepticon-1428,1.852,bərn,burn (vb intrans),b@rn
clics-doculect-200-93,limo1249-std,concepticon-737,1.86,laɩt,"light, kindle, ignite",lait
clics-doculect-200-94,limo1249-std,concepticon-737,1.86,kɩŋgl,"light, kindle, ignite",kiNGgl
clics-doculect-200-95,limo1249-std,concepticon-127,1.861,ot,extinguish,ot
clics-doculect-200-96,limo1249-std,concepticon-1133,1.87,mačɩz,match (noun),maciz
clics-doculect-200-97,limo1249-std,concepticon-10,1.88,fayaud,firewood,fayaud
clics-doculect-200-98,limo1249-std,concepticon-1188,1.89,kʊɔl,charcoal,kUol
clics-doculect-200-99,limo1249-std,concepticon-683,2.1,pɛrsn,"person, human being",persn
clics-doculect-200-100,limo1249-std,concepticon-683,2.1,yuman,"person, human being",yuman
clics-doculect-200-101,limo1249-std,concepticon-683,2.1,yumanbin,"person, human being",yumanbin
clics-doculect-200-102,limo1249-std,concepticon-1554,2.21,man,man (vs. woman),man
clics-doculect-200-103,limo1249-std,concepticon-962,2.22,uman,woman,uman
clics-doculect-200-104,limo1249-std,concepticon-1553,2.23,hi,male,hi
clics-doculect-200-105,limo1249-std,concepticon-1553,2.23,man,male,man
