ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-127-1,lith1251-std,concepticon-965,1.1,pasáulis,world,pasaulis
clics-doculect-127-2,lith1251-std,concepticon-626,1.21,žẽmė,"earth, land",zeme
clics-doculect-127-3,lith1251-std,concepticon-1228,1.212,žẽmė,"earth=ground, soil",zeme
clics-doculect-127-4,lith1251-std,concepticon-1228,1.212,sausumà,"earth=ground, soil",sausuma
clics-doculect-127-5,lith1251-std,concepticon-1228,1.212,dirvà,"earth=ground, soil",dirva
clics-doculect-127-6,lith1251-std,concepticon-1228,1.212,dirvóžemis,"earth=ground, soil",dirvozemis
clics-doculect-127-7,lith1251-std,concepticon-2,1.213,dùlkės,dust,dulkes
clics-doculect-127-8,lith1251-std,concepticon-640,1.214,pur̃vas,mud,purvas
clics-doculect-127-9,lith1251-std,concepticon-640,1.214,dum̃blas,mud,dumblas
clics-doculect-127-10,lith1251-std,concepticon-671,1.215,smẽ̇lis,sand,smelis
clics-doculect-127-11,lith1251-std,concepticon-671,1.215,smiltìs,sand,smiltis
clics-doculect-127-12,lith1251-std,concepticon-2118,1.22,kálnas,"mountain, hill",kalnas
clics-doculect-127-13,lith1251-std,concepticon-2118,1.22,kalnẽlis,"mountain, hill",kalnelis
clics-doculect-127-14,lith1251-std,concepticon-618,1.222,skar̃dis,"cliff, precipice",skardis
clics-doculect-127-15,lith1251-std,concepticon-618,1.222,uolà,"cliff, precipice",uola
clics-doculect-127-16,lith1251-std,concepticon-652,1.23,lygumà,"plain, field",lyguma
clics-doculect-127-17,lith1251-std,concepticon-652,1.23,laũkas,"plain, field",laukas
clics-doculect-127-18,lith1251-std,concepticon-921,1.24,slẽ̇nis,valley,slenis
clics-doculect-127-19,lith1251-std,concepticon-921,1.24,klónis,valley,klonis
clics-doculect-127-20,lith1251-std,concepticon-622,1.25,salà,island,sala
clics-doculect-127-21,lith1251-std,concepticon-166,1.26,žemýnas,mainland,zemynas
clics-doculect-127-22,lith1251-std,concepticon-113,1.27,kraɲtas,shore,krantas
clics-doculect-127-23,lith1251-std,concepticon-113,1.27,krãštas,shore,krastas
clics-doculect-127-24,lith1251-std,concepticon-113,1.27,pamarỹs,shore,pamarys
clics-doculect-127-25,lith1251-std,concepticon-1155,1.28,ùrvas,cave,urvas
clics-doculect-127-26,lith1251-std,concepticon-1155,1.28,olà,cave,ola
clics-doculect-127-27,lith1251-std,concepticon-948,1.31,vanduõ,water,vanduo
clics-doculect-127-28,lith1251-std,concepticon-1474,1.32,jú̄ra,sea,jura
clics-doculect-127-29,lith1251-std,concepticon-1474,1.32,mãrios,sea,marios
clics-doculect-127-30,lith1251-std,concepticon-258,1.322,ramìjú̄ra,calm (of sea),ramijura
clics-doculect-127-31,lith1251-std,concepticon-259,1.323,audrìngajú̄ra,rough (of sea),audringajura
clics-doculect-127-32,lith1251-std,concepticon-259,1.323,neramìjú̄ra,rough (of sea),neramijura
clics-doculect-127-33,lith1251-std,concepticon-1768,1.324,pùtos,foam,putos
clics-doculect-127-34,lith1251-std,concepticon-645,1.329,vandenýnas,ocean,vandenynas
clics-doculect-127-35,lith1251-std,concepticon-645,1.329,okeãnas,ocean,okeanas
clics-doculect-127-36,lith1251-std,concepticon-624,1.33,ẽžeras,lake,ezeras
clics-doculect-127-37,lith1251-std,concepticon-663,1.34,į́lanka,"gulf, bay",ilanka
clics-doculect-127-38,lith1251-std,concepticon-623,1.341,lagūnà,lagoon,laguna
clics-doculect-127-39,lith1251-std,concepticon-660,1.342,rìfas,reef,rifas
clics-doculect-127-40,lith1251-std,concepticon-1662,1.343,rãgas,"headland, point",ragas
clics-doculect-127-41,lith1251-std,concepticon-1662,1.343,iškyšulỹs,"headland, point",iskysulys
clics-doculect-127-42,lith1251-std,concepticon-978,1.35,vilnìs,wave,vilnis
clics-doculect-127-43,lith1251-std,concepticon-978,1.35,bangà,wave,banga
clics-doculect-127-44,lith1251-std,concepticon-891,1.352,atóslūgisir̃pótvynis,tide,atoslugisirpotvynis
clics-doculect-127-45,lith1251-std,concepticon-1026,1.353,atóslūgis,lowtide,atoslugis
clics-doculect-127-46,lith1251-std,concepticon-613,1.354,pótvynis,hightide,potvynis
clics-doculect-127-47,lith1251-std,concepticon-666,1.36,ùpė,"river, stream, brook",upe
clics-doculect-127-48,lith1251-std,concepticon-666,1.36,srovẽ̇,"river, stream, brook",srove
clics-doculect-127-49,lith1251-std,concepticon-666,1.36,upẽlis,"river, stream, brook",upelis
clics-doculect-127-50,lith1251-std,concepticon-1982,1.362,sūkurỹs,whirlpool,sukurys
clics-doculect-127-51,lith1251-std,concepticon-2144,1.37,šaltìnis,"spring, well",saltinis
clics-doculect-127-52,lith1251-std,concepticon-2144,1.37,versmẽ̇,"spring, well",versme
clics-doculect-127-53,lith1251-std,concepticon-2144,1.37,šulinỹs,"spring, well",sulinys
clics-doculect-127-54,lith1251-std,concepticon-1145,1.38,pélkė,swamp,pelke
clics-doculect-127-55,lith1251-std,concepticon-1145,1.38,balà,swamp,bala
clics-doculect-127-56,lith1251-std,concepticon-1145,1.38,klampỹnė,swamp,klampyne
clics-doculect-127-57,lith1251-std,concepticon-943,1.39,krioklỹs,waterfall,krioklys
clics-doculect-127-58,lith1251-std,concepticon-420,1.41,girià,"woods, forest",giria
clics-doculect-127-59,lith1251-std,concepticon-420,1.41,mìškas,"woods, forest",miskas
clics-doculect-127-61,lith1251-std,concepticon-1803,1.43,málkos,wood,malkos
clics-doculect-127-62,lith1251-std,concepticon-1803,1.43,mìškas,wood,miskas
clics-doculect-127-63,lith1251-std,concepticon-1803,1.43,mẽdis,wood,medis
clics-doculect-127-64,lith1251-std,concepticon-2125,1.44,akmuõ,"stone, rock",akmuo
clics-doculect-127-65,lith1251-std,concepticon-2125,1.44,uolà,"stone, rock",uola
clics-doculect-127-66,lith1251-std,concepticon-6,1.45,žẽmėsdrebé̇jimas,earthquake,zemesdrebejimas
clics-doculect-127-67,lith1251-std,concepticon-1732,1.51,dangùs,sky,dangus
clics-doculect-127-68,lith1251-std,concepticon-1343,1.52,sáulė,sun,saule
clics-doculect-127-69,lith1251-std,concepticon-1313,1.53,mé̇nuo,moon,menuo
clics-doculect-127-70,lith1251-std,concepticon-1313,1.53,mėnùlis,moon,menulis
clics-doculect-127-71,lith1251-std,concepticon-1430,1.54,žvaigždẽ̇,star,zvaigzde
clics-doculect-127-72,lith1251-std,concepticon-1654,1.55,žaĩbas,lightning,zaibas
clics-doculect-127-73,lith1251-std,concepticon-1150,1.56,griaustìnis,thunder,griaustinis
clics-doculect-127-74,lith1251-std,concepticon-1150,1.56,griaũsmas,thunder,griausmas
clics-doculect-127-75,lith1251-std,concepticon-2007,1.57,griáudėti,lightning (as striking),griaudeti
clics-doculect-127-76,lith1251-std,concepticon-2007,1.57,griáusti,lightning (as striking),griausti
clics-doculect-127-77,lith1251-std,concepticon-858,1.58,audrà,storm,audra
clics-doculect-127-78,lith1251-std,concepticon-858,1.58,vé̇tra,storm,vetra
clics-doculect-127-79,lith1251-std,concepticon-1733,1.59,vaivórykštė,rainbow,vaivorykste
clics-doculect-127-80,lith1251-std,concepticon-630,1.61,šviesà,light (noun),sviesa
clics-doculect-127-81,lith1251-std,concepticon-11,1.62,tamsà,darkness,tamsa
clics-doculect-127-82,lith1251-std,concepticon-11,1.62,tamsumà,darkness,tamsuma
clics-doculect-127-83,lith1251-std,concepticon-1388,1.63,šešé̇lis,"shade, shadow",seselis
clics-doculect-127-84,lith1251-std,concepticon-1388,1.63,pavé̇sis,"shade, shadow",pavesis
clics-doculect-127-85,lith1251-std,concepticon-1388,1.63,paú̄ksmė,"shade, shadow",pauksme
clics-doculect-127-86,lith1251-std,concepticon-1977,1.64,rasà,dew,rasa
clics-doculect-127-87,lith1251-std,concepticon-27,1.71,óras,air,oras
clics-doculect-127-88,lith1251-std,concepticon-960,1.72,vé̇jas,wind,vejas
clics-doculect-127-89,lith1251-std,concepticon-1489,1.73,debesìs,cloud,debesis
clics-doculect-127-90,lith1251-std,concepticon-249,1.74,miglà,fog,migla
clics-doculect-127-91,lith1251-std,concepticon-249,1.74,rũ̄kas,fog,rukas
clics-doculect-127-92,lith1251-std,concepticon-249,1.74,ũ̄kas,fog,ukas
clics-doculect-127-93,lith1251-std,concepticon-658,1.75,lietùs,rain (noun),lietus
clics-doculect-127-94,lith1251-std,concepticon-784,1.76,sniẽgas,snow (noun),sniegas
clics-doculect-127-95,lith1251-std,concepticon-617,1.77,lẽdas,ice,ledas
clics-doculect-127-96,lith1251-std,concepticon-952,1.78,óras,weather,oras
clics-doculect-127-97,lith1251-std,concepticon-221,1.81,ugnìs,fire,ugnis
clics-doculect-127-98,lith1251-std,concepticon-889,1.82,liepsnà,flame (noun),liepsna
clics-doculect-127-99,lith1251-std,concepticon-778,1.83,dú̄mai,smoke (noun),dumai
clics-doculect-127-100,lith1251-std,concepticon-646,1.84,pelenaĩ,ashes,pelenai
clics-doculect-127-101,lith1251-std,concepticon-67,1.841,žarìjos,embers,zarijos
clics-doculect-127-102,lith1251-std,concepticon-141,1.851,uždègti,burn (vb trans),uzdegti
clics-doculect-127-103,lith1251-std,concepticon-1428,1.852,dègti,burn (vb intrans),degti
clics-doculect-127-104,lith1251-std,concepticon-1428,1.852,dẽginti,burn (vb intrans),deginti
clics-doculect-127-105,lith1251-std,concepticon-737,1.86,uždègti,"light, kindle, ignite",uzdegti
clics-doculect-127-106,lith1251-std,concepticon-127,1.861,gesìnti,extinguish,gesinti
clics-doculect-127-107,lith1251-std,concepticon-1133,1.87,degtùkas,match (noun),degtukas
clics-doculect-127-108,lith1251-std,concepticon-10,1.88,málka,firewood,malka
clics-doculect-127-109,lith1251-std,concepticon-1188,1.89,anglìs,charcoal,anglis
