ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-118-1,logu1236-std,concepticon-965,1.1,svet,world,svet
clics-doculect-118-2,logu1236-std,concepticon-626,1.21,zemlja,"earth, land",zemlja
clics-doculect-118-3,logu1236-std,concepticon-1228,1.212,zemlja,"earth=ground, soil",zemlja
clics-doculect-118-4,logu1236-std,concepticon-1228,1.212,tlo,"earth=ground, soil",tlo
clics-doculect-118-5,logu1236-std,concepticon-2,1.213,prah,dust,prah
clics-doculect-118-6,logu1236-std,concepticon-2,1.213,prašina,dust,prasina
clics-doculect-118-7,logu1236-std,concepticon-640,1.214,blato,mud,blato
clics-doculect-118-8,logu1236-std,concepticon-671,1.215,pesak,sand,pesak
clics-doculect-118-9,logu1236-std,concepticon-2118,1.22,planina,"mountain, hill",planina
clics-doculect-118-10,logu1236-std,concepticon-2118,1.22,brdo,"mountain, hill",brdo
clics-doculect-118-11,logu1236-std,concepticon-2118,1.22,brežuljak,"mountain, hill",brezuljak
clics-doculect-118-12,logu1236-std,concepticon-2118,1.22,breg,"mountain, hill",breg
clics-doculect-118-13,logu1236-std,concepticon-618,1.222,litica,"cliff, precipice",litica
clics-doculect-118-14,logu1236-std,concepticon-618,1.222,stena,"cliff, precipice",stena
clics-doculect-118-15,logu1236-std,concepticon-652,1.23,ravan,"plain, field",ravan
clics-doculect-118-16,logu1236-std,concepticon-652,1.23,ravnica,"plain, field",ravnica
clics-doculect-118-17,logu1236-std,concepticon-652,1.23,polje,"plain, field",polje
clics-doculect-118-18,logu1236-std,concepticon-921,1.24,dolina,valley,dolina
clics-doculect-118-19,logu1236-std,concepticon-921,1.24,dol,valley,dol
clics-doculect-118-20,logu1236-std,concepticon-622,1.25,ostrvo,island,ostrvo
clics-doculect-118-21,logu1236-std,concepticon-622,1.25,otok,island,otok
clics-doculect-118-22,logu1236-std,concepticon-166,1.26,kopno,mainland,kopno
clics-doculect-118-23,logu1236-std,concepticon-166,1.26,zemlja,mainland,zemlja
clics-doculect-118-24,logu1236-std,concepticon-113,1.27,obala,shore,obala
clics-doculect-118-25,logu1236-std,concepticon-113,1.27,žal,shore,zal
clics-doculect-118-26,logu1236-std,concepticon-113,1.27,primorje,shore,primorje
clics-doculect-118-27,logu1236-std,concepticon-1155,1.28,pećina,cave,pecina
clics-doculect-118-28,logu1236-std,concepticon-1155,1.28,jama,cave,jama
clics-doculect-118-29,logu1236-std,concepticon-948,1.31,voda,water,voda
clics-doculect-118-30,logu1236-std,concepticon-1474,1.32,more,sea,more
clics-doculect-118-31,logu1236-std,concepticon-258,1.322,tih,calm (of sea),tih
clics-doculect-118-32,logu1236-std,concepticon-258,1.322,miran,calm (of sea),miran
