ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-38-1,maca1260-std,concepticon-965,1.1,seheʔ,world,sehe?
clics-doculect-38-2,maca1260-std,concepticon-626,1.21,seheʔ,"earth, land",sehe?
clics-doculect-38-3,maca1260-std,concepticon-1228,1.212,seheʔ,"earth=ground, soil",sehe?
clics-doculect-38-4,maca1260-std,concepticon-2,1.213,ɬʔeḳhip,dust,l?ekhip
clics-doculect-38-5,maca1260-std,concepticon-640,1.214,oɬoḳˀoy,mud,olok?oy
clics-doculect-38-6,maca1260-std,concepticon-671,1.215,isaχ,sand,isakh
clics-doculect-38-7,maca1260-std,concepticon-2118,1.22,utek,"mountain, hill",utek
clics-doculect-38-8,maca1260-std,concepticon-618,1.222,kiimixuʔ,"cliff, precipice",kiimixu?
clics-doculect-38-9,maca1260-std,concepticon-652,1.23,ɬʔexinḳawet,"plain, field",l?exinkawet
clics-doculect-38-10,maca1260-std,concepticon-113,1.27,ɬotkoyek,shore,lotkoyek
clics-doculect-38-11,maca1260-std,concepticon-1155,1.28,kumuʔ,cave,kumu?
clics-doculect-38-12,maca1260-std,concepticon-948,1.31,iweli,water,iweli
clics-doculect-38-13,maca1260-std,concepticon-1474,1.32,ḳiiweli,sea,kiiweli
clics-doculect-38-14,maca1260-std,concepticon-258,1.322,yimkaʔhaḳḳiʔ,calm (of sea),yimka?hakki?
clics-doculect-38-15,maca1260-std,concepticon-259,1.323,mulphamnaʔhaḳḳiʔ,rough (of sea),mulphamna?hakki?
clics-doculect-38-16,maca1260-std,concepticon-1768,1.324,ɬʔihufaχ,foam,l?ihufakh
clics-doculect-38-17,maca1260-std,concepticon-623,1.341,imileʔ,lagoon,imile?
clics-doculect-38-18,maca1260-std,concepticon-1662,1.343,ɬapas,"headland, point",lapas
clics-doculect-38-19,maca1260-std,concepticon-666,1.36,haḳḳiʔ,"river, stream, brook",hakki?
clics-doculect-38-20,maca1260-std,concepticon-1982,1.362,feyeykinheʔ,whirlpool,feyeykinhe?
clics-doculect-38-21,maca1260-std,concepticon-2144,1.37,ɬʔiwet,"spring, well",l?iwet
clics-doculect-38-22,maca1260-std,concepticon-2144,1.37,tixkiʔ,"spring, well",tixki?
clics-doculect-38-23,maca1260-std,concepticon-1145,1.38,eɬipiʔi,swamp,elipi?i
clics-doculect-38-24,maca1260-std,concepticon-420,1.41,ɬeneʔ,"woods, forest",lene?
clics-doculect-38-26,maca1260-std,concepticon-1803,1.43,naxak,wood,naxak
clics-doculect-38-27,maca1260-std,concepticon-2125,1.44,ute,"stone, rock",ute
clics-doculect-38-28,maca1260-std,concepticon-6,1.45,seheʔwapxaʔ,earthquake,sehe?wapxa?
clics-doculect-38-29,maca1260-std,concepticon-1732,1.51,was,sky,was
clics-doculect-38-30,maca1260-std,concepticon-1343,1.52,xunuʔ,sun,xunu?
clics-doculect-38-31,maca1260-std,concepticon-1313,1.53,xuwel,moon,xuwel
clics-doculect-38-32,maca1260-std,concepticon-1430,1.54,footekiʔ,star,footeki?
clics-doculect-38-33,maca1260-std,concepticon-1654,1.55,tethelun,lightning,tethelun
clics-doculect-38-34,maca1260-std,concepticon-1150,1.56,texen,thunder,texen
