ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-72-1,mans1258-std,concepticon-965,1.1,tor̃um,world,torum
clics-doculect-72-2,mans1258-std,concepticon-626,1.21,ma,"earth, land",ma
clics-doculect-72-3,mans1258-std,concepticon-1228,1.212,ma,"earth=ground, soil",ma
clics-doculect-72-4,mans1258-std,concepticon-2,1.213,por̃s,dust,pors
clics-doculect-72-5,mans1258-std,concepticon-640,1.214,paŋk,mud,paNGk
clics-doculect-72-6,mans1258-std,concepticon-671,1.215,seɣ,sand,seg
clics-doculect-72-7,mans1258-std,concepticon-2118,1.22,nʸor̃,"mountain, hill",nyor
clics-doculect-72-8,mans1258-std,concepticon-2118,1.22,suma,"mountain, hill",suma
clics-doculect-72-9,mans1258-std,concepticon-618,1.222,kʸer̃as,"cliff, precipice",kyeras
clics-doculect-72-10,mans1258-std,concepticon-652,1.23,xar̃akan,"plain, field",xarakan
clics-doculect-72-11,mans1258-std,concepticon-652,1.23,tepkan,"plain, field",tepkan
clics-doculect-72-12,mans1258-std,concepticon-921,1.24,xar̃a,valley,xara
clics-doculect-72-13,mans1258-std,concepticon-622,1.25,tump,island,tump
clics-doculect-72-14,mans1258-std,concepticon-166,1.26,ma,mainland,ma
clics-doculect-72-15,mans1258-std,concepticon-113,1.27,wʸitwata,shore,wyitwata
clics-doculect-72-16,mans1258-std,concepticon-948,1.31,wʸit,water,wyit
clics-doculect-72-17,mans1258-std,concepticon-1474,1.32,sʸar̃sʸ,sea,syarsy
clics-doculect-72-18,mans1258-std,concepticon-258,1.322,tawant,calm (of sea),tawant
clics-doculect-72-19,mans1258-std,concepticon-259,1.323,xumpaŋ,rough (of sea),xumpaNG
clics-doculect-72-20,mans1258-std,concepticon-1768,1.324,nʸer̃,foam,nyer
clics-doculect-72-21,mans1258-std,concepticon-645,1.329,sʸar̃sʸ,ocean,syarsy
clics-doculect-72-22,mans1258-std,concepticon-624,1.33,tur̃,lake,tur
clics-doculect-72-23,mans1258-std,concepticon-663,1.34,lox,"gulf, bay",lox
clics-doculect-72-24,mans1258-std,concepticon-1662,1.343,mʸesɨɣ,"headland, point",myesig
clics-doculect-72-25,mans1258-std,concepticon-978,1.35,xump,wave,xump
clics-doculect-72-26,mans1258-std,concepticon-891,1.352,wʸitontane,tide,wyitontane
clics-doculect-72-27,mans1258-std,concepticon-891,1.352,wʸityolamʸinne,tide,wyityolamyinne
clics-doculect-72-28,mans1258-std,concepticon-1026,1.353,wʸityolamʸinne,lowtide,wyityolamyinne
clics-doculect-72-29,mans1258-std,concepticon-613,1.354,wʸitontane,hightide,wyitontane
clics-doculect-72-30,mans1258-std,concepticon-666,1.36,as,"river, stream, brook",as
clics-doculect-72-31,mans1258-std,concepticon-666,1.36,ya,"river, stream, brook",ya
clics-doculect-72-32,mans1258-std,concepticon-666,1.36,posal,"river, stream, brook",posal
clics-doculect-72-33,mans1258-std,concepticon-666,1.36,soym,"river, stream, brook",soym
clics-doculect-72-34,mans1258-std,concepticon-2144,1.37,soym,"spring, well",soym
clics-doculect-72-35,mans1258-std,concepticon-1145,1.38,nʸar̃,swamp,nyar
clics-doculect-72-36,mans1258-std,concepticon-1145,1.38,kʸeliɣ,swamp,kyelig
clics-doculect-72-37,mans1258-std,concepticon-420,1.41,wor̃,"woods, forest",wor
clics-doculect-72-39,mans1258-std,concepticon-1803,1.43,yiw,wood,yiw
clics-doculect-72-40,mans1258-std,concepticon-2125,1.44,axwtas,"stone, rock",axwtas
clics-doculect-72-41,mans1258-std,concepticon-2125,1.44,kʸer̃as,"stone, rock",kyeras
clics-doculect-72-42,mans1258-std,concepticon-1732,1.51,tor̃umxar̃ʸi,sky,torumxaryi
clics-doculect-72-43,mans1258-std,concepticon-1343,1.52,xotal,sun,xotal
clics-doculect-72-44,mans1258-std,concepticon-1313,1.53,etpos,moon,etpos
clics-doculect-72-45,mans1258-std,concepticon-1313,1.53,yoŋxup,moon,yoNGxup
clics-doculect-72-46,mans1258-std,concepticon-1430,1.54,xus,star,xus
clics-doculect-72-47,mans1258-std,concepticon-1654,1.55,sʸaxlsalɨl,lightning,syaxlsalil
clics-doculect-72-48,mans1258-std,concepticon-1150,1.56,sʸaxlkur̃ɣanesuy,thunder,syaxlkurganesuy
clics-doculect-72-49,mans1258-std,concepticon-2007,1.57,sʸaxlsalɨl,lightning (as striking),syaxlsalil
clics-doculect-72-50,mans1258-std,concepticon-858,1.58,tor̃um,storm,torum
clics-doculect-72-51,mans1258-std,concepticon-1733,1.59,nʸulɨkʸis,rainbow,nyulikyis
clics-doculect-72-52,mans1258-std,concepticon-630,1.61,pos,light (noun),pos
clics-doculect-72-53,mans1258-std,concepticon-11,1.62,tur̃man,darkness,turman
clics-doculect-72-54,mans1258-std,concepticon-1388,1.63,isxor̃,"shade, shadow",isxor
clics-doculect-72-55,mans1258-std,concepticon-1977,1.64,etwʸit,dew,etwyit
clics-doculect-72-56,mans1258-std,concepticon-27,1.71,lɨlɨep,air,liliep
clics-doculect-72-57,mans1258-std,concepticon-960,1.72,wot,wind,wot
clics-doculect-72-58,mans1258-std,concepticon-1489,1.73,tul,cloud,tul
clics-doculect-72-59,mans1258-std,concepticon-249,1.74,seŋkw,fog,seNGkw
clics-doculect-72-60,mans1258-std,concepticon-658,1.75,r̃akw,rain (noun),rakw
clics-doculect-72-61,mans1258-std,concepticon-784,1.76,tuyt,snow (noun),tuyt
clics-doculect-72-62,mans1258-std,concepticon-617,1.77,yaŋk,ice,yaNGk
clics-doculect-72-63,mans1258-std,concepticon-952,1.78,tor̃um,weather,torum
clics-doculect-72-64,mans1258-std,concepticon-221,1.81,nay,fire,nay
clics-doculect-72-65,mans1258-std,concepticon-221,1.81,ulʸa,fire,ulya
clics-doculect-72-66,mans1258-std,concepticon-889,1.82,naynʸelum,flame (noun),naynyelum
clics-doculect-72-67,mans1258-std,concepticon-889,1.82,ulʸanʸelum,flame (noun),ulyanyelum
clics-doculect-72-68,mans1258-std,concepticon-778,1.83,posɨm,smoke (noun),posim
clics-doculect-72-69,mans1258-std,concepticon-646,1.84,xulʸum,ashes,xulyum
clics-doculect-72-70,mans1258-std,concepticon-67,1.841,lum,embers,lum
clics-doculect-72-71,mans1258-std,concepticon-141,1.851,kotar̃aŋkwʸe,burn (vb trans),kotaraNGkwye
clics-doculect-72-72,mans1258-std,concepticon-1428,1.852,teŋkwʸe,burn (vb intrans),teNGkwye
clics-doculect-72-73,mans1258-std,concepticon-737,1.86,pʸelamtaŋkwʸe,"light, kindle, ignite",pyelamtaNGkwye
clics-doculect-72-74,mans1258-std,concepticon-737,1.86,kosamtaŋkwʸe,"light, kindle, ignite",kosamtaNGkwye
