ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-183-1,maor1246-std,concepticon-965,1.1,ao,world,ao
clics-doculect-183-2,maor1246-std,concepticon-626,1.21,ao,"earth, land",ao
clics-doculect-183-3,maor1246-std,concepticon-626,1.21,whenua,"earth, land",whenua
clics-doculect-183-4,maor1246-std,concepticon-1228,1.212,oneone,"earth=ground, soil",oneone
clics-doculect-183-5,maor1246-std,concepticon-1228,1.212,paru,"earth=ground, soil",paru
clics-doculect-183-6,maor1246-std,concepticon-1228,1.212,whenua,"earth=ground, soil",whenua
clics-doculect-183-7,maor1246-std,concepticon-1228,1.212,papa,"earth=ground, soil",papa
clics-doculect-183-8,maor1246-std,concepticon-2,1.213,nehu,dust,nehu
clics-doculect-183-9,maor1246-std,concepticon-2,1.213,puehu,dust,puehu
clics-doculect-183-10,maor1246-std,concepticon-640,1.214,paru,mud,paru
clics-doculect-183-11,maor1246-std,concepticon-640,1.214,paruparu,mud,paruparu
clics-doculect-183-12,maor1246-std,concepticon-640,1.214,one,mud,one
clics-doculect-183-13,maor1246-std,concepticon-671,1.215,onepuu,sand,onepuu
clics-doculect-183-14,maor1246-std,concepticon-671,1.215,one,sand,one
clics-doculect-183-15,maor1246-std,concepticon-2118,1.22,mauŋa,"mountain, hill",mauNGa
clics-doculect-183-16,maor1246-std,concepticon-2118,1.22,puke,"mountain, hill",puke
clics-doculect-183-17,maor1246-std,concepticon-618,1.222,pari,"cliff, precipice",pari
clics-doculect-183-18,maor1246-std,concepticon-652,1.23,paatiki,"plain, field",paatiki
clics-doculect-183-19,maor1246-std,concepticon-652,1.23,taiapa,"plain, field",taiapa
clics-doculect-183-20,maor1246-std,concepticon-652,1.23,maania,"plain, field",maania
clics-doculect-183-21,maor1246-std,concepticon-652,1.23,raorao,"plain, field",raorao
clics-doculect-183-22,maor1246-std,concepticon-652,1.23,parae,"plain, field",parae
clics-doculect-183-23,maor1246-std,concepticon-921,1.24,awaawa,valley,awaawa
clics-doculect-183-24,maor1246-std,concepticon-921,1.24,riu,valley,riu
clics-doculect-183-25,maor1246-std,concepticon-921,1.24,whaarua,valley,whaarua
clics-doculect-183-26,maor1246-std,concepticon-622,1.25,motu,island,motu
clics-doculect-183-27,maor1246-std,concepticon-622,1.25,moutere,island,moutere
clics-doculect-183-28,maor1246-std,concepticon-166,1.26,tuawhenua,mainland,tuawhenua
clics-doculect-183-29,maor1246-std,concepticon-113,1.27,taha,shore,taha
clics-doculect-183-30,maor1246-std,concepticon-113,1.27,tahataha,shore,tahataha
clics-doculect-183-31,maor1246-std,concepticon-113,1.27,pareŋa,shore,pareNGa
clics-doculect-183-32,maor1246-std,concepticon-113,1.27,one,shore,one
clics-doculect-183-33,maor1246-std,concepticon-1155,1.28,ana,cave,ana
clics-doculect-183-34,maor1246-std,concepticon-1155,1.28,rua,cave,rua
clics-doculect-183-35,maor1246-std,concepticon-948,1.31,wai,water,wai
clics-doculect-183-36,maor1246-std,concepticon-1474,1.32,moana,sea,moana
clics-doculect-183-37,maor1246-std,concepticon-1474,1.32,tai,sea,tai
clics-doculect-183-38,maor1246-std,concepticon-259,1.323,ŋaruŋaru,rough (of sea),NGaruNGaru
clics-doculect-183-39,maor1246-std,concepticon-259,1.323,karekare,rough (of sea),karekare
clics-doculect-183-40,maor1246-std,concepticon-1768,1.324,huka,foam,huka
clics-doculect-183-41,maor1246-std,concepticon-645,1.329,moana,ocean,moana
clics-doculect-183-42,maor1246-std,concepticon-624,1.33,roto,lake,roto
clics-doculect-183-43,maor1246-std,concepticon-624,1.33,moana,lake,moana
clics-doculect-183-44,maor1246-std,concepticon-663,1.34,kokoru,"gulf, bay",kokoru
clics-doculect-183-45,maor1246-std,concepticon-1662,1.343,rae,"headland, point",rae
clics-doculect-183-46,maor1246-std,concepticon-1662,1.343,kuurae,"headland, point",kuurae
clics-doculect-183-47,maor1246-std,concepticon-1662,1.343,more,"headland, point",more
clics-doculect-183-48,maor1246-std,concepticon-1662,1.343,kuumore,"headland, point",kuumore
clics-doculect-183-49,maor1246-std,concepticon-978,1.35,ŋaru,wave,NGaru
clics-doculect-183-50,maor1246-std,concepticon-891,1.352,tai,tide,tai
clics-doculect-183-51,maor1246-std,concepticon-1026,1.353,taitimu,lowtide,taitimu
clics-doculect-183-52,maor1246-std,concepticon-1026,1.353,timu,lowtide,timu
clics-doculect-183-53,maor1246-std,concepticon-1026,1.353,mimiti,lowtide,mimiti
clics-doculect-183-54,maor1246-std,concepticon-613,1.354,taipari,hightide,taipari
clics-doculect-183-55,maor1246-std,concepticon-666,1.36,awa,"river, stream, brook",awa
clics-doculect-183-56,maor1246-std,concepticon-666,1.36,maŋa,"river, stream, brook",maNGa
clics-doculect-183-57,maor1246-std,concepticon-666,1.36,wai,"river, stream, brook",wai
clics-doculect-183-58,maor1246-std,concepticon-1982,1.362,riporipo,whirlpool,riporipo
clics-doculect-183-59,maor1246-std,concepticon-1982,1.362,aawhiowhio,whirlpool,aawhiowhio
clics-doculect-183-60,maor1246-std,concepticon-2144,1.37,puna,"spring, well",puna
clics-doculect-183-61,maor1246-std,concepticon-2144,1.37,pokawai,"spring, well",pokawai
clics-doculect-183-62,maor1246-std,concepticon-1145,1.38,repo,swamp,repo
clics-doculect-183-63,maor1246-std,concepticon-943,1.39,rere,waterfall,rere
clics-doculect-183-64,maor1246-std,concepticon-943,1.39,taaheke,waterfall,taaheke
clics-doculect-183-65,maor1246-std,concepticon-943,1.39,wairere,waterfall,wairere
clics-doculect-183-66,maor1246-std,concepticon-420,1.41,ŋahere,"woods, forest",NGahere
clics-doculect-183-67,maor1246-std,concepticon-420,1.41,ŋaaherehere,"woods, forest",NGaaherehere
clics-doculect-183-68,maor1246-std,concepticon-420,1.41,ŋaheŋahe,"woods, forest",NGaheNGahe
clics-doculect-183-70,maor1246-std,concepticon-1803,1.43,raakau,wood,raakau
clics-doculect-183-71,maor1246-std,concepticon-2125,1.44,koowhatu,"stone, rock",koowhatu
clics-doculect-183-72,maor1246-std,concepticon-2125,1.44,koohatu,"stone, rock",koohatu
clics-doculect-183-73,maor1246-std,concepticon-2125,1.44,poowhatu,"stone, rock",poowhatu
clics-doculect-183-74,maor1246-std,concepticon-2125,1.44,poohatu,"stone, rock",poohatu
clics-doculect-183-75,maor1246-std,concepticon-2125,1.44,toka,"stone, rock",toka
clics-doculect-183-76,maor1246-std,concepticon-2125,1.44,kaamaka,"stone, rock",kaamaka
clics-doculect-183-77,maor1246-std,concepticon-6,1.45,ruu,earthquake,ruu
clics-doculect-183-78,maor1246-std,concepticon-6,1.45,wiri,earthquake,wiri
clics-doculect-183-79,maor1246-std,concepticon-6,1.45,ŋapu,earthquake,NGapu
clics-doculect-183-80,maor1246-std,concepticon-1732,1.51,raŋi,sky,raNGi
clics-doculect-183-81,maor1246-std,concepticon-1343,1.52,raa,sun,raa
clics-doculect-183-82,maor1246-std,concepticon-1313,1.53,marama,moon,marama
clics-doculect-183-83,maor1246-std,concepticon-1430,1.54,whetuu,star,whetuu
clics-doculect-183-84,maor1246-std,concepticon-1654,1.55,uira,lightning,uira
clics-doculect-183-85,maor1246-std,concepticon-1654,1.55,kanapu,lightning,kanapu
clics-doculect-183-86,maor1246-std,concepticon-1654,1.55,hiko,lightning,hiko
clics-doculect-183-87,maor1246-std,concepticon-1150,1.56,whatitiri,thunder,whatitiri
