ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-180-1,mapu1245-std,concepticon-965,1.1,mapu,world,mapu
clics-doculect-180-2,mapu1245-std,concepticon-626,1.21,mapu,"earth, land",mapu
clics-doculect-180-3,mapu1245-std,concepticon-1228,1.212,mapu,"earth=ground, soil",mapu
clics-doculect-180-4,mapu1245-std,concepticon-2,1.213,ṭ͡ʀufɨr,dust,tRufir
clics-doculect-180-5,mapu1245-std,concepticon-640,1.214,foṭ͡ʀa,mud,fotRa
clics-doculect-180-6,mapu1245-std,concepticon-671,1.215,kuyɨm,sand,kuyim
clics-doculect-180-7,mapu1245-std,concepticon-2118,1.22,wiŋkulmapu,"mountain, hill",wiNGkulmapu
clics-doculect-180-8,mapu1245-std,concepticon-618,1.222,lil,"cliff, precipice",lil
clics-doculect-180-9,mapu1245-std,concepticon-652,1.23,keṭ͡ʀawe,"plain, field",ketRawe
clics-doculect-180-10,mapu1245-std,concepticon-921,1.24,lʸoθkomapu,valley,lyothkomapu
clics-doculect-180-11,mapu1245-std,concepticon-622,1.25,čaŋkiɲ,island,caNGkin
clics-doculect-180-12,mapu1245-std,concepticon-622,1.25,wapi,island,wapi
clics-doculect-180-13,mapu1245-std,concepticon-166,1.26,fɨtamapu,mainland,fitamapu
clics-doculect-180-14,mapu1245-std,concepticon-113,1.27,l̯afken̯mapu,shore,lafkenmapu
clics-doculect-180-15,mapu1245-std,concepticon-1155,1.28,lolo,cave,lolo
clics-doculect-180-16,mapu1245-std,concepticon-948,1.31,ko,water,ko
clics-doculect-180-17,mapu1245-std,concepticon-1474,1.32,l̯afken̯,sea,lafken
clics-doculect-180-18,mapu1245-std,concepticon-258,1.322,tɨŋ,calm (of sea),tiNG
clics-doculect-180-19,mapu1245-std,concepticon-259,1.323,ilʸkun,rough (of sea),ilykun
clics-doculect-180-20,mapu1245-std,concepticon-1768,1.324,čiway,foam,ciway
clics-doculect-180-21,mapu1245-std,concepticon-645,1.329,l̯afken̯,ocean,lafken
clics-doculect-180-22,mapu1245-std,concepticon-624,1.33,l̯afken̯,lake,lafken
clics-doculect-180-23,mapu1245-std,concepticon-663,1.34,ŋionl̯afken̯,"gulf, bay",NGionlafken
clics-doculect-180-24,mapu1245-std,concepticon-623,1.341,lawna,lagoon,lawna
clics-doculect-180-25,mapu1245-std,concepticon-660,1.342,lil,reef,lil
clics-doculect-180-26,mapu1245-std,concepticon-1662,1.343,ṭ͡ʀoymapu,"headland, point",tRoymapu
clics-doculect-180-27,mapu1245-std,concepticon-978,1.35,reu,wave,reu
clics-doculect-180-28,mapu1245-std,concepticon-891,1.352,ṭ͡ʀipako,tide,tRipako
clics-doculect-180-29,mapu1245-std,concepticon-1026,1.353,arkenko,lowtide,arkenko
clics-doculect-180-30,mapu1245-std,concepticon-666,1.36,l̯ewfɨ,"river, stream, brook",lewfi
clics-doculect-180-31,mapu1245-std,concepticon-1982,1.362,pewɨl̯,whirlpool,pewil
clics-doculect-180-32,mapu1245-std,concepticon-2144,1.37,rɨŋanko,"spring, well",riNGanko
clics-doculect-180-33,mapu1245-std,concepticon-1145,1.38,foṭ͡ʀantu,swamp,fotRantu
clics-doculect-180-34,mapu1245-std,concepticon-943,1.39,ṭ͡ʀayen,waterfall,tRayen
clics-doculect-180-35,mapu1245-std,concepticon-420,1.41,mawiθa,"woods, forest",mawitha
clics-doculect-180-38,mapu1245-std,concepticon-1803,1.43,mamɨlʸ,wood,mamily
clics-doculect-180-39,mapu1245-std,concepticon-2125,1.44,kura,"stone, rock",kura
clics-doculect-180-40,mapu1245-std,concepticon-6,1.45,nɨyɨn,earthquake,niyin
clics-doculect-180-41,mapu1245-std,concepticon-1732,1.51,wenu,sky,wenu
clics-doculect-180-42,mapu1245-std,concepticon-1343,1.52,an̯tɨ,sun,anti
clics-doculect-180-43,mapu1245-std,concepticon-1313,1.53,kɨyen̯,moon,kiyen
clics-doculect-180-44,mapu1245-std,concepticon-1430,1.54,waŋɨlen̯,star,waNGilen
clics-doculect-180-45,mapu1245-std,concepticon-1654,1.55,lʸɨfke,lightning,lyifke
clics-doculect-180-46,mapu1245-std,concepticon-1150,1.56,ṭ͡ʀalkan,thunder,tRalkan
clics-doculect-180-47,mapu1245-std,concepticon-2007,1.57,lʸɨfke,lightning (as striking),lyifke
clics-doculect-180-48,mapu1245-std,concepticon-858,1.58,kɨrɨftuku,storm,kiriftuku
clics-doculect-180-49,mapu1245-std,concepticon-1733,1.59,relmu,rainbow,relmu
clics-doculect-180-50,mapu1245-std,concepticon-630,1.61,pelom,light (noun),pelom
clics-doculect-180-51,mapu1245-std,concepticon-11,1.62,θumiɲ,darkness,thumin
clics-doculect-180-52,mapu1245-std,concepticon-1388,1.63,lʸawfeɲ,"shade, shadow",lyawfen
clics-doculect-180-53,mapu1245-std,concepticon-1977,1.64,ilwen,dew,ilwen
clics-doculect-180-54,mapu1245-std,concepticon-27,1.71,kɨrɨf,air,kirif
clics-doculect-180-55,mapu1245-std,concepticon-27,1.71,fiskɨ,air,fiski
clics-doculect-180-56,mapu1245-std,concepticon-960,1.72,kɨrɨf,wind,kirif
clics-doculect-180-57,mapu1245-std,concepticon-1489,1.73,ṭ͡ʀomɨ,cloud,tRomi
clics-doculect-180-58,mapu1245-std,concepticon-249,1.74,ṭ͡ʀukur,fog,tRukur
clics-doculect-180-59,mapu1245-std,concepticon-658,1.75,mawɨn̯,rain (noun),mawin
clics-doculect-180-60,mapu1245-std,concepticon-784,1.76,pire,snow (noun),pire
clics-doculect-180-61,mapu1245-std,concepticon-617,1.77,ṭ͡ʀaŋliɲ,ice,tRaNGlin
clics-doculect-180-62,mapu1245-std,concepticon-952,1.78,an̯tɨ,weather,anti
clics-doculect-180-63,mapu1245-std,concepticon-952,1.78,kɨmean̯tɨ,weather,kimeanti
clics-doculect-180-64,mapu1245-std,concepticon-221,1.81,kɨṭ͡ʀal,fire,kitRal
clics-doculect-180-65,mapu1245-std,concepticon-889,1.82,lulul,flame (noun),lulul
clics-doculect-180-66,mapu1245-std,concepticon-778,1.83,fiṭ͡ʀun,smoke (noun),fitRun
clics-doculect-180-67,mapu1245-std,concepticon-646,1.84,ṭ͡ʀufken,ashes,tRufken
clics-doculect-180-68,mapu1245-std,concepticon-67,1.841,awiɲkɨṭ͡ʀal,embers,awinkitRal
clics-doculect-180-69,mapu1245-std,concepticon-141,1.851,lupɨmtuku,burn (vb trans),lupimtuku
clics-doculect-180-70,mapu1245-std,concepticon-1428,1.852,lɨpɨmɨwɨ,burn (vb intrans),lipimiwi
clics-doculect-180-71,mapu1245-std,concepticon-737,1.86,uyɨmɨ,"light, kindle, ignite",uyimi
clics-doculect-180-72,mapu1245-std,concepticon-127,1.861,čoŋɨmɨ,extinguish,coNGimi
clics-doculect-180-73,mapu1245-std,concepticon-10,1.88,mamɨlʸ,firewood,mamily
clics-doculect-180-74,mapu1245-std,concepticon-683,2.1,če,"person, human being",ce
clics-doculect-180-75,mapu1245-std,concepticon-1554,2.21,wenṭ͡ʀu,man (vs. woman),wentRu
clics-doculect-180-76,mapu1245-std,concepticon-962,2.22,θomo,woman,thomo
clics-doculect-180-77,mapu1245-std,concepticon-1553,2.23,wenṭ͡ʀu,male,wentRu
clics-doculect-180-78,mapu1245-std,concepticon-1553,2.23,alka,male,alka
clics-doculect-180-79,mapu1245-std,concepticon-1551,2.24,θomo,female,thomo
clics-doculect-180-80,mapu1245-std,concepticon-1366,2.25,pičiwenṭ͡ʀu,boy,piciwentRu
clics-doculect-180-81,mapu1245-std,concepticon-76,2.251,weče,young man (adolescent),wece
clics-doculect-180-82,mapu1245-std,concepticon-1646,2.26,pičiθomo,girl,picithomo
clics-doculect-180-83,mapu1245-std,concepticon-77,2.261,ɨlča,young woman (adolescent),ilca
clics-doculect-180-84,mapu1245-std,concepticon-1304,2.27,pičiče,child,picice
clics-doculect-180-85,mapu1245-std,concepticon-1289,2.28,pičiče,"infant, baby",picice
clics-doculect-180-86,mapu1245-std,concepticon-1289,2.28,lʸusu,"infant, baby",lyusu
clics-doculect-180-87,mapu1245-std,concepticon-1200,2.31,fɨta,husband,fita
clics-doculect-180-88,mapu1245-std,concepticon-1200,2.31,wenṭ͡ʀu,husband,wentRu
clics-doculect-180-89,mapu1245-std,concepticon-1199,2.32,kure,wife,kure
clics-doculect-180-90,mapu1245-std,concepticon-1199,2.32,θomo,wife,thomo
clics-doculect-180-91,mapu1245-std,concepticon-203,2.33,fɨtaŋe,marry,fitaNGe
