ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-77-1,moco1246-std,concepticon-965,1.1,ʔlawa,world,?lawa
clics-doculect-77-2,moco1246-std,concepticon-626,1.21,ʔlawa,"earth, land",?lawa
clics-doculect-77-3,moco1246-std,concepticon-1228,1.212,ʔlawa,"earth=ground, soil",?lawa
clics-doculect-77-4,moco1246-std,concepticon-2,1.213,namoʁoyaʁa,dust,namoRoyaRa
clics-doculect-77-5,moco1246-std,concepticon-640,1.214,nšaaʁa,mud,nsaaRa
clics-doculect-77-6,moco1246-std,concepticon-671,1.215,loʔwaʁanaʁa,sand,lo?waRanaRa
clics-doculect-77-7,moco1246-std,concepticon-2118,1.22,soʁonaʁa,"mountain, hill",soRonaRa
clics-doculect-77-8,moco1246-std,concepticon-618,1.222,tokot,"cliff, precipice",tokot
clics-doculect-77-9,moco1246-std,concepticon-652,1.23,noʔweenaʁa,"plain, field",no?weenaRa
clics-doculect-77-10,moco1246-std,concepticon-921,1.24,nkaʔmege,valley,nka?mege
clics-doculect-77-11,moco1246-std,concepticon-622,1.25,delek,island,delek
clics-doculect-77-12,moco1246-std,concepticon-113,1.27,lemanaʁa,shore,lemanaRa
clics-doculect-77-13,moco1246-std,concepticon-1155,1.28,lawak,cave,lawak
clics-doculect-77-14,moco1246-std,concepticon-948,1.31,waʁayaḳ,water,waRayak
clics-doculect-77-15,moco1246-std,concepticon-1474,1.32,waaʁai,sea,waaRai
clics-doculect-77-16,moco1246-std,concepticon-258,1.322,naǰaaričigiɲi,calm (of sea),najaaricigini
clics-doculect-77-17,moco1246-std,concepticon-1768,1.324,roʔi,foam,ro?i
clics-doculect-77-18,moco1246-std,concepticon-645,1.329,waaʁai,ocean,waaRai
clics-doculect-77-19,moco1246-std,concepticon-624,1.33,latogotlateʔogeʔ,lake,latogotlate?oge?
clics-doculect-77-20,moco1246-std,concepticon-623,1.341,latogot,lagoon,latogot
clics-doculect-77-21,moco1246-std,concepticon-978,1.35,loʔpaʁa,wave,lo?paRa
clics-doculect-77-22,moco1246-std,concepticon-666,1.36,lačiwge,"river, stream, brook",laciwge
clics-doculect-77-23,moco1246-std,concepticon-2144,1.37,liʔlʸiwioʁoki,"spring, well",li?lyiwioRoki
clics-doculect-77-24,moco1246-std,concepticon-1145,1.38,ḳaiʔim,swamp,kai?im
clics-doculect-77-25,moco1246-std,concepticon-420,1.41,ʔooči,"woods, forest",?ooci
clics-doculect-77-27,moco1246-std,concepticon-1803,1.43,ḳoʔpaḳ,wood,ko?pak
clics-doculect-77-28,moco1246-std,concepticon-2125,1.44,ḳaʔ,"stone, rock",ka?
clics-doculect-77-29,moco1246-std,concepticon-6,1.45,iʔloʁolnaʔlawa,earthquake,i?loRolna?lawa
clics-doculect-77-30,moco1246-std,concepticon-1732,1.51,pigim,sky,pigim
clics-doculect-77-31,moco1246-std,concepticon-1343,1.52,raʔaasa,sun,ra?aasa
clics-doculect-77-32,moco1246-std,concepticon-1313,1.53,širaigo,moon,siraigo
clics-doculect-77-33,moco1246-std,concepticon-1430,1.54,waḳahɲi,star,wakahni
clics-doculect-77-34,moco1246-std,concepticon-1654,1.55,nḳaiʔlegaʁa,lightning,nkai?legaRa
clics-doculect-77-35,moco1246-std,concepticon-1150,1.56,nalataʁa,thunder,nalataRa
clics-doculect-77-36,moco1246-std,concepticon-2007,1.57,nḳaiʔlegaʁa,lightning (as striking),nkai?legaRa
clics-doculect-77-37,moco1246-std,concepticon-858,1.58,nonotlodegaʁat,storm,nonotlodegaRat
clics-doculect-77-38,moco1246-std,concepticon-1733,1.59,ḳoɲiʔge,rainbow,koni?ge
clics-doculect-77-39,moco1246-std,concepticon-630,1.61,reʔoḳohlek,light (noun),re?okohlek
clics-doculect-77-40,moco1246-std,concepticon-11,1.62,napalaʁa,darkness,napalaRa
clics-doculect-77-41,moco1246-std,concepticon-1388,1.63,naʔal,"shade, shadow",na?al
clics-doculect-77-42,moco1246-std,concepticon-1977,1.64,ʔyaʔ,dew,?ya?
clics-doculect-77-43,moco1246-std,concepticon-27,1.71,nonot,air,nonot
clics-doculect-77-44,moco1246-std,concepticon-960,1.72,nonot,wind,nonot
clics-doculect-77-45,moco1246-std,concepticon-1489,1.73,nawegelek,cloud,nawegelek
clics-doculect-77-46,moco1246-std,concepticon-249,1.74,neweʔ,fog,newe?
clics-doculect-77-47,moco1246-std,concepticon-658,1.75,yaʁat,rain (noun),yaRat
clics-doculect-77-48,moco1246-std,concepticon-784,1.76,loɲi,snow (noun),loni
clics-doculect-77-49,moco1246-std,concepticon-617,1.77,loɲi,ice,loni
clics-doculect-77-50,moco1246-std,concepticon-221,1.81,norek,fire,norek
clics-doculect-77-51,moco1246-std,concepticon-889,1.82,lawaḳ,flame (noun),lawak
clics-doculect-77-52,moco1246-std,concepticon-778,1.83,nesalaʁaʔ,smoke (noun),nesalaRa?
clics-doculect-77-53,moco1246-std,concepticon-646,1.84,lo,ashes,lo
clics-doculect-77-54,moco1246-std,concepticon-67,1.841,poḳo,embers,poko
clics-doculect-77-55,moco1246-std,concepticon-141,1.851,yawigaʁat,burn (vb trans),yawigaRat
clics-doculect-77-56,moco1246-std,concepticon-1428,1.852,yawik,burn (vb intrans),yawik
clics-doculect-77-57,moco1246-std,concepticon-737,1.86,nawigaʁatek,"light, kindle, ignite",nawigaRatek
clics-doculect-77-58,moco1246-std,concepticon-127,1.861,yoʔmat,extinguish,yo?mat
clics-doculect-77-59,moco1246-std,concepticon-1133,1.87,nowookalek,match (noun),nowookalek
clics-doculect-77-60,moco1246-std,concepticon-10,1.88,ḳoʔpaḳ,firewood,ko?pak
clics-doculect-77-61,moco1246-std,concepticon-1188,1.89,poḳo,charcoal,poko
clics-doculect-77-62,moco1246-std,concepticon-683,2.1,ḳomleʔek,"person, human being",komle?ek
clics-doculect-77-63,moco1246-std,concepticon-1554,2.21,yale,man (vs. woman),yale
clics-doculect-77-64,moco1246-std,concepticon-962,2.22,ʔaalo,woman,?aalo
clics-doculect-77-65,moco1246-std,concepticon-1553,2.23,yale,male,yale
clics-doculect-77-66,moco1246-std,concepticon-1551,2.24,ʔaalo,female,?aalo
clics-doculect-77-67,moco1246-std,concepticon-1366,2.25,noktokiʔ,boy,noktoki?
clics-doculect-77-68,moco1246-std,concepticon-76,2.251,neʔnek,young man (adolescent),ne?nek
clics-doculect-77-69,moco1246-std,concepticon-1646,2.26,noktoʔlʸiʔ,girl,nokto?lyi?
clics-doculect-77-70,moco1246-std,concepticon-77,2.261,neketegaʁai,young woman (adolescent),neketegaRai
clics-doculect-77-71,moco1246-std,concepticon-1304,2.27,noktokiʔ,child,noktoki?
clics-doculect-77-72,moco1246-std,concepticon-1289,2.28,noktokiʔ,"infant, baby",noktoki?
clics-doculect-77-73,moco1246-std,concepticon-1200,2.31,lowa,husband,lowa
clics-doculect-77-74,moco1246-std,concepticon-1199,2.32,lowa,wife,lowa
clics-doculect-77-75,moco1246-std,concepticon-203,2.33,ʔon,marry,?on
clics-doculect-77-76,moco1246-std,concepticon-1259,2.34,loʔnaʁak,"marriage, wedding",lo?naRak
clics-doculect-77-77,moco1246-std,concepticon-1217,2.35,letaʔa,father,leta?a
clics-doculect-77-78,moco1246-std,concepticon-1216,2.36,lateʔe,mother,late?e
clics-doculect-77-79,moco1246-std,concepticon-505,2.37,letaʔal,parents,leta?al
clics-doculect-77-80,moco1246-std,concepticon-1620,2.41,lʸaalek,son,lyaalek
clics-doculect-77-81,moco1246-std,concepticon-1357,2.42,lʸaale,daughter,lyaale
clics-doculect-77-82,moco1246-std,concepticon-1801,2.43,lʸaalḳaipi,offspring (son or daughter),lyaalkaipi
clics-doculect-77-83,moco1246-std,concepticon-1262,2.44,lḳaya,brother,lkaya
clics-doculect-77-84,moco1246-std,concepticon-1759,2.444,lopiiči,older brother,lopiici
clics-doculect-77-85,moco1246-std,concepticon-1760,2.445,lanoḳ,younger brother,lanok
clics-doculect-77-86,moco1246-std,concepticon-1263,2.45,lḳaya,sister,lkaya
clics-doculect-77-87,moco1246-std,concepticon-1758,2.454,lopilete,older sister,lopilete
clics-doculect-77-88,moco1246-std,concepticon-1761,2.455,lanoʔo,younger sister,lano?o
clics-doculect-77-89,moco1246-std,concepticon-1640,2.456,lḳaya,sibling,lkaya
clics-doculect-77-90,moco1246-std,concepticon-1005,2.458,waaǰaʔ,twins,waaja?
