ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-52-1,mose1249-std,concepticon-965,1.1,bæ'dʸe,world,bae'dye
clics-doculect-52-2,mose1249-std,concepticon-626,1.21,'hak,"earth, land",'hak
clics-doculect-52-3,mose1249-std,concepticon-1228,1.212,yuči'haʔ,"earth=ground, soil",yuci'ha?
clics-doculect-52-4,mose1249-std,concepticon-1228,1.212,'hak,"earth=ground, soil",'hak
clics-doculect-52-5,mose1249-std,concepticon-2,1.213,pœ'dai,dust,poe'dai
clics-doculect-52-6,mose1249-std,concepticon-2,1.213,'hak,dust,'hak
clics-doculect-52-7,mose1249-std,concepticon-640,1.214,bo'hka,mud,bo'hka
clics-doculect-52-8,mose1249-std,concepticon-671,1.215,ha'maiɲ,sand,ha'main
clics-doculect-52-9,mose1249-std,concepticon-2118,1.22,mœ'kæ,"mountain, hill",moe'kae
clics-doculect-52-10,mose1249-std,concepticon-618,1.222,c̷æn,"cliff, precipice",caen
clics-doculect-52-11,mose1249-std,concepticon-652,1.23,tah'ɲi,"plain, field",tah'ni
clics-doculect-52-12,mose1249-std,concepticon-652,1.23,bæɲi'ka,"plain, field",baeni'ka
clics-doculect-52-13,mose1249-std,concepticon-921,1.24,hinak'kaiɲ,valley,hinak'kain
clics-doculect-52-14,mose1249-std,concepticon-622,1.25,pu'ču,island,pu'cu
clics-doculect-52-15,mose1249-std,concepticon-113,1.27,ha'maiɲ,shore,ha'main
clics-doculect-52-16,mose1249-std,concepticon-1155,1.28,'dtu,cave,'dtu
clics-doculect-52-17,mose1249-std,concepticon-948,1.31,uh'ɲi,water,uh'ni
clics-doculect-52-18,mose1249-std,concepticon-623,1.341,c̷i'ke,lagoon,ci'ke
clics-doculect-52-19,mose1249-std,concepticon-666,1.36,uh'ɲi,"river, stream, brook",uh'ni
clics-doculect-52-20,mose1249-std,concepticon-2144,1.37,tko,"spring, well",tko
clics-doculect-52-21,mose1249-std,concepticon-420,1.41,de'reʔ,"woods, forest",de're?
clics-doculect-52-23,mose1249-std,concepticon-2125,1.44,'mix,"stone, rock",'mix
clics-doculect-52-24,mose1249-std,concepticon-1732,1.51,mãye'dʸeʔ,sky,maye'dye?
clics-doculect-52-25,mose1249-std,concepticon-1343,1.52,'c̷œɲ,sun,'coen
clics-doculect-52-26,mose1249-std,concepticon-1313,1.53,'iwa,moon,'iwa
clics-doculect-52-27,mose1249-std,concepticon-1430,1.54,õrõ'taʔ,star,oro'ta?
clics-doculect-52-28,mose1249-std,concepticon-1654,1.55,'perere,lightning,'perere
clics-doculect-52-29,mose1249-std,concepticon-1150,1.56,behna'yi,thunder,behna'yi
clics-doculect-52-30,mose1249-std,concepticon-2007,1.57,'perere,lightning (as striking),'perere
clics-doculect-52-31,mose1249-std,concepticon-858,1.58,'perere,storm,'perere
clics-doculect-52-32,mose1249-std,concepticon-1733,1.59,opi'tu,rainbow,opi'tu
clics-doculect-52-33,mose1249-std,concepticon-630,1.61,õrõ'taʔ,light (noun),oro'ta?
clics-doculect-52-34,mose1249-std,concepticon-11,1.62,yomoiʔ'ra,darkness,yomoi?'ra
clics-doculect-52-35,mose1249-std,concepticon-11,1.62,šo'kam,darkness,so'kam
clics-doculect-52-36,mose1249-std,concepticon-1388,1.63,o'ɲom,"shade, shadow",o'nom
clics-doculect-52-37,mose1249-std,concepticon-1977,1.64,soɲoh'nofibihbi'yeʔ,dew,sonoh'nofibihbi'ye?
clics-doculect-52-38,mose1249-std,concepticon-27,1.71,tkiʔ'ma,air,tki?'ma
clics-doculect-52-39,mose1249-std,concepticon-960,1.72,kiʔ'ma,wind,ki?'ma
clics-doculect-52-40,mose1249-std,concepticon-1489,1.73,erubu'ye,cloud,erubu'ye
clics-doculect-52-41,mose1249-std,concepticon-249,1.74,yikbaba'dʸeʔ,fog,yikbaba'dye?
clics-doculect-52-42,mose1249-std,concepticon-658,1.75,a'ɲe,rain (noun),a'ne
clics-doculect-52-43,mose1249-std,concepticon-784,1.76,yikbaba'dʸeʔ,snow (noun),yikbaba'dye?
clics-doculect-52-44,mose1249-std,concepticon-617,1.77,c̷ãf'wa,ice,caf'wa
clics-doculect-52-45,mose1249-std,concepticon-952,1.78,'hœndsi,weather,'hoendsi
clics-doculect-52-46,mose1249-std,concepticon-221,1.81,'c̷ih,fire,'cih
clics-doculect-52-47,mose1249-std,concepticon-889,1.82,yenamki'c̷ih,flame (noun),yenamki'cih
clics-doculect-52-48,mose1249-std,concepticon-889,1.82,c̷ihyenam'ki,flame (noun),cihyenam'ki
clics-doculect-52-49,mose1249-std,concepticon-778,1.83,hiʔi'sa,smoke (noun),hi?i'sa
clics-doculect-52-50,mose1249-std,concepticon-646,1.84,čim,ashes,cim
