ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-6-1,movi1243-std,concepticon-1228,1.212,ɬakam̉ɓa,"earth=ground, soil",lakamba
clics-doculect-6-2,movi1243-std,concepticon-2,1.213,βuskʷa,dust,buskwa
clics-doculect-6-3,movi1243-std,concepticon-640,1.214,ɓuɓun̉kʷa,mud,bubunkwa
clics-doculect-6-4,movi1243-std,concepticon-671,1.215,wiʔwis,sand,wi?wis
clics-doculect-6-5,movi1243-std,concepticon-2118,1.22,ɗuɗuʔkʷa,"mountain, hill",dudu?kwa
clics-doculect-6-6,movi1243-std,concepticon-618,1.222,ɬaβaɬkʷa,"cliff, precipice",labalkwa
clics-doculect-6-7,movi1243-std,concepticon-652,1.23,ɓen̉ʔi,"plain, field",ben?i
clics-doculect-6-8,movi1243-std,concepticon-622,1.25,paiɬim,island,pailim
clics-doculect-6-9,movi1243-std,concepticon-113,1.27,ɓihra,shore,bihra
clics-doculect-6-10,movi1243-std,concepticon-1155,1.28,siɬkʷa,cave,silkwa
clics-doculect-6-11,movi1243-std,concepticon-948,1.31,tomi,water,tomi
clics-doculect-6-12,movi1243-std,concepticon-258,1.322,tahpoh,calm (of sea),tahpoh
clics-doculect-6-13,movi1243-std,concepticon-1768,1.324,taβakʷa,foam,tabakwa
clics-doculect-6-14,movi1243-std,concepticon-624,1.33,poulo,lake,poulo
clics-doculect-6-15,movi1243-std,concepticon-663,1.34,walačo,"gulf, bay",walaco
clics-doculect-6-16,movi1243-std,concepticon-978,1.35,papauɬa,wave,papaula
clics-doculect-6-17,movi1243-std,concepticon-1026,1.353,osniwanas,lowtide,osniwanas
clics-doculect-6-18,movi1243-std,concepticon-666,1.36,in̉wa,"river, stream, brook",inwa
clics-doculect-6-19,movi1243-std,concepticon-2144,1.37,luβe,"spring, well",lube
clics-doculect-6-20,movi1243-std,concepticon-1145,1.38,ɓeteɬkʷa,swamp,betelkwa
clics-doculect-6-21,movi1243-std,concepticon-420,1.41,čaʔmo,"woods, forest",ca?mo
clics-doculect-6-23,movi1243-std,concepticon-1803,1.43,koʔo,wood,ko?o
clics-doculect-6-24,movi1243-std,concepticon-2125,1.44,čampa,"stone, rock",campa
clics-doculect-6-25,movi1243-std,concepticon-1732,1.51,ɓen̉ra,sky,benra
clics-doculect-6-26,movi1243-std,concepticon-1343,1.52,tinno,sun,tinno
clics-doculect-6-27,movi1243-std,concepticon-1313,1.53,yehčo,moon,yehco
clics-doculect-6-28,movi1243-std,concepticon-1430,1.54,ɗiɗinkʷa,star,didinkwa
clics-doculect-6-29,movi1243-std,concepticon-1654,1.55,yampa,lightning,yampa
clics-doculect-6-30,movi1243-std,concepticon-1150,1.56,wurulčeɬ,thunder,wurulcel
clics-doculect-6-31,movi1243-std,concepticon-2007,1.57,tapelčeɬ,lightning (as striking),tapelcel
clics-doculect-6-32,movi1243-std,concepticon-858,1.58,luʔwaʔa,storm,lu?wa?a
clics-doculect-6-33,movi1243-std,concepticon-1733,1.59,koʔočaʔa,rainbow,ko?oca?a
clics-doculect-6-34,movi1243-std,concepticon-630,1.61,helra,light (noun),helra
clics-doculect-6-35,movi1243-std,concepticon-11,1.62,payaʔni,darkness,paya?ni
clics-doculect-6-36,movi1243-std,concepticon-1388,1.63,laɓayas,"shade, shadow",labayas
clics-doculect-6-37,movi1243-std,concepticon-1977,1.64,ɓeɬlo,dew,bello
clics-doculect-6-38,movi1243-std,concepticon-960,1.72,poumuh,wind,poumuh
clics-doculect-6-39,movi1243-std,concepticon-1489,1.73,ɓeyas,cloud,beyas
clics-doculect-6-40,movi1243-std,concepticon-249,1.74,βuɓuhni,fog,bubuhni
clics-doculect-6-41,movi1243-std,concepticon-658,1.75,luʔluʔu,rain (noun),lu?lu?u
clics-doculect-6-42,movi1243-std,concepticon-221,1.81,βeʔe,fire,be?e
clics-doculect-6-43,movi1243-std,concepticon-889,1.82,βeʔe,flame (noun),be?e
clics-doculect-6-44,movi1243-std,concepticon-778,1.83,ɓuhru,smoke (noun),buhru
clics-doculect-6-45,movi1243-std,concepticon-646,1.84,βeʔeβus,ashes,be?ebus
clics-doculect-6-46,movi1243-std,concepticon-67,1.841,ɗelakʷa,embers,delakwa
clics-doculect-6-47,movi1243-std,concepticon-141,1.851,isna,burn (vb trans),isna
clics-doculect-6-48,movi1243-std,concepticon-1428,1.852,taleles,burn (vb intrans),taleles
clics-doculect-6-49,movi1243-std,concepticon-737,1.86,ɓatales,"light, kindle, ignite",batales
clics-doculect-6-50,movi1243-std,concepticon-127,1.861,rosna,extinguish,rosna
clics-doculect-6-51,movi1243-std,concepticon-1133,1.87,pahwela,match (noun),pahwela
clics-doculect-6-52,movi1243-std,concepticon-10,1.88,koʔo,firewood,ko?o
clics-doculect-6-53,movi1243-std,concepticon-1188,1.89,ɗelakʷa,charcoal,delakwa
clics-doculect-6-54,movi1243-std,concepticon-683,2.1,huyeni,"person, human being",huyeni
clics-doculect-6-55,movi1243-std,concepticon-1554,2.21,itilakʷa,man (vs. woman),itilakwa
clics-doculect-6-56,movi1243-std,concepticon-962,2.22,kʷeya,woman,kweya
clics-doculect-6-57,movi1243-std,concepticon-1366,2.25,ɗičiye,boy,diciye
clics-doculect-6-58,movi1243-std,concepticon-76,2.251,oβeniwankʷa,young man (adolescent),obeniwankwa
clics-doculect-6-59,movi1243-std,concepticon-1646,2.26,ɗičiye,girl,diciye
clics-doculect-6-60,movi1243-std,concepticon-77,2.261,tolkosya,young woman (adolescent),tolkosya
clics-doculect-6-61,movi1243-std,concepticon-1304,2.27,ɗičiye,child,diciye
clics-doculect-6-62,movi1243-std,concepticon-1289,2.28,tamiɓa,"infant, baby",tamiba
clics-doculect-6-63,movi1243-std,concepticon-1200,2.31,alwah,husband,alwah
clics-doculect-6-64,movi1243-std,concepticon-1199,2.32,alwah,wife,alwah
clics-doculect-6-65,movi1243-std,concepticon-203,2.33,naye,marry,naye
clics-doculect-6-66,movi1243-std,concepticon-1259,2.34,nayewanas,"marriage, wedding",nayewanas
clics-doculect-6-67,movi1243-std,concepticon-1217,2.35,paʔa,father,pa?a
clics-doculect-6-68,movi1243-std,concepticon-1216,2.36,maʔa,mother,ma?a
clics-doculect-6-69,movi1243-std,concepticon-505,2.37,ɓihahawa,parents,bihahawa
clics-doculect-6-70,movi1243-std,concepticon-424,2.38,nayewanne,married man,nayewanne
clics-doculect-6-71,movi1243-std,concepticon-426,2.39,nayewanne,married woman,nayewanne
clics-doculect-6-72,movi1243-std,concepticon-1620,2.41,mahni,son,mahni
clics-doculect-6-73,movi1243-std,concepticon-1357,2.42,mahni,daughter,mahni
clics-doculect-6-74,movi1243-std,concepticon-1801,2.43,mahni,offspring (son or daughter),mahni
clics-doculect-6-75,movi1243-std,concepticon-1262,2.44,allakʷa,brother,allakwa
clics-doculect-6-76,movi1243-std,concepticon-1759,2.444,akai,older brother,akai
clics-doculect-6-77,movi1243-std,concepticon-1760,2.445,ana,younger brother,ana
clics-doculect-6-78,movi1243-std,concepticon-1263,2.45,alkʷeya,sister,alkweya
clics-doculect-6-79,movi1243-std,concepticon-1758,2.454,akai,older sister,akai
clics-doculect-6-80,movi1243-std,concepticon-1761,2.455,ana,younger sister,ana
clics-doculect-6-81,movi1243-std,concepticon-1640,2.456,allen,sibling,allen
clics-doculect-6-82,movi1243-std,concepticon-1383,2.46,nonoʔo,grandfather,nono?o
clics-doculect-6-83,movi1243-std,concepticon-406,2.461,ɓitoʔo,old man,bito?o
clics-doculect-6-84,movi1243-std,concepticon-1496,2.47,nonoʔo,grandmother,nono?o
clics-doculect-6-85,movi1243-std,concepticon-907,2.471,ɓitoʔo,old woman,bito?o
clics-doculect-6-86,movi1243-std,concepticon-1618,2.48,onačo,grandson,onaco
clics-doculect-6-87,movi1243-std,concepticon-1619,2.49,onačo,granddaughter,onaco
clics-doculect-6-88,movi1243-std,concepticon-1327,2.51,yayaʔa,uncle,yaya?a
clics-doculect-6-89,movi1243-std,concepticon-1984,2.511,yayaʔa,mother's brother,yaya?a
clics-doculect-6-90,movi1243-std,concepticon-1985,2.512,yayaʔa,father's brother,yaya?a
clics-doculect-6-91,movi1243-std,concepticon-1272,2.52,aiku,aunt,aiku
clics-doculect-6-92,movi1243-std,concepticon-171,2.521,aiku,mother's sister,aiku
clics-doculect-6-93,movi1243-std,concepticon-170,2.522,aiku,father's sister,aiku
clics-doculect-6-94,movi1243-std,concepticon-1063,2.53,yanikai,nephew,yanikai
clics-doculect-6-95,movi1243-std,concepticon-1642,2.54,yanikai,niece,yanikai
clics-doculect-6-96,movi1243-std,concepticon-1669,2.56,heiɬe,ancestors,heile
clics-doculect-6-97,movi1243-std,concepticon-490,2.57,mahni,descendants,mahni
clics-doculect-6-98,movi1243-std,concepticon-2255,2.61,ulčaɬ,father-in-law (of a man),ulcal
clics-doculect-6-99,movi1243-std,concepticon-2254,2.611,ulčaɬ,father-in-law (of a woman),ulcal
clics-doculect-6-100,movi1243-std,concepticon-2256,2.62,ulčaɬ,mother-in-law (of a man),ulcal
clics-doculect-6-101,movi1243-std,concepticon-2257,2.621,ulčaɬ,mother-in-law (of a woman),ulcal
clics-doculect-6-102,movi1243-std,concepticon-2267,2.63,ulčaɬ,son-in-law (of a man),ulcal
clics-doculect-6-103,movi1243-std,concepticon-2266,2.631,ulčaɬ,son-in-law (of a woman),ulcal
clics-doculect-6-104,movi1243-std,concepticon-2265,2.64,ulčaɬ,daughter-in-law (of a man),ulcal
clics-doculect-6-105,movi1243-std,concepticon-2264,2.641,ul�aɬ,daughter-in-law (of a woman),ulal
clics-doculect-6-106,movi1243-std,concepticon-1149,2.75,ɓatayah,orphan,batayah
clics-doculect-6-107,movi1243-std,concepticon-1756,2.76,kainiɓeɬ,widow,kainibel
clics-doculect-6-108,movi1243-std,concepticon-1981,2.77,kainiɓeɬ,widower,kainibel
clics-doculect-6-109,movi1243-std,concepticon-1644,2.81,alkakaye,"relatives, kinsmen",alkakaye
clics-doculect-6-110,movi1243-std,concepticon-1209,2.91,inɬa,I,inla
clics-doculect-6-111,movi1243-std,concepticon-1215,2.92,ulkʷan̉,you (singular),ulkwan
clics-doculect-6-112,movi1243-std,concepticon-262,2.93,usko,he/she/it,usko
clics-doculect-6-113,movi1243-std,concepticon-262,2.93,isne,he/she/it,isne
clics-doculect-6-114,movi1243-std,concepticon-262,2.93,asko,he/she/it,asko
clics-doculect-6-115,movi1243-std,concepticon-1131,2.941,iɗe,we (inclusive),ide
clics-doculect-6-116,movi1243-std,concepticon-1130,2.942,iʔɬi,we (exclusive),i?li
clics-doculect-6-117,movi1243-std,concepticon-1213,2.95,iɓi,you (plural),ibi
clics-doculect-6-118,movi1243-std,concepticon-817,2.96,isko,they,isko
clics-doculect-6-119,movi1243-std,concepticon-619,3.11,popoikʷa,animal,popoikwa
clics-doculect-6-120,movi1243-std,concepticon-631,3.15,nonowampoi,livestock,nonowampoi
clics-doculect-6-121,movi1243-std,concepticon-263,3.18,βelapoipa,herdsman,belapoipa
clics-doculect-6-122,movi1243-std,concepticon-851,3.19,wanɗi,"stable, stall",wandi
clics-doculect-6-123,movi1243-std,concepticon-1348,3.32,kayoti,boar,kayoti
clics-doculect-6-124,movi1243-std,concepticon-1337,3.35,koči,pig,koci
clics-doculect-6-125,movi1243-std,concepticon-265,3.5,hoʔme,fowl,ho?me
