ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-4-1,nene1249-std,concepticon-965,1.1,tir̃ʔʔniy,world,tir??niy
clics-doculect-4-2,nene1249-std,concepticon-626,1.21,ya,"earth, land",ya
clics-doculect-4-3,nene1249-std,concepticon-1228,1.212,ya,"earth=ground, soil",ya
clics-doculect-4-4,nene1249-std,concepticon-1228,1.212,yaʔsʸar̃ʔʔ,"earth=ground, soil",ya?syar??
clics-doculect-4-5,nene1249-std,concepticon-2,1.213,sibʸa,dust,sibya
clics-doculect-4-6,nene1249-std,concepticon-640,1.214,war̃ʔʔ,mud,war??
clics-doculect-4-7,nene1249-std,concepticon-671,1.215,tab,sand,tab
clics-doculect-4-8,nene1249-std,concepticon-2118,1.22,xoy,"mountain, hill",xoy
clics-doculect-4-9,nene1249-std,concepticon-618,1.222,talʸbʸa,"cliff, precipice",talybya
clics-doculect-4-10,nene1249-std,concepticon-652,1.23,labta,"plain, field",labta
clics-doculect-4-11,nene1249-std,concepticon-921,1.24,labtaya,valley,labtaya
clics-doculect-4-12,nene1249-std,concepticon-921,1.24,moŋga,valley,moNGga
clics-doculect-4-13,nene1249-std,concepticon-622,1.25,ŋo,island,NGo
clics-doculect-4-14,nene1249-std,concepticon-166,1.26,ya,mainland,ya
clics-doculect-4-15,nene1249-std,concepticon-113,1.27,war̃,shore,war
clics-doculect-4-16,nene1249-std,concepticon-113,1.27,yawʔxɨy,shore,yaw?xiy
clics-doculect-4-17,nene1249-std,concepticon-113,1.27,yawʔxew,shore,yaw?xew
clics-doculect-4-18,nene1249-std,concepticon-948,1.31,iʔʔ,water,i??
clics-doculect-4-19,nene1249-std,concepticon-1474,1.32,yamʔ,sea,yam?
clics-doculect-4-20,nene1249-std,concepticon-258,1.322,xeʔʔnʸo,calm (of sea),xe??nyo
clics-doculect-4-21,nene1249-std,concepticon-1768,1.324,sisʸo,foam,sisyo
clics-doculect-4-22,nene1249-std,concepticon-645,1.329,itʸaŋabtʸenʸa,ocean,ityaNGabtyenya
clics-doculect-4-23,nene1249-std,concepticon-624,1.33,to,lake,to
clics-doculect-4-24,nene1249-std,concepticon-663,1.34,paxa,"gulf, bay",paxa
clics-doculect-4-25,nene1249-std,concepticon-660,1.342,idʔŋɨlɨtalʸbʸa,reef,id?NGilitalybya
clics-doculect-4-26,nene1249-std,concepticon-1662,1.343,salʸa,"headland, point",salya
clics-doculect-4-27,nene1249-std,concepticon-1662,1.343,mar̃a,"headland, point",mara
clics-doculect-4-28,nene1249-std,concepticon-978,1.35,xamba,wave,xamba
clics-doculect-4-29,nene1249-std,concepticon-891,1.352,yawʔiʔʔ,tide,yaw?i??
clics-doculect-4-30,nene1249-std,concepticon-891,1.352,xas,tide,xas
clics-doculect-4-31,nene1249-std,concepticon-1026,1.353,xas,lowtide,xas
clics-doculect-4-32,nene1249-std,concepticon-1026,1.353,idʔxaʔʔam,lowtide,id?xa??am
clics-doculect-4-33,nene1249-std,concepticon-613,1.354,yawʔiʔʔ,hightide,yaw?i??
clics-doculect-4-34,nene1249-std,concepticon-666,1.36,yaxa,"river, stream, brook",yaxa
clics-doculect-4-35,nene1249-std,concepticon-666,1.36,loxor̃ta,"river, stream, brook",loxorta
clics-doculect-4-36,nene1249-std,concepticon-1982,1.362,xe,whirlpool,xe
clics-doculect-4-37,nene1249-std,concepticon-1982,1.362,idʔsʸur̃na,whirlpool,id?syurna
clics-doculect-4-38,nene1249-std,concepticon-2144,1.37,loxor̃ta,"spring, well",loxorta
clics-doculect-4-39,nene1249-std,concepticon-2144,1.37,nʸer̃mʸa,"spring, well",nyermya
clics-doculect-4-40,nene1249-std,concepticon-1145,1.38,sabolʔʔ,swamp,sabol??
clics-doculect-4-41,nene1249-std,concepticon-1145,1.38,lɨmbad,swamp,limbad
clics-doculect-4-42,nene1249-std,concepticon-943,1.39,idʔpʸur̃nana,waterfall,id?pyurnana
clics-doculect-4-43,nene1249-std,concepticon-420,1.41,pedar̃a,"woods, forest",pedara
clics-doculect-4-45,nene1249-std,concepticon-1803,1.43,pʸa,wood,pya
clics-doculect-4-46,nene1249-std,concepticon-2125,1.44,pe,"stone, rock",pe
clics-doculect-4-47,nene1249-std,concepticon-6,1.45,yaʔlʸadʔʔma,earthquake,ya?lyad??ma
clics-doculect-4-48,nene1249-std,concepticon-1732,1.51,numʔ,sky,num?
clics-doculect-4-49,nene1249-std,concepticon-1343,1.52,xayer̃ʔʔ,sun,xayer??
clics-doculect-4-50,nene1249-std,concepticon-1313,1.53,ir̃iy,moon,iriy
clics-doculect-4-51,nene1249-std,concepticon-1313,1.53,ir̃ɨ,moon,iri
clics-doculect-4-52,nene1249-std,concepticon-1430,1.54,numgɨ,star,numgi
clics-doculect-4-53,nene1249-std,concepticon-1654,1.55,xeʔtu,lightning,xe?tu
clics-doculect-4-54,nene1249-std,concepticon-1150,1.56,xeʔ,thunder,xe?
clics-doculect-4-55,nene1249-std,concepticon-2007,1.57,xeʔtu,lightning (as striking),xe?tu
clics-doculect-4-56,nene1249-std,concepticon-858,1.58,satamʸer̃c̷ʸa,storm,satamyercya
clics-doculect-4-57,nene1249-std,concepticon-1733,1.59,nuwʔsʸoyar̃ʔʔ,rainbow,nuw?syoyar??
clics-doculect-4-58,nene1249-std,concepticon-1733,1.59,nuwʔpanu,rainbow,nuw?panu
clics-doculect-4-59,nene1249-std,concepticon-630,1.61,yalʸa,light (noun),yalya
clics-doculect-4-60,nene1249-std,concepticon-11,1.62,pewdʸa,darkness,pewdya
clics-doculect-4-61,nene1249-std,concepticon-1388,1.63,tid,"shade, shadow",tid
clics-doculect-4-62,nene1249-std,concepticon-1977,1.64,yabta,dew,yabta
clics-doculect-4-63,nene1249-std,concepticon-27,1.71,indʔʔ,air,ind??
clics-doculect-4-64,nene1249-std,concepticon-960,1.72,mʸer̃c̷ʸa,wind,myercya
clics-doculect-4-65,nene1249-std,concepticon-1489,1.73,tir̃,cloud,tir
clics-doculect-4-66,nene1249-std,concepticon-249,1.74,sinʸo,fog,sinyo
clics-doculect-4-67,nene1249-std,concepticon-658,1.75,sar̃ʸo,rain (noun),saryo
clics-doculect-4-68,nene1249-std,concepticon-784,1.76,sɨr̃a,snow (noun),sira
clics-doculect-4-69,nene1249-std,concepticon-617,1.77,salaba,ice,salaba
clics-doculect-4-70,nene1249-std,concepticon-617,1.77,ser̃ʔʔ,ice,ser??
clics-doculect-4-71,nene1249-std,concepticon-952,1.78,numda,weather,numda
clics-doculect-4-72,nene1249-std,concepticon-221,1.81,tu,fire,tu
clics-doculect-4-73,nene1249-std,concepticon-889,1.82,leyo,flame (noun),leyo
clics-doculect-4-74,nene1249-std,concepticon-778,1.83,yake,smoke (noun),yake
clics-doculect-4-75,nene1249-std,concepticon-646,1.84,tuʔsibʸa,ashes,tu?sibya
clics-doculect-4-76,nene1249-std,concepticon-67,1.841,mor̃ʸoc̷ʸaʔʔyataʔʔmaʔʔ,embers,moryocya??yata??ma??
clics-doculect-4-77,nene1249-std,concepticon-141,1.851,par̃adamba,burn (vb trans),paradamba
