ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-122-1,nina1238-std,concepticon-626,1.21,ilihi,"earth, land",ilihi
clics-doculect-122-2,nina1238-std,concepticon-626,1.21,mašithak,"earth, land",masithak
clics-doculect-122-3,nina1238-std,concepticon-1228,1.212,mašithak,"earth=ground, soil",masithak
clics-doculect-122-4,nina1238-std,concepticon-2,1.213,popoši,dust,poposi
clics-doculect-122-5,nina1238-std,concepticon-640,1.214,mašithakãhi,mud,masithakahi
clics-doculect-122-6,nina1238-std,concepticon-671,1.215,lãkak,sand,lakak
clics-doculect-122-7,nina1238-std,concepticon-2118,1.22,olina,"mountain, hill",olina
clics-doculect-122-8,nina1238-std,concepticon-652,1.23,ilihihõši,"plain, field",ilihihosi
clics-doculect-122-9,nina1238-std,concepticon-622,1.25,ilihimakoko,island,ilihimakoko
clics-doculect-122-10,nina1238-std,concepticon-113,1.27,palahi,shore,palahi
clics-doculect-122-11,nina1238-std,concepticon-113,1.27,kasi,shore,kasi
clics-doculect-122-12,nina1238-std,concepticon-1155,1.28,maamakpaka,cave,maamakpaka
clics-doculect-122-13,nina1238-std,concepticon-948,1.31,maup,water,maup
clics-doculect-122-14,nina1238-std,concepticon-258,1.322,siutiti,calm (of sea),siutiti
clics-doculect-122-15,nina1238-std,concepticon-259,1.323,payikpayikmo,rough (of sea),payikpayikmo
clics-doculect-122-16,nina1238-std,concepticon-1768,1.324,popoši,foam,poposi
clics-doculect-122-17,nina1238-std,concepticon-624,1.33,yokoto,lake,yokoto
clics-doculect-122-18,nina1238-std,concepticon-978,1.35,pola,wave,pola
clics-doculect-122-19,nina1238-std,concepticon-666,1.36,u,"river, stream, brook",u
clics-doculect-122-20,nina1238-std,concepticon-666,1.36,mau,"river, stream, brook",mau
clics-doculect-122-21,nina1238-std,concepticon-1982,1.362,šĩmoliawei,whirlpool,simoliawei
clics-doculect-122-22,nina1238-std,concepticon-2144,1.37,mauppaka,"spring, well",mauppaka
clics-doculect-122-23,nina1238-std,concepticon-1145,1.38,yokoto,swamp,yokoto
clics-doculect-122-24,nina1238-std,concepticon-420,1.41,ilihi,"woods, forest",ilihi
