ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-66-1,noot1239-std,concepticon-626,1.21,nismˀa,"earth, land",nism?a
clics-doculect-66-2,noot1239-std,concepticon-2,1.213,c̷ˀakˀʷaq,dust,c?ak?waq
clics-doculect-66-3,noot1239-std,concepticon-640,1.214,c̷ˀakˀʷaq,mud,c?ak?waq
clics-doculect-66-4,noot1239-std,concepticon-671,1.215,ʕopxaq,sand,?opxaq
clics-doculect-66-5,noot1239-std,concepticon-671,1.215,sopˀic̷mis,sand,sop?icmis
clics-doculect-66-6,noot1239-std,concepticon-2118,1.22,nočiˑ̆q,"mountain, hill",noci.q
clics-doculect-66-7,noot1239-std,concepticon-2118,1.22,noč,"mountain, hill",noc
clics-doculect-66-8,noot1239-std,concepticon-2118,1.22,nočiˑ,"mountain, hill",noci.
clics-doculect-66-9,noot1239-std,concepticon-2118,1.22,tˀočk,"mountain, hill",t?ock
clics-doculect-66-10,noot1239-std,concepticon-2118,1.22,tˀočkak,"mountain, hill",t?ockak
clics-doculect-66-11,noot1239-std,concepticon-618,1.222,λatḥ,"cliff, precipice",lath
clics-doculect-66-12,noot1239-std,concepticon-622,1.25,ča,island,ca
clics-doculect-66-13,noot1239-std,concepticon-622,1.25,čaʔak,island,ca?ak
clics-doculect-66-14,noot1239-std,concepticon-1155,1.28,ʕaʕiλ,cave,?a?il
clics-doculect-66-15,noot1239-std,concepticon-948,1.31,čˀa,water,c?a
clics-doculect-66-16,noot1239-std,concepticon-948,1.31,čˀaʔak,water,c?a?ak
clics-doculect-66-17,noot1239-std,concepticon-1474,1.32,topˀał,sea,top?al
clics-doculect-66-18,noot1239-std,concepticon-1474,1.32,topˀał,sea,top?al
clics-doculect-66-19,noot1239-std,concepticon-258,1.322,tinḥʷ,calm (of sea),tinhw
clics-doculect-66-20,noot1239-std,concepticon-258,1.322,tinḥak,calm (of sea),tinhak
clics-doculect-66-21,noot1239-std,concepticon-258,1.322,tinḥok,calm (of sea),tinhok
clics-doculect-66-22,noot1239-std,concepticon-1768,1.324,pˀac̷,foam,p?ac
clics-doculect-66-23,noot1239-std,concepticon-1768,1.324,pˀac̷ak,foam,p?acak
clics-doculect-66-24,noot1239-std,concepticon-1768,1.324,pˀac̷aˑ,foam,p?aca.
clics-doculect-66-25,noot1239-std,concepticon-624,1.33,ʕaʔok,lake,?a?ok
clics-doculect-66-26,noot1239-std,concepticon-978,1.35,hoyˀa,wave,hoy?a
clics-doculect-66-27,noot1239-std,concepticon-978,1.35,hoyˀaˑk,wave,hoy?a.k
clics-doculect-66-28,noot1239-std,concepticon-1026,1.353,tˀač,lowtide,t?ac
clics-doculect-66-29,noot1239-std,concepticon-1026,1.353,tˀačaˑ,lowtide,t?aca.
clics-doculect-66-30,noot1239-std,concepticon-613,1.354,moł,hightide,mol
clics-doculect-66-31,noot1239-std,concepticon-613,1.354,moˑł,hightide,mo.l
clics-doculect-66-32,noot1239-std,concepticon-613,1.354,mołaˑ,hightide,mola.
clics-doculect-66-33,noot1239-std,concepticon-666,1.36,c̷ˀa,"river, stream, brook",c?a
clics-doculect-66-34,noot1239-std,concepticon-666,1.36,c̷aʔak,"river, stream, brook",ca?ak
clics-doculect-66-35,noot1239-std,concepticon-420,1.41,ʔiˑqmaq,"woods, forest",?i.qmaq
clics-doculect-66-36,noot1239-std,concepticon-420,1.41,ʔiˑqmaqak,"woods, forest",?i.qmaqak
clics-doculect-66-39,noot1239-std,concepticon-1803,1.43,ʔačyˀaq,wood,?acy?aq
clics-doculect-66-40,noot1239-std,concepticon-1803,1.43,ʔačyˀaˑp,wood,?acy?a.p
clics-doculect-66-41,noot1239-std,concepticon-2125,1.44,mˀokʷ,"stone, rock",m?okw
clics-doculect-66-42,noot1239-std,concepticon-2125,1.44,mˀoksyˀi,"stone, rock",m?oksy?i
clics-doculect-66-43,noot1239-std,concepticon-2125,1.44,tˀi,"stone, rock",t?i
clics-doculect-66-44,noot1239-std,concepticon-6,1.45,taqiˑ̆,earthquake,taqi.
clics-doculect-66-45,noot1239-std,concepticon-1430,1.54,tˀatˀos,star,t?at?os
clics-doculect-66-46,noot1239-std,concepticon-1430,1.54,tˀatˀoˑ̆s,star,t?at?o.s
clics-doculect-66-47,noot1239-std,concepticon-1430,1.54,tˀatˀoˑs,star,t?at?o.s
clics-doculect-66-48,noot1239-std,concepticon-1150,1.56,toˑt,thunder,to.t
clics-doculect-66-49,noot1239-std,concepticon-1150,1.56,totoˑtš,thunder,toto.ts
