ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-31-1,nort2697-Terekeme,concepticon-965,1.1,суьлх,world,su'lkh
clics-doculect-31-2,nort2697-Terekeme,concepticon-626,1.21,торпаг,"earth, land",torpag
clics-doculect-31-3,nort2697-Terekeme,concepticon-626,1.21,эл,"earth, land",el
clics-doculect-31-4,nort2697-Terekeme,concepticon-1228,1.212,торпаг,"earth=ground, soil",torpag
clics-doculect-31-5,nort2697-Terekeme,concepticon-2,1.213,туз,dust,tuz
clics-doculect-31-6,nort2697-Terekeme,concepticon-640,1.214,палчуг,mud,palchug
clics-doculect-31-7,nort2697-Terekeme,concepticon-671,1.215,гум,sand,gum
clics-doculect-31-8,nort2697-Terekeme,concepticon-2118,1.22,даг,"mountain, hill",dag
clics-doculect-31-9,nort2697-Terekeme,concepticon-2118,1.22,тепе,"mountain, hill",tepe
clics-doculect-31-10,nort2697-Terekeme,concepticon-618,1.222,гейе,"cliff, precipice",geie
clics-doculect-31-11,nort2697-Terekeme,concepticon-618,1.222,дере,"cliff, precipice",dere
clics-doculect-31-12,nort2697-Terekeme,concepticon-618,1.222,гейегырагы,"cliff, precipice",geiegyragy
clics-doculect-31-13,nort2697-Terekeme,concepticon-652,1.23,дуьзлуьк,"plain, field",du'zlu'k
clics-doculect-31-14,nort2697-Terekeme,concepticon-652,1.23,харман,"plain, field",kharman
clics-doculect-31-15,nort2697-Terekeme,concepticon-921,1.24,йешиллуьк,valley,ieshillu'k
clics-doculect-31-16,nort2697-Terekeme,concepticon-622,1.25,ада,island,ada
clics-doculect-31-17,nort2697-Terekeme,concepticon-166,1.26,континент,mainland,kontinent
clics-doculect-31-18,nort2697-Terekeme,concepticon-113,1.27,чайугырагы,shore,chaiugyragy
clics-doculect-31-19,nort2697-Terekeme,concepticon-1155,1.28,гаф,cave,gaf
clics-doculect-31-20,nort2697-Terekeme,concepticon-948,1.31,су,water,su
clics-doculect-31-21,nort2697-Terekeme,concepticon-1474,1.32,дерйа,sea,deria
clics-doculect-31-22,nort2697-Terekeme,concepticon-258,1.322,сакиндерйа,calm (of sea),sakinderia
clics-doculect-31-23,nort2697-Terekeme,concepticon-259,1.323,нагьагдерйа,rough (of sea),nag'agderia
clics-doculect-31-24,nort2697-Terekeme,concepticon-1768,1.324,куьпуьк,foam,ku'pu'k
clics-doculect-31-25,nort2697-Terekeme,concepticon-645,1.329,океан,ocean,okean
clics-doculect-31-26,nort2697-Terekeme,concepticon-624,1.33,гуьл,lake,gu'l
clics-doculect-31-27,nort2697-Terekeme,concepticon-663,1.34,богаз,"gulf, bay",bogaz
clics-doculect-31-28,nort2697-Terekeme,concepticon-623,1.341,богаз,lagoon,bogaz
clics-doculect-31-29,nort2697-Terekeme,concepticon-660,1.342,риф,reef,rif
clics-doculect-31-30,nort2697-Terekeme,concepticon-1662,1.343,бурун,"headland, point",burun
clics-doculect-31-31,nort2697-Terekeme,concepticon-978,1.35,лепе,wave,lepe
clics-doculect-31-32,nort2697-Terekeme,concepticon-891,1.352,дерйадашмаси,tide,deriadashmasi
clics-doculect-31-33,nort2697-Terekeme,concepticon-1026,1.353,дерйанынчекилмеси,lowtide,derianynchekilmesi
clics-doculect-31-34,nort2697-Terekeme,concepticon-613,1.354,дерйанындашмасы,hightide,derianyndashmasy
clics-doculect-31-35,nort2697-Terekeme,concepticon-666,1.36,чай,"river, stream, brook",chai
clics-doculect-31-36,nort2697-Terekeme,concepticon-666,1.36,дере,"river, stream, brook",dere
clics-doculect-31-37,nort2697-Terekeme,concepticon-1982,1.362,сувундейишмеси,whirlpool,suvundeiishmesi
clics-doculect-31-38,nort2697-Terekeme,concepticon-2144,1.37,булаг,"spring, well",bulag
clics-doculect-31-39,nort2697-Terekeme,concepticon-2144,1.37,гуйи,"spring, well",guii
clics-doculect-31-40,nort2697-Terekeme,concepticon-1145,1.38,батаглуг,swamp,bataglug
clics-doculect-31-41,nort2697-Terekeme,concepticon-943,1.39,шалале,waterfall,shalale
clics-doculect-31-42,nort2697-Terekeme,concepticon-420,1.41,меше,"woods, forest",meshe
clics-doculect-31-45,nort2697-Terekeme,concepticon-1803,1.43,тахте,wood,takhte
clics-doculect-31-46,nort2697-Terekeme,concepticon-2125,1.44,даш,"stone, rock",dash
clics-doculect-31-47,nort2697-Terekeme,concepticon-2125,1.44,гейе,"stone, rock",geie
clics-doculect-31-48,nort2697-Terekeme,concepticon-6,1.45,зелзеле,earthquake,zelzele
clics-doculect-31-49,nort2697-Terekeme,concepticon-1732,1.51,гог,sky,gog
clics-doculect-31-50,nort2697-Terekeme,concepticon-1343,1.52,гуьнеш,sun,gu'nesh
clics-doculect-31-51,nort2697-Terekeme,concepticon-1313,1.53,ай,moon,ai
clics-doculect-31-52,nort2697-Terekeme,concepticon-1430,1.54,улдуз,star,ulduz
clics-doculect-31-53,nort2697-Terekeme,concepticon-1654,1.55,илдырым,lightning,ildyrym
clics-doculect-31-54,nort2697-Terekeme,concepticon-1150,1.56,илдырым,thunder,ildyrym
clics-doculect-31-55,nort2697-Terekeme,concepticon-2007,1.57,илдырым,lightning (as striking),ildyrym
clics-doculect-31-56,nort2697-Terekeme,concepticon-858,1.58,бурйа,storm,buria
clics-doculect-31-57,nort2697-Terekeme,concepticon-1733,1.59,радуга,rainbow,raduga
clics-doculect-31-58,nort2697-Terekeme,concepticon-630,1.61,ишыг,light (noun),ishyg
clics-doculect-31-59,nort2697-Terekeme,concepticon-11,1.62,гараннуг,darkness,garannug
clics-doculect-31-60,nort2697-Terekeme,concepticon-1388,1.63,голге,"shade, shadow",golge
clics-doculect-31-61,nort2697-Terekeme,concepticon-1977,1.64,чиг,dew,chig
clics-doculect-31-62,nort2697-Terekeme,concepticon-27,1.71,гьава,air,g'ava
clics-doculect-31-63,nort2697-Terekeme,concepticon-960,1.72,куьлек,wind,ku'lek
clics-doculect-31-64,nort2697-Terekeme,concepticon-1489,1.73,булут,cloud,bulut
clics-doculect-31-65,nort2697-Terekeme,concepticon-249,1.74,сис,fog,sis
clics-doculect-31-66,nort2697-Terekeme,concepticon-658,1.75,йегиш,rain (noun),iegish
clics-doculect-31-67,nort2697-Terekeme,concepticon-784,1.76,гар,snow (noun),gar
clics-doculect-31-68,nort2697-Terekeme,concepticon-617,1.77,буз,ice,buz
clics-doculect-31-69,nort2697-Terekeme,concepticon-617,1.77,бузлук,ice,buzluk
clics-doculect-31-70,nort2697-Terekeme,concepticon-952,1.78,гьава,weather,g'ava
clics-doculect-31-71,nort2697-Terekeme,concepticon-221,1.81,от,fire,ot
clics-doculect-31-72,nort2697-Terekeme,concepticon-889,1.82,алав,flame (noun),alav
clics-doculect-31-73,nort2697-Terekeme,concepticon-778,1.83,ин,smoke (noun),in
clics-doculect-31-74,nort2697-Terekeme,concepticon-646,1.84,куьл,ashes,ku'l
clics-doculect-31-75,nort2697-Terekeme,concepticon-67,1.841,истидашкуьмуьр,embers,istidashku'mu'r
clics-doculect-31-76,nort2697-Terekeme,concepticon-141,1.851,йандурмаг,burn (vb trans),iandurmag
clics-doculect-31-77,nort2697-Terekeme,concepticon-1428,1.852,йанмаг,burn (vb intrans),ianmag
clics-doculect-31-78,nort2697-Terekeme,concepticon-737,1.86,йандурмаг,"light, kindle, ignite",iandurmag
clics-doculect-31-79,nort2697-Terekeme,concepticon-737,1.86,алавландурмаг,"light, kindle, ignite",alavlandurmag
clics-doculect-31-80,nort2697-Terekeme,concepticon-127,1.861,сондуьрмек,extinguish,sondu'rmek
clics-doculect-31-81,nort2697-Terekeme,concepticon-1133,1.87,кирбит,match (noun),kirbit
clics-doculect-31-82,nort2697-Terekeme,concepticon-10,1.88,одунлар,firewood,odunlar
clics-doculect-31-83,nort2697-Terekeme,concepticon-1188,1.89,одункоьмуьруь,charcoal,odunko'mu'ru'
clics-doculect-31-84,nort2697-Terekeme,concepticon-683,2.1,адам,"person, human being",adam
clics-doculect-31-85,nort2697-Terekeme,concepticon-683,2.1,инсан,"person, human being",insan
clics-doculect-31-86,nort2697-Terekeme,concepticon-1554,2.21,киши,man (vs. woman),kishi
clics-doculect-31-87,nort2697-Terekeme,concepticon-962,2.22,хатун,woman,khatun
clics-doculect-31-88,nort2697-Terekeme,concepticon-1553,2.23,еркек,male,erkek
clics-doculect-31-89,nort2697-Terekeme,concepticon-1551,2.24,диши,female,dishi
clics-doculect-31-90,nort2697-Terekeme,concepticon-1366,2.25,ушаг,boy,ushag
clics-doculect-31-91,nort2697-Terekeme,concepticon-76,2.251,чаван,young man (adolescent),chavan
clics-doculect-31-92,nort2697-Terekeme,concepticon-1646,2.26,кичикгыз,girl,kichikgyz
clics-doculect-31-93,nort2697-Terekeme,concepticon-77,2.261,бойуькгыз,young woman (adolescent),boiu'kgyz
clics-doculect-31-94,nort2697-Terekeme,concepticon-1304,2.27,кичикушаг,child,kichikushag
clics-doculect-31-95,nort2697-Terekeme,concepticon-1289,2.28,коьрпе,"infant, baby",ko'rpe
clics-doculect-31-96,nort2697-Terekeme,concepticon-1200,2.31,киши,husband,kishi
clics-doculect-31-97,nort2697-Terekeme,concepticon-1200,2.31,йолдаш,husband,ioldash
clics-doculect-31-98,nort2697-Terekeme,concepticon-1199,2.32,хатун,wife,khatun
clics-doculect-31-99,nort2697-Terekeme,concepticon-1199,2.32,йолдаш,wife,ioldash
clics-doculect-31-100,nort2697-Terekeme,concepticon-203,2.33,йевленмек,marry,ievlenmek
