ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-111-1,nort2972-std,concepticon-965,1.1,ẽhũ'a,world,ehu'a
clics-doculect-111-2,nort2972-std,concepticon-626,1.21,'drua,"earth, land",'drua
clics-doculect-111-3,nort2972-std,concepticon-1228,1.212,ego'ro,"earth=ground, soil",ego'ro
clics-doculect-111-4,nort2972-std,concepticon-640,1.214,ego'roɓa,mud,ego'roba
clics-doculect-111-5,nort2972-std,concepticon-671,1.215,ĩ'bɨ,sand,i'bi
clics-doculect-111-6,nort2972-std,concepticon-2118,1.22,e'ya,"mountain, hill",e'ya
clics-doculect-111-7,nort2972-std,concepticon-652,1.23,hewe'ɗa,"plain, field",hewe'da
clics-doculect-111-8,nort2972-std,concepticon-622,1.25,do'du,island,do'du
clics-doculect-111-9,nort2972-std,concepticon-113,1.27,doika'wa,shore,doika'wa
clics-doculect-111-10,nort2972-std,concepticon-1155,1.28,u'ria,cave,u'ria
clics-doculect-111-11,nort2972-std,concepticon-948,1.31,'baido,water,'baido
clics-doculect-111-12,nort2972-std,concepticon-1474,1.32,pu'sa,sea,pu'sa
clics-doculect-111-13,nort2972-std,concepticon-645,1.329,pu'sa,ocean,pu'sa
clics-doculect-111-14,nort2972-std,concepticon-624,1.33,ame'ne,lake,ame'ne
clics-doculect-111-15,nort2972-std,concepticon-623,1.341,ame'ne,lagoon,ame'ne
clics-doculect-111-16,nort2972-std,concepticon-1662,1.343,e'ya,"headland, point",e'ya
clics-doculect-111-17,nort2972-std,concepticon-891,1.352,bi'ru,tide,bi'ru
clics-doculect-111-18,nort2972-std,concepticon-666,1.36,do,"river, stream, brook",do
clics-doculect-111-19,nort2972-std,concepticon-1982,1.362,dopu'r̃adru,whirlpool,dopu'radru
clics-doculect-111-20,nort2972-std,concepticon-2144,1.37,doči'wa,"spring, well",doci'wa
clics-doculect-111-21,nort2972-std,concepticon-1145,1.38,ego'roɓa,swamp,ego'roba
clics-doculect-111-22,nort2972-std,concepticon-943,1.39,kõbi'rãda,waterfall,kobi'rada
clics-doculect-111-23,nort2972-std,concepticon-420,1.41,mea,"woods, forest",mea
clics-doculect-111-25,nort2972-std,concepticon-1803,1.43,baku'ru,wood,baku'ru
clics-doculect-111-26,nort2972-std,concepticon-2125,1.44,mõga'ra,"stone, rock",moga'ra
clics-doculect-111-27,nort2972-std,concepticon-6,1.45,u'remia,earthquake,u'remia
clics-doculect-111-28,nort2972-std,concepticon-1732,1.51,ba'hã,sky,ba'ha
clics-doculect-111-29,nort2972-std,concepticon-1343,1.52,u'mãdau,sun,u'madau
clics-doculect-111-30,nort2972-std,concepticon-1313,1.53,he'ɗeko,moon,he'deko
clics-doculect-111-31,nort2972-std,concepticon-1430,1.54,'čĩdau,star,'cidau
clics-doculect-111-32,nort2972-std,concepticon-1654,1.55,bapu'rea,lightning,bapu'rea
clics-doculect-111-33,nort2972-std,concepticon-1150,1.56,ba,thunder,ba
clics-doculect-111-34,nort2972-std,concepticon-1733,1.59,'euma,rainbow,'euma
clics-doculect-111-35,nort2972-std,concepticon-1388,1.63,kũrã'sa,"shade, shadow",kura'sa
clics-doculect-111-36,nort2972-std,concepticon-960,1.72,nãũ,wind,nau
clics-doculect-111-37,nort2972-std,concepticon-1489,1.73,hɨ̃rã'rã,cloud,hira'ra
clics-doculect-111-38,nort2972-std,concepticon-658,1.75,kue,rain (noun),kue
clics-doculect-111-39,nort2972-std,concepticon-221,1.81,pu'rea,fire,pu'rea
clics-doculect-111-40,nort2972-std,concepticon-889,1.82,pure'a,flame (noun),pure'a
clics-doculect-111-41,nort2972-std,concepticon-778,1.83,nã'rĩ,smoke (noun),na'ri
clics-doculect-111-42,nort2972-std,concepticon-646,1.84,ita'r̃aɓa,ashes,ita'raba
clics-doculect-111-43,nort2972-std,concepticon-141,1.851,ba,burn (vb trans),ba
clics-doculect-111-44,nort2972-std,concepticon-1428,1.852,ba,burn (vb intrans),ba
clics-doculect-111-45,nort2972-std,concepticon-737,1.86,u'rua,"light, kindle, ignite",u'rua
clics-doculect-111-46,nort2972-std,concepticon-127,1.861,ki,extinguish,ki
clics-doculect-111-47,nort2972-std,concepticon-10,1.88,tɨ'bɨ,firewood,ti'bi
clics-doculect-111-48,nort2972-std,concepticon-1188,1.89,oki'kina,charcoal,oki'kina
clics-doculect-111-49,nort2972-std,concepticon-683,2.1,ẽbe'ra,"person, human being",ebe'ra
clics-doculect-111-50,nort2972-std,concepticon-1554,2.21,'makira,man (vs. woman),'makira
clics-doculect-111-51,nort2972-std,concepticon-962,2.22,ũ'ẽrã,woman,u'era
clics-doculect-111-52,nort2972-std,concepticon-1553,2.23,'makira,male,'makira
clics-doculect-111-53,nort2972-std,concepticon-1551,2.24,ũ'ẽrã,female,u'era
clics-doculect-111-54,nort2972-std,concepticon-1366,2.25,o'ar̃a,boy,o'ara
clics-doculect-111-55,nort2972-std,concepticon-76,2.251,'kũdra,young man (adolescent),'kudra
clics-doculect-111-56,nort2972-std,concepticon-1646,2.26,kau,girl,kau
clics-doculect-111-57,nort2972-std,concepticon-77,2.261,'aũẽrã,young woman (adolescent),'auera
clics-doculect-111-58,nort2972-std,concepticon-1289,2.28,õ'ãõã,"infant, baby",o'aoa
clics-doculect-111-59,nort2972-std,concepticon-1200,2.31,ki'ma,husband,ki'ma
clics-doculect-111-60,nort2972-std,concepticon-1199,2.32,ki'ma,wife,ki'ma
clics-doculect-111-61,nort2972-std,concepticon-203,2.33,ki'mae'da,marry,ki'mae'da
