ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-98-1,nucl1235-Eastern,concepticon-965,1.1,ašxarh,world,asxarh
clics-doculect-98-2,nucl1235-Eastern,concepticon-626,1.21,yerkˀir,"earth, land",yerk?ir
clics-doculect-98-3,nucl1235-Eastern,concepticon-626,1.21,yerkˀragund,"earth, land",yerk?ragund
clics-doculect-98-4,nucl1235-Eastern,concepticon-1228,1.212,hoɣ,"earth=ground, soil",hog
clics-doculect-98-5,nucl1235-Eastern,concepticon-2,1.213,pʰoši,dust,pkosi
clics-doculect-98-6,nucl1235-Eastern,concepticon-640,1.214,c̷ʰex,mud,ckex
clics-doculect-98-7,nucl1235-Eastern,concepticon-671,1.215,avaz,sand,avaz
clics-doculect-98-8,nucl1235-Eastern,concepticon-2118,1.22,ler̃,"mountain, hill",ler
clics-doculect-98-9,nucl1235-Eastern,concepticon-2118,1.22,sar,"mountain, hill",sar
clics-doculect-98-10,nucl1235-Eastern,concepticon-2118,1.22,blur,"mountain, hill",blur
clics-doculect-98-11,nucl1235-Eastern,concepticon-618,1.222,žayr̃,"cliff, precipice",zayr
clics-doculect-98-12,nucl1235-Eastern,concepticon-618,1.222,andund,"cliff, precipice",andund
clics-doculect-98-13,nucl1235-Eastern,concepticon-618,1.222,vih,"cliff, precipice",vih
clics-doculect-98-14,nucl1235-Eastern,concepticon-652,1.23,hartʰavayr,"plain, field",hartkavayr
clics-doculect-98-15,nucl1235-Eastern,concepticon-652,1.23,daštˀ,"plain, field",dast?
clics-doculect-98-16,nucl1235-Eastern,concepticon-921,1.24,hovitˀ,valley,hovit?
clics-doculect-98-17,nucl1235-Eastern,concepticon-921,1.24,d͜zor,valley,d[?]zor
clics-doculect-98-18,nucl1235-Eastern,concepticon-622,1.25,kˀɣzi,island,k?gzi
clics-doculect-98-19,nucl1235-Eastern,concepticon-166,1.26,mayrc̷ʰamakʰ,mainland,mayrckamakk
clics-doculect-98-20,nucl1235-Eastern,concepticon-113,1.27,c̷ˀovapʰ,shore,c?ovapk
clics-doculect-98-21,nucl1235-Eastern,concepticon-113,1.27,c̷ˀovezr,shore,c?ovezr
clics-doculect-98-22,nucl1235-Eastern,concepticon-113,1.27,c̷ˀovezerkʰ,shore,c?ovezerkk
clics-doculect-98-23,nucl1235-Eastern,concepticon-1155,1.28,ayr,cave,ayr
clics-doculect-98-24,nucl1235-Eastern,concepticon-1155,1.28,kʰarayr,cave,kkarayr
