ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-39-1,nucl1235-Western,concepticon-965,1.1,ašxarh,world,asxarh
clics-doculect-39-2,nucl1235-Western,concepticon-626,1.21,yergir,"earth, land",yergir
clics-doculect-39-3,nucl1235-Western,concepticon-626,1.21,yergrakunt,"earth, land",yergrakunt
clics-doculect-39-4,nucl1235-Western,concepticon-1228,1.212,hoɣ,"earth=ground, soil",hog
clics-doculect-39-5,nucl1235-Western,concepticon-2,1.213,poši,dust,posi
clics-doculect-39-6,nucl1235-Western,concepticon-640,1.214,c̷ex,mud,cex
clics-doculect-39-7,nucl1235-Western,concepticon-671,1.215,avaz,sand,avaz
clics-doculect-39-8,nucl1235-Western,concepticon-2118,1.22,ler,"mountain, hill",ler
clics-doculect-39-9,nucl1235-Western,concepticon-2118,1.22,plur,"mountain, hill",plur
clics-doculect-39-10,nucl1235-Western,concepticon-618,1.222,žayr,"cliff, precipice",zayr
clics-doculect-39-11,nucl1235-Western,concepticon-618,1.222,antunt,"cliff, precipice",antunt
clics-doculect-39-12,nucl1235-Western,concepticon-618,1.222,vih,"cliff, precipice",vih
clics-doculect-39-13,nucl1235-Western,concepticon-652,1.23,hartavayr,"plain, field",hartavayr
clics-doculect-39-14,nucl1235-Western,concepticon-652,1.23,tašd,"plain, field",tasd
clics-doculect-39-15,nucl1235-Western,concepticon-921,1.24,hovid,valley,hovid
clics-doculect-39-16,nucl1235-Western,concepticon-921,1.24,c̷or,valley,cor
clics-doculect-39-17,nucl1235-Western,concepticon-622,1.25,gɣzi,island,ggzi
clics-doculect-39-18,nucl1235-Western,concepticon-166,1.26,c̷amakamas,mainland,camakamas
clics-doculect-39-19,nucl1235-Western,concepticon-113,1.27,d͜zovap,shore,d[?]zovap
clics-doculect-39-20,nucl1235-Western,concepticon-113,1.27,d͜zovezr,shore,d[?]zovezr
clics-doculect-39-21,nucl1235-Western,concepticon-113,1.27,d͜zovezerk,shore,d[?]zovezerk
clics-doculect-39-22,nucl1235-Western,concepticon-1155,1.28,ayr,cave,ayr
clics-doculect-39-23,nucl1235-Western,concepticon-1155,1.28,karayr,cave,karayr
clics-doculect-39-24,nucl1235-Western,concepticon-1155,1.28,karanc̷av,cave,karancav
clics-doculect-39-25,nucl1235-Western,concepticon-948,1.31,čur,water,cur
clics-doculect-39-26,nucl1235-Western,concepticon-1474,1.32,d͜zov,sea,d[?]zov
clics-doculect-39-27,nucl1235-Western,concepticon-258,1.322,hantard,calm (of sea),hantard
clics-doculect-39-28,nucl1235-Western,concepticon-258,1.322,xaɣag,calm (of sea),xagag
clics-doculect-39-29,nucl1235-Western,concepticon-259,1.323,alegod͜z,rough (of sea),alegod[?]z
clics-doculect-39-30,nucl1235-Western,concepticon-259,1.323,potorgod,rough (of sea),potorgod
clics-doculect-39-31,nucl1235-Western,concepticon-1768,1.324,prpur,foam,prpur
clics-doculect-39-32,nucl1235-Western,concepticon-645,1.329,ovgianos,ocean,ovgianos
clics-doculect-39-33,nucl1235-Western,concepticon-624,1.33,liǰ,lake,lij
clics-doculect-39-34,nucl1235-Western,concepticon-663,1.34,d͜zovad͜zoc̷,"gulf, bay",d[?]zovad[?]zoc
clics-doculect-39-35,nucl1235-Western,concepticon-663,1.34,d͜zovaxorš,"gulf, bay",d[?]zovaxors
clics-doculect-39-36,nucl1235-Western,concepticon-623,1.341,d͜zovaliǰ,lagoon,d[?]zovalij
clics-doculect-39-37,nucl1235-Western,concepticon-660,1.342,xarag,reef,xarag
clics-doculect-39-38,nucl1235-Western,concepticon-660,1.342,xut,reef,xut
clics-doculect-39-39,nucl1235-Western,concepticon-1662,1.343,hrvantan,"headland, point",hrvantan
clics-doculect-39-40,nucl1235-Western,concepticon-978,1.35,alik,wave,alik
clics-doculect-39-41,nucl1235-Western,concepticon-891,1.352,xaɣac̷k,tide,xagack
clics-doculect-39-42,nucl1235-Western,concepticon-1026,1.353,deɣadvutyun,lowtide,degadvutyun
clics-doculect-39-43,nucl1235-Western,concepticon-613,1.354,magntac̷utyun,hightide,magntacutyun
clics-doculect-39-44,nucl1235-Western,concepticon-666,1.36,ked,"river, stream, brook",ked
clics-doculect-39-45,nucl1235-Western,concepticon-666,1.36,hosank,"river, stream, brook",hosank
clics-doculect-39-46,nucl1235-Western,concepticon-666,1.36,aru,"river, stream, brook",aru
clics-doculect-39-47,nucl1235-Western,concepticon-1982,1.362,horc̷ank,whirlpool,horcank
clics-doculect-39-48,nucl1235-Western,concepticon-1982,1.362,čduyd,whirlpool,cduyd
clics-doculect-39-49,nucl1235-Western,concepticon-2144,1.37,aɣpyur,"spring, well",agpyur
clics-doculect-39-50,nucl1235-Western,concepticon-2144,1.37,ag,"spring, well",ag
clics-doculect-39-51,nucl1235-Western,concepticon-2144,1.37,črhor,"spring, well",crhor
clics-doculect-39-52,nucl1235-Western,concepticon-2144,1.37,hor,"spring, well",hor
clics-doculect-39-53,nucl1235-Western,concepticon-1145,1.38,ǰahiǰ,swamp,jahij
clics-doculect-39-54,nucl1235-Western,concepticon-943,1.39,črvež,waterfall,crvez
clics-doculect-39-55,nucl1235-Western,concepticon-420,1.41,andar,"woods, forest",andar
clics-doculect-39-57,nucl1235-Western,concepticon-1803,1.43,payd,wood,payd
clics-doculect-39-58,nucl1235-Western,concepticon-2125,1.44,kar,"stone, rock",kar
clics-doculect-39-59,nucl1235-Western,concepticon-2125,1.44,žayr,"stone, rock",zayr
clics-doculect-39-60,nucl1235-Western,concepticon-6,1.45,yergrašarž,earthquake,yergrasarz
clics-doculect-39-61,nucl1235-Western,concepticon-1732,1.51,yergink,sky,yergink
clics-doculect-39-62,nucl1235-Western,concepticon-1343,1.52,arev,sun,arev
clics-doculect-39-63,nucl1235-Western,concepticon-1313,1.53,lusin,moon,lusin
clics-doculect-39-64,nucl1235-Western,concepticon-1430,1.54,asdɣ,star,asdg
clics-doculect-39-65,nucl1235-Western,concepticon-1654,1.55,gayd͜zag,lightning,gayd[?]zag
clics-doculect-39-66,nucl1235-Western,concepticon-1654,1.55,paylag,lightning,paylag
clics-doculect-39-67,nucl1235-Western,concepticon-1150,1.56,vorod,thunder,vorod
clics-doculect-39-68,nucl1235-Western,concepticon-2007,1.57,gayd͜zagnaharum,lightning (as striking),gayd[?]zagnaharum
clics-doculect-39-69,nucl1235-Western,concepticon-858,1.58,potorig,storm,potorig
clics-doculect-39-70,nucl1235-Western,concepticon-858,1.58,mrrig,storm,mrrig
clics-doculect-39-71,nucl1235-Western,concepticon-1733,1.59,d͜ziranikodi,rainbow,d[?]ziranikodi
clics-doculect-39-72,nucl1235-Western,concepticon-1733,1.59,d͜ziad͜zan,rainbow,d[?]ziad[?]zan
clics-doculect-39-73,nucl1235-Western,concepticon-630,1.61,luys,light (noun),luys
clics-doculect-39-74,nucl1235-Western,concepticon-11,1.62,mut,darkness,mut
clics-doculect-39-75,nucl1235-Western,concepticon-11,1.62,xavar,darkness,xavar
clics-doculect-39-76,nucl1235-Western,concepticon-1388,1.63,sdver,"shade, shadow",sdver
clics-doculect-39-77,nucl1235-Western,concepticon-1388,1.63,šuk,"shade, shadow",suk
clics-doculect-39-78,nucl1235-Western,concepticon-1977,1.64,c̷oɣ,dew,cog
clics-doculect-39-79,nucl1235-Western,concepticon-27,1.71,ot,air,ot
clics-doculect-39-80,nucl1235-Western,concepticon-960,1.72,hov,wind,hov
clics-doculect-39-81,nucl1235-Western,concepticon-960,1.72,kami,wind,kami
clics-doculect-39-82,nucl1235-Western,concepticon-1489,1.73,amb,cloud,amb
