ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-62-1,nucl1643-std,concepticon-965,1.1,sekai,world,sekai
clics-doculect-62-2,nucl1643-std,concepticon-965,1.1,yo,world,yo
clics-doculect-62-3,nucl1643-std,concepticon-626,1.21,tairiku,"earth, land",tairiku
clics-doculect-62-4,nucl1643-std,concepticon-626,1.21,rikuchi,"earth, land",rikuchi
clics-doculect-62-5,nucl1643-std,concepticon-626,1.21,riku,"earth, land",riku
clics-doculect-62-6,nucl1643-std,concepticon-1228,1.212,tsuchi,"earth=ground, soil",tsuchi
clics-doculect-62-7,nucl1643-std,concepticon-2,1.213,hokori,dust,hokori
clics-doculect-62-8,nucl1643-std,concepticon-640,1.214,doro,mud,doro
clics-doculect-62-9,nucl1643-std,concepticon-671,1.215,suna,sand,suna
clics-doculect-62-10,nucl1643-std,concepticon-2118,1.22,yama,"mountain, hill",yama
clics-doculect-62-11,nucl1643-std,concepticon-2118,1.22,oka,"mountain, hill",oka
clics-doculect-62-12,nucl1643-std,concepticon-618,1.222,gake,"cliff, precipice",gake
clics-doculect-62-13,nucl1643-std,concepticon-652,1.23,heichi,"plain, field",heichi
clics-doculect-62-14,nucl1643-std,concepticon-652,1.23,nohara,"plain, field",nohara
clics-doculect-62-15,nucl1643-std,concepticon-921,1.24,tani,valley,tani
clics-doculect-62-16,nucl1643-std,concepticon-622,1.25,shima,island,shima
clics-doculect-62-17,nucl1643-std,concepticon-166,1.26,naichi,mainland,naichi
clics-doculect-62-18,nucl1643-std,concepticon-166,1.26,tairiku,mainland,tairiku
clics-doculect-62-19,nucl1643-std,concepticon-113,1.27,kishi,shore,kishi
clics-doculect-62-20,nucl1643-std,concepticon-113,1.27,kaigan,shore,kaigan
clics-doculect-62-21,nucl1643-std,concepticon-113,1.27,kagan,shore,kagan
clics-doculect-62-22,nucl1643-std,concepticon-1155,1.28,dōkutsu,cave,dokutsu
clics-doculect-62-23,nucl1643-std,concepticon-1155,1.28,horaana,cave,horaana
clics-doculect-62-24,nucl1643-std,concepticon-948,1.31,mizu,water,mizu
clics-doculect-62-25,nucl1643-std,concepticon-1474,1.32,umi,sea,umi
clics-doculect-62-26,nucl1643-std,concepticon-258,1.322,nagi,calm (of sea),nagi
clics-doculect-62-27,nucl1643-std,concepticon-259,1.323,shikeru,rough (of sea),shikeru
clics-doculect-62-28,nucl1643-std,concepticon-1768,1.324,awa,foam,awa
clics-doculect-62-29,nucl1643-std,concepticon-645,1.329,kaiyō,ocean,kaiyo
clics-doculect-62-30,nucl1643-std,concepticon-645,1.329,taiyō,ocean,taiyo
clics-doculect-62-31,nucl1643-std,concepticon-624,1.33,mizuumi,lake,mizuumi
clics-doculect-62-32,nucl1643-std,concepticon-624,1.33,ike,lake,ike
clics-doculect-62-33,nucl1643-std,concepticon-663,1.34,irie,"gulf, bay",irie
clics-doculect-62-34,nucl1643-std,concepticon-663,1.34,wan,"gulf, bay",wan
clics-doculect-62-35,nucl1643-std,concepticon-623,1.341,kata,lagoon,kata
clics-doculect-62-36,nucl1643-std,concepticon-660,1.342,anshō,reef,ansho
clics-doculect-62-37,nucl1643-std,concepticon-1662,1.343,misaki,"headland, point",misaki
clics-doculect-62-38,nucl1643-std,concepticon-978,1.35,nami,wave,nami
clics-doculect-62-39,nucl1643-std,concepticon-891,1.352,shio,tide,shio
clics-doculect-62-40,nucl1643-std,concepticon-1026,1.353,hikishio,lowtide,hikishio
clics-doculect-62-41,nucl1643-std,concepticon-1026,1.353,kanchō,lowtide,kancho
clics-doculect-62-42,nucl1643-std,concepticon-613,1.354,michishio,hightide,michishio
clics-doculect-62-43,nucl1643-std,concepticon-613,1.354,manchō,hightide,mancho
clics-doculect-62-44,nucl1643-std,concepticon-666,1.36,kawa,"river, stream, brook",kawa
clics-doculect-62-45,nucl1643-std,concepticon-1982,1.362,uzumaki,whirlpool,uzumaki
clics-doculect-62-46,nucl1643-std,concepticon-2144,1.37,izumi,"spring, well",izumi
clics-doculect-62-47,nucl1643-std,concepticon-2144,1.37,ido,"spring, well",ido
clics-doculect-62-48,nucl1643-std,concepticon-1145,1.38,numa,swamp,numa
clics-doculect-62-49,nucl1643-std,concepticon-1145,1.38,shitchi,swamp,shitchi
clics-doculect-62-50,nucl1643-std,concepticon-943,1.39,taki,waterfall,taki
clics-doculect-62-51,nucl1643-std,concepticon-420,1.41,mori,"woods, forest",mori
clics-doculect-62-52,nucl1643-std,concepticon-420,1.41,hayashi,"woods, forest",hayashi
clics-doculect-62-53,nucl1643-std,concepticon-1803,1.43,ki,wood,ki
clics-doculect-62-54,nucl1643-std,concepticon-1803,1.43,mokuzai,wood,mokuzai
clics-doculect-62-55,nucl1643-std,concepticon-2125,1.44,ishi,"stone, rock",ishi
clics-doculect-62-56,nucl1643-std,concepticon-2125,1.44,iwa,"stone, rock",iwa
clics-doculect-62-57,nucl1643-std,concepticon-6,1.45,jishin,earthquake,jishin
clics-doculect-62-58,nucl1643-std,concepticon-1732,1.51,sora,sky,sora
clics-doculect-62-59,nucl1643-std,concepticon-1343,1.52,hi,sun,hi
clics-doculect-62-60,nucl1643-std,concepticon-1343,1.52,taiyō,sun,taiyo
clics-doculect-62-61,nucl1643-std,concepticon-1313,1.53,tsuki,moon,tsuki
clics-doculect-62-62,nucl1643-std,concepticon-1430,1.54,hoshi,star,hoshi
clics-doculect-62-63,nucl1643-std,concepticon-1654,1.55,inazuma,lightning,inazuma
clics-doculect-62-64,nucl1643-std,concepticon-1150,1.56,kaminari,thunder,kaminari
clics-doculect-62-65,nucl1643-std,concepticon-1150,1.56,ikazuchi,thunder,ikazuchi
clics-doculect-62-66,nucl1643-std,concepticon-2007,1.57,kaminari,lightning (as striking),kaminari
clics-doculect-62-67,nucl1643-std,concepticon-2007,1.57,rakurai,lightning (as striking),rakurai
clics-doculect-62-68,nucl1643-std,concepticon-858,1.58,arashi,storm,arashi
clics-doculect-62-69,nucl1643-std,concepticon-1733,1.59,niji,rainbow,niji
clics-doculect-62-70,nucl1643-std,concepticon-630,1.61,hikari,light (noun),hikari
clics-doculect-62-71,nucl1643-std,concepticon-11,1.62,yami,darkness,yami
clics-doculect-62-72,nucl1643-std,concepticon-1388,1.63,kage,"shade, shadow",kage
clics-doculect-62-73,nucl1643-std,concepticon-1977,1.64,tsuyu,dew,tsuyu
