ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-92-1,onaa1245-std,concepticon-626,1.21,harwn,"earth, land",harwn
clics-doculect-92-2,onaa1245-std,concepticon-1228,1.212,harwn,"earth=ground, soil",harwn
clics-doculect-92-3,onaa1245-std,concepticon-2,1.213,te,dust,te
clics-doculect-92-4,onaa1245-std,concepticon-640,1.214,tˀàʔ,mud,t?a?
clics-doculect-92-5,onaa1245-std,concepticon-671,1.215,šinn,sand,sinn
clics-doculect-92-6,onaa1245-std,concepticon-671,1.215,teri,sand,teri
clics-doculect-92-7,onaa1245-std,concepticon-2118,1.22,kˀoyin,"mountain, hill",k?oyin
clics-doculect-92-8,onaa1245-std,concepticon-618,1.222,tˀàʔrṣn,"cliff, precipice",t?a?rsn
clics-doculect-92-9,onaa1245-std,concepticon-618,1.222,ḳˀèatrs,"cliff, precipice",k?eatrs
clics-doculect-92-10,onaa1245-std,concepticon-652,1.23,pˀèàri,"plain, field",p?eari
clics-doculect-92-11,onaa1245-std,concepticon-921,1.24,ḳˀàhr,valley,k?ahr
clics-doculect-92-12,onaa1245-std,concepticon-622,1.25,tohrè,island,tohre
clics-doculect-92-13,onaa1245-std,concepticon-113,1.27,čèawr,shore,ceawr
clics-doculect-92-14,onaa1245-std,concepticon-113,1.27,tˀalʔ,shore,t?al?
clics-doculect-92-15,onaa1245-std,concepticon-1155,1.28,yahxi,cave,yahxi
clics-doculect-92-16,onaa1245-std,concepticon-948,1.31,čòhwn,water,cohwn
clics-doculect-92-17,onaa1245-std,concepticon-1474,1.32,kˀohx,sea,k?ohx
clics-doculect-92-18,onaa1245-std,concepticon-1768,1.324,wer,foam,wer
clics-doculect-92-19,onaa1245-std,concepticon-645,1.329,kˀohx,ocean,k?ohx
clics-doculect-92-20,onaa1245-std,concepticon-624,1.33,čòhwn,lake,cohwn
clics-doculect-92-21,onaa1245-std,concepticon-623,1.341,waynx,lagoon,waynx
clics-doculect-92-22,onaa1245-std,concepticon-660,1.342,hòʔy,reef,ho?y
clics-doculect-92-23,onaa1245-std,concepticon-1662,1.343,hòʔy,"headland, point",ho?y
clics-doculect-92-24,onaa1245-std,concepticon-978,1.35,weʔy,wave,we?y
clics-doculect-92-25,onaa1245-std,concepticon-1026,1.353,hàpè,lowtide,hape
clics-doculect-92-26,onaa1245-std,concepticon-613,1.354,henwe,hightide,henwe
clics-doculect-92-27,onaa1245-std,concepticon-666,1.36,šikèʔn,"river, stream, brook",sike?n
