ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-106-1,oroq1238-std,concepticon-965,1.1,bʊɣaŋiəlginin,world,bUgaNGi@lginin
clics-doculect-106-2,oroq1238-std,concepticon-626,1.21,tur,"earth, land",tur
clics-doculect-106-3,oroq1238-std,concepticon-1228,1.212,tʊkala,"earth=ground, soil",tUkala
clics-doculect-106-4,oroq1238-std,concepticon-2,1.213,tɔ:rag,dust,to:rag
clics-doculect-106-5,oroq1238-std,concepticon-640,1.214,tilbaka,mud,tilbaka
clics-doculect-106-6,oroq1238-std,concepticon-671,1.215,ʃirgi,sand,Sirgi
clics-doculect-106-7,oroq1238-std,concepticon-2118,1.22,urə,"mountain, hill",ur@
clics-doculect-106-8,oroq1238-std,concepticon-618,1.222,kadar,"cliff, precipice",kadar
clics-doculect-106-9,oroq1238-std,concepticon-652,1.23,kumɛ,"plain, field",kume
clics-doculect-106-10,oroq1238-std,concepticon-921,1.24,yɔpkɔn,valley,yopkon
clics-doculect-106-11,oroq1238-std,concepticon-622,1.25,ʃigdəmki,island,Sigd@mki
clics-doculect-106-12,oroq1238-std,concepticon-113,1.27,dalayŋiŋə:kən,shore,dalayNGiNG@:k@n
clics-doculect-106-13,oroq1238-std,concepticon-1155,1.28,ultəkə,cave,ult@k@
clics-doculect-106-14,oroq1238-std,concepticon-948,1.31,mu:,water,mu:
clics-doculect-106-15,oroq1238-std,concepticon-1474,1.32,dalay,sea,dalay
clics-doculect-106-16,oroq1238-std,concepticon-258,1.322,ɲumu,calm (of sea),numu
clics-doculect-106-17,oroq1238-std,concepticon-1768,1.324,kɔ:kun,foam,ko:kun
clics-doculect-106-18,oroq1238-std,concepticon-624,1.33,amʊdʒi,lake,amUdZi
clics-doculect-106-19,oroq1238-std,concepticon-624,1.33,amʊkan,lake,amUkan
clics-doculect-106-20,oroq1238-std,concepticon-663,1.34,dalaykɔ:tʃɔ,"gulf, bay",dalayko:tSo
clics-doculect-106-21,oroq1238-std,concepticon-978,1.35,urkinən,wave,urkin@n
clics-doculect-106-22,oroq1238-std,concepticon-666,1.36,bira,"river, stream, brook",bira
clics-doculect-106-23,oroq1238-std,concepticon-1982,1.362,ʊlgɛr,whirlpool,Ulger
clics-doculect-106-24,oroq1238-std,concepticon-2144,1.37,bular,"spring, well",bular
clics-doculect-106-25,oroq1238-std,concepticon-2144,1.37,kʊdɪr,"spring, well",kUdIr
clics-doculect-106-26,oroq1238-std,concepticon-1145,1.38,ʃiwar,swamp,Siwar
clics-doculect-106-27,oroq1238-std,concepticon-420,1.41,mɔ:ʃa,"woods, forest",mo:Sa
clics-doculect-106-28,oroq1238-std,concepticon-1803,1.43,mɔ:,wood,mo:
clics-doculect-106-29,oroq1238-std,concepticon-2125,1.44,dʒɔlɔ,"stone, rock",dZolo
clics-doculect-106-30,oroq1238-std,concepticon-2125,1.44,iʃɛkək,"stone, rock",iSek@k
clics-doculect-106-31,oroq1238-std,concepticon-6,1.45,tururtərgətʃə,earthquake,tururt@rg@tS@
clics-doculect-106-32,oroq1238-std,concepticon-1732,1.51,bʊwa,sky,bUwa
clics-doculect-106-33,oroq1238-std,concepticon-1343,1.52,dɪlatʃa,sun,dIlatSa
clics-doculect-106-34,oroq1238-std,concepticon-1343,1.52,ʃiwun,sun,Siwun
clics-doculect-106-35,oroq1238-std,concepticon-1313,1.53,bɛga,moon,bega
clics-doculect-106-36,oroq1238-std,concepticon-1430,1.54,ɔʃɪkta,star,oSIkta
clics-doculect-106-37,oroq1238-std,concepticon-1654,1.55,talɪɲʊ,lightning,talInU
clics-doculect-106-38,oroq1238-std,concepticon-1150,1.56,agdɪ,thunder,agdI
clics-doculect-106-39,oroq1238-std,concepticon-858,1.58,oŋko:,storm,oNGko:
clics-doculect-106-40,oroq1238-std,concepticon-1733,1.59,ʃə:run,rainbow,S@:run
clics-doculect-106-41,oroq1238-std,concepticon-630,1.61,ɪla:n,light (noun),Ila:n
clics-doculect-106-42,oroq1238-std,concepticon-11,1.62,ʃinko,darkness,Sinko
clics-doculect-106-43,oroq1238-std,concepticon-1388,1.63,ʃinmun,"shade, shadow",Sinmun
clics-doculect-106-44,oroq1238-std,concepticon-1388,1.63,aɲan,"shade, shadow",anan
clics-doculect-106-45,oroq1238-std,concepticon-1977,1.64,ʃiləkʃə,dew,Sil@kS@
clics-doculect-106-46,oroq1238-std,concepticon-960,1.72,ədin,wind,@din
clics-doculect-106-47,oroq1238-std,concepticon-1489,1.73,tukʃu,cloud,tukSu
clics-doculect-106-48,oroq1238-std,concepticon-249,1.74,tamna,fog,tamna
clics-doculect-106-49,oroq1238-std,concepticon-658,1.75,tigdə,rain (noun),tigd@
clics-doculect-106-50,oroq1238-std,concepticon-784,1.76,ɪmana,snow (noun),Imana
clics-doculect-106-51,oroq1238-std,concepticon-617,1.77,umukʃu,ice,umukSu
clics-doculect-106-52,oroq1238-std,concepticon-221,1.81,tɔɣɔ,fire,togo
clics-doculect-106-53,oroq1238-std,concepticon-778,1.83,ʃaŋŋan,smoke (noun),SaNGNGan
clics-doculect-106-54,oroq1238-std,concepticon-646,1.84,uləptən,ashes,ul@pt@n
clics-doculect-106-55,oroq1238-std,concepticon-67,1.841,iltʃi,embers,iltSi
clics-doculect-106-56,oroq1238-std,concepticon-141,1.851,dalga,burn (vb trans),dalga
clics-doculect-106-57,oroq1238-std,concepticon-1428,1.852,dʒəgdə,burn (vb intrans),dZ@gd@
clics-doculect-106-58,oroq1238-std,concepticon-737,1.86,nul,"light, kindle, ignite",nul
clics-doculect-106-59,oroq1238-std,concepticon-127,1.861,ʃi:,extinguish,Si:
clics-doculect-106-60,oroq1238-std,concepticon-1133,1.87,pitʃikə,match (noun),pitSik@
clics-doculect-106-61,oroq1238-std,concepticon-1133,1.87,tʃüdəŋ,match (noun),tSud@NG
clics-doculect-106-62,oroq1238-std,concepticon-10,1.88,mɔ:,firewood,mo:
clics-doculect-106-63,oroq1238-std,concepticon-1188,1.89,yɛla,charcoal,yela
clics-doculect-106-64,oroq1238-std,concepticon-683,2.1,bəyə,"person, human being",b@y@
clics-doculect-106-65,oroq1238-std,concepticon-1554,2.21,ɲɪray,man (vs. woman),nIray
clics-doculect-106-66,oroq1238-std,concepticon-962,2.22,aʃɪ,woman,aSI
clics-doculect-106-67,oroq1238-std,concepticon-1553,2.23,ɲɪray,male,nIray
clics-doculect-106-68,oroq1238-std,concepticon-1551,2.24,aʃɪ,female,aSI
clics-doculect-106-69,oroq1238-std,concepticon-1366,2.25,ulkəkən,boy,ulk@k@n
clics-doculect-106-70,oroq1238-std,concepticon-76,2.251,ɲɪrayɪkan,young man (adolescent),nIrayIkan
clics-doculect-106-71,oroq1238-std,concepticon-1646,2.26,una:dʒɪkan,girl,una:dZIkan
clics-doculect-106-72,oroq1238-std,concepticon-77,2.261,una:dʒɪ,young woman (adolescent),una:dZI
clics-doculect-106-73,oroq1238-std,concepticon-1304,2.27,kɔ:kan,child,ko:kan
clics-doculect-106-74,oroq1238-std,concepticon-1289,2.28,nɔnɔ,"infant, baby",nono
clics-doculect-106-75,oroq1238-std,concepticon-1200,2.31,ətirkən,husband,@tirk@n
clics-doculect-106-76,oroq1238-std,concepticon-1199,2.32,atɪrkan,wife,atIrkan
clics-doculect-106-77,oroq1238-std,concepticon-203,2.33,uyumə:,marry,uyum@:
clics-doculect-106-78,oroq1238-std,concepticon-203,2.33,uyə,marry,uy@
clics-doculect-106-79,oroq1238-std,concepticon-1217,2.35,amɪn,father,amIn
clics-doculect-106-80,oroq1238-std,concepticon-1216,2.36,ənin,mother,@nin
clics-doculect-106-81,oroq1238-std,concepticon-505,2.37,amɪnənin,parents,amIn@nin
clics-doculect-106-82,oroq1238-std,concepticon-424,2.38,uyəpdiləɲɪray,married man,uy@pdil@nIray
clics-doculect-106-83,oroq1238-std,concepticon-426,2.39,uyəpdiləaxɪ,married woman,uy@pdil@axI
clics-doculect-106-84,oroq1238-std,concepticon-1620,2.41,ulkəkanutə,son,ulk@kanut@
clics-doculect-106-85,oroq1238-std,concepticon-1357,2.42,axakanutə,daughter,axakanut@
clics-doculect-106-86,oroq1238-std,concepticon-1801,2.43,utə,offspring (son or daughter),ut@
clics-doculect-106-87,oroq1238-std,concepticon-1262,2.44,akunən,brother,akun@n
clics-doculect-106-88,oroq1238-std,concepticon-1759,2.444,akɪn,older brother,akIn
clics-doculect-106-89,oroq1238-std,concepticon-1760,2.445,ɲɪraynəkun,younger brother,nIrayn@kun
clics-doculect-106-90,oroq1238-std,concepticon-1263,2.45,əkunən,sister,@kun@n
clics-doculect-106-91,oroq1238-std,concepticon-1758,2.454,əkin,older sister,@kin
clics-doculect-106-92,oroq1238-std,concepticon-1761,2.455,ʊna:dʒɪnəkun,younger sister,Una:dZIn@kun
clics-doculect-106-93,oroq1238-std,concepticon-1383,2.46,adama,grandfather,adama
clics-doculect-106-94,oroq1238-std,concepticon-1383,2.46,yə:yə,grandfather,y@:y@
clics-doculect-106-95,oroq1238-std,concepticon-406,2.461,ətirkkətʃən,old man,@tirkk@tS@n
clics-doculect-106-96,oroq1238-std,concepticon-1496,2.47,ada,grandmother,ada
clics-doculect-106-97,oroq1238-std,concepticon-907,2.471,atirkka:tʃan,old woman,atirkka:tSan
clics-doculect-106-98,oroq1238-std,concepticon-1618,2.48,ulkəkən,grandson,ulk@k@n
clics-doculect-106-99,oroq1238-std,concepticon-1618,2.48,ɲɪrayɪɔmɔlɛ:,grandson,nIrayIomole:
clics-doculect-106-100,oroq1238-std,concepticon-1619,2.49,ʊna:dʒɪ,granddaughter,Una:dZI
clics-doculect-106-101,oroq1238-std,concepticon-1619,2.49,aʃɪɔmɔlɛ:,granddaughter,aSIomole:
clics-doculect-106-102,oroq1238-std,concepticon-1984,2.511,na:tʃʊ,mother's brother,na:tSU
clics-doculect-106-103,oroq1238-std,concepticon-1985,2.512,ama:ka,father's brother,ama:ka
clics-doculect-106-104,oroq1238-std,concepticon-171,2.521,əɲəkə,mother's sister,@n@k@
clics-doculect-106-105,oroq1238-std,concepticon-170,2.522,əɲəkə,father's sister,@n@k@
clics-doculect-106-106,oroq1238-std,concepticon-1063,2.53,dʒüy,nephew,dZuy
clics-doculect-106-107,oroq1238-std,concepticon-1642,2.54,dʒüyʊna:dʒɪ,niece,dZuyUna:dZI
clics-doculect-106-108,oroq1238-std,concepticon-1643,2.55,tuwən,cousin,tuw@n
clics-doculect-106-109,oroq1238-std,concepticon-1643,2.55,ta:ra,cousin,ta:ra
