ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-115-1,pano1254-std,concepticon-965,1.1,šaβa,world,saba
clics-doculect-115-2,pano1254-std,concepticon-626,1.21,mai,"earth, land",mai
clics-doculect-115-3,pano1254-std,concepticon-1228,1.212,mai,"earth=ground, soil",mai
clics-doculect-115-4,pano1254-std,concepticon-2,1.213,maipoto,dust,maipoto
clics-doculect-115-5,pano1254-std,concepticon-640,1.214,paras,mud,paras
clics-doculect-115-6,pano1254-std,concepticon-671,1.215,mači,sand,maci
clics-doculect-115-7,pano1254-std,concepticon-2118,1.22,maṣ̌i,"mountain, hill",masi
clics-doculect-115-8,pano1254-std,concepticon-921,1.24,mispã,valley,mispa
clics-doculect-115-9,pano1254-std,concepticon-622,1.25,maitoʔõ,island,maito?o
clics-doculect-115-10,pano1254-std,concepticon-113,1.27,wakakɨso,shore,wakakiso
clics-doculect-115-11,pano1254-std,concepticon-948,1.31,waka,water,waka
clics-doculect-115-12,pano1254-std,concepticon-1768,1.324,βakoš,foam,bakos
clics-doculect-115-13,pano1254-std,concepticon-624,1.33,iã,lake,ia
clics-doculect-115-14,pano1254-std,concepticon-978,1.35,wakarɨškɨ,wave,wakariski
clics-doculect-115-15,pano1254-std,concepticon-666,1.36,noa,"river, stream, brook",noa
clics-doculect-115-16,pano1254-std,concepticon-666,1.36,waka,"river, stream, brook",waka
clics-doculect-115-17,pano1254-std,concepticon-666,1.36,tɨã,"river, stream, brook",tia
clics-doculect-115-18,pano1254-std,concepticon-1982,1.362,nɨmĩ,whirlpool,nimi
clics-doculect-115-19,pano1254-std,concepticon-2144,1.37,yočĩnihato,"spring, well",yocinihato
clics-doculect-115-20,pano1254-std,concepticon-1145,1.38,mispã,swamp,mispa
clics-doculect-115-21,pano1254-std,concepticon-420,1.41,niʔi,"woods, forest",ni?i
clics-doculect-115-23,pano1254-std,concepticon-1803,1.43,hiwikaškɨ,wood,hiwikaski
clics-doculect-115-24,pano1254-std,concepticon-2125,1.44,mički,"stone, rock",micki
clics-doculect-115-25,pano1254-std,concepticon-6,1.45,maitatĩ,earthquake,maitati
clics-doculect-115-26,pano1254-std,concepticon-1732,1.51,nai,sky,nai
clics-doculect-115-27,pano1254-std,concepticon-1343,1.52,βari,sun,bari
clics-doculect-115-28,pano1254-std,concepticon-1313,1.53,ošɨ,moon,osi
clics-doculect-115-29,pano1254-std,concepticon-1430,1.54,hiči,star,hici
clics-doculect-115-30,pano1254-std,concepticon-1654,1.55,kana,lightning,kana
clics-doculect-115-31,pano1254-std,concepticon-1150,1.56,naii,thunder,naii
clics-doculect-115-32,pano1254-std,concepticon-2007,1.57,kanapa,lightning (as striking),kanapa
clics-doculect-115-33,pano1254-std,concepticon-858,1.58,oihawɨʔãtiʔoka,storm,oihawi?ati?oka
clics-doculect-115-34,pano1254-std,concepticon-1733,1.59,nawãβaʔi,rainbow,nawaba?i
clics-doculect-115-35,pano1254-std,concepticon-630,1.61,amo,light (noun),amo
clics-doculect-115-36,pano1254-std,concepticon-11,1.62,βakič,darkness,bakic
clics-doculect-115-37,pano1254-std,concepticon-1388,1.63,βaripãtɨʔɨ,"shade, shadow",baripati?i
clics-doculect-115-38,pano1254-std,concepticon-1388,1.63,βarima,"shade, shadow",barima
clics-doculect-115-39,pano1254-std,concepticon-1977,1.64,hasɨ,dew,hasi
clics-doculect-115-40,pano1254-std,concepticon-960,1.72,niwɨ,wind,niwi
clics-doculect-115-41,pano1254-std,concepticon-1489,1.73,naikoʔĩ,cloud,naiko?i
clics-doculect-115-42,pano1254-std,concepticon-249,1.74,hičiniβi,fog,hicinibi
clics-doculect-115-43,pano1254-std,concepticon-658,1.75,oi,rain (noun),oi
clics-doculect-115-44,pano1254-std,concepticon-952,1.78,nairoʔapa,weather,nairo?apa
clics-doculect-115-45,pano1254-std,concepticon-952,1.78,naiičṣ̌apa,weather,naiicsapa
clics-doculect-115-46,pano1254-std,concepticon-221,1.81,ṣ̌iʔi,fire,si?i
clics-doculect-115-47,pano1254-std,concepticon-889,1.82,ṣ̌iʔi,flame (noun),si?i
clics-doculect-115-48,pano1254-std,concepticon-778,1.83,koʔĩ,smoke (noun),ko?i
clics-doculect-115-49,pano1254-std,concepticon-646,1.84,ṣ̌iʔimapo,ashes,si?imapo
clics-doculect-115-50,pano1254-std,concepticon-67,1.841,rɨkɨ̃,embers,riki
clics-doculect-115-51,pano1254-std,concepticon-141,1.851,koʔa,burn (vb trans),ko?a
clics-doculect-115-52,pano1254-std,concepticon-1428,1.852,koʔot,burn (vb intrans),ko?ot
clics-doculect-115-53,pano1254-std,concepticon-737,1.86,kawa,"light, kindle, ignite",kawa
clics-doculect-115-54,pano1254-std,concepticon-127,1.861,namɨ,extinguish,nami
clics-doculect-115-55,pano1254-std,concepticon-1133,1.87,ṣ̌iʔiti,match (noun),si?iti
clics-doculect-115-56,pano1254-std,concepticon-10,1.88,karo,firewood,karo
clics-doculect-115-57,pano1254-std,concepticon-1188,1.89,ṣ̌iʔitɨstɨ,charcoal,si?itisti
clics-doculect-115-58,pano1254-std,concepticon-683,2.1,nokɨ,"person, human being",noki
clics-doculect-115-59,pano1254-std,concepticon-1554,2.21,honi,man (vs. woman),honi
clics-doculect-115-60,pano1254-std,concepticon-962,2.22,aĩβo,woman,aibo
clics-doculect-115-61,pano1254-std,concepticon-1553,2.23,βɨnɨ,male,bini
clics-doculect-115-62,pano1254-std,concepticon-1551,2.24,aĩ,female,ai
clics-doculect-115-63,pano1254-std,concepticon-1366,2.25,honiβakɨ,boy,honibaki
clics-doculect-115-64,pano1254-std,concepticon-76,2.251,βɨrona,young man (adolescent),birona
clics-doculect-115-65,pano1254-std,concepticon-1646,2.26,aĩβakɨ,girl,aibaki
clics-doculect-115-66,pano1254-std,concepticon-77,2.261,šomaya,young woman (adolescent),somaya
clics-doculect-115-67,pano1254-std,concepticon-1304,2.27,yomɨpičṣ̌a,child,yomipicsa
clics-doculect-115-68,pano1254-std,concepticon-1289,2.28,yomɨmaško,"infant, baby",yomimasko
clics-doculect-115-69,pano1254-std,concepticon-1200,2.31,βɨnɨ,husband,bini
clics-doculect-115-70,pano1254-std,concepticon-1199,2.32,aĩ,wife,ai
clics-doculect-115-71,pano1254-std,concepticon-203,2.33,βɨnɨya,marry,biniya
clics-doculect-115-72,pano1254-std,concepticon-203,2.33,aĩya,marry,aiya
clics-doculect-115-73,pano1254-std,concepticon-1259,2.34,βɨnɨyati,"marriage, wedding",biniyati
clics-doculect-115-74,pano1254-std,concepticon-1259,2.34,aĩyati,"marriage, wedding",aiyati
clics-doculect-115-75,pano1254-std,concepticon-1134,2.341,hɨnɨ,divorce,hini
clics-doculect-115-76,pano1254-std,concepticon-1217,2.35,papa,father,papa
clics-doculect-115-77,pano1254-std,concepticon-1216,2.36,ɨwa,mother,iwa
clics-doculect-115-78,pano1254-std,concepticon-505,2.37,papaβos,parents,papabos
clics-doculect-115-79,pano1254-std,concepticon-424,2.38,aĩya,married man,aiya
clics-doculect-115-80,pano1254-std,concepticon-426,2.39,βɨnɨya,married woman,biniya
clics-doculect-115-81,pano1254-std,concepticon-1620,2.41,yomɨ,son,yomi
clics-doculect-115-82,pano1254-std,concepticon-1357,2.42,ini,daughter,ini
clics-doculect-115-83,pano1254-std,concepticon-1801,2.43,yomɨβo,offspring (son or daughter),yomibo
clics-doculect-115-84,pano1254-std,concepticon-1262,2.44,wɨc̷a,brother,wica
clics-doculect-115-85,pano1254-std,concepticon-1262,2.44,takɨ,brother,taki
clics-doculect-115-86,pano1254-std,concepticon-1759,2.444,hoṣ̌i,older brother,hosi
clics-doculect-115-87,pano1254-std,concepticon-1760,2.445,anaka,younger brother,anaka
clics-doculect-115-88,pano1254-std,concepticon-1263,2.45,wɨc̷a,sister,wica
clics-doculect-115-89,pano1254-std,concepticon-1263,2.45,takɨ,sister,taki
clics-doculect-115-90,pano1254-std,concepticon-1758,2.454,ṣ̌iṣ̌o,older sister,siso
clics-doculect-115-91,pano1254-std,concepticon-1761,2.455,ṣ̌ipoa,younger sister,sipoa
clics-doculect-115-92,pano1254-std,concepticon-1640,2.456,wɨc̷a,sibling,wica
clics-doculect-115-93,pano1254-std,concepticon-1640,2.456,takɨ,sibling,taki
clics-doculect-115-94,pano1254-std,concepticon-1005,2.458,yomɨpapi,twins,yomipapi
clics-doculect-115-95,pano1254-std,concepticon-1383,2.46,ṣ̌aʔiṣ̌o,grandfather,sa?iso
clics-doculect-115-96,pano1254-std,concepticon-406,2.461,šɨnira,old man,sinira
clics-doculect-115-97,pano1254-std,concepticon-1496,2.47,iča,grandmother,ica
clics-doculect-115-98,pano1254-std,concepticon-907,2.471,yošaβo,old woman,yosabo
clics-doculect-115-99,pano1254-std,concepticon-1618,2.48,βaβa,grandson,baba
clics-doculect-115-100,pano1254-std,concepticon-1619,2.49,βaβa,granddaughter,baba
clics-doculect-115-101,pano1254-std,concepticon-1327,2.51,βakɨṣ̌oʔo,uncle,bakiso?o
clics-doculect-115-102,pano1254-std,concepticon-1984,2.511,koka,mother's brother,koka
clics-doculect-115-103,pano1254-std,concepticon-1985,2.512,βakɨṣ̌oʔo,father's brother,bakiso?o
clics-doculect-115-104,pano1254-std,concepticon-1272,2.52,ɨwa,aunt,iwa
clics-doculect-115-105,pano1254-std,concepticon-1272,2.52,naṣ̌i,aunt,nasi
clics-doculect-115-106,pano1254-std,concepticon-171,2.521,ɨwa,mother's sister,iwa
clics-doculect-115-107,pano1254-std,concepticon-170,2.522,naṣ̌i,father's sister,nasi
clics-doculect-115-108,pano1254-std,concepticon-1063,2.53,pia,nephew,pia
clics-doculect-115-109,pano1254-std,concepticon-1063,2.53,βakiṣ̌oʔo,nephew,bakiso?o
clics-doculect-115-110,pano1254-std,concepticon-1642,2.54,ɨwašoko,niece,iwasoko
clics-doculect-115-111,pano1254-std,concepticon-1642,2.54,inĩtakɨ,niece,initaki
clics-doculect-115-112,pano1254-std,concepticon-1643,2.55,hoṣ̌iṣ̌oʔo,cousin,hosiso?o
clics-doculect-115-113,pano1254-std,concepticon-1669,2.56,šɨnipaβo,ancestors,sinipabo
clics-doculect-115-114,pano1254-std,concepticon-490,2.57,yomɨβo,descendants,yomibo
clics-doculect-115-115,pano1254-std,concepticon-2255,2.61,rayos,father-in-law (of a man),rayos
clics-doculect-115-116,pano1254-std,concepticon-2254,2.611,βaβã,father-in-law (of a woman),baba
clics-doculect-115-117,pano1254-std,concepticon-2256,2.62,rayos,mother-in-law (of a man),rayos
clics-doculect-115-118,pano1254-std,concepticon-2257,2.621,βaβã,mother-in-law (of a woman),baba
clics-doculect-115-119,pano1254-std,concepticon-2267,2.63,rayos,son-in-law (of a man),rayos
clics-doculect-115-120,pano1254-std,concepticon-2266,2.631,rayos,son-in-law (of a woman),rayos
clics-doculect-115-121,pano1254-std,concepticon-2265,2.64,βaβã,daughter-in-law (of a man),baba
clics-doculect-115-122,pano1254-std,concepticon-2264,2.641,βaβã,daughter-in-law (of a woman),baba
clics-doculect-115-123,pano1254-std,concepticon-237,2.71,papawɨc̷a,stepfather,papawica
clics-doculect-115-124,pano1254-std,concepticon-236,2.72,ɨwawɨc̷a,stepmother,iwawica
clics-doculect-115-125,pano1254-std,concepticon-1059,2.73,yomɨ,stepson,yomi
clics-doculect-115-126,pano1254-std,concepticon-1058,2.74,ini,stepdaughter,ini
clics-doculect-115-127,pano1254-std,concepticon-1149,2.75,papaʔoma,orphan,papa?oma
clics-doculect-115-128,pano1254-std,concepticon-1756,2.76,ronaʔataaĩβo,widow,rona?ataaibo
clics-doculect-115-129,pano1254-std,concepticon-1981,2.77,ronaʔatahoni,widower,rona?atahoni
clics-doculect-115-130,pano1254-std,concepticon-1644,2.81,hawɨβo,"relatives, kinsmen",hawibo
clics-doculect-115-131,pano1254-std,concepticon-194,2.82,hawɨβo,family,hawibo
clics-doculect-115-132,pano1254-std,concepticon-1209,2.91,ɨa,I,ia
clics-doculect-115-133,pano1254-std,concepticon-1209,2.91,ɨã,I,ia
clics-doculect-115-134,pano1254-std,concepticon-1209,2.91,ɨ̃,I,i
clics-doculect-115-135,pano1254-std,concepticon-1215,2.92,mia,you (singular),mia
clics-doculect-115-136,pano1254-std,concepticon-1215,2.92,miã,you (singular),mia
clics-doculect-115-137,pano1254-std,concepticon-1215,2.92,mĩ,you (singular),mi
clics-doculect-115-138,pano1254-std,concepticon-262,2.93,haa,he/she/it,haa
clics-doculect-115-139,pano1254-std,concepticon-262,2.93,hatõ,he/she/it,hato
clics-doculect-115-140,pano1254-std,concepticon-262,2.93,hãwɨ̃,he/she/it,hawi
clics-doculect-115-141,pano1254-std,concepticon-1212,2.94,nokɨ,we,noki
clics-doculect-115-142,pano1254-std,concepticon-1212,2.94,nokɨ̃,we,noki
clics-doculect-115-143,pano1254-std,concepticon-1212,2.94,nõ,we,no
clics-doculect-115-144,pano1254-std,concepticon-1131,2.941,nokɨ,we (inclusive),noki
clics-doculect-115-145,pano1254-std,concepticon-1131,2.941,nokɨ̃,we (inclusive),noki
clics-doculect-115-146,pano1254-std,concepticon-1131,2.941,nõ,we (inclusive),no
clics-doculect-115-147,pano1254-std,concepticon-1130,2.942,nokɨ,we (exclusive),noki
clics-doculect-115-148,pano1254-std,concepticon-1130,2.942,nokɨ̃,we (exclusive),noki
clics-doculect-115-149,pano1254-std,concepticon-1130,2.942,nõ,we (exclusive),no
clics-doculect-115-150,pano1254-std,concepticon-1213,2.95,mato,you (plural),mato
clics-doculect-115-151,pano1254-std,concepticon-1213,2.95,matõ,you (plural),mato
clics-doculect-115-152,pano1254-std,concepticon-1213,2.95,mã,you (plural),ma
clics-doculect-115-153,pano1254-std,concepticon-817,2.96,hatoβo,they,hatobo
clics-doculect-115-154,pano1254-std,concepticon-817,2.96,hatoβão,they,hatobao
clics-doculect-115-155,pano1254-std,concepticon-817,2.96,βo,they,bo
clics-doculect-115-156,pano1254-std,concepticon-619,3.11,yoʔina,animal,yo?ina
clics-doculect-115-157,pano1254-std,concepticon-2261,3.12,βɨnɨ,male (adj),bini
clics-doculect-115-158,pano1254-std,concepticon-2262,3.13,aĩ,female (adj),ai
clics-doculect-115-159,pano1254-std,concepticon-631,3.15,ina,livestock,ina
clics-doculect-115-160,pano1254-std,concepticon-1008,3.21,βɨnɨ,bull,bini
clics-doculect-115-161,pano1254-std,concepticon-1007,3.23,aĩ,cow,ai
clics-doculect-115-162,pano1254-std,concepticon-1989,3.24,βakɨ,calf,baki
clics-doculect-115-163,pano1254-std,concepticon-1331,3.25,inaṣ̌ašo,sheep,inasaso
clics-doculect-115-164,pano1254-std,concepticon-1344,3.26,inaṣ̌ašoβɨnɨ,ram,inasasobini
clics-doculect-115-165,pano1254-std,concepticon-1345,3.28,inaṣ̌ašoaĩ,ewe,inasasoai
clics-doculect-115-166,pano1254-std,concepticon-820,3.29,inaṣ̌ašoβakɨ,lamb,inasasobaki
clics-doculect-115-167,pano1254-std,concepticon-1348,3.32,pisihonoβɨnɨ,boar,pisihonobini
clics-doculect-115-168,pano1254-std,concepticon-1351,3.34,pisihonoaĩ,sow,pisihonoai
clics-doculect-115-169,pano1254-std,concepticon-1337,3.35,pisihono,pig,pisihono
clics-doculect-115-170,pano1254-std,concepticon-1502,3.36,ṣ̌ašokɨniya,goat,sasokiniya
clics-doculect-115-171,pano1254-std,concepticon-264,3.37,ṣ̌ašokɨniyaβakɨ,he-goat,sasokiniyabaki
clics-doculect-115-172,pano1254-std,concepticon-1972,3.38,ṣ̌ašokɨniyaβakɨ,kid,sasokiniyabaki
clics-doculect-115-173,pano1254-std,concepticon-615,3.41,ina,horse (equine),ina
clics-doculect-115-174,pano1254-std,concepticon-936,3.42,inaβɨnɨ,stallion,inabini
clics-doculect-115-175,pano1254-std,concepticon-938,3.44,inaaĩ,mare,inaai
