ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-219-1,para1311-std,concepticon-965,1.1,arapɨ,world,arapi
clics-doculect-219-2,para1311-std,concepticon-626,1.21,ɨvɨape,"earth, land",iviape
clics-doculect-219-3,para1311-std,concepticon-1228,1.212,ɨvɨ,"earth=ground, soil",ivi
clics-doculect-219-4,para1311-std,concepticon-2,1.213,ɨvɨtiᵐbo,dust,ivitibo
clics-doculect-219-5,para1311-std,concepticon-640,1.214,ɲaɨʔũ,mud,nai?u
clics-doculect-219-6,para1311-std,concepticon-640,1.214,tuǰu,mud,tuju
clics-doculect-219-7,para1311-std,concepticon-671,1.215,ɨvɨkuʔi,sand,iviku?i
clics-doculect-219-8,para1311-std,concepticon-2118,1.22,ɨvɨtɨ,"mountain, hill",iviti
clics-doculect-219-9,para1311-std,concepticon-618,1.222,ɨvɨʔã,"cliff, precipice",ivi?a
clics-doculect-219-10,para1311-std,concepticon-652,1.23,ǰoǰa,"plain, field",joja
clics-doculect-219-11,para1311-std,concepticon-652,1.23,ɲu,"plain, field",nu
clics-doculect-219-12,para1311-std,concepticon-921,1.24,ɨvɨtɨpaʔũ,valley,ivitipa?u
clics-doculect-219-13,para1311-std,concepticon-622,1.25,ɨpaʔũ,island,ipa?u
clics-doculect-219-14,para1311-std,concepticon-622,1.25,ɲupaʔũ,island,nupa?u
clics-doculect-219-15,para1311-std,concepticon-166,1.26,ɨvɨɣʷasu,mainland,ivigwasu
clics-doculect-219-16,para1311-std,concepticon-166,1.26,ɨvɨvusu,mainland,ivivusu
clics-doculect-219-17,para1311-std,concepticon-113,1.27,teᵐbeʔɨ,shore,tebe?i
clics-doculect-219-18,para1311-std,concepticon-113,1.27,ɨreᵐbeʔɨ,shore,irebe?i
clics-doculect-219-19,para1311-std,concepticon-1155,1.28,itakua,cave,itakua
clics-doculect-219-20,para1311-std,concepticon-948,1.31,ɨ,water,i
clics-doculect-219-21,para1311-std,concepticon-1474,1.32,para,sea,para
clics-doculect-219-22,para1311-std,concepticon-258,1.322,pɨʔaɣʷapɨ,calm (of sea),pi?agwapi
clics-doculect-219-23,para1311-std,concepticon-258,1.322,ɨvɨtuporeʔɨ̃,calm (of sea),ivitupore?i
clics-doculect-219-24,para1311-std,concepticon-259,1.323,kuču,rough (of sea),kucu
clics-doculect-219-25,para1311-std,concepticon-1768,1.324,tɨ'ǰui,foam,ti'jui
clics-doculect-219-26,para1311-std,concepticon-645,1.329,paraɣʷasu,ocean,paragwasu
clics-doculect-219-27,para1311-std,concepticon-624,1.33,ɨreⁿda,lake,irenda
clics-doculect-219-28,para1311-std,concepticon-624,1.33,ɨpa,lake,ipa
clics-doculect-219-29,para1311-std,concepticon-663,1.34,ɨʔapɨte,"gulf, bay",i?apite
clics-doculect-219-30,para1311-std,concepticon-623,1.341,ɨrupa,lagoon,irupa
clics-doculect-219-31,para1311-std,concepticon-623,1.341,ɨnoʔõ,lagoon,ino?o
clics-doculect-219-32,para1311-std,concepticon-660,1.342,itaɨpeɣʷa,reef,itaipegwa
clics-doculect-219-33,para1311-std,concepticon-1662,1.343,ɨvɨakã,"headland, point",iviaka
clics-doculect-219-34,para1311-std,concepticon-978,1.35,ɨpuʔã,wave,ipu?a
clics-doculect-219-35,para1311-std,concepticon-978,1.35,ɨapeno,wave,iapeno
clics-doculect-219-36,para1311-std,concepticon-891,1.352,parasɨrɨ,tide,parasiri
clics-doculect-219-37,para1311-std,concepticon-1026,1.353,paraɣʷeǰɨ,lowtide,paragweji
clics-doculect-219-38,para1311-std,concepticon-613,1.354,paraǰupi,hightide,parajupi
clics-doculect-219-39,para1311-std,concepticon-666,1.36,ɨsɨrɨ,"river, stream, brook",isiri
