ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-50-1,pila1245-std,concepticon-965,1.1,ʔa'lewa,world,?a'lewa
clics-doculect-50-2,pila1245-std,concepticon-626,1.21,ʔa'lewa,"earth, land",?a'lewa
clics-doculect-50-3,pila1245-std,concepticon-1228,1.212,ʔa'lewa,"earth=ground, soil",?a'lewa
clics-doculect-50-4,pila1245-std,concepticon-2,1.213,ʔe'naayaʁa,dust,?e'naayaRa
clics-doculect-50-5,pila1245-std,concepticon-640,1.214,senal,mud,senal
clics-doculect-50-6,pila1245-std,concepticon-671,1.215,pogaʁanaʁa,sand,pogaRanaRa
clics-doculect-50-7,pila1245-std,concepticon-2118,1.22,ḳasoʁonaʁa,"mountain, hill",kasoRonaRa
clics-doculect-50-8,pila1245-std,concepticon-618,1.222,komad'aʁa,"cliff, precipice",komad'aRa
clics-doculect-50-9,pila1245-std,concepticon-652,1.23,'nʔonaʁa,"plain, field",'n?onaRa
clics-doculect-50-10,pila1245-std,concepticon-921,1.24,kʔamege,valley,k?amege
clics-doculect-50-11,pila1245-std,concepticon-622,1.25,nepe,island,nepe
clics-doculect-50-12,pila1245-std,concepticon-622,1.25,ʔa'lewolek,island,?a'lewolek
clics-doculect-50-13,pila1245-std,concepticon-113,1.27,loʁoge,shore,loRoge
clics-doculect-50-14,pila1245-std,concepticon-1155,1.28,lawak,cave,lawak
clics-doculect-50-15,pila1245-std,concepticon-948,1.31,noʁop,water,noRop
clics-doculect-50-16,pila1245-std,concepticon-1474,1.32,waʁai,sea,waRai
clics-doculect-50-17,pila1245-std,concepticon-258,1.322,n'točiiɲi,calm (of sea),n'tociini
clics-doculect-50-18,pila1245-std,concepticon-1768,1.324,lʔalii,foam,l?alii
clics-doculect-50-19,pila1245-std,concepticon-645,1.329,waʁai,ocean,waRai
clics-doculect-50-20,pila1245-std,concepticon-624,1.33,pe'rona,lake,pe'rona
clics-doculect-50-21,pila1245-std,concepticon-978,1.35,le'paʁa,wave,le'paRa
clics-doculect-50-22,pila1245-std,concepticon-666,1.36,'ɲači,"river, stream, brook",'naci
clics-doculect-50-23,pila1245-std,concepticon-1982,1.362,lʔi'yilaʁaso,whirlpool,l?i'yilaRaso
clics-doculect-50-24,pila1245-std,concepticon-2144,1.37,l'opiʔyaʁaki,"spring, well",l'opi?yaRaki
clics-doculect-50-25,pila1245-std,concepticon-1145,1.38,lačiiyi,swamp,laciiyi
