ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-221-1,plat1254-std,concepticon-965,1.1,izàotontòloizào,world,izaotontoloizao
clics-doculect-221-2,plat1254-std,concepticon-626,1.21,tàny,"earth, land",tany
clics-doculect-221-3,plat1254-std,concepticon-1228,1.212,tàny,"earth=ground, soil",tany
clics-doculect-221-4,plat1254-std,concepticon-2,1.213,vòvoka,dust,vovoka
clics-doculect-221-5,plat1254-std,concepticon-640,1.214,fòtaka,mud,fotaka
clics-doculect-221-6,plat1254-std,concepticon-671,1.215,fàsika,sand,fasika
clics-doculect-221-7,plat1254-std,concepticon-2118,1.22,vòhitra,"mountain, hill",vohitra
clics-doculect-221-8,plat1254-std,concepticon-618,1.222,hàntsana,"cliff, precipice",hantsana
clics-doculect-221-9,plat1254-std,concepticon-652,1.23,tànylèmaka,"plain, field",tanylemaka
clics-doculect-221-10,plat1254-std,concepticon-652,1.23,sàha,"plain, field",saha
clics-doculect-221-11,plat1254-std,concepticon-921,1.24,lohasàha,valley,lohasaha
clics-doculect-221-12,plat1254-std,concepticon-622,1.25,nòsy,island,nosy
clics-doculect-221-13,plat1254-std,concepticon-166,1.26,kontinènta,mainland,kontinenta
clics-doculect-221-14,plat1254-std,concepticon-113,1.27,morondràno,shore,morondrano
clics-doculect-221-15,plat1254-std,concepticon-1155,1.28,lavabàto,cave,lavabato
clics-doculect-221-16,plat1254-std,concepticon-948,1.31,ràno,water,rano
clics-doculect-221-17,plat1254-std,concepticon-1474,1.32,ranomàsina,sea,ranomasina
clics-doculect-221-18,plat1254-std,concepticon-258,1.322,tòny,calm (of sea),tony
clics-doculect-221-19,plat1254-std,concepticon-259,1.323,manetsikètsika,rough (of sea),manetsiketsika
clics-doculect-221-20,plat1254-std,concepticon-1768,1.324,vòry,foam,vory
clics-doculect-221-21,plat1254-std,concepticon-1768,1.324,ròatra,foam,roatra
clics-doculect-221-22,plat1254-std,concepticon-645,1.329,ranomasimbè,ocean,ranomasimbe
clics-doculect-221-23,plat1254-std,concepticon-624,1.33,farìhy,lake,farihy
clics-doculect-221-24,plat1254-std,concepticon-663,1.34,helodranomàsina,"gulf, bay",helodranomasina
clics-doculect-221-25,plat1254-std,concepticon-660,1.342,harandranomàsina,reef,harandranomasina
clics-doculect-221-26,plat1254-std,concepticon-1662,1.343,tànjona,"headland, point",tanjona
clics-doculect-221-27,plat1254-std,concepticon-1662,1.343,tsìraka,"headland, point",tsiraka
clics-doculect-221-28,plat1254-std,concepticon-978,1.35,ònja,wave,onja
clics-doculect-221-29,plat1254-std,concepticon-978,1.35,àlona,wave,alona
clics-doculect-221-30,plat1254-std,concepticon-613,1.354,samònta,hightide,samonta
clics-doculect-221-31,plat1254-std,concepticon-666,1.36,reniràno,"river, stream, brook",renirano
clics-doculect-221-32,plat1254-std,concepticon-666,1.36,òny,"river, stream, brook",ony
clics-doculect-221-33,plat1254-std,concepticon-1982,1.362,ranomòdy,whirlpool,ranomody
clics-doculect-221-34,plat1254-std,concepticon-2144,1.37,loharàno,"spring, well",loharano
clics-doculect-221-35,plat1254-std,concepticon-1145,1.38,honahòna,swamp,honahona
clics-doculect-221-36,plat1254-std,concepticon-1145,1.38,henihèny,swamp,heniheny
clics-doculect-221-37,plat1254-std,concepticon-1145,1.38,hòraka,swamp,horaka
clics-doculect-221-38,plat1254-std,concepticon-943,1.39,rìana,waterfall,riana
clics-doculect-221-39,plat1254-std,concepticon-420,1.41,àla,"woods, forest",ala
clics-doculect-221-40,plat1254-std,concepticon-1803,1.43,hàzo,wood,hazo
clics-doculect-221-41,plat1254-std,concepticon-2125,1.44,vàto,"stone, rock",vato
clics-doculect-221-42,plat1254-std,concepticon-6,1.45,horohorontàny,earthquake,horohorontany
clics-doculect-221-43,plat1254-std,concepticon-1732,1.51,lànitra,sky,lanitra
clics-doculect-221-44,plat1254-std,concepticon-1343,1.52,masonàndro,sun,masonandro
clics-doculect-221-45,plat1254-std,concepticon-1313,1.53,vòlana,moon,volana
clics-doculect-221-46,plat1254-std,concepticon-1430,1.54,kìntana,star,kintana
clics-doculect-221-47,plat1254-std,concepticon-1654,1.55,tsèlatra,lightning,tselatra
clics-doculect-221-48,plat1254-std,concepticon-1654,1.55,hèlatra,lightning,helatra
clics-doculect-221-49,plat1254-std,concepticon-1150,1.56,vàratra,thunder,varatra
clics-doculect-221-50,plat1254-std,concepticon-2007,1.57,hèlatra,lightning (as striking),helatra
clics-doculect-221-51,plat1254-std,concepticon-2007,1.57,tsèlatra,lightning (as striking),tselatra
clics-doculect-221-52,plat1254-std,concepticon-858,1.58,tafìodrìvotra,storm,tafiodrivotra
clics-doculect-221-53,plat1254-std,concepticon-1733,1.59,antsiben’andriamànitra,rainbow,antsiben'andriamanitra
clics-doculect-221-54,plat1254-std,concepticon-1733,1.59,àvana,rainbow,avana
clics-doculect-221-55,plat1254-std,concepticon-630,1.61,zàva,light (noun),zava
clics-doculect-221-56,plat1254-std,concepticon-11,1.62,nymaìzina,darkness,nymaizina
clics-doculect-221-57,plat1254-std,concepticon-1388,1.63,àloka,"shade, shadow",aloka
clics-doculect-221-58,plat1254-std,concepticon-1977,1.64,àndo,dew,ando
clics-doculect-221-59,plat1254-std,concepticon-27,1.71,rìvotra,air,rivotra
clics-doculect-221-60,plat1254-std,concepticon-960,1.72,rìvotra,wind,rivotra
clics-doculect-221-61,plat1254-std,concepticon-1489,1.73,ràhona,cloud,rahona
clics-doculect-221-62,plat1254-std,concepticon-249,1.74,zàvona,fog,zavona
clics-doculect-221-63,plat1254-std,concepticon-658,1.75,òrana,rain (noun),orana
clics-doculect-221-64,plat1254-std,concepticon-784,1.76,orampànala,snow (noun),orampanala
clics-doculect-221-65,plat1254-std,concepticon-617,1.77,ranomàndry,ice,ranomandry
clics-doculect-221-66,plat1254-std,concepticon-952,1.78,àndro,weather,andro
clics-doculect-221-67,plat1254-std,concepticon-221,1.81,àfo,fire,afo
clics-doculect-221-68,plat1254-std,concepticon-889,1.82,lelàfo,flame (noun),lelafo
clics-doculect-221-69,plat1254-std,concepticon-778,1.83,sètroka,smoke (noun),setroka
clics-doculect-221-70,plat1254-std,concepticon-646,1.84,lavènona,ashes,lavenona
clics-doculect-221-71,plat1254-std,concepticon-67,1.841,vainàfo,embers,vainafo
clics-doculect-221-72,plat1254-std,concepticon-141,1.851,mandòro,burn (vb trans),mandoro
clics-doculect-221-73,plat1254-std,concepticon-1428,1.852,mirèhitra,burn (vb intrans),mirehitra
clics-doculect-221-74,plat1254-std,concepticon-1428,1.852,may,burn (vb intrans),may
clics-doculect-221-75,plat1254-std,concepticon-737,1.86,mandrèhitra,"light, kindle, ignite",mandrehitra
clics-doculect-221-76,plat1254-std,concepticon-127,1.861,mamòno,extinguish,mamono
clics-doculect-221-77,plat1254-std,concepticon-1133,1.87,afokàsika,match (noun),afokasika
clics-doculect-221-78,plat1254-std,concepticon-1133,1.87,afokàsoka,match (noun),afokasoka
clics-doculect-221-79,plat1254-std,concepticon-10,1.88,kitày,firewood,kitay
clics-doculect-221-80,plat1254-std,concepticon-1188,1.89,saribào,charcoal,saribao
clics-doculect-221-81,plat1254-std,concepticon-1188,1.89,àrina,charcoal,arina
clics-doculect-221-82,plat1254-std,concepticon-683,2.1,òlona,"person, human being",olona
clics-doculect-221-83,plat1254-std,concepticon-1554,2.21,lehilahy,man (vs. woman),lehilahy
clics-doculect-221-84,plat1254-std,concepticon-962,2.22,vehivàvy,woman,vehivavy
clics-doculect-221-85,plat1254-std,concepticon-1553,2.23,làhy,male,lahy
clics-doculect-221-86,plat1254-std,concepticon-1551,2.24,vàvy,female,vavy
clics-doculect-221-87,plat1254-std,concepticon-1366,2.25,zazalàhy,boy,zazalahy
clics-doculect-221-88,plat1254-std,concepticon-76,2.251,tòvolàhy,young man (adolescent),tovolahy
clics-doculect-221-89,plat1254-std,concepticon-1646,2.26,zazavàvy,girl,zazavavy
clics-doculect-221-90,plat1254-std,concepticon-77,2.261,tòvovàvy,young woman (adolescent),tovovavy
clics-doculect-221-91,plat1254-std,concepticon-1304,2.27,zàza,child,zaza
clics-doculect-221-92,plat1254-std,concepticon-1289,2.28,zazakèly,"infant, baby",zazakely
clics-doculect-221-93,plat1254-std,concepticon-1200,2.31,vàdy,husband,vady
clics-doculect-221-94,plat1254-std,concepticon-1199,2.32,vàdy,wife,vady
clics-doculect-221-95,plat1254-std,concepticon-203,2.33,manambàdy,marry,manambady
clics-doculect-221-96,plat1254-std,concepticon-1259,2.34,fampakarambadìana,"marriage, wedding",fampakarambadiana
clics-doculect-221-97,plat1254-std,concepticon-1134,2.341,fisaràhana,divorce,fisarahana
clics-doculect-221-98,plat1254-std,concepticon-1217,2.35,ray,father,ray
clics-doculect-221-99,plat1254-std,concepticon-1216,2.36,rèny,mother,reny
clics-doculect-221-100,plat1254-std,concepticon-505,2.37,rayamandrèny,parents,rayamandreny
clics-doculect-221-101,plat1254-std,concepticon-424,2.38,lehilàhymanambàdy,married man,lehilahymanambady
clics-doculect-221-102,plat1254-std,concepticon-426,2.39,vehivàvymanambàdy,married woman,vehivavymanambady
clics-doculect-221-103,plat1254-std,concepticon-1620,2.41,zànakalàhy,son,zanakalahy
clics-doculect-221-104,plat1254-std,concepticon-1357,2.42,zànakavàvy,daughter,zanakavavy
clics-doculect-221-105,plat1254-std,concepticon-1801,2.43,ànaka,offspring (son or daughter),anaka
clics-doculect-221-106,plat1254-std,concepticon-1801,2.43,zànaka,offspring (son or daughter),zanaka
clics-doculect-221-107,plat1254-std,concepticon-1262,2.44,rahalàhy,brother,rahalahy
clics-doculect-221-108,plat1254-std,concepticon-1262,2.44,anadàhy,brother,anadahy
clics-doculect-221-109,plat1254-std,concepticon-1262,2.44,zòky,brother,zoky
