ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-84-1,poli1260-std,concepticon-965,1.1,świat,world,swiat
clics-doculect-84-2,poli1260-std,concepticon-626,1.21,ziemia,"earth, land",ziemia
clics-doculect-84-3,poli1260-std,concepticon-626,1.21,ląd,"earth, land",lad
clics-doculect-84-4,poli1260-std,concepticon-1228,1.212,ziemia,"earth=ground, soil",ziemia
clics-doculect-84-5,poli1260-std,concepticon-1228,1.212,teren,"earth=ground, soil",teren
clics-doculect-84-6,poli1260-std,concepticon-1228,1.212,gleba,"earth=ground, soil",gleba
clics-doculect-84-7,poli1260-std,concepticon-2,1.213,proch,dust,proch
clics-doculect-84-8,poli1260-std,concepticon-2,1.213,kurz,dust,kurz
clics-doculect-84-9,poli1260-std,concepticon-640,1.214,błoto,mud,bloto
clics-doculect-84-10,poli1260-std,concepticon-671,1.215,piasek,sand,piasek
clics-doculect-84-11,poli1260-std,concepticon-2118,1.22,góra,"mountain, hill",gora
clics-doculect-84-12,poli1260-std,concepticon-2118,1.22,pagórek,"mountain, hill",pagorek
clics-doculect-84-13,poli1260-std,concepticon-2118,1.22,wzgórek,"mountain, hill",wzgorek
clics-doculect-84-14,poli1260-std,concepticon-618,1.222,urwisko,"cliff, precipice",urwisko
clics-doculect-84-15,poli1260-std,concepticon-652,1.23,równina,"plain, field",rownina
clics-doculect-84-16,poli1260-std,concepticon-652,1.23,pole,"plain, field",pole
clics-doculect-84-17,poli1260-std,concepticon-652,1.23,płaszczyzna,"plain, field",plaszczyzna
clics-doculect-84-18,poli1260-std,concepticon-921,1.24,dolina,valley,dolina
clics-doculect-84-19,poli1260-std,concepticon-921,1.24,padół,valley,padol
clics-doculect-84-20,poli1260-std,concepticon-622,1.25,wyspa,island,wyspa
clics-doculect-84-21,poli1260-std,concepticon-166,1.26,stałyląd,mainland,stalylad
clics-doculect-84-22,poli1260-std,concepticon-113,1.27,brzeg,shore,brzeg
clics-doculect-84-23,poli1260-std,concepticon-113,1.27,wybrzeże,shore,wybrzeze
clics-doculect-84-24,poli1260-std,concepticon-1155,1.28,jaskinia,cave,jaskinia
clics-doculect-84-25,poli1260-std,concepticon-1155,1.28,grota,cave,grota
clics-doculect-84-26,poli1260-std,concepticon-948,1.31,woda,water,woda
clics-doculect-84-27,poli1260-std,concepticon-1474,1.32,morze,sea,morze
clics-doculect-84-28,poli1260-std,concepticon-258,1.322,spokój,calm (of sea),spokoj
clics-doculect-84-29,poli1260-std,concepticon-258,1.322,cisza,calm (of sea),cisza
clics-doculect-84-30,poli1260-std,concepticon-259,1.323,burzliwy,rough (of sea),burzliwy
clics-doculect-84-31,poli1260-std,concepticon-259,1.323,wzburzony,rough (of sea),wzburzony
clics-doculect-84-32,poli1260-std,concepticon-1768,1.324,piana,foam,piana
clics-doculect-84-33,poli1260-std,concepticon-645,1.329,ocean,ocean,ocean
clics-doculect-84-34,poli1260-std,concepticon-624,1.33,jezioro,lake,jezioro
clics-doculect-84-35,poli1260-std,concepticon-663,1.34,zatoka,"gulf, bay",zatoka
clics-doculect-84-36,poli1260-std,concepticon-623,1.341,laguna,lagoon,laguna
clics-doculect-84-37,poli1260-std,concepticon-660,1.342,rafa,reef,rafa
clics-doculect-84-38,poli1260-std,concepticon-1662,1.343,przylądek,"headland, point",przyladek
clics-doculect-84-39,poli1260-std,concepticon-978,1.35,fala,wave,fala
clics-doculect-84-40,poli1260-std,concepticon-978,1.35,wał,wave,wal
clics-doculect-84-41,poli1260-std,concepticon-891,1.352,przypływ,tide,przyplyw
clics-doculect-84-42,poli1260-std,concepticon-891,1.352,odpływ,tide,odplyw
clics-doculect-84-43,poli1260-std,concepticon-1026,1.353,odpływ,lowtide,odplyw
clics-doculect-84-44,poli1260-std,concepticon-613,1.354,przypływ,hightide,przyplyw
clics-doculect-84-45,poli1260-std,concepticon-666,1.36,rzeka,"river, stream, brook",rzeka
clics-doculect-84-46,poli1260-std,concepticon-666,1.36,potok,"river, stream, brook",potok
clics-doculect-84-47,poli1260-std,concepticon-666,1.36,strumyk,"river, stream, brook",strumyk
clics-doculect-84-48,poli1260-std,concepticon-666,1.36,ruczaj,"river, stream, brook",ruczaj
clics-doculect-84-49,poli1260-std,concepticon-1982,1.362,wir,whirlpool,wir
clics-doculect-84-50,poli1260-std,concepticon-2144,1.37,studnia,"spring, well",studnia
clics-doculect-84-51,poli1260-std,concepticon-2144,1.37,źródło,"spring, well",zrodlo
clics-doculect-84-52,poli1260-std,concepticon-2144,1.37,zdrój,"spring, well",zdroj
clics-doculect-84-53,poli1260-std,concepticon-1145,1.38,bagno,swamp,bagno
clics-doculect-84-54,poli1260-std,concepticon-1145,1.38,moczary,swamp,moczary
clics-doculect-84-55,poli1260-std,concepticon-943,1.39,wodospad,waterfall,wodospad
clics-doculect-84-56,poli1260-std,concepticon-420,1.41,las,"woods, forest",las
clics-doculect-84-57,poli1260-std,concepticon-420,1.41,bór,"woods, forest",bor
clics-doculect-84-58,poli1260-std,concepticon-420,1.41,puszcza,"woods, forest",puszcza
clics-doculect-84-59,poli1260-std,concepticon-420,1.41,knieja,"woods, forest",knieja
clics-doculect-84-61,poli1260-std,concepticon-1803,1.43,drzewo,wood,drzewo
clics-doculect-84-62,poli1260-std,concepticon-1803,1.43,drewno,wood,drewno
clics-doculect-84-63,poli1260-std,concepticon-2125,1.44,kamień,"stone, rock",kamien
clics-doculect-84-64,poli1260-std,concepticon-2125,1.44,skała,"stone, rock",skala
clics-doculect-84-65,poli1260-std,concepticon-2125,1.44,opoka,"stone, rock",opoka
clics-doculect-84-66,poli1260-std,concepticon-6,1.45,trzęsienieziemi,earthquake,trzesienieziemi
clics-doculect-84-67,poli1260-std,concepticon-1732,1.51,niebo,sky,niebo
clics-doculect-84-68,poli1260-std,concepticon-1732,1.51,nieboskłon,sky,niebosklon
clics-doculect-84-69,poli1260-std,concepticon-1732,1.51,firmament,sky,firmament
clics-doculect-84-70,poli1260-std,concepticon-1343,1.52,słońce,sun,slonce
clics-doculect-84-71,poli1260-std,concepticon-1313,1.53,księżyc,moon,ksiezyc
clics-doculect-84-72,poli1260-std,concepticon-1430,1.54,gwiazda,star,gwiazda
clics-doculect-84-73,poli1260-std,concepticon-1654,1.55,błyskawica,lightning,blyskawica
clics-doculect-84-74,poli1260-std,concepticon-1150,1.56,grzmot,thunder,grzmot
clics-doculect-84-75,poli1260-std,concepticon-1150,1.56,grom,thunder,grom
clics-doculect-84-76,poli1260-std,concepticon-1150,1.56,piorun,thunder,piorun
clics-doculect-84-77,poli1260-std,concepticon-2007,1.57,grom,lightning (as striking),grom
clics-doculect-84-78,poli1260-std,concepticon-2007,1.57,piorun,lightning (as striking),piorun
clics-doculect-84-79,poli1260-std,concepticon-858,1.58,burza,storm,burza
clics-doculect-84-80,poli1260-std,concepticon-858,1.58,sztorm,storm,sztorm
clics-doculect-84-81,poli1260-std,concepticon-1733,1.59,tęcza,rainbow,tecza
clics-doculect-84-82,poli1260-std,concepticon-630,1.61,światło,light (noun),swiatlo
clics-doculect-84-83,poli1260-std,concepticon-11,1.62,ciemność,darkness,ciemnosc
clics-doculect-84-84,poli1260-std,concepticon-11,1.62,ciemnia,darkness,ciemnia
clics-doculect-84-85,poli1260-std,concepticon-1388,1.63,cień,"shade, shadow",cien
clics-doculect-84-86,poli1260-std,concepticon-1388,1.63,odcień,"shade, shadow",odcien
clics-doculect-84-87,poli1260-std,concepticon-1388,1.63,zasłona,"shade, shadow",zaslona
clics-doculect-84-88,poli1260-std,concepticon-1977,1.64,rosa,dew,rosa
clics-doculect-84-89,poli1260-std,concepticon-27,1.71,powietrze,air,powietrze
clics-doculect-84-90,poli1260-std,concepticon-960,1.72,wiatr,wind,wiatr
clics-doculect-84-91,poli1260-std,concepticon-1489,1.73,chmura,cloud,chmura
clics-doculect-84-92,poli1260-std,concepticon-1489,1.73,obłok,cloud,oblok
clics-doculect-84-93,poli1260-std,concepticon-249,1.74,mgła,fog,mgla
clics-doculect-84-94,poli1260-std,concepticon-658,1.75,deszcz,rain (noun),deszcz
clics-doculect-84-95,poli1260-std,concepticon-658,1.75,ulewa,rain (noun),ulewa
clics-doculect-84-96,poli1260-std,concepticon-784,1.76,śnieg,snow (noun),snieg
clics-doculect-84-97,poli1260-std,concepticon-617,1.77,lód,ice,lod
clics-doculect-84-98,poli1260-std,concepticon-952,1.78,czas,weather,czas
clics-doculect-84-99,poli1260-std,concepticon-952,1.78,pogoda,weather,pogoda
clics-doculect-84-100,poli1260-std,concepticon-221,1.81,ogień,fire,ogien
clics-doculect-84-101,poli1260-std,concepticon-889,1.82,płomień,flame (noun),plomien
clics-doculect-84-102,poli1260-std,concepticon-778,1.83,dym,smoke (noun),dym
clics-doculect-84-103,poli1260-std,concepticon-646,1.84,popiół,ashes,popiol
clics-doculect-84-104,poli1260-std,concepticon-67,1.841,węgle,embers,wegle
clics-doculect-84-105,poli1260-std,concepticon-67,1.841,żar,embers,zar
clics-doculect-84-106,poli1260-std,concepticon-141,1.851,palić,burn (vb trans),palic
clics-doculect-84-107,poli1260-std,concepticon-1428,1.852,palić,burn (vb intrans),palic
clics-doculect-84-108,poli1260-std,concepticon-1428,1.852,spalać,burn (vb intrans),spalac
clics-doculect-84-109,poli1260-std,concepticon-737,1.86,zapalić,"light, kindle, ignite",zapalic
clics-doculect-84-110,poli1260-std,concepticon-737,1.86,podpalić,"light, kindle, ignite",podpalic
clics-doculect-84-111,poli1260-std,concepticon-737,1.86,podłożyćogień,"light, kindle, ignite",podlozycogien
clics-doculect-84-112,poli1260-std,concepticon-127,1.861,gasić,extinguish,gasic
clics-doculect-84-113,poli1260-std,concepticon-127,1.861,zgasić,extinguish,zgasic
clics-doculect-84-114,poli1260-std,concepticon-127,1.861,zagasić,extinguish,zagasic
clics-doculect-84-115,poli1260-std,concepticon-1133,1.87,zapałka,match (noun),zapalka
clics-doculect-84-116,poli1260-std,concepticon-10,1.88,drewnonaopał,firewood,drewnonaopal
clics-doculect-84-117,poli1260-std,concepticon-1188,1.89,węgieldrzewny,charcoal,wegieldrzewny
clics-doculect-84-118,poli1260-std,concepticon-683,2.1,człowiek,"person, human being",czlowiek
clics-doculect-84-119,poli1260-std,concepticon-683,2.1,osoba,"person, human being",osoba
clics-doculect-84-120,poli1260-std,concepticon-683,2.1,istotaludzka,"person, human being",istotaludzka
clics-doculect-84-121,poli1260-std,concepticon-1554,2.21,mąż,man (vs. woman),maz
clics-doculect-84-122,poli1260-std,concepticon-1554,2.21,mężczyzna,man (vs. woman),mezczyzna
clics-doculect-84-123,poli1260-std,concepticon-962,2.22,kobieta,woman,kobieta
clics-doculect-84-124,poli1260-std,concepticon-1553,2.23,męski,male,meski
clics-doculect-84-125,poli1260-std,concepticon-1551,2.24,żeński,female,zenski
clics-doculect-84-126,poli1260-std,concepticon-1366,2.25,chłopiec,boy,chlopiec
clics-doculect-84-127,poli1260-std,concepticon-1366,2.25,chłopak,boy,chlopak
clics-doculect-84-128,poli1260-std,concepticon-1366,2.25,chłopię,boy,chlopie
clics-doculect-84-129,poli1260-std,concepticon-76,2.251,młodzieniec,young man (adolescent),mlodzieniec
clics-doculect-84-130,poli1260-std,concepticon-76,2.251,młodzian,young man (adolescent),mlodzian
clics-doculect-84-131,poli1260-std,concepticon-1646,2.26,dziewczyna,girl,dziewczyna
clics-doculect-84-132,poli1260-std,concepticon-1646,2.26,dziewczynka,girl,dziewczynka
clics-doculect-84-133,poli1260-std,concepticon-77,2.261,panna,young woman (adolescent),panna
clics-doculect-84-134,poli1260-std,concepticon-77,2.261,panienka,young woman (adolescent),panienka
clics-doculect-84-135,poli1260-std,concepticon-1304,2.27,dziecko,child,dziecko
clics-doculect-84-136,poli1260-std,concepticon-1304,2.27,dziecię,child,dziecie
clics-doculect-84-137,poli1260-std,concepticon-1304,2.27,dzieciątko,child,dzieciatko
clics-doculect-84-138,poli1260-std,concepticon-1289,2.28,dzieciątko,"infant, baby",dzieciatko
clics-doculect-84-139,poli1260-std,concepticon-1289,2.28,niemowlę,"infant, baby",niemowle
clics-doculect-84-140,poli1260-std,concepticon-1200,2.31,mąż,husband,maz
clics-doculect-84-141,poli1260-std,concepticon-1200,2.31,małżonek,husband,malzonek
clics-doculect-84-142,poli1260-std,concepticon-1199,2.32,żona,wife,zona
clics-doculect-84-143,poli1260-std,concepticon-1199,2.32,małżonka,wife,malzonka
clics-doculect-84-144,poli1260-std,concepticon-203,2.33,żenićsię,marry,zenicsie
clics-doculect-84-145,poli1260-std,concepticon-203,2.33,wyjśćzamąż,marry,wyjsczamaz
clics-doculect-84-146,poli1260-std,concepticon-1259,2.34,małżeństwo,"marriage, wedding",malzenstwo
clics-doculect-84-147,poli1260-std,concepticon-1259,2.34,ślub,"marriage, wedding",slub
clics-doculect-84-148,poli1260-std,concepticon-1259,2.34,wesele,"marriage, wedding",wesele
clics-doculect-84-149,poli1260-std,concepticon-1134,2.341,rozwód,divorce,rozwod
clics-doculect-84-150,poli1260-std,concepticon-1217,2.35,ojciec,father,ojciec
clics-doculect-84-151,poli1260-std,concepticon-1216,2.36,matka,mother,matka
clics-doculect-84-152,poli1260-std,concepticon-505,2.37,rodzice,parents,rodzice
clics-doculect-84-153,poli1260-std,concepticon-505,2.37,rodziciele,parents,rodziciele
clics-doculect-84-154,poli1260-std,concepticon-424,2.38,żonatymężczyzna,married man,zonatymezczyzna
clics-doculect-84-155,poli1260-std,concepticon-424,2.38,żonkoś,married man,zonkos
clics-doculect-84-156,poli1260-std,concepticon-426,2.39,mężatka,married woman,mezatka
clics-doculect-84-157,poli1260-std,concepticon-426,2.39,kobietazamężna,married woman,kobietazamezna
clics-doculect-84-158,poli1260-std,concepticon-1620,2.41,syn,son,syn
clics-doculect-84-159,poli1260-std,concepticon-1357,2.42,córka,daughter,corka
clics-doculect-84-160,poli1260-std,concepticon-1801,2.43,potomstwo,offspring (son or daughter),potomstwo
clics-doculect-84-161,poli1260-std,concepticon-1262,2.44,brat,brother,brat
clics-doculect-84-162,poli1260-std,concepticon-1759,2.444,starszybrat,older brother,starszybrat
clics-doculect-84-163,poli1260-std,concepticon-1760,2.445,młodszybrat,younger brother,mlodszybrat
clics-doculect-84-164,poli1260-std,concepticon-1263,2.45,siostra,sister,siostra
clics-doculect-84-165,poli1260-std,concepticon-1758,2.454,starszasiostra,older sister,starszasiostra
clics-doculect-84-166,poli1260-std,concepticon-1761,2.455,młodszasiostra,younger sister,mlodszasiostra
clics-doculect-84-167,poli1260-std,concepticon-1640,2.456,rodzeństwo,sibling,rodzenstwo
clics-doculect-84-168,poli1260-std,concepticon-1005,2.458,bliźnięta,twins,bliznieta
clics-doculect-84-169,poli1260-std,concepticon-1383,2.46,dziadek,grandfather,dziadek
clics-doculect-84-170,poli1260-std,concepticon-1383,2.46,dziadzio,grandfather,dziadzio
clics-doculect-84-171,poli1260-std,concepticon-1383,2.46,dziadunio,grandfather,dziadunio
clics-doculect-84-172,poli1260-std,concepticon-406,2.461,starymężczyzna,old man,starymezczyzna
clics-doculect-84-173,poli1260-std,concepticon-406,2.461,staryczłowiek,old man,staryczlowiek
clics-doculect-84-174,poli1260-std,concepticon-1496,2.47,babka,grandmother,babka
clics-doculect-84-175,poli1260-std,concepticon-1496,2.47,babcia,grandmother,babcia
clics-doculect-84-176,poli1260-std,concepticon-1496,2.47,babunia,grandmother,babunia
clics-doculect-84-177,poli1260-std,concepticon-907,2.471,starakobieta,old woman,starakobieta
clics-doculect-84-178,poli1260-std,concepticon-907,2.471,staruszka,old woman,staruszka
clics-doculect-84-179,poli1260-std,concepticon-1618,2.48,wnuk,grandson,wnuk
clics-doculect-84-180,poli1260-std,concepticon-1618,2.48,wnuczę,grandson,wnucze
clics-doculect-84-181,poli1260-std,concepticon-1618,2.48,wnuczek,grandson,wnuczek
clics-doculect-84-182,poli1260-std,concepticon-1619,2.49,wnuczka,granddaughter,wnuczka
clics-doculect-84-183,poli1260-std,concepticon-1619,2.49,wnusia,granddaughter,wnusia
clics-doculect-84-184,poli1260-std,concepticon-1327,2.51,stryj,uncle,stryj
clics-doculect-84-185,poli1260-std,concepticon-1327,2.51,wuj,uncle,wuj
