ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-143-1,port1283-std,concepticon-965,1.1,mundo,world,mundo
clics-doculect-143-2,port1283-std,concepticon-626,1.21,terreno,"earth, land",terreno
clics-doculect-143-3,port1283-std,concepticon-1228,1.212,solo,"earth=ground, soil",solo
clics-doculect-143-4,port1283-std,concepticon-1228,1.212,chão,"earth=ground, soil",chao
clics-doculect-143-5,port1283-std,concepticon-2,1.213,pó,dust,po
clics-doculect-143-6,port1283-std,concepticon-640,1.214,lama,mud,lama
clics-doculect-143-7,port1283-std,concepticon-640,1.214,lodo,mud,lodo
clics-doculect-143-8,port1283-std,concepticon-671,1.215,areia,sand,areia
clics-doculect-143-9,port1283-std,concepticon-2118,1.22,montanha,"mountain, hill",montanha
clics-doculect-143-10,port1283-std,concepticon-2118,1.22,morro,"mountain, hill",morro
clics-doculect-143-11,port1283-std,concepticon-618,1.222,penhasco,"cliff, precipice",penhasco
clics-doculect-143-12,port1283-std,concepticon-618,1.222,precipício,"cliff, precipice",precipicio
clics-doculect-143-13,port1283-std,concepticon-652,1.23,campo,"plain, field",campo
clics-doculect-143-14,port1283-std,concepticon-652,1.23,planície,"plain, field",planicie
clics-doculect-143-15,port1283-std,concepticon-652,1.23,savannah,"plain, field",savannah
clics-doculect-143-16,port1283-std,concepticon-921,1.24,vale,valley,vale
clics-doculect-143-17,port1283-std,concepticon-622,1.25,ilha,island,ilha
clics-doculect-143-18,port1283-std,concepticon-166,1.26,terrafirme,mainland,terrafirme
clics-doculect-143-19,port1283-std,concepticon-113,1.27,margem,shore,margem
clics-doculect-143-20,port1283-std,concepticon-113,1.27,costa,shore,costa
clics-doculect-143-21,port1283-std,concepticon-113,1.27,praia,shore,praia
clics-doculect-143-22,port1283-std,concepticon-1155,1.28,caverna,cave,caverna
clics-doculect-143-23,port1283-std,concepticon-1155,1.28,gruta,cave,gruta
clics-doculect-143-24,port1283-std,concepticon-948,1.31,água,water,agua
clics-doculect-143-25,port1283-std,concepticon-1474,1.32,mar,sea,mar
clics-doculect-143-26,port1283-std,concepticon-258,1.322,calma,calm (of sea),calma
clics-doculect-143-27,port1283-std,concepticon-258,1.322,calmaria,calm (of sea),calmaria
clics-doculect-143-28,port1283-std,concepticon-259,1.323,tempestuoso,rough (of sea),tempestuoso
clics-doculect-143-29,port1283-std,concepticon-1768,1.324,espuma,foam,espuma
clics-doculect-143-30,port1283-std,concepticon-645,1.329,oceano,ocean,oceano
clics-doculect-143-31,port1283-std,concepticon-624,1.33,lago,lake,lago
clics-doculect-143-32,port1283-std,concepticon-663,1.34,baía,"gulf, bay",baia
clics-doculect-143-33,port1283-std,concepticon-623,1.341,laguna,lagoon,laguna
clics-doculect-143-34,port1283-std,concepticon-660,1.342,recife,reef,recife
clics-doculect-143-35,port1283-std,concepticon-1662,1.343,cabo,"headland, point",cabo
clics-doculect-143-36,port1283-std,concepticon-1662,1.343,promontório,"headland, point",promontorio
clics-doculect-143-37,port1283-std,concepticon-978,1.35,onda,wave,onda
clics-doculect-143-38,port1283-std,concepticon-891,1.352,maré,tide,mare
clics-doculect-143-39,port1283-std,concepticon-1026,1.353,marébaixa,lowtide,marebaixa
clics-doculect-143-40,port1283-std,concepticon-1026,1.353,marévazia,lowtide,marevazia
clics-doculect-143-41,port1283-std,concepticon-613,1.354,maréalta,hightide,marealta
clics-doculect-143-42,port1283-std,concepticon-613,1.354,preamar,hightide,preamar
clics-doculect-143-43,port1283-std,concepticon-613,1.354,praiamar,hightide,praiamar
clics-doculect-143-44,port1283-std,concepticon-666,1.36,rio,"river, stream, brook",rio
clics-doculect-143-45,port1283-std,concepticon-666,1.36,riacho,"river, stream, brook",riacho
clics-doculect-143-46,port1283-std,concepticon-666,1.36,córrego,"river, stream, brook",corrego
clics-doculect-143-47,port1283-std,concepticon-1982,1.362,remoinho,whirlpool,remoinho
clics-doculect-143-48,port1283-std,concepticon-1982,1.362,redemoinho,whirlpool,redemoinho
clics-doculect-143-49,port1283-std,concepticon-2144,1.37,nascente,"spring, well",nascente
clics-doculect-143-50,port1283-std,concepticon-2144,1.37,poço,"spring, well",poco
clics-doculect-143-51,port1283-std,concepticon-1145,1.38,pântano,swamp,pantano
clics-doculect-143-52,port1283-std,concepticon-1145,1.38,pantanal,swamp,pantanal
clics-doculect-143-53,port1283-std,concepticon-943,1.39,cachoeira,waterfall,cachoeira
clics-doculect-143-54,port1283-std,concepticon-943,1.39,cascata,waterfall,cascata
clics-doculect-143-55,port1283-std,concepticon-420,1.41,bosque,"woods, forest",bosque
clics-doculect-143-56,port1283-std,concepticon-420,1.41,floresta,"woods, forest",floresta
clics-doculect-143-58,port1283-std,concepticon-1803,1.43,madeira,wood,madeira
clics-doculect-143-59,port1283-std,concepticon-2125,1.44,pedra,"stone, rock",pedra
clics-doculect-143-60,port1283-std,concepticon-2125,1.44,calhau,"stone, rock",calhau
clics-doculect-143-61,port1283-std,concepticon-2125,1.44,rocha,"stone, rock",rocha
clics-doculect-143-62,port1283-std,concepticon-6,1.45,terremoto,earthquake,terremoto
clics-doculect-143-63,port1283-std,concepticon-1732,1.51,céu,sky,ceu
clics-doculect-143-64,port1283-std,concepticon-1343,1.52,sol,sun,sol
clics-doculect-143-65,port1283-std,concepticon-1313,1.53,lua,moon,lua
clics-doculect-143-66,port1283-std,concepticon-1430,1.54,estrela,star,estrela
clics-doculect-143-67,port1283-std,concepticon-1654,1.55,relâmpago,lightning,relampago
clics-doculect-143-68,port1283-std,concepticon-1150,1.56,trovão,thunder,trovao
clics-doculect-143-69,port1283-std,concepticon-2007,1.57,raio,lightning (as striking),raio
clics-doculect-143-70,port1283-std,concepticon-858,1.58,tempestade,storm,tempestade
clics-doculect-143-71,port1283-std,concepticon-1733,1.59,arcoíris,rainbow,arcoiris
clics-doculect-143-72,port1283-std,concepticon-630,1.61,luz,light (noun),luz
clics-doculect-143-73,port1283-std,concepticon-11,1.62,escuridão,darkness,escuridao
clics-doculect-143-74,port1283-std,concepticon-1388,1.63,sombra,"shade, shadow",sombra
clics-doculect-143-75,port1283-std,concepticon-1977,1.64,orvalho,dew,orvalho
clics-doculect-143-76,port1283-std,concepticon-27,1.71,ar,air,ar
clics-doculect-143-77,port1283-std,concepticon-960,1.72,vento,wind,vento
clics-doculect-143-78,port1283-std,concepticon-1489,1.73,nuvem,cloud,nuvem
clics-doculect-143-79,port1283-std,concepticon-249,1.74,nevoeiro,fog,nevoeiro
clics-doculect-143-80,port1283-std,concepticon-249,1.74,névoa,fog,nevoa
clics-doculect-143-81,port1283-std,concepticon-658,1.75,chuva,rain (noun),chuva
clics-doculect-143-82,port1283-std,concepticon-784,1.76,neve,snow (noun),neve
clics-doculect-143-83,port1283-std,concepticon-617,1.77,gelo,ice,gelo
clics-doculect-143-84,port1283-std,concepticon-952,1.78,tempo,weather,tempo
clics-doculect-143-85,port1283-std,concepticon-221,1.81,fogo,fire,fogo
clics-doculect-143-86,port1283-std,concepticon-889,1.82,chama,flame (noun),chama
clics-doculect-143-87,port1283-std,concepticon-778,1.83,fumaça,smoke (noun),fumaca
clics-doculect-143-88,port1283-std,concepticon-646,1.84,cinzas,ashes,cinzas
clics-doculect-143-89,port1283-std,concepticon-67,1.841,brasas,embers,brasas
clics-doculect-143-90,port1283-std,concepticon-141,1.851,queimar,burn (vb trans),queimar
clics-doculect-143-91,port1283-std,concepticon-141,1.851,incendiar,burn (vb trans),incendiar
clics-doculect-143-92,port1283-std,concepticon-1428,1.852,queimar,burn (vb intrans),queimar
clics-doculect-143-93,port1283-std,concepticon-1428,1.852,arder,burn (vb intrans),arder
clics-doculect-143-94,port1283-std,concepticon-737,1.86,acender,"light, kindle, ignite",acender
clics-doculect-143-95,port1283-std,concepticon-737,1.86,atear,"light, kindle, ignite",atear
clics-doculect-143-96,port1283-std,concepticon-127,1.861,extinguir,extinguish,extinguir
clics-doculect-143-97,port1283-std,concepticon-1133,1.87,fósforo,match (noun),fosforo
clics-doculect-143-98,port1283-std,concepticon-10,1.88,lenha,firewood,lenha
clics-doculect-143-99,port1283-std,concepticon-1188,1.89,carvão,charcoal,carvao
clics-doculect-143-100,port1283-std,concepticon-683,2.1,pessoa,"person, human being",pessoa
clics-doculect-143-101,port1283-std,concepticon-683,2.1,serhumano,"person, human being",serhumano
clics-doculect-143-102,port1283-std,concepticon-1554,2.21,homem,man (vs. woman),homem
clics-doculect-143-103,port1283-std,concepticon-962,2.22,mulher,woman,mulher
clics-doculect-143-104,port1283-std,concepticon-1553,2.23,macho,male,macho
clics-doculect-143-105,port1283-std,concepticon-1551,2.24,fêmea,female,femea
clics-doculect-143-106,port1283-std,concepticon-1366,2.25,menino,boy,menino
clics-doculect-143-107,port1283-std,concepticon-1366,2.25,garoto,boy,garoto
clics-doculect-143-108,port1283-std,concepticon-76,2.251,jovem,young man (adolescent),jovem
clics-doculect-143-109,port1283-std,concepticon-76,2.251,rapaz,young man (adolescent),rapaz
clics-doculect-143-110,port1283-std,concepticon-1646,2.26,menina,girl,menina
clics-doculect-143-111,port1283-std,concepticon-1646,2.26,garota,girl,garota
clics-doculect-143-112,port1283-std,concepticon-77,2.261,jovem,young woman (adolescent),jovem
clics-doculect-143-113,port1283-std,concepticon-77,2.261,moça,young woman (adolescent),moca
clics-doculect-143-114,port1283-std,concepticon-1304,2.27,criança,child,crianca
clics-doculect-143-115,port1283-std,concepticon-1304,2.27,menino,child,menino
clics-doculect-143-116,port1283-std,concepticon-1289,2.28,bebê,"infant, baby",bebe
clics-doculect-143-117,port1283-std,concepticon-1289,2.28,nenê,"infant, baby",nene
clics-doculect-143-118,port1283-std,concepticon-1200,2.31,marido,husband,marido
clics-doculect-143-119,port1283-std,concepticon-1199,2.32,esposa,wife,esposa
clics-doculect-143-120,port1283-std,concepticon-1199,2.32,mulher,wife,mulher
clics-doculect-143-121,port1283-std,concepticon-203,2.33,casar,marry,casar
clics-doculect-143-122,port1283-std,concepticon-1259,2.34,matrimônio,"marriage, wedding",matrimonio
clics-doculect-143-123,port1283-std,concepticon-1259,2.34,casamento,"marriage, wedding",casamento
clics-doculect-143-124,port1283-std,concepticon-1134,2.341,divórcio,divorce,divorcio
clics-doculect-143-125,port1283-std,concepticon-1217,2.35,pai,father,pai
clics-doculect-143-126,port1283-std,concepticon-1216,2.36,mãe,mother,mae
clics-doculect-143-127,port1283-std,concepticon-505,2.37,pais,parents,pais
clics-doculect-143-128,port1283-std,concepticon-424,2.38,casado,married man,casado
clics-doculect-143-129,port1283-std,concepticon-426,2.39,casada,married woman,casada
clics-doculect-143-130,port1283-std,concepticon-1620,2.41,filho,son,filho
clics-doculect-143-131,port1283-std,concepticon-1357,2.42,filha,daughter,filha
clics-doculect-143-132,port1283-std,concepticon-1801,2.43,filhos,offspring (son or daughter),filhos
clics-doculect-143-133,port1283-std,concepticon-1801,2.43,prole,offspring (son or daughter),prole
clics-doculect-143-134,port1283-std,concepticon-1262,2.44,irmão,brother,irmao
clics-doculect-143-135,port1283-std,concepticon-1759,2.444,irmãomaisvelho,older brother,irmaomaisvelho
clics-doculect-143-136,port1283-std,concepticon-1760,2.445,irmãomaisnovo,younger brother,irmaomaisnovo
clics-doculect-143-137,port1283-std,concepticon-1263,2.45,irmã,sister,irma
clics-doculect-143-138,port1283-std,concepticon-1758,2.454,irmãmaisvelha,older sister,irmamaisvelha
clics-doculect-143-139,port1283-std,concepticon-1761,2.455,irmãmaisnova,younger sister,irmamaisnova
clics-doculect-143-140,port1283-std,concepticon-1640,2.456,irmão,sibling,irmao
clics-doculect-143-141,port1283-std,concepticon-1640,2.456,irmã,sibling,irma
clics-doculect-143-142,port1283-std,concepticon-1005,2.458,gêmeos,twins,gemeos
clics-doculect-143-143,port1283-std,concepticon-1383,2.46,avô,grandfather,avo
clics-doculect-143-144,port1283-std,concepticon-406,2.461,velho,old man,velho
clics-doculect-143-145,port1283-std,concepticon-1496,2.47,avó,grandmother,avo
clics-doculect-143-146,port1283-std,concepticon-907,2.471,velha,old woman,velha
clics-doculect-143-147,port1283-std,concepticon-1618,2.48,neto,grandson,neto
clics-doculect-143-148,port1283-std,concepticon-1619,2.49,neta,granddaughter,neta
clics-doculect-143-149,port1283-std,concepticon-1327,2.51,tio,uncle,tio
clics-doculect-143-150,port1283-std,concepticon-1984,2.511,irmão,mother's brother,irmao
clics-doculect-143-151,port1283-std,concepticon-1985,2.512,irmão,father's brother,irmao
clics-doculect-143-152,port1283-std,concepticon-1272,2.52,tia,aunt,tia
clics-doculect-143-153,port1283-std,concepticon-171,2.521,irmã,mother's sister,irma
clics-doculect-143-154,port1283-std,concepticon-170,2.522,irmã,father's sister,irma
clics-doculect-143-155,port1283-std,concepticon-1063,2.53,sobrinho,nephew,sobrinho
clics-doculect-143-156,port1283-std,concepticon-1642,2.54,sobrinha,niece,sobrinha
clics-doculect-143-157,port1283-std,concepticon-1643,2.55,primo,cousin,primo
clics-doculect-143-158,port1283-std,concepticon-1643,2.55,prima,cousin,prima
clics-doculect-143-159,port1283-std,concepticon-1669,2.56,antepassados,ancestors,antepassados
clics-doculect-143-160,port1283-std,concepticon-1669,2.56,ancestrais,ancestors,ancestrais
clics-doculect-143-161,port1283-std,concepticon-490,2.57,descendentes,descendants,descendentes
clics-doculect-143-162,port1283-std,concepticon-2255,2.61,sogro,father-in-law (of a man),sogro
clics-doculect-143-163,port1283-std,concepticon-2254,2.611,sogro,father-in-law (of a woman),sogro
clics-doculect-143-164,port1283-std,concepticon-2256,2.62,sogra,mother-in-law (of a man),sogra
clics-doculect-143-165,port1283-std,concepticon-2257,2.621,sogra,mother-in-law (of a woman),sogra
clics-doculect-143-166,port1283-std,concepticon-2267,2.63,genro,son-in-law (of a man),genro
clics-doculect-143-167,port1283-std,concepticon-2266,2.631,genro,son-in-law (of a woman),genro
clics-doculect-143-168,port1283-std,concepticon-2265,2.64,nora,daughter-in-law (of a man),nora
clics-doculect-143-169,port1283-std,concepticon-2264,2.641,nora,daughter-in-law (of a woman),nora
clics-doculect-143-170,port1283-std,concepticon-237,2.71,padrasto,stepfather,padrasto
clics-doculect-143-171,port1283-std,concepticon-236,2.72,madrasta,stepmother,madrasta
clics-doculect-143-172,port1283-std,concepticon-1059,2.73,enteado,stepson,enteado
clics-doculect-143-173,port1283-std,concepticon-1058,2.74,enteada,stepdaughter,enteada
clics-doculect-143-174,port1283-std,concepticon-1149,2.75,órfão,orphan,orfao
clics-doculect-143-175,port1283-std,concepticon-1149,2.75,órfã,orphan,orfa
clics-doculect-143-176,port1283-std,concepticon-1756,2.76,viúva,widow,viuva
clics-doculect-143-177,port1283-std,concepticon-1981,2.77,viúvo,widower,viuvo
clics-doculect-143-178,port1283-std,concepticon-1644,2.81,parentes,"relatives, kinsmen",parentes
