ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-159-1,puin1248-std,concepticon-965,1.1,wəyu,world,w@yu
clics-doculect-159-2,puin1248-std,concepticon-626,1.21,niti,"earth, land",niti
clics-doculect-159-3,puin1248-std,concepticon-1228,1.212,nitiu,"earth=ground, soil",nitiu
clics-doculect-159-4,puin1248-std,concepticon-2,1.213,nitipɨp,dust,nitipip
clics-doculect-159-5,puin1248-std,concepticon-640,1.214,ihitidik,mud,ihitidik
clics-doculect-159-6,puin1248-std,concepticon-671,1.215,mãi,sand,mai
clics-doculect-159-7,puin1248-std,concepticon-2118,1.22,wen,"mountain, hill",wen
clics-doculect-159-8,puin1248-std,concepticon-618,1.222,sõpək,"cliff, precipice",sop@k
clics-doculect-159-9,puin1248-std,concepticon-652,1.23,yeu,"plain, field",yeu
clics-doculect-159-10,puin1248-std,concepticon-921,1.24,ɨtko,valley,itko
clics-doculect-159-11,puin1248-std,concepticon-622,1.25,ipom,island,ipom
clics-doculect-159-12,puin1248-std,concepticon-166,1.26,nitiisən,mainland,nitiis@n
clics-doculect-159-13,puin1248-std,concepticon-113,1.27,ɨtko,shore,itko
clics-doculect-159-14,puin1248-std,concepticon-1155,1.28,hahək,cave,hah@k
clics-doculect-159-15,puin1248-std,concepticon-1155,1.28,nitihək,cave,nitih@k
clics-doculect-159-16,puin1248-std,concepticon-948,1.31,ɨt,water,it
clics-doculect-159-17,puin1248-std,concepticon-1474,1.32,ɨtipek,sea,itipek
clics-doculect-159-18,puin1248-std,concepticon-258,1.322,yə̃ihadik,calm (of sea),y@ihadik
clics-doculect-159-19,puin1248-std,concepticon-259,1.323,hai,rough (of sea),hai
clics-doculect-159-20,puin1248-std,concepticon-1768,1.324,pɨ,foam,pi
clics-doculect-159-21,puin1248-std,concepticon-645,1.329,ɨt,ocean,it
clics-doculect-159-22,puin1248-std,concepticon-624,1.33,wəksuwai,lake,w@ksuwai
clics-doculect-159-23,puin1248-std,concepticon-663,1.34,dou,"gulf, bay",dou
clics-doculect-159-24,puin1248-std,concepticon-663,1.34,yə̃k,"gulf, bay",y@k
clics-doculect-159-25,puin1248-std,concepticon-623,1.341,wək,lagoon,w@k
