ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-150-1,roma1328-std,concepticon-1228,1.212,tirèn,"earth=ground, soil",tiren
clics-doculect-150-2,roma1328-std,concepticon-2,1.213,pulveròun,dust,pulveroun
clics-doculect-150-3,roma1328-std,concepticon-640,1.214,paciarèna,mud,paciarena
clics-doculect-150-4,roma1328-std,concepticon-618,1.222,grepp,"cliff, precipice",grepp
clics-doculect-150-5,roma1328-std,concepticon-652,1.23,pièna,"plain, field",piena
clics-doculect-150-6,roma1328-std,concepticon-921,1.24,valéda,valley,valeda
clics-doculect-150-7,roma1328-std,concepticon-1155,1.28,èntri,cave,entri
clics-doculect-150-8,roma1328-std,concepticon-258,1.322,tasè,calm (of sea),tase
clics-doculect-150-9,roma1328-std,concepticon-258,1.322,chelem,calm (of sea),chelem
clics-doculect-150-10,roma1328-std,concepticon-258,1.322,qued,calm (of sea),qued
clics-doculect-150-11,roma1328-std,concepticon-258,1.322,riquèdar,calm (of sea),riquedar
clics-doculect-150-12,roma1328-std,concepticon-259,1.323,aprusimativ,rough (of sea),aprusimativ
clics-doculect-150-13,roma1328-std,concepticon-259,1.323,ruvd,rough (of sea),ruvd
clics-doculect-150-14,roma1328-std,concepticon-663,1.34,bèia,"gulf, bay",beia
clics-doculect-150-15,roma1328-std,concepticon-623,1.341,lagòna,lagoon,lagona
clics-doculect-150-16,roma1328-std,concepticon-891,1.352,génfa,tide,genfa
clics-doculect-150-17,roma1328-std,concepticon-1982,1.362,gardòn,whirlpool,gardon
clics-doculect-150-18,roma1328-std,concepticon-420,1.41,furèsta,"woods, forest",furesta
clics-doculect-150-19,roma1328-std,concepticon-6,1.45,taramòt,earthquake,taramot
clics-doculect-150-20,roma1328-std,concepticon-1150,1.56,tràun,thunder,traun
clics-doculect-150-21,roma1328-std,concepticon-630,1.61,lòsa,light (noun),losa
clics-doculect-150-22,roma1328-std,concepticon-11,1.62,scùr,darkness,scur
clics-doculect-150-23,roma1328-std,concepticon-1388,1.63,òra,"shade, shadow",ora
clics-doculect-150-24,roma1328-std,concepticon-1977,1.64,gvàza,dew,gvaza
clics-doculect-150-25,roma1328-std,concepticon-889,1.82,fiàmba,flame (noun),fiamba
clics-doculect-150-26,roma1328-std,concepticon-646,1.84,frésin,ashes,fresin
clics-doculect-150-27,roma1328-std,concepticon-646,1.84,zìnar,ashes,zinar
clics-doculect-150-28,roma1328-std,concepticon-141,1.851,inflambè,burn (vb trans),inflambe
clics-doculect-150-29,roma1328-std,concepticon-127,1.861,smurzè,extinguish,smurze
clics-doculect-150-30,roma1328-std,concepticon-1188,1.89,carbunèna,charcoal,carbunena
clics-doculect-150-31,roma1328-std,concepticon-765,10.11,mòvar,move,movar
clics-doculect-150-32,roma1328-std,concepticon-1588,10.12,zirè,turn over,zire
clics-doculect-150-33,roma1328-std,concepticon-568,10.21,alzès,rise,alzes
clics-doculect-150-34,roma1328-std,concepticon-1280,10.23,caschè,fall,casche
clics-doculect-150-35,roma1328-std,concepticon-2253,10.24,guzzé,drip,guzze
clics-doculect-150-36,roma1328-std,concepticon-1909,10.26,agité,shake,agite
clics-doculect-150-37,roma1328-std,concepticon-1909,10.26,scuscè,shake,scusce
clics-doculect-150-38,roma1328-std,concepticon-1088,10.33,mandèafònd,sink,mandeafond
clics-doculect-150-39,roma1328-std,concepticon-1439,10.35,nudè,swim,nude
clics-doculect-150-40,roma1328-std,concepticon-787,10.36,velegé,sail (vb),velege
clics-doculect-150-41,roma1328-std,concepticon-175,10.38,buffé,blow,buffe
clics-doculect-150-42,roma1328-std,concepticon-66,10.412,inzanchèss,kneel,inzanchess
clics-doculect-150-43,roma1328-std,concepticon-1829,10.43,salté,"jump, leap",salte
clics-doculect-150-44,roma1328-std,concepticon-1135,10.431,chilzìr,kick,chilzir
clics-doculect-150-45,roma1328-std,concepticon-1443,10.45,caminè,walk,camine
clics-doculect-150-46,roma1328-std,concepticon-366,10.451,zupghè,limp,zupghe
clics-doculect-150-47,roma1328-std,concepticon-1519,10.46,còrar,run,corar
clics-doculect-150-48,roma1328-std,concepticon-695,10.47,andè,go,ande
clics-doculect-150-49,roma1328-std,concepticon-705,10.471,mountè,go up,mounte
clics-doculect-150-50,roma1328-std,concepticon-1102,10.472,rampichè,climb,rampiche
clics-doculect-150-51,roma1328-std,concepticon-1102,10.472,rampichès,climb,rampiches
clics-doculect-150-52,roma1328-std,concepticon-1446,10.48,vnì,come,vni
clics-doculect-150-53,roma1328-std,concepticon-1752,10.49,lassè,"go away, depart",lasse
clics-doculect-150-54,roma1328-std,concepticon-485,10.491,spàrar,disappear,sparar
clics-doculect-150-55,roma1328-std,concepticon-956,10.51,fuzì,flee,fuzi
clics-doculect-150-56,roma1328-std,concepticon-1085,10.52,sèquar,follow,sequar
clics-doculect-150-57,roma1328-std,concepticon-1387,10.55,arvè,"reach, arrive",arve
clics-doculect-150-58,roma1328-std,concepticon-1778,10.56,aprèssar,approach,apressar
clics-doculect-150-59,roma1328-std,concepticon-692,10.62,purté,bring,purte
clics-doculect-150-60,roma1328-std,concepticon-1127,10.63,inviè,send,invie
clics-doculect-150-61,roma1328-std,concepticon-1127,10.63,mandè,send,mande
