ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-149-1,rotu1241-std,concepticon-965,1.1,rani,world,rani
clics-doculect-149-2,rotu1241-std,concepticon-626,1.21,hanua,"earth, land",hanua
clics-doculect-149-3,rotu1241-std,concepticon-1228,1.212,pera,"earth=ground, soil",pera
clics-doculect-149-4,rotu1241-std,concepticon-2,1.213,kefkefu,dust,kefkefu
clics-doculect-149-5,rotu1241-std,concepticon-640,1.214,mamaʔono,mud,mama?ono
clics-doculect-149-6,rotu1241-std,concepticon-671,1.215,fanfana,sand,fanfana
clics-doculect-149-7,rotu1241-std,concepticon-2118,1.22,solo,"mountain, hill",solo
clics-doculect-149-8,rotu1241-std,concepticon-618,1.222,hɔfarsisi,"cliff, precipice",hofarsisi
clics-doculect-149-9,rotu1241-std,concepticon-652,1.23,utaraŋʔesea,"plain, field",utaraNG?esea
clics-doculect-149-10,rotu1241-std,concepticon-921,1.24,maʔea,valley,ma?ea
clics-doculect-149-11,rotu1241-std,concepticon-622,1.25,ʔɔtmotu,island,?otmotu
clics-doculect-149-12,rotu1241-std,concepticon-166,1.26,ufa,mainland,ufa
clics-doculect-149-13,rotu1241-std,concepticon-113,1.27,ufaŋa,shore,ufaNGa
clics-doculect-149-14,rotu1241-std,concepticon-1155,1.28,ʔana,cave,?ana
clics-doculect-149-15,rotu1241-std,concepticon-948,1.31,tɔnu,water,tonu
clics-doculect-149-16,rotu1241-std,concepticon-1474,1.32,sɔsi,sea,sosi
clics-doculect-149-17,rotu1241-std,concepticon-258,1.322,toka,calm (of sea),toka
clics-doculect-149-18,rotu1241-std,concepticon-259,1.323,vɔlu,rough (of sea),volu
clics-doculect-149-19,rotu1241-std,concepticon-1768,1.324,fifi,foam,fifi
clics-doculect-149-20,rotu1241-std,concepticon-645,1.329,liʔu,ocean,li?u
clics-doculect-149-21,rotu1241-std,concepticon-624,1.33,vɔiloŋa,lake,voiloNGa
clics-doculect-149-22,rotu1241-std,concepticon-660,1.342,haho,reef,haho
clics-doculect-149-23,rotu1241-std,concepticon-1662,1.343,isu,"headland, point",isu
clics-doculect-149-24,rotu1241-std,concepticon-1662,1.343,isnehanua,"headland, point",isnehanua
clics-doculect-149-25,rotu1241-std,concepticon-978,1.35,vɔlu,wave,volu
clics-doculect-149-26,rotu1241-std,concepticon-978,1.35,peau,wave,peau
clics-doculect-149-27,rotu1241-std,concepticon-891,1.352,mɔfi,tide,mofi
clics-doculect-149-28,rotu1241-std,concepticon-1026,1.353,mæftameaɔ,lowtide,maeftameao
