ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-51-1,rutu1240-std,concepticon-965,1.1,дуьнйа,world,du'nia
clics-doculect-51-2,rutu1240-std,concepticon-626,1.21,накьв,"earth, land",nak'v
clics-doculect-51-3,rutu1240-std,concepticon-626,1.21,гьуІкйумет,"earth, land",g'uIkiumet
clics-doculect-51-4,rutu1240-std,concepticon-1228,1.212,накьв,"earth=ground, soil",nak'v
clics-doculect-51-5,rutu1240-std,concepticon-1228,1.212,чІир,"earth=ground, soil",chIir
clics-doculect-51-6,rutu1240-std,concepticon-2,1.213,руг,dust,rug
clics-doculect-51-7,rutu1240-std,concepticon-2,1.213,туз,dust,tuz
clics-doculect-51-8,rutu1240-std,concepticon-640,1.214,палчикь,mud,palchik'
clics-doculect-51-9,rutu1240-std,concepticon-640,1.214,лар,mud,lar
clics-doculect-51-10,rutu1240-std,concepticon-671,1.215,сецІ,sand,setsI
clics-doculect-51-11,rutu1240-std,concepticon-2118,1.22,бан,"mountain, hill",ban
clics-doculect-51-12,rutu1240-std,concepticon-618,1.222,къала,"cliff, precipice",k'ala
clics-doculect-51-13,rutu1240-std,concepticon-618,1.222,кьул,"cliff, precipice",k'ul
clics-doculect-51-14,rutu1240-std,concepticon-618,1.222,къас,"cliff, precipice",k'as
clics-doculect-51-15,rutu1240-std,concepticon-652,1.23,дуьзен,"plain, field",du'zen
clics-doculect-51-16,rutu1240-std,concepticon-652,1.23,чул,"plain, field",chul
clics-doculect-51-17,rutu1240-std,concepticon-921,1.24,дере,valley,dere
clics-doculect-51-18,rutu1240-std,concepticon-622,1.25,хьидидйыкьаІаднакьв,island,kh'ididiyk'aIadnak'v
clics-doculect-51-19,rutu1240-std,concepticon-166,1.26,дуьнйаьдидсур,mainland,du'nia'didsur
clics-doculect-51-20,rutu1240-std,concepticon-113,1.27,къирах,shore,k'irakh
clics-doculect-51-21,rutu1240-std,concepticon-113,1.27,къирахбыр,shore,k'irakhbyr
clics-doculect-51-22,rutu1240-std,concepticon-1155,1.28,канкан,cave,kankan
clics-doculect-51-23,rutu1240-std,concepticon-948,1.31,хьед,water,kh'ed
clics-doculect-51-24,rutu1240-std,concepticon-1474,1.32,дайрагь,sea,dairag'
clics-doculect-51-25,rutu1240-std,concepticon-258,1.322,сывхыд,calm (of sea),syvkhyd
clics-doculect-51-26,rutu1240-std,concepticon-258,1.322,гивхьид,calm (of sea),givkh'id
clics-doculect-51-27,rutu1240-std,concepticon-259,1.323,дайрагьлывырхын,rough (of sea),dairag'lyvyrkhyn
