ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-189-1,sana1281-Enlhet,concepticon-965,1.1,neŋeleeywomakɬaʔ,world,neNGeleeywomakla?
clics-doculect-189-2,sana1281-Enlhet,concepticon-965,1.1,asnaaɬpop,world,asnaalpop
clics-doculect-189-3,sana1281-Enlhet,concepticon-626,1.21,ɬoopʔaktek,"earth, land",loop?aktek
clics-doculect-189-4,sana1281-Enlhet,concepticon-626,1.21,amyep,"earth, land",amyep
clics-doculect-189-5,sana1281-Enlhet,concepticon-1228,1.212,ɬoopʔaktek,"earth=ground, soil",loop?aktek
clics-doculect-189-6,sana1281-Enlhet,concepticon-1228,1.212,naaɬpop,"earth=ground, soil",naalpop
clics-doculect-189-7,sana1281-Enlhet,concepticon-2,1.213,aanek,dust,aanek
clics-doculect-189-8,sana1281-Enlhet,concepticon-2,1.213,akpaʔanma,dust,akpa?anma
clics-doculect-189-9,sana1281-Enlhet,concepticon-640,1.214,yelpaʔ,mud,yelpa?
clics-doculect-189-10,sana1281-Enlhet,concepticon-671,1.215,ɬoopʔaktek,sand,loop?aktek
clics-doculect-189-11,sana1281-Enlhet,concepticon-671,1.215,ɬoopʔaktekaŋkooʔ,sand,loop?aktekaNGkoo?
clics-doculect-189-12,sana1281-Enlhet,concepticon-671,1.215,ɬoopʔaktekaanek,sand,loop?aktekaanek
clics-doculect-189-13,sana1281-Enlhet,concepticon-2118,1.22,eŋkeɬe,"mountain, hill",eNGkele
clics-doculect-189-14,sana1281-Enlhet,concepticon-2118,1.22,mataymoŋ,"mountain, hill",mataymoNG
clics-doculect-189-15,sana1281-Enlhet,concepticon-652,1.23,amyep,"plain, field",amyep
clics-doculect-189-16,sana1281-Enlhet,concepticon-921,1.24,alwaataʔ,valley,alwaata?
clics-doculect-189-17,sana1281-Enlhet,concepticon-113,1.27,neyaawaʔatsamˀ,shore,neyaawa?atsam?
clics-doculect-189-18,sana1281-Enlhet,concepticon-113,1.27,nekhawaʔatsamˀ,shore,nekhawa?atsam?
clics-doculect-189-19,sana1281-Enlhet,concepticon-1155,1.28,maaɬek,cave,maalek
clics-doculect-189-20,sana1281-Enlhet,concepticon-1155,1.28,maaɬekaɬaŋkok,cave,maalekalaNGkok
clics-doculect-189-21,sana1281-Enlhet,concepticon-1155,1.28,aʔaɬwa,cave,a?alwa
clics-doculect-189-22,sana1281-Enlhet,concepticon-948,1.31,yeŋmen,water,yeNGmen
clics-doculect-189-23,sana1281-Enlhet,concepticon-948,1.31,ayeŋmenek,water,ayeNGmenek
clics-doculect-189-24,sana1281-Enlhet,concepticon-1474,1.32,waʔatsamˀ,sea,wa?atsam?
clics-doculect-189-25,sana1281-Enlhet,concepticon-258,1.322,mepkeyennamaam,calm (of sea),mepkeyennamaam
