ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-41-1,sese1246-std,concepticon-965,1.1,lemonn,world,lemonn
clics-doculect-41-2,sese1246-std,concepticon-626,1.21,later,"earth, land",later
clics-doculect-41-3,sese1246-std,concepticon-1228,1.212,later,"earth=ground, soil",later
clics-doculect-41-4,sese1246-std,concepticon-2,1.213,lapousyer,dust,lapousyer
clics-doculect-41-5,sese1246-std,concepticon-640,1.214,labou,mud,labou
clics-doculect-41-6,sese1246-std,concepticon-671,1.215,disab,sand,disab
clics-doculect-41-7,sese1246-std,concepticon-2118,1.22,montanny,"mountain, hill",montanny
clics-doculect-41-8,sese1246-std,concepticon-2118,1.22,oter,"mountain, hill",oter
clics-doculect-41-9,sese1246-std,concepticon-618,1.222,kap,"cliff, precipice",kap
clics-doculect-41-10,sese1246-std,concepticon-618,1.222,kapros,"cliff, precipice",kapros
clics-doculect-41-11,sese1246-std,concepticon-652,1.23,laplenn,"plain, field",laplenn
clics-doculect-41-12,sese1246-std,concepticon-652,1.23,countryside,"plain, field",countryside
clics-doculect-41-13,sese1246-std,concepticon-921,1.24,vale,valley,vale
clics-doculect-41-14,sese1246-std,concepticon-622,1.25,zil,island,zil
clics-doculect-41-15,sese1246-std,concepticon-166,1.26,kontinan,mainland,kontinan
clics-doculect-41-16,sese1246-std,concepticon-113,1.27,lakot,shore,lakot
clics-doculect-41-17,sese1246-std,concepticon-113,1.27,borlanmer,shore,borlanmer
clics-doculect-41-18,sese1246-std,concepticon-1155,1.28,lagrot,cave,lagrot
clics-doculect-41-19,sese1246-std,concepticon-1155,1.28,anbaros,cave,anbaros
clics-doculect-41-20,sese1246-std,concepticon-948,1.31,delo,water,delo
clics-doculect-41-21,sese1246-std,concepticon-948,1.31,dilo,water,dilo
clics-doculect-41-22,sese1246-std,concepticon-1474,1.32,lanmer,sea,lanmer
clics-doculect-41-23,sese1246-std,concepticon-258,1.322,kalm,calm (of sea),kalm
clics-doculect-41-24,sese1246-std,concepticon-258,1.322,etal,calm (of sea),etal
clics-doculect-41-25,sese1246-std,concepticon-259,1.323,boulverse,rough (of sea),boulverse
clics-doculect-41-26,sese1246-std,concepticon-259,1.323,mouvmante,rough (of sea),mouvmante
clics-doculect-41-27,sese1246-std,concepticon-259,1.323,move,rough (of sea),move
clics-doculect-41-28,sese1246-std,concepticon-1768,1.324,lekim,foam,lekim
clics-doculect-41-29,sese1246-std,concepticon-645,1.329,losean,ocean,losean
clics-doculect-41-30,sese1246-std,concepticon-624,1.33,lak,lake,lak
clics-doculect-41-31,sese1246-std,concepticon-663,1.34,labe,"gulf, bay",labe
clics-doculect-41-32,sese1246-std,concepticon-623,1.341,lagon,lagoon,lagon
clics-doculect-41-33,sese1246-std,concepticon-660,1.342,resif,reef,resif
clics-doculect-41-34,sese1246-std,concepticon-660,1.342,brizan,reef,brizan
clics-doculect-41-35,sese1246-std,concepticon-1662,1.343,lapwent,"headland, point",lapwent
clics-doculect-41-36,sese1246-std,concepticon-978,1.35,laroul,wave,laroul
clics-doculect-41-37,sese1246-std,concepticon-891,1.352,mare,tide,mare
clics-doculect-41-38,sese1246-std,concepticon-1026,1.353,mareba,lowtide,mareba
clics-doculect-41-39,sese1246-std,concepticon-613,1.354,mareo,hightide,mareo
clics-doculect-41-40,sese1246-std,concepticon-666,1.36,larivyer,"river, stream, brook",larivyer
clics-doculect-41-41,sese1246-std,concepticon-1982,1.362,tourbiyon,whirlpool,tourbiyon
clics-doculect-41-42,sese1246-std,concepticon-2144,1.37,lasours,"spring, well",lasours
clics-doculect-41-43,sese1246-std,concepticon-2144,1.37,pwi,"spring, well",pwi
clics-doculect-41-44,sese1246-std,concepticon-1145,1.38,lanmar,swamp,lanmar
clics-doculect-41-45,sese1246-std,concepticon-943,1.39,delofannen,waterfall,delofannen
clics-doculect-41-46,sese1246-std,concepticon-943,1.39,kaskad,waterfall,kaskad
clics-doculect-41-47,sese1246-std,concepticon-943,1.39,waterfall,waterfall,waterfall
clics-doculect-41-48,sese1246-std,concepticon-420,1.41,fore,"woods, forest",fore
clics-doculect-41-49,sese1246-std,concepticon-420,1.41,danbwa,"woods, forest",danbwa
clics-doculect-41-50,sese1246-std,concepticon-1803,1.43,bwa,wood,bwa
clics-doculect-41-51,sese1246-std,concepticon-2125,1.44,pyer,"stone, rock",pyer
clics-doculect-41-52,sese1246-std,concepticon-2125,1.44,ros,"stone, rock",ros
clics-doculect-41-53,sese1246-std,concepticon-2125,1.44,rose,"stone, rock",rose
clics-doculect-41-54,sese1246-std,concepticon-6,1.45,tranblemandter,earthquake,tranblemandter
clics-doculect-41-55,sese1246-std,concepticon-1732,1.51,lesyel,sky,lesyel
clics-doculect-41-56,sese1246-std,concepticon-1343,1.52,soley,sun,soley
clics-doculect-41-57,sese1246-std,concepticon-1313,1.53,lalin,moon,lalin
clics-doculect-41-58,sese1246-std,concepticon-1430,1.54,zetwal,star,zetwal
clics-doculect-41-59,sese1246-std,concepticon-1654,1.55,zekler,lightning,zekler
clics-doculect-41-60,sese1246-std,concepticon-1150,1.56,loraz,thunder,loraz
clics-doculect-41-61,sese1246-std,concepticon-2007,1.57,zekler,lightning (as striking),zekler
clics-doculect-41-62,sese1246-std,concepticon-858,1.58,tanpet,storm,tanpet
clics-doculect-41-63,sese1246-std,concepticon-1733,1.59,larkansyel,rainbow,larkansyel
clics-doculect-41-64,sese1246-std,concepticon-630,1.61,lalimyer,light (noun),lalimyer
clics-doculect-41-65,sese1246-std,concepticon-11,1.62,lobskirite,darkness,lobskirite
clics-doculect-41-66,sese1246-std,concepticon-11,1.62,fernwar,darkness,fernwar
