ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-63-1,ship1254-std,concepticon-965,1.1,nɨtɨ,world,niti
clics-doculect-63-2,ship1254-std,concepticon-626,1.21,mai,"earth, land",mai
clics-doculect-63-3,ship1254-std,concepticon-2,1.213,poto,dust,poto
clics-doculect-63-4,ship1254-std,concepticon-2,1.213,maipoto,dust,maipoto
clics-doculect-63-5,ship1254-std,concepticon-640,1.214,čawati,mud,cawati
clics-doculect-63-6,ship1254-std,concepticon-671,1.215,maši,sand,masi
clics-doculect-63-7,ship1254-std,concepticon-2118,1.22,manã,"mountain, hill",mana
clics-doculect-63-8,ship1254-std,concepticon-2118,1.22,mato,"mountain, hill",mato
clics-doculect-63-9,ship1254-std,concepticon-2118,1.22,animanã,"mountain, hill",animana
clics-doculect-63-10,ship1254-std,concepticon-618,1.222,kɨto,"cliff, precipice",kito
clics-doculect-63-11,ship1254-std,concepticon-652,1.23,ṣ̌aβa,"plain, field",saba
clics-doculect-63-12,ship1254-std,concepticon-622,1.25,nasi,island,nasi
clics-doculect-63-13,ship1254-std,concepticon-113,1.27,maši,shore,masi
clics-doculect-63-14,ship1254-std,concepticon-1155,1.28,kini,cave,kini
clics-doculect-63-15,ship1254-std,concepticon-1155,1.28,manãkini,cave,manakini
clics-doculect-63-16,ship1254-std,concepticon-948,1.31,hɨnɨ,water,hini
clics-doculect-63-17,ship1254-std,concepticon-948,1.31,õpaṣ̌,water,opas
clics-doculect-63-18,ship1254-std,concepticon-948,1.31,na,water,na
clics-doculect-63-19,ship1254-std,concepticon-948,1.31,nɨ,water,ni
clics-doculect-63-20,ship1254-std,concepticon-1768,1.324,βakoṣ̌,foam,bakos
clics-doculect-63-21,ship1254-std,concepticon-1768,1.324,βakoṣ̌ati,foam,bakosati
clics-doculect-63-22,ship1254-std,concepticon-1768,1.324,makaš,foam,makas
clics-doculect-63-23,ship1254-std,concepticon-645,1.329,aniparo,ocean,aniparo
clics-doculect-63-24,ship1254-std,concepticon-624,1.33,iã,lake,ia
clics-doculect-63-25,ship1254-std,concepticon-624,1.33,hɨnɨ,lake,hini
clics-doculect-63-26,ship1254-std,concepticon-623,1.341,iã,lagoon,ia
clics-doculect-63-27,ship1254-std,concepticon-623,1.341,hɨnɨ,lagoon,hini
clics-doculect-63-28,ship1254-std,concepticon-978,1.35,βɨčõ,wave,bico
clics-doculect-63-29,ship1254-std,concepticon-666,1.36,paro,"river, stream, brook",paro
clics-doculect-63-30,ship1254-std,concepticon-666,1.36,wɨã,"river, stream, brook",wia
clics-doculect-63-31,ship1254-std,concepticon-666,1.36,βai,"river, stream, brook",bai
clics-doculect-63-32,ship1254-std,concepticon-1982,1.362,samã,whirlpool,sama
clics-doculect-63-33,ship1254-std,concepticon-2144,1.37,čãtomari,"spring, well",catomari
clics-doculect-63-34,ship1254-std,concepticon-943,1.39,hɨnɨmaanai,waterfall,hinimaanai
clics-doculect-63-35,ship1254-std,concepticon-420,1.41,maniš,"woods, forest",manis
clics-doculect-63-36,ship1254-std,concepticon-420,1.41,βõko,"woods, forest",boko
clics-doculect-63-37,ship1254-std,concepticon-420,1.41,nii,"woods, forest",nii
clics-doculect-63-39,ship1254-std,concepticon-1803,1.43,hiwi,wood,hiwi
clics-doculect-63-40,ship1254-std,concepticon-2125,1.44,makã,"stone, rock",maka
clics-doculect-63-41,ship1254-std,concepticon-2125,1.44,maṣ̌aṣ̌,"stone, rock",masas
clics-doculect-63-42,ship1254-std,concepticon-6,1.45,niwã,earthquake,niwa
clics-doculect-63-43,ship1254-std,concepticon-1732,1.51,nai,sky,nai
clics-doculect-63-44,ship1254-std,concepticon-1343,1.52,βari,sun,bari
clics-doculect-63-45,ship1254-std,concepticon-1313,1.53,oṣ̌ɨ,moon,osi
clics-doculect-63-46,ship1254-std,concepticon-1430,1.54,wištĩ,star,wisti
clics-doculect-63-47,ship1254-std,concepticon-1654,1.55,kana,lightning,kana
clics-doculect-63-48,ship1254-std,concepticon-1150,1.56,ririiti,thunder,ririiti
clics-doculect-63-49,ship1254-std,concepticon-1150,1.56,tirĩiti,thunder,tiriiti
clics-doculect-63-50,ship1254-std,concepticon-2007,1.57,kana,lightning (as striking),kana
