ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-27-1,sout2697-std,concepticon-965,1.1,дүнја,world,dunja
clics-doculect-27-2,sout2697-std,concepticon-626,1.21,өлкә,"earth, land",olk@
clics-doculect-27-3,sout2697-std,concepticon-1228,1.212,торпаг,"earth=ground, soil",torpag
clics-doculect-27-4,sout2697-std,concepticon-2,1.213,тоз,dust,toz
clics-doculect-27-5,sout2697-std,concepticon-640,1.214,палчыг,mud,palchyg
clics-doculect-27-6,sout2697-std,concepticon-671,1.215,гум,sand,gum
clics-doculect-27-7,sout2697-std,concepticon-2118,1.22,даг,"mountain, hill",dag
clics-doculect-27-8,sout2697-std,concepticon-2118,1.22,тәпә,"mountain, hill",t@p@
clics-doculect-27-9,sout2697-std,concepticon-618,1.222,гаја,"cliff, precipice",gaja
clics-doculect-27-10,sout2697-std,concepticon-618,1.222,сылдырим,"cliff, precipice",syldyrim
clics-doculect-27-11,sout2697-std,concepticon-652,1.23,дүзәнлик,"plain, field",duz@nlik
clics-doculect-27-12,sout2697-std,concepticon-652,1.23,чөл,"plain, field",chol
clics-doculect-27-13,sout2697-std,concepticon-921,1.24,вади,valley,vadi
clics-doculect-27-14,sout2697-std,concepticon-622,1.25,ада,island,ada
clics-doculect-27-15,sout2697-std,concepticon-166,1.26,гитә,mainland,git@
clics-doculect-27-16,sout2697-std,concepticon-113,1.27,ғырағисаһил,shore,g'yrag'isahil
clics-doculect-27-17,sout2697-std,concepticon-1155,1.28,мағара,cave,mag'ara
clics-doculect-27-18,sout2697-std,concepticon-1155,1.28,капа,cave,kapa
clics-doculect-27-19,sout2697-std,concepticon-1155,1.28,заға,cave,zag'a
clics-doculect-27-20,sout2697-std,concepticon-948,1.31,су,water,su
clics-doculect-27-21,sout2697-std,concepticon-1474,1.32,дәниз,sea,d@niz
clics-doculect-27-22,sout2697-std,concepticon-258,1.322,сакит,calm (of sea),sakit
clics-doculect-27-23,sout2697-std,concepticon-259,1.323,ҹошгун,rough (of sea),ch'oshgun
