ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-153-1,stan1293-std,concepticon-965,1.1,world,world,world
clics-doculect-153-2,stan1293-std,concepticon-626,1.21,earth,"earth, land",earth
clics-doculect-153-3,stan1293-std,concepticon-626,1.21,land,"earth, land",land
clics-doculect-153-4,stan1293-std,concepticon-1228,1.212,ground,"earth=ground, soil",ground
clics-doculect-153-5,stan1293-std,concepticon-1228,1.212,soil,"earth=ground, soil",soil
clics-doculect-153-6,stan1293-std,concepticon-2,1.213,dust,dust,dust
clics-doculect-153-7,stan1293-std,concepticon-640,1.214,mud,mud,mud
clics-doculect-153-8,stan1293-std,concepticon-671,1.215,sand,sand,sand
clics-doculect-153-9,stan1293-std,concepticon-2118,1.22,mountain,"mountain, hill",mountain
clics-doculect-153-10,stan1293-std,concepticon-2118,1.22,hill,"mountain, hill",hill
clics-doculect-153-11,stan1293-std,concepticon-618,1.222,cliff,"cliff, precipice",cliff
clics-doculect-153-12,stan1293-std,concepticon-618,1.222,precipice,"cliff, precipice",precipice
clics-doculect-153-13,stan1293-std,concepticon-652,1.23,plain,"plain, field",plain
clics-doculect-153-14,stan1293-std,concepticon-652,1.23,field,"plain, field",field
clics-doculect-153-15,stan1293-std,concepticon-921,1.24,valley,valley,valley
clics-doculect-153-16,stan1293-std,concepticon-622,1.25,island,island,island
clics-doculect-153-17,stan1293-std,concepticon-166,1.26,mainland,mainland,mainland
clics-doculect-153-18,stan1293-std,concepticon-113,1.27,shore,shore,shore
clics-doculect-153-19,stan1293-std,concepticon-1155,1.28,cave,cave,cave
clics-doculect-153-20,stan1293-std,concepticon-948,1.31,water,water,water
clics-doculect-153-21,stan1293-std,concepticon-1474,1.32,sea,sea,sea
clics-doculect-153-22,stan1293-std,concepticon-258,1.322,calm,calm (of sea),calm
clics-doculect-153-23,stan1293-std,concepticon-259,1.323,rough,rough (of sea),rough
clics-doculect-153-24,stan1293-std,concepticon-1768,1.324,foam,foam,foam
clics-doculect-153-25,stan1293-std,concepticon-645,1.329,ocean,ocean,ocean
clics-doculect-153-26,stan1293-std,concepticon-624,1.33,lake,lake,lake
clics-doculect-153-27,stan1293-std,concepticon-663,1.34,gulf,"gulf, bay",gulf
clics-doculect-153-28,stan1293-std,concepticon-663,1.34,bay,"gulf, bay",bay
clics-doculect-153-29,stan1293-std,concepticon-623,1.341,lagoon,lagoon,lagoon
clics-doculect-153-30,stan1293-std,concepticon-660,1.342,reef,reef,reef
clics-doculect-153-31,stan1293-std,concepticon-1662,1.343,headland,"headland, point",headland
clics-doculect-153-32,stan1293-std,concepticon-1662,1.343,point,"headland, point",point
clics-doculect-153-33,stan1293-std,concepticon-978,1.35,wave,wave,wave
clics-doculect-153-34,stan1293-std,concepticon-891,1.352,tide,tide,tide
clics-doculect-153-35,stan1293-std,concepticon-1026,1.353,lowtide,lowtide,lowtide
clics-doculect-153-36,stan1293-std,concepticon-613,1.354,hightide,hightide,hightide
clics-doculect-153-37,stan1293-std,concepticon-666,1.36,river,"river, stream, brook",river
