ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-213-1,swah1253-std,concepticon-965,1.1,dunia,world,dunia
clics-doculect-213-2,swah1253-std,concepticon-965,1.1,ulimwengu,world,ulimwengu
clics-doculect-213-3,swah1253-std,concepticon-626,1.21,nchikavu,"earth, land",nchikavu
clics-doculect-213-4,swah1253-std,concepticon-1228,1.212,udongo,"earth=ground, soil",udongo
clics-doculect-213-5,swah1253-std,concepticon-2,1.213,vumbi,dust,vumbi
clics-doculect-213-6,swah1253-std,concepticon-640,1.214,matope,mud,matope
clics-doculect-213-7,swah1253-std,concepticon-671,1.215,mchanga,sand,mchanga
clics-doculect-213-8,swah1253-std,concepticon-2118,1.22,mlima,"mountain, hill",mlima
clics-doculect-213-9,swah1253-std,concepticon-2118,1.22,kilima,"mountain, hill",kilima
clics-doculect-213-10,swah1253-std,concepticon-618,1.222,mwamba,"cliff, precipice",mwamba
clics-doculect-213-11,swah1253-std,concepticon-652,1.23,tambarare,"plain, field",tambarare
clics-doculect-213-12,swah1253-std,concepticon-921,1.24,bonde,valley,bonde
clics-doculect-213-13,swah1253-std,concepticon-622,1.25,kisiwa,island,kisiwa
clics-doculect-213-14,swah1253-std,concepticon-166,1.26,bara,mainland,bara
clics-doculect-213-15,swah1253-std,concepticon-113,1.27,ufuko,shore,ufuko
clics-doculect-213-16,swah1253-std,concepticon-113,1.27,pwani,shore,pwani
clics-doculect-213-17,swah1253-std,concepticon-1155,1.28,pango,cave,pango
clics-doculect-213-18,swah1253-std,concepticon-948,1.31,maji,water,maji
clics-doculect-213-19,swah1253-std,concepticon-1474,1.32,bahari,sea,bahari
clics-doculect-213-20,swah1253-std,concepticon-258,1.322,shwari,calm (of sea),shwari
clics-doculect-213-21,swah1253-std,concepticon-258,1.322,shuwari,calm (of sea),shuwari
clics-doculect-213-22,swah1253-std,concepticon-259,1.323,chafuka,rough (of sea),chafuka
clics-doculect-213-23,swah1253-std,concepticon-1768,1.324,povu,foam,povu
