ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-87-1,swed1254-std,concepticon-965,1.1,verld,world,verld
clics-doculect-87-2,swed1254-std,concepticon-965,1.1,värld,world,varld
clics-doculect-87-3,swed1254-std,concepticon-626,1.21,jord,"earth, land",jord
clics-doculect-87-4,swed1254-std,concepticon-626,1.21,land,"earth, land",land
clics-doculect-87-5,swed1254-std,concepticon-1228,1.212,grund,"earth=ground, soil",grund
clics-doculect-87-6,swed1254-std,concepticon-1228,1.212,land,"earth=ground, soil",land
clics-doculect-87-7,swed1254-std,concepticon-1228,1.212,mark,"earth=ground, soil",mark
clics-doculect-87-8,swed1254-std,concepticon-1228,1.212,jord,"earth=ground, soil",jord
clics-doculect-87-9,swed1254-std,concepticon-2,1.213,damm,dust,damm
clics-doculect-87-10,swed1254-std,concepticon-2,1.213,stoft,dust,stoft
clics-doculect-87-11,swed1254-std,concepticon-640,1.214,gyttja,mud,gyttja
clics-doculect-87-12,swed1254-std,concepticon-640,1.214,dy,mud,dy
clics-doculect-87-13,swed1254-std,concepticon-640,1.214,mudder,mud,mudder
clics-doculect-87-14,swed1254-std,concepticon-640,1.214,gäggamoja,mud,gaggamoja
clics-doculect-87-15,swed1254-std,concepticon-640,1.214,lera,mud,lera
clics-doculect-87-16,swed1254-std,concepticon-671,1.215,sand,sand,sand
clics-doculect-87-17,swed1254-std,concepticon-2118,1.22,berg,"mountain, hill",berg
clics-doculect-87-18,swed1254-std,concepticon-2118,1.22,kulle,"mountain, hill",kulle
clics-doculect-87-19,swed1254-std,concepticon-2118,1.22,fjäll,"mountain, hill",fjall
clics-doculect-87-20,swed1254-std,concepticon-2118,1.22,backe,"mountain, hill",backe
clics-doculect-87-21,swed1254-std,concepticon-618,1.222,klippa,"cliff, precipice",klippa
clics-doculect-87-22,swed1254-std,concepticon-618,1.222,stup,"cliff, precipice",stup
clics-doculect-87-23,swed1254-std,concepticon-652,1.23,slätt,"plain, field",slatt
clics-doculect-87-24,swed1254-std,concepticon-652,1.23,fält,"plain, field",falt
clics-doculect-87-25,swed1254-std,concepticon-921,1.24,dal,valley,dal
clics-doculect-87-26,swed1254-std,concepticon-622,1.25,ö,island,o
clics-doculect-87-27,swed1254-std,concepticon-166,1.26,fastland,mainland,fastland
clics-doculect-87-28,swed1254-std,concepticon-113,1.27,strand,shore,strand
clics-doculect-87-29,swed1254-std,concepticon-113,1.27,kust,shore,kust
clics-doculect-87-30,swed1254-std,concepticon-1155,1.28,håla,cave,hala
clics-doculect-87-31,swed1254-std,concepticon-1155,1.28,grotta,cave,grotta
clics-doculect-87-32,swed1254-std,concepticon-948,1.31,vatten,water,vatten
clics-doculect-87-33,swed1254-std,concepticon-1474,1.32,hav,sea,hav
clics-doculect-87-34,swed1254-std,concepticon-1474,1.32,sjö,sea,sjo
clics-doculect-87-35,swed1254-std,concepticon-258,1.322,stilla,calm (of sea),stilla
clics-doculect-87-36,swed1254-std,concepticon-259,1.323,stormig,rough (of sea),stormig
clics-doculect-87-37,swed1254-std,concepticon-1768,1.324,skum,foam,skum
clics-doculect-87-38,swed1254-std,concepticon-645,1.329,hav,ocean,hav
clics-doculect-87-39,swed1254-std,concepticon-645,1.329,ocean,ocean,ocean
clics-doculect-87-40,swed1254-std,concepticon-624,1.33,sjö,lake,sjo
clics-doculect-87-41,swed1254-std,concepticon-624,1.33,insjö,lake,insjo
