ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-212-1,taba1259-Southern,concepticon-965,1.1,ислягьвал,world,isliag'val
clics-doculect-212-2,taba1259-Southern,concepticon-965,1.1,дюнʼя,world,diun'ia
clics-doculect-212-3,taba1259-Southern,concepticon-626,1.21,ватан,"earth, land",vatan
clics-doculect-212-4,taba1259-Southern,concepticon-626,1.21,жил,"earth, land",zhil
clics-doculect-212-5,taba1259-Southern,concepticon-626,1.21,уьлке,"earth, land",u'lke
clics-doculect-212-6,taba1259-Southern,concepticon-626,1.21,кевшан,"earth, land",kevshan
clics-doculect-212-7,taba1259-Southern,concepticon-626,1.21,вилаят,"earth, land",vilaiat
clics-doculect-212-8,taba1259-Southern,concepticon-626,1.21,юрд,"earth, land",iurd
clics-doculect-212-9,taba1259-Southern,concepticon-1228,1.212,жил,"earth=ground, soil",zhil
clics-doculect-212-10,taba1259-Southern,concepticon-1228,1.212,руг,"earth=ground, soil",rug
clics-doculect-212-11,taba1259-Southern,concepticon-2,1.213,бушуруг,dust,bushurug
clics-doculect-212-12,taba1259-Southern,concepticon-640,1.214,кьуриш,mud,k'urish
clics-doculect-212-13,taba1259-Southern,concepticon-671,1.215,гъум,sand,g'um
clics-doculect-212-14,taba1259-Southern,concepticon-2118,1.22,дагъ,"mountain, hill",dag'
clics-doculect-212-15,taba1259-Southern,concepticon-2118,1.22,сив,"mountain, hill",siv
clics-doculect-212-16,taba1259-Southern,concepticon-2118,1.22,гъун,"mountain, hill",g'un
clics-doculect-212-17,taba1259-Southern,concepticon-2118,1.22,тепе,"mountain, hill",tepe
clics-doculect-212-18,taba1259-Southern,concepticon-618,1.222,гъарз,"cliff, precipice",g'arz
clics-doculect-212-19,taba1259-Southern,concepticon-618,1.222,дубсугъван,"cliff, precipice",dubsug'van
clics-doculect-212-20,taba1259-Southern,concepticon-618,1.222,кьал,"cliff, precipice",k'al
clics-doculect-212-21,taba1259-Southern,concepticon-652,1.23,дюзен,"plain, field",diuzen
clics-doculect-212-22,taba1259-Southern,concepticon-652,1.23,чюл,"plain, field",chiul
clics-doculect-212-23,taba1259-Southern,concepticon-652,1.23,хутІил,"plain, field",khutIil
clics-doculect-212-24,taba1259-Southern,concepticon-652,1.23,хяр,"plain, field",khiar
clics-doculect-212-25,taba1259-Southern,concepticon-921,1.24,чюл,valley,chiul
clics-doculect-212-26,taba1259-Southern,concepticon-921,1.24,дюзен,valley,diuzen
clics-doculect-212-27,taba1259-Southern,concepticon-622,1.25,гьюлинкьялаъжил,island,g'iulink'iala'zhil
clics-doculect-212-28,taba1259-Southern,concepticon-166,1.26,континент,mainland,kontinent
clics-doculect-212-29,taba1259-Southern,concepticon-113,1.27,гьюлингъирагъ,shore,g'iuling'irag'
clics-doculect-212-30,taba1259-Southern,concepticon-113,1.27,дарг,shore,darg
clics-doculect-212-31,taba1259-Southern,concepticon-1155,1.28,дюрхъ,cave,diurkh'
clics-doculect-212-32,taba1259-Southern,concepticon-1155,1.28,хьар,cave,kh'ar
clics-doculect-212-33,taba1259-Southern,concepticon-948,1.31,шид,water,shid
clics-doculect-212-34,taba1259-Southern,concepticon-1474,1.32,гьюл,sea,g'iul
clics-doculect-212-35,taba1259-Southern,concepticon-258,1.322,секинуб,calm (of sea),sekinub
clics-doculect-212-36,taba1259-Southern,concepticon-258,1.322,сакитуб,calm (of sea),sakitub
clics-doculect-212-37,taba1259-Southern,concepticon-259,1.323,секинсузуб,rough (of sea),sekinsuzub
clics-doculect-212-38,taba1259-Southern,concepticon-259,1.323,гьялакуб,rough (of sea),g'ialakub
clics-doculect-212-39,taba1259-Southern,concepticon-1768,1.324,каф,foam,kaf
clics-doculect-212-40,taba1259-Southern,concepticon-645,1.329,океан,ocean,okean
clics-doculect-212-41,taba1259-Southern,concepticon-624,1.33,дагар,lake,dagar
clics-doculect-212-42,taba1259-Southern,concepticon-623,1.341,гъямишлугъ,lagoon,g'iamishlug'
clics-doculect-212-43,taba1259-Southern,concepticon-978,1.35,лепе,wave,lepe
clics-doculect-212-44,taba1259-Southern,concepticon-891,1.352,гьюлулубчІвубвакьяляхъгъябгъюб,tide,g'iululubchIvubvak'ialiakh'g'iabg'iub
clics-doculect-212-45,taba1259-Southern,concepticon-1026,1.353,кьяляхъгъябгъюб,lowtide,k'ialiakh'g'iabg'iub
clics-doculect-212-46,taba1259-Southern,concepticon-613,1.354,улубчІвуб,hightide,ulubchIvub
clics-doculect-212-47,taba1259-Southern,concepticon-666,1.36,нир,"river, stream, brook",nir
clics-doculect-212-48,taba1259-Southern,concepticon-666,1.36,сел,"river, stream, brook",sel
clics-doculect-212-49,taba1259-Southern,concepticon-666,1.36,бицІинир,"river, stream, brook",bitsIinir
clics-doculect-212-50,taba1259-Southern,concepticon-1982,1.362,шибилбицрушв,whirlpool,shibilbitsrushv
clics-doculect-212-51,taba1259-Southern,concepticon-2144,1.37,штункІул,"spring, well",shtunkIul
clics-doculect-212-52,taba1259-Southern,concepticon-2144,1.37,булагъ,"spring, well",bulag'
clics-doculect-212-53,taba1259-Southern,concepticon-2144,1.37,гъуйи,"spring, well",g'uii
clics-doculect-212-54,taba1259-Southern,concepticon-1145,1.38,гьявуз,swamp,g'iavuz
