ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-74-1,taca1256-std,concepticon-965,1.1,yawa,world,yawa
clics-doculect-74-2,taca1256-std,concepticon-626,1.21,meď̶i,"earth, land",medi
clics-doculect-74-3,taca1256-std,concepticon-626,1.21,yawa,"earth, land",yawa
clics-doculect-74-4,taca1256-std,concepticon-2,1.213,epamo,dust,epamo
clics-doculect-74-5,taca1256-std,concepticon-640,1.214,hočohočo,mud,hocohoco
clics-doculect-74-6,taca1256-std,concepticon-671,1.215,hotohoto,sand,hotohoto
clics-doculect-74-7,taca1256-std,concepticon-2118,1.22,emata,"mountain, hill",emata
clics-doculect-74-8,taca1256-std,concepticon-2118,1.22,moroko,"mountain, hill",moroko
clics-doculect-74-9,taca1256-std,concepticon-618,1.222,ekewiwi,"cliff, precipice",ekewiwi
clics-doculect-74-10,taca1256-std,concepticon-652,1.23,yac̷i,"plain, field",yaci
clics-doculect-74-11,taca1256-std,concepticon-652,1.23,ď̶ei,"plain, field",dei
clics-doculect-74-12,taca1256-std,concepticon-622,1.25,eðapopo,island,edapopo
clics-doculect-74-13,taca1256-std,concepticon-113,1.27,ekeke,shore,ekeke
clics-doculect-74-14,taca1256-std,concepticon-1155,1.28,rara,cave,rara
clics-doculect-74-15,taca1256-std,concepticon-948,1.31,yawi,water,yawi
clics-doculect-74-16,taca1256-std,concepticon-258,1.322,yawiemic̷ineti,calm (of sea),yawiemicineti
clics-doculect-74-17,taca1256-std,concepticon-1768,1.324,ehoba,foam,ehoba
clics-doculect-74-18,taca1256-std,concepticon-624,1.33,bai,lake,bai
clics-doculect-74-19,taca1256-std,concepticon-623,1.341,baipača,lagoon,baipaca
clics-doculect-74-20,taca1256-std,concepticon-623,1.341,wac̷a,lagoon,waca
clics-doculect-74-21,taca1256-std,concepticon-1662,1.343,enawibo,"headland, point",enawibo
clics-doculect-74-22,taca1256-std,concepticon-978,1.35,mokomoko,wave,mokomoko
clics-doculect-74-23,taca1256-std,concepticon-666,1.36,ena,"river, stream, brook",ena
clics-doculect-74-24,taca1256-std,concepticon-666,1.36,enabaki,"river, stream, brook",enabaki
clics-doculect-74-25,taca1256-std,concepticon-1982,1.362,kʷaroro,whirlpool,kwaroro
clics-doculect-74-26,taca1256-std,concepticon-2144,1.37,enapotipoti,"spring, well",enapotipoti
clics-doculect-74-27,taca1256-std,concepticon-2144,1.37,epororo,"spring, well",epororo
clics-doculect-74-28,taca1256-std,concepticon-1145,1.38,besabesa,swamp,besabesa
clics-doculect-74-29,taca1256-std,concepticon-1145,1.38,esipena,swamp,esipena
clics-doculect-74-30,taca1256-std,concepticon-943,1.39,eď̶oď̶obade,waterfall,edodobade
clics-doculect-74-31,taca1256-std,concepticon-943,1.39,tihihi,waterfall,tihihi
clics-doculect-74-32,taca1256-std,concepticon-420,1.41,ehihe,"woods, forest",ehihe
clics-doculect-74-34,taca1256-std,concepticon-2125,1.44,tomo,"stone, rock",tomo
clics-doculect-74-35,taca1256-std,concepticon-6,1.45,rireba,earthquake,rireba
clics-doculect-74-36,taca1256-std,concepticon-1732,1.51,boepa,sky,boepa
