ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-184-1,taki1248-std,concepticon-965,1.1,tantlyanek,world,tantlyanek
clics-doculect-184-2,taki1248-std,concepticon-626,1.21,tan,"earth, land",tan
clics-doculect-184-3,taki1248-std,concepticon-2,1.213,gfgaf,dust,gfgaf
clics-doculect-184-4,taki1248-std,concepticon-640,1.214,geogeo,mud,geogeo
clics-doculect-184-5,taki1248-std,concepticon-671,1.215,lul,sand,lul
clics-doculect-184-6,taki1248-std,concepticon-2118,1.22,did,"mountain, hill",did
clics-doculect-184-7,taki1248-std,concepticon-618,1.222,malpaon,"cliff, precipice",malpaon
clics-doculect-184-8,taki1248-std,concepticon-652,1.23,ate,"plain, field",ate
clics-doculect-184-9,taki1248-std,concepticon-921,1.24,ilo,valley,ilo
clics-doculect-184-10,taki1248-std,concepticon-622,1.25,nwi,island,nwi
clics-doculect-184-11,taki1248-std,concepticon-166,1.26,tantnin,mainland,tantnin
clics-doculect-184-12,taki1248-std,concepticon-166,1.26,tantbun,mainland,tantbun
clics-doculect-184-13,taki1248-std,concepticon-113,1.27,fonna,shore,fonna
clics-doculect-184-14,taki1248-std,concepticon-113,1.27,loŋ,shore,loNG
clics-doculect-184-15,taki1248-std,concepticon-1155,1.28,gib,cave,gib
clics-doculect-184-16,taki1248-std,concepticon-948,1.31,you,water,you
clics-doculect-184-17,taki1248-std,concepticon-1474,1.32,beig,sea,beig
clics-doculect-184-18,taki1248-std,concepticon-258,1.322,malin,calm (of sea),malin
clics-doculect-184-19,taki1248-std,concepticon-259,1.323,saensaen,rough (of sea),saensaen
clics-doculect-184-20,taki1248-std,concepticon-1768,1.324,sblbal,foam,sblbal
clics-doculect-184-21,taki1248-std,concepticon-645,1.329,beigawantbun,ocean,beigawantbun
clics-doculect-184-22,taki1248-std,concepticon-624,1.33,youitlanti,lake,youitlanti
clics-doculect-184-23,taki1248-std,concepticon-663,1.34,ilo,"gulf, bay",ilo
clics-doculect-184-24,taki1248-std,concepticon-623,1.341,youitlanti,lagoon,youitlanti
clics-doculect-184-25,taki1248-std,concepticon-660,1.342,mal,reef,mal
clics-doculect-184-26,taki1248-std,concepticon-1662,1.343,damo,"headland, point",damo
clics-doculect-184-27,taki1248-std,concepticon-978,1.35,lalol,wave,lalol
clics-doculect-184-28,taki1248-std,concepticon-891,1.352,youbrruk,tide,youbrruk
clics-doculect-184-29,taki1248-std,concepticon-1026,1.353,grgor,lowtide,grgor
clics-doculect-184-30,taki1248-std,concepticon-613,1.354,sir,hightide,sir
clics-doculect-184-31,taki1248-std,concepticon-666,1.36,you,"river, stream, brook",you
clics-doculect-184-32,taki1248-std,concepticon-1982,1.362,youmalan,whirlpool,youmalan
clics-doculect-184-33,taki1248-std,concepticon-2144,1.37,youibanaida,"spring, well",youibanaida
clics-doculect-184-34,taki1248-std,concepticon-1145,1.38,geo,swamp,geo
clics-doculect-184-35,taki1248-std,concepticon-943,1.39,youiskalikda,waterfall,youiskalikda
clics-doculect-184-36,taki1248-std,concepticon-420,1.41,dagu,"woods, forest",dagu
clics-doculect-184-37,taki1248-std,concepticon-1803,1.43,ai,wood,ai
clics-doculect-184-38,taki1248-std,concepticon-2125,1.44,pat,"stone, rock",pat
clics-doculect-184-39,taki1248-std,concepticon-6,1.45,knawrig,earthquake,knawrig
clics-doculect-184-40,taki1248-std,concepticon-1732,1.51,keit,sky,keit
clics-doculect-184-41,taki1248-std,concepticon-1343,1.52,ad,sun,ad
clics-doculect-184-42,taki1248-std,concepticon-1313,1.53,kalam,moon,kalam
clics-doculect-184-43,taki1248-std,concepticon-1430,1.54,patui,star,patui
