ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-116-1,tami1289-std,concepticon-965,1.1,ulakam,world,ulakam
clics-doculect-116-2,tami1289-std,concepticon-626,1.21,nilam,"earth, land",nilam
clics-doculect-116-3,tami1289-std,concepticon-1228,1.212,maṇ,"earth=ground, soil",man
clics-doculect-116-4,tami1289-std,concepticon-2,1.213,tūci,dust,tuci
clics-doculect-116-5,tami1289-std,concepticon-640,1.214,maṇ,mud,man
clics-doculect-116-6,tami1289-std,concepticon-671,1.215,maṇal,sand,manal
clics-doculect-116-7,tami1289-std,concepticon-2118,1.22,malai,"mountain, hill",malai
clics-doculect-116-8,tami1289-std,concepticon-618,1.222,ceṅkuttuppāṟai,"cliff, precipice",cenkuttupparai
clics-doculect-116-9,tami1289-std,concepticon-652,1.23,veṟṟu,"plain, field",verru
clics-doculect-116-10,tami1289-std,concepticon-921,1.24,paḷḷattākku,valley,pallattakku
clics-doculect-116-11,tami1289-std,concepticon-622,1.25,tīvu,island,tivu
clics-doculect-116-12,tami1289-std,concepticon-166,1.26,kaṇṭam,mainland,kantam
clics-doculect-116-13,tami1289-std,concepticon-113,1.27,karai,shore,karai
clics-doculect-116-14,tami1289-std,concepticon-1155,1.28,kukai,cave,kukai
clics-doculect-116-15,tami1289-std,concepticon-948,1.31,taṇṇīr,water,tannir
clics-doculect-116-16,tami1289-std,concepticon-1474,1.32,kaṭal,sea,katal
clics-doculect-116-17,tami1289-std,concepticon-258,1.322,amaitiyāṉa,calm (of sea),amaitiyana
clics-doculect-116-18,tami1289-std,concepticon-259,1.323,karaṭumūraṭāṉa,rough (of sea),karatumuratana
clics-doculect-116-19,tami1289-std,concepticon-1768,1.324,nurai,foam,nurai
clics-doculect-116-20,tami1289-std,concepticon-645,1.329,peruṅkaṭal,ocean,perunkatal
clics-doculect-116-21,tami1289-std,concepticon-624,1.33,ēri,lake,eri
clics-doculect-116-22,tami1289-std,concepticon-663,1.34,virikuṭā,"gulf, bay",virikuta
clics-doculect-116-23,tami1289-std,concepticon-623,1.341,kaṭaṟkaraikkāyal,lagoon,katarkaraikkayal
clics-doculect-116-24,tami1289-std,concepticon-660,1.342,pavaḷappāṟai,reef,pavalapparai
clics-doculect-116-25,tami1289-std,concepticon-1662,1.343,tīpakṟpam,"headland, point",tipakrpam
clics-doculect-116-26,tami1289-std,concepticon-978,1.35,alai,wave,alai
clics-doculect-116-27,tami1289-std,concepticon-891,1.352,alai vaṟṟu,tide,alai varru
clics-doculect-116-28,tami1289-std,concepticon-666,1.36,āṟu,"river, stream, brook",aru
clics-doculect-116-29,tami1289-std,concepticon-1982,1.362,nīrccuḻal,whirlpool,nircculal
clics-doculect-116-30,tami1289-std,concepticon-2144,1.37,kiṇaṟu,"spring, well",kinaru
clics-doculect-116-31,tami1289-std,concepticon-1145,1.38,catuppunilam,swamp,catuppunilam
clics-doculect-116-32,tami1289-std,concepticon-943,1.39,nīr vīḻcci,waterfall,nir vilcci
clics-doculect-116-33,tami1289-std,concepticon-420,1.41,kāṭu,"woods, forest",katu
clics-doculect-116-34,tami1289-std,concepticon-1803,1.43,marakkaṭṭai,wood,marakkattai
clics-doculect-116-35,tami1289-std,concepticon-2125,1.44,kal,"stone, rock",kal
clics-doculect-116-36,tami1289-std,concepticon-6,1.45,nilanaṭukkam,earthquake,nilanatukkam
clics-doculect-116-37,tami1289-std,concepticon-1732,1.51,vāṉam,sky,vanam
clics-doculect-116-38,tami1289-std,concepticon-1343,1.52,cūriyaṉ,sun,curiyan
clics-doculect-116-39,tami1289-std,concepticon-1313,1.53,cantiraṉ,moon,cantiran
clics-doculect-116-40,tami1289-std,concepticon-1430,1.54,naṭcattiram,star,natcattiram
clics-doculect-116-41,tami1289-std,concepticon-1654,1.55,miṉṉal,lightning,minnal
clics-doculect-116-42,tami1289-std,concepticon-1150,1.56,iṭi,thunder,iti
clics-doculect-116-43,tami1289-std,concepticon-858,1.58,puyal,storm,puyal
clics-doculect-116-44,tami1289-std,concepticon-1733,1.59,vāṉavil,rainbow,vanavil
clics-doculect-116-45,tami1289-std,concepticon-630,1.61,oḷi,light (noun),oli
clics-doculect-116-46,tami1289-std,concepticon-11,1.62,iruḷ,darkness,irul
clics-doculect-116-47,tami1289-std,concepticon-1388,1.63,niḻal,"shade, shadow",nilal
clics-doculect-116-48,tami1289-std,concepticon-1977,1.64,paṉi,dew,pani
clics-doculect-116-49,tami1289-std,concepticon-27,1.71,kāṟṟu,air,karru
clics-doculect-116-50,tami1289-std,concepticon-1489,1.73,mēkam,cloud,mekam
clics-doculect-116-51,tami1289-std,concepticon-249,1.74,mūṭupaṉi,fog,mutupani
clics-doculect-116-52,tami1289-std,concepticon-658,1.75,maḻai,rain (noun),malai
clics-doculect-116-53,tami1289-std,concepticon-784,1.76,paṉi,snow (noun),pani
clics-doculect-116-54,tami1289-std,concepticon-617,1.77,paṉikkaṭṭi,ice,panikkatti
clics-doculect-116-55,tami1289-std,concepticon-952,1.78,vāṉilai,weather,vanilai
clics-doculect-116-56,tami1289-std,concepticon-221,1.81,neruppu,fire,neruppu
clics-doculect-116-57,tami1289-std,concepticon-889,1.82,tīkkoḻuntu,flame (noun),tikkoluntu
clics-doculect-116-58,tami1289-std,concepticon-778,1.83,pukai,smoke (noun),pukai
clics-doculect-116-59,tami1289-std,concepticon-646,1.84,cāmpal,ashes,campal
clics-doculect-116-60,tami1289-std,concepticon-141,1.851,erittal,burn (vb trans),erittal
clics-doculect-116-61,tami1289-std,concepticon-1428,1.852,erikiṟatu,burn (vb intrans),erikiratu
clics-doculect-116-62,tami1289-std,concepticon-737,1.86,tīmūṭṭuvatu,"light, kindle, ignite",timuttuvatu
clics-doculect-116-63,tami1289-std,concepticon-127,1.861,aṇaittal,extinguish,anaittal
clics-doculect-116-64,tami1289-std,concepticon-1133,1.87,tīkkucci,match (noun),tikkucci
clics-doculect-116-65,tami1289-std,concepticon-10,1.88,viṟaku,firewood,viraku
clics-doculect-116-66,tami1289-std,concepticon-1188,1.89,karittuṇṭu,charcoal,karittuntu
clics-doculect-116-67,tami1289-std,concepticon-683,2.1,āḷ,"person, human being",al
clics-doculect-116-68,tami1289-std,concepticon-1554,2.21,maṉitaṉ,man (vs. woman),manitan
clics-doculect-116-69,tami1289-std,concepticon-962,2.22,peṇ,woman,pen
clics-doculect-116-70,tami1289-std,concepticon-1553,2.23,āṇ,male,an
clics-doculect-116-71,tami1289-std,concepticon-1551,2.24,peṇ,female,pen
clics-doculect-116-72,tami1289-std,concepticon-1366,2.25,paiyaṉ,boy,paiyan
clics-doculect-116-73,tami1289-std,concepticon-76,2.251,iḷaiñaṉ,young man (adolescent),ilainan
clics-doculect-116-74,tami1289-std,concepticon-1646,2.26,ciṟumi,girl,cirumi
clics-doculect-116-75,tami1289-std,concepticon-77,2.261,mātu,young woman (adolescent),matu
clics-doculect-116-76,tami1289-std,concepticon-1304,2.27,ciṟār,child,cirar
clics-doculect-116-77,tami1289-std,concepticon-1289,2.28,kaikkuḻantai,"infant, baby",kaikkulantai
clics-doculect-116-78,tami1289-std,concepticon-1200,2.31,kaṇavaṉ,husband,kanavan
clics-doculect-116-79,tami1289-std,concepticon-1199,2.32,maṉaivi,wife,manaivi
clics-doculect-116-80,tami1289-std,concepticon-203,2.33,maṇamuṭittal,marry,manamutittal
clics-doculect-116-81,tami1289-std,concepticon-1259,2.34,kalyāṇam,"marriage, wedding",kalyanam
clics-doculect-116-82,tami1289-std,concepticon-1134,2.341,vivākarattu,divorce,vivakarattu
clics-doculect-116-83,tami1289-std,concepticon-1217,2.35,appā,father,appa
clics-doculect-116-84,tami1289-std,concepticon-1216,2.36,tāy,mother,tay
clics-doculect-116-85,tami1289-std,concepticon-505,2.37,peṟṟōr,parents,perror
