ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-163-1,tari1263-std,concepticon-965,1.1,ddənya,world,dd@nya
clics-doculect-163-2,tari1263-std,concepticon-626,1.21,ŧammua’ŧ,"earth, land",tammua't
clics-doculect-163-3,tari1263-std,concepticon-1228,1.212,šař,"earth=ground, soil",sar
clics-doculect-163-4,tari1263-std,concepticon-2,1.213,ŧaʕəžžašŧ,dust,ta?@zzast
clics-doculect-163-5,tari1263-std,concepticon-2,1.213,ŧaɣəbbā’ŧ,dust,tag@bba't
clics-doculect-163-6,tari1263-std,concepticon-640,1.214,aƀəǧǧaʕ,mud,ab@gga?
clics-doculect-163-7,tari1263-std,concepticon-671,1.215,ižđi,sand,izdi
clics-doculect-163-8,tari1263-std,concepticon-2118,1.22,ađrā,"mountain, hill",adra
clics-doculect-163-9,tari1263-std,concepticon-2118,1.22,ađmā,"mountain, hill",adma
clics-doculect-163-10,tari1263-std,concepticon-618,1.222,žžā’f,"cliff, precipice",zza'f
clics-doculect-163-11,tari1263-std,concepticon-618,1.222,addā,"cliff, precipice",adda
clics-doculect-163-12,tari1263-std,concepticon-652,1.23,řgəʕđəŧ,"plain, field",rg@?d@t
clics-doculect-163-13,tari1263-std,concepticon-652,1.23,řəwđ’a,"plain, field",r@wd'a
clics-doculect-163-14,tari1263-std,concepticon-921,1.24,ŧizi,valley,tizi
clics-doculect-163-15,tari1263-std,concepticon-622,1.25,ŧayəzzāŧ,island,tay@zzat
clics-doculect-163-16,tari1263-std,concepticon-622,1.25,lǧazira,island,lgazira
clics-doculect-163-17,tari1263-std,concepticon-166,1.26,řƀā’,mainland,rba'
clics-doculect-163-18,tari1263-std,concepticon-113,1.27,ŧma,shore,tma
clics-doculect-163-19,tari1263-std,concepticon-1155,1.28,ifri,cave,ifri
clics-doculect-163-20,tari1263-std,concepticon-948,1.31,aman,water,aman
clics-doculect-163-21,tari1263-std,concepticon-1474,1.32,řəƀħā,sea,r@bha
