ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-86-1,telu1262-std,concepticon-965,1.1,ila,world,ila
clics-doculect-86-2,telu1262-std,concepticon-965,1.1,kuwalayam,world,kuwalayam
clics-doculect-86-3,telu1262-std,concepticon-965,1.1,jagam,world,jagam
clics-doculect-86-4,telu1262-std,concepticon-965,1.1,jagattu,world,jagattu
clics-doculect-86-5,telu1262-std,concepticon-965,1.1,jagati,world,jagati
clics-doculect-86-6,telu1262-std,concepticon-626,1.21,bhuumi,"earth, land",bhuumi
clics-doculect-86-7,telu1262-std,concepticon-626,1.21,neela,"earth, land",neela
clics-doculect-86-8,telu1262-std,concepticon-1228,1.212,iriNam,"earth=ground, soil",iriNam
clics-doculect-86-9,telu1262-std,concepticon-1228,1.212,uppucawDu,"earth=ground, soil",uppucawDu
clics-doculect-86-10,telu1262-std,concepticon-1228,1.212,ubbaneela,"earth=ground, soil",ubbaneela
clics-doculect-86-11,telu1262-std,concepticon-1228,1.212,erracawuDu,"earth=ground, soil",erracawuDu
clics-doculect-86-12,telu1262-std,concepticon-1228,1.212,garapaneela,"earth=ground, soil",garapaneela
clics-doculect-86-13,telu1262-std,concepticon-1228,1.212,cawkaneela,"earth=ground, soil",cawkaneela
clics-doculect-86-14,telu1262-std,concepticon-1228,1.212,tuwwa,"earth=ground, soil",tuwwa
clics-doculect-86-15,telu1262-std,concepticon-1228,1.212,duwwa,"earth=ground, soil",duwwa
clics-doculect-86-16,telu1262-std,concepticon-1228,1.212,dubba,"earth=ground, soil",dubba
clics-doculect-86-17,telu1262-std,concepticon-2,1.213,awakaram,dust,awakaram
clics-doculect-86-18,telu1262-std,concepticon-2,1.213,dummu,dust,dummu
clics-doculect-86-19,telu1262-std,concepticon-2,1.213,duwwa,dust,duwwa
clics-doculect-86-20,telu1262-std,concepticon-2,1.213,duusaram,dust,duusaram
clics-doculect-86-21,telu1262-std,concepticon-2,1.213,dhuuLi,dust,dhuuLi
clics-doculect-86-22,telu1262-std,concepticon-2,1.213,duuLi,dust,duuLi
clics-doculect-86-23,telu1262-std,concepticon-2,1.213,paamśuwu,dust,paamsuwu
clics-doculect-86-24,telu1262-std,concepticon-640,1.214,aDusu,mud,aDusu
clics-doculect-86-25,telu1262-std,concepticon-640,1.214,dammu,mud,dammu
clics-doculect-86-26,telu1262-std,concepticon-640,1.214,pankam,mud,pankam
clics-doculect-86-27,telu1262-std,concepticon-640,1.214,banda,mud,banda
clics-doculect-86-28,telu1262-std,concepticon-640,1.214,burada,mud,burada
clics-doculect-86-29,telu1262-std,concepticon-640,1.214,rompi,mud,rompi
clics-doculect-86-30,telu1262-std,concepticon-671,1.215,waaluka,sand,waaluka
clics-doculect-86-31,telu1262-std,concepticon-671,1.215,isuka,sand,isuka
clics-doculect-86-32,telu1262-std,concepticon-2118,1.22,koNDa,"mountain, hill",koNDa
clics-doculect-86-33,telu1262-std,concepticon-2118,1.22,giri,"mountain, hill",giri
clics-doculect-86-34,telu1262-std,concepticon-2118,1.22,nagam,"mountain, hill",nagam
clics-doculect-86-35,telu1262-std,concepticon-2118,1.22,parvatam,"mountain, hill",parvatam
clics-doculect-86-36,telu1262-std,concepticon-618,1.222,cariya,"cliff, precipice",cariya
clics-doculect-86-37,telu1262-std,concepticon-652,1.23,maydaanam,"plain, field",maydaanam
clics-doculect-86-38,telu1262-std,concepticon-652,1.23,samatalam,"plain, field",samatalam
clics-doculect-86-39,telu1262-std,concepticon-921,1.24,koona,valley,koona
clics-doculect-86-40,telu1262-std,concepticon-921,1.24,cariya,valley,cariya
clics-doculect-86-41,telu1262-std,concepticon-921,1.24,taTam,valley,taTam
clics-doculect-86-42,telu1262-std,concepticon-921,1.24,looya,valley,looya
clics-doculect-86-43,telu1262-std,concepticon-921,1.24,loowa,valley,loowa
clics-doculect-86-44,telu1262-std,concepticon-622,1.25,diiwi,island,diiwi
clics-doculect-86-45,telu1262-std,concepticon-622,1.25,dwiipam,island,dwiipam
clics-doculect-86-46,telu1262-std,concepticon-622,1.25,lanka,island,lanka
clics-doculect-86-47,telu1262-std,concepticon-113,1.27,oDDu,shore,oDDu
clics-doculect-86-48,telu1262-std,concepticon-113,1.27,kaTTa,shore,kaTTa
clics-doculect-86-49,telu1262-std,concepticon-113,1.27,kuulam,shore,kuulam
clics-doculect-86-50,telu1262-std,concepticon-113,1.27,gaTTu,shore,gaTTu
clics-doculect-86-51,telu1262-std,concepticon-113,1.27,celiyalikaTTa,shore,celiyalikaTTa
clics-doculect-86-52,telu1262-std,concepticon-113,1.27,taTam,shore,taTam
