ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-132-1,tind1238-std,concepticon-965,1.1,ракъар,world,rak'ar
clics-doculect-132-2,tind1238-std,concepticon-626,1.21,уᴴщи,"earth, land",ushchi
clics-doculect-132-3,tind1238-std,concepticon-626,1.21,улка,"earth, land",ulka
clics-doculect-132-4,tind1238-std,concepticon-1228,1.212,уᴴщи,"earth=ground, soil",ushchi
clics-doculect-132-5,tind1238-std,concepticon-2,1.213,кьех̄ва,dust,k'ekhva
clics-doculect-132-6,tind1238-std,concepticon-640,1.214,чІаба,mud,chIaba
clics-doculect-132-7,tind1238-std,concepticon-640,1.214,хъупи,mud,kh'upi
clics-doculect-132-8,tind1238-std,concepticon-671,1.215,селу,sand,selu
clics-doculect-132-9,tind1238-std,concepticon-2118,1.22,беса,"mountain, hill",besa
clics-doculect-132-10,tind1238-std,concepticon-2118,1.22,гьаᴴдатІанубмакІва,"mountain, hill",g'adatIanubmakIva
clics-doculect-132-11,tind1238-std,concepticon-2118,1.22,гъола,"mountain, hill",g'ola
clics-doculect-132-12,tind1238-std,concepticon-618,1.222,гьакъи,"cliff, precipice",g'ak'i
clics-doculect-132-13,tind1238-std,concepticon-618,1.222,кьва̄,"cliff, precipice",k'va
clics-doculect-132-14,tind1238-std,concepticon-652,1.23,гІатІиракьи,"plain, field",gIatIirak'i
clics-doculect-132-15,tind1238-std,concepticon-652,1.23,алаха,"plain, field",alakha
clics-doculect-132-16,tind1238-std,concepticon-652,1.23,байдан,"plain, field",baidan
clics-doculect-132-17,tind1238-std,concepticon-921,1.24,лъес̄ахъамакІва,valley,l'esakh'amakIva
clics-doculect-132-18,tind1238-std,concepticon-622,1.25,чІинкІиллъи,island,chIinkIill'i
clics-doculect-132-19,tind1238-std,concepticon-166,1.26,ракъдаллъар,mainland,rak'dall'ar
clics-doculect-132-20,tind1238-std,concepticon-113,1.27,бала,shore,bala
clics-doculect-132-21,tind1238-std,concepticon-1155,1.28,нухъа,cave,nukh'a
clics-doculect-132-22,tind1238-std,concepticon-1155,1.28,руч̄а,cave,rucha
clics-doculect-132-23,tind1238-std,concepticon-948,1.31,лълъе̄ᴴ,water,l'l'e
clics-doculect-132-24,tind1238-std,concepticon-1474,1.32,релъа,sea,rel'a
clics-doculect-132-25,tind1238-std,concepticon-258,1.322,гьач̄ибещдуб,calm (of sea),g'achibeshchdub
clics-doculect-132-26,tind1238-std,concepticon-259,1.323,гьалагаб,rough (of sea),g'alagab
clics-doculect-132-27,tind1238-std,concepticon-1768,1.324,кьиба,foam,k'iba
clics-doculect-132-28,tind1238-std,concepticon-645,1.329,акиан,ocean,akian
clics-doculect-132-29,tind1238-std,concepticon-624,1.33,игьура,lake,ig'ura
clics-doculect-132-30,tind1238-std,concepticon-978,1.35,чаракван,wave,charakvan
clics-doculect-132-31,tind1238-std,concepticon-666,1.36,кˀита,"river, stream, brook",k?ita
clics-doculect-132-32,tind1238-std,concepticon-666,1.36,лъес̄а,"river, stream, brook",l'esa
clics-doculect-132-33,tind1238-std,concepticon-666,1.36,бегьа,"river, stream, brook",beg'a
clics-doculect-132-34,tind1238-std,concepticon-666,1.36,гъайа,"river, stream, brook",g'aia
clics-doculect-132-35,tind1238-std,concepticon-1982,1.362,кІʼиликІʼатІано̄бмакІва,whirlpool,kI'ilikI'atIanobmakIva
clics-doculect-132-36,tind1238-std,concepticon-1982,1.362,х̄ваᴴй,whirlpool,khvai
clics-doculect-132-37,tind1238-std,concepticon-2144,1.37,гьиᴴц̄и,"spring, well",g'itsi
clics-doculect-132-38,tind1238-std,concepticon-2144,1.37,гъуй,"spring, well",g'ui
clics-doculect-132-39,tind1238-std,concepticon-1145,1.38,тиц̄у,swamp,titsu
clics-doculect-132-40,tind1238-std,concepticon-943,1.39,чвачва,waterfall,chvachva
clics-doculect-132-41,tind1238-std,concepticon-420,1.41,рогьа,"woods, forest",rog'a
clics-doculect-132-43,tind1238-std,concepticon-1803,1.43,лъуйи,wood,l'uii
clics-doculect-132-44,tind1238-std,concepticon-2125,1.44,гьиᴴцІа,"stone, rock",g'itsIa
clics-doculect-132-45,tind1238-std,concepticon-2125,1.44,гьакъи,"stone, rock",g'ak'i
clics-doculect-132-46,tind1238-std,concepticon-6,1.45,хихин,earthquake,khikhin
clics-doculect-132-47,tind1238-std,concepticon-1732,1.51,регьан,sky,reg'an
clics-doculect-132-48,tind1238-std,concepticon-1732,1.51,регьен,sky,reg'en
clics-doculect-132-49,tind1238-std,concepticon-1343,1.52,милъи,sun,mil'i
clics-doculect-132-50,tind1238-std,concepticon-1313,1.53,боц̄у,moon,botsu
clics-doculect-132-51,tind1238-std,concepticon-1430,1.54,ц̄ару,star,tsaru
clics-doculect-132-52,tind1238-std,concepticon-1654,1.55,гІашти,lightning,gIashti
clics-doculect-132-53,tind1238-std,concepticon-1150,1.56,гъва̄р,thunder,g'var
clics-doculect-132-54,tind1238-std,concepticon-2007,1.57,пардар,lightning (as striking),pardar
clics-doculect-132-55,tind1238-std,concepticon-858,1.58,х̄упуча,storm,khupucha
clics-doculect-132-56,tind1238-std,concepticon-858,1.58,х̄убуча,storm,khubucha
clics-doculect-132-57,tind1238-std,concepticon-1733,1.59,цІабацІиᴴгьу,rainbow,tsIabatsIig'u
clics-doculect-132-58,tind1238-std,concepticon-630,1.61,квана,light (noun),kvana
clics-doculect-132-59,tind1238-std,concepticon-11,1.62,бец̄улъар,darkness,betsul'ar
clics-doculect-132-60,tind1238-std,concepticon-1388,1.63,аᴴч̄у,"shade, shadow",achu
clics-doculect-132-61,tind1238-std,concepticon-1977,1.64,щиби,dew,shchibi
clics-doculect-132-62,tind1238-std,concepticon-27,1.71,гьава,air,g'ava
