ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-203-1,toba1269-std,concepticon-965,1.1,ʔalwa,world,?alwa
clics-doculect-203-2,toba1269-std,concepticon-626,1.21,ʔalwa,"earth, land",?alwa
clics-doculect-203-3,toba1269-std,concepticon-1228,1.212,ʔalwa,"earth=ground, soil",?alwa
clics-doculect-203-4,toba1269-std,concepticon-2,1.213,namoʁoyaʁa,dust,namoRoyaRa
clics-doculect-203-5,toba1269-std,concepticon-640,1.214,nšaʁa,mud,nsaRa
clics-doculect-203-6,toba1269-std,concepticon-671,1.215,atoʁo,sand,atoRo
clics-doculect-203-7,toba1269-std,concepticon-2118,1.22,ḳasoʁonaʁa,"mountain, hill",kasoRonaRa
clics-doculect-203-8,toba1269-std,concepticon-618,1.222,ltokot,"cliff, precipice",ltokot
clics-doculect-203-9,toba1269-std,concepticon-652,1.23,nʔonaʁa,"plain, field",n?onaRa
clics-doculect-203-10,toba1269-std,concepticon-921,1.24,kaʔamge,valley,ka?amge
clics-doculect-203-11,toba1269-std,concepticon-622,1.25,delek,island,delek
clics-doculect-203-12,toba1269-std,concepticon-622,1.25,lḳaʁayaʁalate,island,lkaRayaRalate
clics-doculect-203-13,toba1269-std,concepticon-113,1.27,loige,shore,loige
clics-doculect-203-14,toba1269-std,concepticon-1155,1.28,awak,cave,awak
clics-doculect-203-15,toba1269-std,concepticon-948,1.31,ʔetaʁat,water,?etaRat
clics-doculect-203-16,toba1269-std,concepticon-1474,1.32,awaʁai,sea,awaRai
clics-doculect-203-17,toba1269-std,concepticon-258,1.322,ntogoɲi,calm (of sea),ntogoni
clics-doculect-203-18,toba1269-std,concepticon-1768,1.324,lči,foam,lci
clics-doculect-203-19,toba1269-std,concepticon-1768,1.324,lkoči,foam,lkoci
clics-doculect-203-20,toba1269-std,concepticon-645,1.329,awaʁai,ocean,awaRai
clics-doculect-203-21,toba1269-std,concepticon-624,1.33,lapel,lake,lapel
clics-doculect-203-22,toba1269-std,concepticon-663,1.34,ltogaʁasom,"gulf, bay",ltogaRasom
clics-doculect-203-23,toba1269-std,concepticon-623,1.341,lalatek,lagoon,lalatek
clics-doculect-203-24,toba1269-std,concepticon-978,1.35,lapaʁa,wave,lapaRa
clics-doculect-203-25,toba1269-std,concepticon-666,1.36,tala,"river, stream, brook",tala
clics-doculect-203-26,toba1269-std,concepticon-1982,1.362,lʸiʔigelaʁaso,whirlpool,lyi?igelaRaso
clics-doculect-203-27,toba1269-std,concepticon-2144,1.37,ɲiʔilʸoʁoki,"spring, well",ni?ilyoRoki
clics-doculect-203-28,toba1269-std,concepticon-1145,1.38,ḳaʔim,swamp,ka?im
clics-doculect-203-29,toba1269-std,concepticon-420,1.41,awiaḳ,"woods, forest",awiak
clics-doculect-203-32,toba1269-std,concepticon-1803,1.43,ʔipaḳ,wood,?ipak
clics-doculect-203-33,toba1269-std,concepticon-2125,1.44,ḳaʔ,"stone, rock",ka?
clics-doculect-203-34,toba1269-std,concepticon-2125,1.44,komaʔ,"stone, rock",koma?
clics-doculect-203-35,toba1269-std,concepticon-6,1.45,načolaʁanaʁa,earthquake,nacolaRanaRa
clics-doculect-203-36,toba1269-std,concepticon-1732,1.51,pigem,sky,pigem
clics-doculect-203-37,toba1269-std,concepticon-1343,1.52,nalaʔ,sun,nala?
clics-doculect-203-38,toba1269-std,concepticon-1313,1.53,kaʔagoʁoik,moon,ka?agoRoik
clics-doculect-203-39,toba1269-std,concepticon-1430,1.54,waḳahɲi,star,wakahni
clics-doculect-203-40,toba1269-std,concepticon-1430,1.54,waḳɲi,star,wakni
clics-doculect-203-41,toba1269-std,concepticon-1654,1.55,ḳasoʁonaʁa,lightning,kasoRonaRa
clics-doculect-203-42,toba1269-std,concepticon-1150,1.56,nalataʁa,thunder,nalataRa
clics-doculect-203-43,toba1269-std,concepticon-2007,1.57,nḳašilegaʁa,lightning (as striking),nkasilegaRa
clics-doculect-203-44,toba1269-std,concepticon-858,1.58,lʔatltaʔadaik,storm,l?atlta?adaik
clics-doculect-203-45,toba1269-std,concepticon-1733,1.59,kemoʁonalo,rainbow,kemoRonalo
clics-doculect-203-46,toba1269-std,concepticon-630,1.61,ǰiʔoḳčigiɲi,light (noun),ji?okcigini
clics-doculect-203-47,toba1269-std,concepticon-11,1.62,napalaʁa,darkness,napalaRa
clics-doculect-203-48,toba1269-std,concepticon-1388,1.63,paḳal,"shade, shadow",pakal
clics-doculect-203-49,toba1269-std,concepticon-1977,1.64,ʔaya,dew,?aya
clics-doculect-203-50,toba1269-std,concepticon-27,1.71,lʔat,air,l?at
clics-doculect-203-51,toba1269-std,concepticon-960,1.72,lʔat,wind,l?at
clics-doculect-203-52,toba1269-std,concepticon-1489,1.73,lʔok,cloud,l?ok
clics-doculect-203-53,toba1269-std,concepticon-249,1.74,šiwe,fog,siwe
clics-doculect-203-54,toba1269-std,concepticon-658,1.75,awot,rain (noun),awot
clics-doculect-203-55,toba1269-std,concepticon-784,1.76,aloɲi,snow (noun),aloni
clics-doculect-203-56,toba1269-std,concepticon-617,1.77,aloɲi,ice,aloni
clics-doculect-203-57,toba1269-std,concepticon-221,1.81,nodek,fire,nodek
clics-doculect-203-58,toba1269-std,concepticon-889,1.82,lʔedaʁa,flame (noun),l?edaRa
clics-doculect-203-59,toba1269-std,concepticon-778,1.83,lmalaʔḳ,smoke (noun),lmala?k
clics-doculect-203-60,toba1269-std,concepticon-646,1.84,alo,ashes,alo
