ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-99-1,tosk1239-std,concepticon-965,1.1,'botə,world,'bot@
clics-doculect-99-2,tosk1239-std,concepticon-965,1.1,ðe,world,de
clics-doculect-99-3,tosk1239-std,concepticon-965,1.1,r̃okulʸia'lʸem,world,rokulyia'lyem
clics-doculect-99-4,tosk1239-std,concepticon-965,1.1,dü'ɲa,world,du'na
clics-doculect-99-5,tosk1239-std,concepticon-626,1.21,'tokə,"earth, land",'tok@
clics-doculect-99-6,tosk1239-std,concepticon-626,1.21,ðe,"earth, land",de
clics-doculect-99-7,tosk1239-std,concepticon-1228,1.212,'tokə,"earth=ground, soil",'tok@
clics-doculect-99-8,tosk1239-std,concepticon-1228,1.212,'trualʸ,"earth=ground, soil",'trualy
clics-doculect-99-9,tosk1239-std,concepticon-2,1.213,'pluhur,dust,'pluhur
clics-doculect-99-10,tosk1239-std,concepticon-640,1.214,'balʸtə,mud,'balyt@
clics-doculect-99-11,tosk1239-std,concepticon-671,1.215,'rərə,sand,'r@r@
clics-doculect-99-12,tosk1239-std,concepticon-2118,1.22,malʸ,"mountain, hill",maly
clics-doculect-99-13,tosk1239-std,concepticon-618,1.222,hum'nerə,"cliff, precipice",hum'ner@
clics-doculect-99-14,tosk1239-std,concepticon-618,1.222,gre'minə,"cliff, precipice",gre'min@
clics-doculect-99-15,tosk1239-std,concepticon-652,1.23,'fušə,"plain, field",'fus@
clics-doculect-99-16,tosk1239-std,concepticon-921,1.24,lʸu'ginə,valley,lyu'gin@
clics-doculect-99-17,tosk1239-std,concepticon-622,1.25,'išul,island,'isul
clics-doculect-99-18,tosk1239-std,concepticon-113,1.27,plaž,shore,plaz
clics-doculect-99-19,tosk1239-std,concepticon-113,1.27,breg'det,shore,breg'det
clics-doculect-99-20,tosk1239-std,concepticon-113,1.27,breg,shore,breg
clics-doculect-99-21,tosk1239-std,concepticon-1155,1.28,'špelə,cave,'spel@
clics-doculect-99-22,tosk1239-std,concepticon-1155,1.28,'guvə,cave,'guv@
clics-doculect-99-23,tosk1239-std,concepticon-1155,1.28,'uǰə,cave,'uj@
clics-doculect-99-24,tosk1239-std,concepticon-948,1.31,'uyə,water,'uy@
clics-doculect-99-25,tosk1239-std,concepticon-1474,1.32,det,sea,det
clics-doculect-99-26,tosk1239-std,concepticon-258,1.322,bu'nac̷ə,calm (of sea),bu'nac@
clics-doculect-99-27,tosk1239-std,concepticon-1768,1.324,'škumə,foam,'skum@
clics-doculect-99-28,tosk1239-std,concepticon-624,1.33,lʸi'kʸen,lake,lyi'kyen
clics-doculect-99-29,tosk1239-std,concepticon-663,1.34,gʸi,"gulf, bay",gyi
clics-doculect-99-30,tosk1239-std,concepticon-663,1.34,lʸi'man,"gulf, bay",lyi'man
clics-doculect-99-31,tosk1239-std,concepticon-623,1.341,pelg,lagoon,pelg
clics-doculect-99-32,tosk1239-std,concepticon-623,1.341,pi'šinə,lagoon,pi'sin@
clics-doculect-99-33,tosk1239-std,concepticon-660,1.342,'gumə,reef,'gum@
clics-doculect-99-34,tosk1239-std,concepticon-1662,1.343,'hundə'toke,"headland, point",'hund@'toke
clics-doculect-99-35,tosk1239-std,concepticon-978,1.35,'dalgə,wave,'dalg@
clics-doculect-99-36,tosk1239-std,concepticon-891,1.352,zba'tic̷ə,tide,zba'tic@
clics-doculect-99-37,tosk1239-std,concepticon-891,1.352,'r̃ümə,tide,'rum@
clics-doculect-99-38,tosk1239-std,concepticon-613,1.354,ba'tic̷a,hightide,ba'tica
clics-doculect-99-39,tosk1239-std,concepticon-666,1.36,lʸumə,"river, stream, brook",lyum@
clics-doculect-99-40,tosk1239-std,concepticon-1982,1.362,'vorbul,whirlpool,'vorbul
clics-doculect-99-41,tosk1239-std,concepticon-1982,1.362,gʸir,whirlpool,gyir
clics-doculect-99-42,tosk1239-std,concepticon-1982,1.362,r̃uful,whirlpool,ruful
clics-doculect-99-43,tosk1239-std,concepticon-2144,1.37,pus,"spring, well",pus
clics-doculect-99-44,tosk1239-std,concepticon-2144,1.37,'gufə,"spring, well",'guf@
clics-doculect-99-45,tosk1239-std,concepticon-2144,1.37,'krua,"spring, well",'krua
clics-doculect-99-46,tosk1239-std,concepticon-2144,1.37,bu'rim,"spring, well",bu'rim
clics-doculect-99-47,tosk1239-std,concepticon-2144,1.37,bu'romə,"spring, well",bu'rom@
clics-doculect-99-48,tosk1239-std,concepticon-1145,1.38,kə'netə,swamp,k@'net@
clics-doculect-99-49,tosk1239-std,concepticon-1145,1.38,mo'čalʸ,swamp,mo'caly
clics-doculect-99-50,tosk1239-std,concepticon-943,1.39,uyə'varə,waterfall,uy@'var@
clics-doculect-99-51,tosk1239-std,concepticon-420,1.41,pül,"woods, forest",pul
clics-doculect-99-53,tosk1239-std,concepticon-1803,1.43,dru,wood,dru
clics-doculect-99-54,tosk1239-std,concepticon-2125,1.44,gur,"stone, rock",gur
clics-doculect-99-55,tosk1239-std,concepticon-2125,1.44,škəmb,"stone, rock",sk@mb
clics-doculect-99-56,tosk1239-std,concepticon-6,1.45,tər'met,earthquake,t@r'met
clics-doculect-99-57,tosk1239-std,concepticon-1732,1.51,kʸel,sky,kyel
clics-doculect-99-58,tosk1239-std,concepticon-1732,1.51,ha'va,sky,ha'va
clics-doculect-99-59,tosk1239-std,concepticon-1343,1.52,diel,sun,diel
clics-doculect-99-60,tosk1239-std,concepticon-1313,1.53,'hənə,moon,'h@n@
clics-doculect-99-61,tosk1239-std,concepticon-1430,1.54,ül,star,ul
clics-doculect-99-62,tosk1239-std,concepticon-1430,1.54,süz,star,suz
clics-doculect-99-63,tosk1239-std,concepticon-1654,1.55,vetə'timə,lightning,vet@'tim@
clics-doculect-99-64,tosk1239-std,concepticon-1150,1.56,bubu'limə,thunder,bubu'lim@
clics-doculect-99-65,tosk1239-std,concepticon-1150,1.56,gʸə'mim,thunder,gy@'mim
clics-doculect-99-66,tosk1239-std,concepticon-2007,1.57,r̃ufe,lightning (as striking),rufe
clics-doculect-99-67,tosk1239-std,concepticon-858,1.58,stuhi,storm,stuhi
clics-doculect-99-68,tosk1239-std,concepticon-858,1.58,furtunə,storm,furtun@
clics-doculect-99-69,tosk1239-std,concepticon-858,1.58,tu'fan,storm,tu'fan
clics-doculect-99-70,tosk1239-std,concepticon-858,1.58,du'hač,storm,du'hac
clics-doculect-99-71,tosk1239-std,concepticon-1733,1.59,ülʸ'ber,rainbow,uly'ber
clics-doculect-99-72,tosk1239-std,concepticon-630,1.61,'dritə,light (noun),'drit@
clics-doculect-99-73,tosk1239-std,concepticon-630,1.61,ndri'c̷im,light (noun),ndri'cim
clics-doculect-99-74,tosk1239-std,concepticon-11,1.62,'er̃ət,darkness,'er@t
clics-doculect-99-75,tosk1239-std,concepticon-11,1.62,er̃a'sirə,darkness,era'sir@
clics-doculect-99-76,tosk1239-std,concepticon-11,1.62,'zümtə,darkness,'zumt@
clics-doculect-99-77,tosk1239-std,concepticon-1388,1.63,'hiye,"shade, shadow",'hiye
clics-doculect-99-78,tosk1239-std,concepticon-1977,1.64,vesə,dew,ves@
clics-doculect-99-79,tosk1239-std,concepticon-27,1.71,ayr,air,ayr
clics-doculect-99-80,tosk1239-std,concepticon-960,1.72,'erə,wind,'er@
clics-doculect-99-81,tosk1239-std,concepticon-1489,1.73,re,cloud,re
clics-doculect-99-82,tosk1239-std,concepticon-249,1.74,'myegul,fog,'myegul
clics-doculect-99-83,tosk1239-std,concepticon-658,1.75,ši,rain (noun),si
clics-doculect-99-84,tosk1239-std,concepticon-784,1.76,'borə,snow (noun),'bor@
clics-doculect-99-85,tosk1239-std,concepticon-617,1.77,'akul,ice,'akul
clics-doculect-99-86,tosk1239-std,concepticon-952,1.78,mot,weather,mot
clics-doculect-99-87,tosk1239-std,concepticon-221,1.81,zyar̃,fire,zyar
clics-doculect-99-88,tosk1239-std,concepticon-889,1.82,'flʸakə,flame (noun),'flyak@
clics-doculect-99-89,tosk1239-std,concepticon-778,1.83,tüm,smoke (noun),tum
clics-doculect-99-90,tosk1239-std,concepticon-646,1.84,hi,ashes,hi
clics-doculect-99-91,tosk1239-std,concepticon-67,1.841,pruš,embers,prus
clics-doculect-99-92,tosk1239-std,concepticon-141,1.851,dyeg,burn (vb trans),dyeg
clics-doculect-99-93,tosk1239-std,concepticon-1428,1.852,c̷uks,burn (vb intrans),cuks
clics-doculect-99-94,tosk1239-std,concepticon-737,1.86,mer̃flʸakə,"light, kindle, ignite",merflyak@
clics-doculect-99-95,tosk1239-std,concepticon-737,1.86,vəzyar̃in,"light, kindle, ignite",v@zyarin
clics-doculect-99-96,tosk1239-std,concepticon-127,1.861,'šuay,extinguish,'suay
clics-doculect-99-97,tosk1239-std,concepticon-1133,1.87,'škrepase,match (noun),'skrepase
clics-doculect-99-98,tosk1239-std,concepticon-10,1.88,druzyar̃i,firewood,druzyari
