ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-152-1,trin1274-std,concepticon-965,1.1,ʔpoɣʔe,world,?pog?e
clics-doculect-152-2,trin1274-std,concepticon-626,1.21,ʔpoɣʔe,"earth, land",?pog?e
clics-doculect-152-3,trin1274-std,concepticon-1228,1.212,'motehi,"earth=ground, soil",'motehi
clics-doculect-152-4,trin1274-std,concepticon-2,1.213,'motehi,dust,'motehi
clics-doculect-152-5,trin1274-std,concepticon-640,1.214,'tʸurahi,mud,'tyurahi
clics-doculect-152-6,trin1274-std,concepticon-671,1.215,ta'woparu,sand,ta'woparu
clics-doculect-152-7,trin1274-std,concepticon-2118,1.22,ʔnuɣʔemari,"mountain, hill",?nug?emari
clics-doculect-152-8,trin1274-std,concepticon-618,1.222,tačusi,"cliff, precipice",tacusi
clics-doculect-152-9,trin1274-std,concepticon-652,1.23,womʔi,"plain, field",wom?i
clics-doculect-152-10,trin1274-std,concepticon-622,1.25,tʸuupuʔi,island,tyuupu?i
clics-doculect-152-11,trin1274-std,concepticon-113,1.27,ta'čočoku,shore,ta'cocoku
clics-doculect-152-12,trin1274-std,concepticon-1155,1.28,peno,cave,peno
clics-doculect-152-13,trin1274-std,concepticon-948,1.31,une,water,une
clics-doculect-152-14,trin1274-std,concepticon-948,1.31,'unera,water,'unera
clics-doculect-152-15,trin1274-std,concepticon-258,1.322,tmotnaʔi,calm (of sea),tmotna?i
clics-doculect-152-16,trin1274-std,concepticon-1768,1.324,tarissohi,foam,tarissohi
clics-doculect-152-17,trin1274-std,concepticon-624,1.33,koɣure,lake,kogure
clics-doculect-152-18,trin1274-std,concepticon-623,1.341,koɣure,lagoon,kogure
clics-doculect-152-19,trin1274-std,concepticon-978,1.35,tapkuuʔo,wave,tapkuu?o
clics-doculect-152-20,trin1274-std,concepticon-666,1.36,khokre,"river, stream, brook",khokre
clics-doculect-152-21,trin1274-std,concepticon-1982,1.362,roʔera,whirlpool,ro?era
clics-doculect-152-22,trin1274-std,concepticon-2144,1.37,skoku,"spring, well",skoku
clics-doculect-152-23,trin1274-std,concepticon-1145,1.38,y'momohi,swamp,y'momohi
clics-doculect-152-24,trin1274-std,concepticon-420,1.41,smeno,"woods, forest",smeno
clics-doculect-152-27,trin1274-std,concepticon-1803,1.43,wkuɣi,wood,wkugi
clics-doculect-152-28,trin1274-std,concepticon-1803,1.43,ykuɣi,wood,ykugi
clics-doculect-152-29,trin1274-std,concepticon-2125,1.44,mari,"stone, rock",mari
clics-doculect-152-30,trin1274-std,concepticon-2125,1.44,marihaʔi,"stone, rock",mariha?i
clics-doculect-152-31,trin1274-std,concepticon-6,1.45,yamrikoʔpoɣʔe,earthquake,yamriko?pog?e
clics-doculect-152-32,trin1274-std,concepticon-1732,1.51,anumo,sky,anumo
clics-doculect-152-33,trin1274-std,concepticon-1343,1.52,sače,sun,sace
clics-doculect-152-34,trin1274-std,concepticon-1313,1.53,kohe,moon,kohe
clics-doculect-152-35,trin1274-std,concepticon-1430,1.54,hreeɣi,star,hreegi
clics-doculect-152-36,trin1274-std,concepticon-1654,1.55,emareko,lightning,emareko
clics-doculect-152-37,trin1274-std,concepticon-1150,1.56,čunnuko,thunder,cunnuko
clics-doculect-152-38,trin1274-std,concepticon-2007,1.57,ec̷'čarako,lightning (as striking),ec'carako
clics-doculect-152-39,trin1274-std,concepticon-1733,1.59,oʔe,rainbow,o?e
clics-doculect-152-40,trin1274-std,concepticon-630,1.61,meča,light (noun),meca
clics-doculect-152-41,trin1274-std,concepticon-630,1.61,mikʔu,light (noun),mik?u
clics-doculect-152-42,trin1274-std,concepticon-11,1.62,mopku,darkness,mopku
clics-doculect-152-43,trin1274-std,concepticon-11,1.62,ta'mopkuwo,darkness,ta'mopkuwo
clics-doculect-152-44,trin1274-std,concepticon-1388,1.63,tkawi,"shade, shadow",tkawi
clics-doculect-152-45,trin1274-std,concepticon-1977,1.64,ʔyoru,dew,?yoru
clics-doculect-152-46,trin1274-std,concepticon-960,1.72,tektikwo,wind,tektikwo
clics-doculect-152-47,trin1274-std,concepticon-1489,1.73,'ukohi,cloud,'ukohi
clics-doculect-152-48,trin1274-std,concepticon-249,1.74,ʔyoru,fog,?yoru
clics-doculect-152-49,trin1274-std,concepticon-658,1.75,tɣiwo,rain (noun),tgiwo
clics-doculect-152-50,trin1274-std,concepticon-221,1.81,yuku,fire,yuku
clics-doculect-152-51,trin1274-std,concepticon-221,1.81,yukne,fire,yukne
clics-doculect-152-52,trin1274-std,concepticon-889,1.82,neneyuku,flame (noun),neneyuku
clics-doculect-152-53,trin1274-std,concepticon-778,1.83,'ɣhorepa,smoke (noun),'ghorepa
clics-doculect-152-54,trin1274-std,concepticon-778,1.83,'ɣhore,smoke (noun),'ghore
clics-doculect-152-55,trin1274-std,concepticon-646,1.84,c̷mapa,ashes,cmapa
clics-doculect-152-56,trin1274-std,concepticon-67,1.841,tamoni,embers,tamoni
clics-doculect-152-57,trin1274-std,concepticon-141,1.851,niko,burn (vb trans),niko
clics-doculect-152-58,trin1274-std,concepticon-141,1.851,yustako,burn (vb trans),yustako
clics-doculect-152-59,trin1274-std,concepticon-1428,1.852,riiko,burn (vb intrans),riiko
clics-doculect-152-60,trin1274-std,concepticon-737,1.86,pohko,"light, kindle, ignite",pohko
clics-doculect-152-61,trin1274-std,concepticon-127,1.861,emʔo,extinguish,em?o
clics-doculect-152-62,trin1274-std,concepticon-127,1.861,kemʔo,extinguish,kem?o
clics-doculect-152-63,trin1274-std,concepticon-10,1.88,tohɣeru,firewood,tohgeru
clics-doculect-152-64,trin1274-std,concepticon-1188,1.89,monɣi,charcoal,mongi
clics-doculect-152-65,trin1274-std,concepticon-683,2.1,ʔčane,"person, human being",?cane
clics-doculect-152-66,trin1274-std,concepticon-1554,2.21,oʔʸono,man (vs. woman),o?yono
clics-doculect-152-67,trin1274-std,concepticon-962,2.22,ʔseno,woman,?seno
clics-doculect-152-68,trin1274-std,concepticon-1553,2.23,ʔhiro,male,?hiro
clics-doculect-152-69,trin1274-std,concepticon-76,2.251,'ʔretona,young man (adolescent),'?retona
clics-doculect-152-70,trin1274-std,concepticon-77,2.261,ʔčeno,young woman (adolescent),?ceno
clics-doculect-152-71,trin1274-std,concepticon-1304,2.27,ʔmoyo,child,?moyo
clics-doculect-152-72,trin1274-std,concepticon-1304,2.27,'ʔmoperu,child,'?moperu
clics-doculect-152-73,trin1274-std,concepticon-1289,2.28,ʔmoyo,"infant, baby",?moyo
clics-doculect-152-74,trin1274-std,concepticon-1200,2.31,ima,husband,ima
clics-doculect-152-75,trin1274-std,concepticon-1199,2.32,yeno,wife,yeno
clics-doculect-152-76,trin1274-std,concepticon-203,2.33,itučwo,marry,itucwo
clics-doculect-152-77,trin1274-std,concepticon-1217,2.35,tata,father,tata
clics-doculect-152-78,trin1274-std,concepticon-1216,2.36,eno,mother,eno
clics-doculect-152-79,trin1274-std,concepticon-1216,2.36,meme,mother,meme
clics-doculect-152-80,trin1274-std,concepticon-1620,2.41,čiča,son,cica
clics-doculect-152-81,trin1274-std,concepticon-1357,2.42,čiča,daughter,cica
clics-doculect-152-82,trin1274-std,concepticon-1262,2.44,ati,brother,ati
clics-doculect-152-83,trin1274-std,concepticon-1759,2.444,'porape,older brother,'porape
clics-doculect-152-84,trin1274-std,concepticon-1759,2.444,'ečowi,older brother,'ecowi
