ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-168-1,trum1247-std,concepticon-626,1.21,tenexne,"earth, land",tenexne
clics-doculect-168-2,trum1247-std,concepticon-626,1.21,trumaiilaka,"earth, land",trumaiilaka
clics-doculect-168-3,trum1247-std,concepticon-1228,1.212,tenexne,"earth=ground, soil",tenexne
clics-doculect-168-4,trum1247-std,concepticon-671,1.215,ulat̯,sand,ulat
clics-doculect-168-5,trum1247-std,concepticon-113,1.27,ulat̯,shore,ulat
clics-doculect-168-6,trum1247-std,concepticon-948,1.31,misu,water,misu
clics-doculect-168-7,trum1247-std,concepticon-1768,1.324,aiot̯,foam,aiot
clics-doculect-168-8,trum1247-std,concepticon-1768,1.324,alesuaiot̯,foam,alesuaiot
clics-doculect-168-9,trum1247-std,concepticon-624,1.33,xu,lake,xu
clics-doculect-168-10,trum1247-std,concepticon-978,1.35,kumukumu,wave,kumukumu
clics-doculect-168-11,trum1247-std,concepticon-666,1.36,atel=xu,"river, stream, brook",atel=xu
clics-doculect-168-12,trum1247-std,concepticon-2144,1.37,misufafla,"spring, well",misufafla
clics-doculect-168-13,trum1247-std,concepticon-420,1.41,aneneote,"woods, forest",aneneote
clics-doculect-168-14,trum1247-std,concepticon-420,1.41,auat,"woods, forest",auat
clics-doculect-168-15,trum1247-std,concepticon-420,1.41,kuiaie,"woods, forest",kuiaie
clics-doculect-168-17,trum1247-std,concepticon-1803,1.43,ɨuɨr,wood,iuir
clics-doculect-168-18,trum1247-std,concepticon-2125,1.44,itak,"stone, rock",itak
clics-doculect-168-19,trum1247-std,concepticon-6,1.45,hapdokokah,earthquake,hapdokokah
clics-doculect-168-20,trum1247-std,concepticon-1732,1.51,naneʔne,sky,nane?ne
clics-doculect-168-21,trum1247-std,concepticon-1732,1.51,naʔnene,sky,na?nene
clics-doculect-168-22,trum1247-std,concepticon-1343,1.52,atetla,sun,atetla
clics-doculect-168-23,trum1247-std,concepticon-1313,1.53,atetlpak,moon,atetlpak
clics-doculect-168-24,trum1247-std,concepticon-1430,1.54,asih,star,asih
clics-doculect-168-25,trum1247-std,concepticon-1430,1.54,atsinau,star,atsinau
clics-doculect-168-26,trum1247-std,concepticon-858,1.58,ameš,storm,ames
clics-doculect-168-27,trum1247-std,concepticon-1733,1.59,pupu,rainbow,pupu
clics-doculect-168-28,trum1247-std,concepticon-1388,1.63,ihan,"shade, shadow",ihan
clics-doculect-168-29,trum1247-std,concepticon-960,1.72,sut,wind,sut
clics-doculect-168-30,trum1247-std,concepticon-960,1.72,sud,wind,sud
clics-doculect-168-31,trum1247-std,concepticon-1489,1.73,naneʔde,cloud,nane?de
clics-doculect-168-32,trum1247-std,concepticon-249,1.74,soxdenlen,fog,soxdenlen
clics-doculect-168-33,trum1247-std,concepticon-658,1.75,kʔauixu,rain (noun),k?auixu
clics-doculect-168-34,trum1247-std,concepticon-658,1.75,kʔauixukla,rain (noun),k?auixukla
clics-doculect-168-35,trum1247-std,concepticon-221,1.81,so,fire,so
clics-doculect-168-36,trum1247-std,concepticon-778,1.83,soxden,smoke (noun),soxden
clics-doculect-168-37,trum1247-std,concepticon-646,1.84,somot,ashes,somot
clics-doculect-168-38,trum1247-std,concepticon-646,1.84,somot̯,ashes,somot
clics-doculect-168-39,trum1247-std,concepticon-67,1.841,sot̯,embers,sot
clics-doculect-168-40,trum1247-std,concepticon-141,1.851,si,burn (vb trans),si
clics-doculect-168-41,trum1247-std,concepticon-1428,1.852,otne,burn (vb intrans),otne
clics-doculect-168-42,trum1247-std,concepticon-127,1.861,opin,extinguish,opin
clics-doculect-168-43,trum1247-std,concepticon-10,1.88,tsipup,firewood,tsipup
clics-doculect-168-44,trum1247-std,concepticon-1188,1.89,sot̯,charcoal,sot
clics-doculect-168-45,trum1247-std,concepticon-683,2.1,iau,"person, human being",iau
clics-doculect-168-46,trum1247-std,concepticon-1554,2.21,kiki,man (vs. woman),kiki
clics-doculect-168-47,trum1247-std,concepticon-962,2.22,di,woman,di
clics-doculect-168-48,trum1247-std,concepticon-1553,2.23,kiki,male,kiki
clics-doculect-168-49,trum1247-std,concepticon-1551,2.24,di,female,di
