ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-102-1,tuyu1244-std,concepticon-965,1.1,'bɨreko,world,'bireko
clics-doculect-102-2,tuyu1244-std,concepticon-965,1.1,'bɨrɨko,world,'biriko
clics-doculect-102-3,tuyu1244-std,concepticon-965,1.1,'bɨriko,world,'biriko
clics-doculect-102-4,tuyu1244-std,concepticon-626,1.21,ye'pa,"earth, land",ye'pa
clics-doculect-102-5,tuyu1244-std,concepticon-1228,1.212,di'ta,"earth=ground, soil",di'ta
clics-doculect-102-6,tuyu1244-std,concepticon-2,1.213,di'tabãdã,dust,di'tabada
clics-doculect-102-7,tuyu1244-std,concepticon-640,1.214,di'tawĩtãre,mud,di'tawitare
clics-doculect-102-8,tuyu1244-std,concepticon-671,1.215,di'tatupari,sand,di'tatupari
clics-doculect-102-9,tuyu1244-std,concepticon-2118,1.22,ɨ̃tã'gɨ̃,"mountain, hill",ita'gi
clics-doculect-102-10,tuyu1244-std,concepticon-618,1.222,tɨ'dɨ,"cliff, precipice",ti'di
clics-doculect-102-11,tuyu1244-std,concepticon-622,1.25,dɨ̃kɨ̃'rõ,island,diki'ro
clics-doculect-102-12,tuyu1244-std,concepticon-1155,1.28,ɨ̃'tãwi,cave,i'tawi
clics-doculect-102-13,tuyu1244-std,concepticon-948,1.31,o'ko,water,o'ko
clics-doculect-102-14,tuyu1244-std,concepticon-1474,1.32,'diapai'ribã,sea,'diapai'riba
clics-doculect-102-15,tuyu1244-std,concepticon-258,1.322,wã'tĩkõãpasore,calm (of sea),wa'tikoapasore
clics-doculect-102-16,tuyu1244-std,concepticon-259,1.323,okotu'ri,rough (of sea),okotu'ri
clics-doculect-102-17,tuyu1244-std,concepticon-1768,1.324,so'bo,foam,so'bo
clics-doculect-102-18,tuyu1244-std,concepticon-645,1.329,'diapai'ribã,ocean,'diapai'riba
clics-doculect-102-19,tuyu1244-std,concepticon-624,1.33,o'pataro,lake,o'pataro
clics-doculect-102-20,tuyu1244-std,concepticon-623,1.341,o'pataro,lagoon,o'pataro
clics-doculect-102-21,tuyu1244-std,concepticon-1662,1.343,o'payũã,"headland, point",o'payua
clics-doculect-102-22,tuyu1244-std,concepticon-666,1.36,'dia,"river, stream, brook",'dia
clics-doculect-102-23,tuyu1244-std,concepticon-1982,1.362,ode'rikope,whirlpool,ode'rikope
clics-doculect-102-24,tuyu1244-std,concepticon-2144,1.37,'diapote,"spring, well",'diapote
clics-doculect-102-25,tuyu1244-std,concepticon-1145,1.38,o'pasabaro,swamp,o'pasabaro
clics-doculect-102-26,tuyu1244-std,concepticon-943,1.39,o'koyãã'rõ,waterfall,o'koyaa'ro
clics-doculect-102-27,tuyu1244-std,concepticon-420,1.41,bã'kãdɨ̃kɨ̃,"woods, forest",ba'kadiki
clics-doculect-102-29,tuyu1244-std,concepticon-1803,1.43,yu'kɨ,wood,yu'ki
clics-doculect-102-30,tuyu1244-std,concepticon-2125,1.44,ɨ̃'tã,"stone, rock",i'ta
clics-doculect-102-31,tuyu1244-std,concepticon-6,1.45,di'tayũbĩ,earthquake,di'tayubi
clics-doculect-102-32,tuyu1244-std,concepticon-1732,1.51,ɨ̃bɨ̃'ãse,sky,ibi'ase
clics-doculect-102-33,tuyu1244-std,concepticon-1343,1.52,bũ'ĩpũ,sun,bu'ipu
clics-doculect-102-34,tuyu1244-std,concepticon-1313,1.53,bũ'ĩpũ,moon,bu'ipu
clics-doculect-102-35,tuyu1244-std,concepticon-1430,1.54,yõkõã'wɨ̃,star,yokoa'wi
clics-doculect-102-36,tuyu1244-std,concepticon-1430,1.54,yõkõ'ã,star,yoko'a
clics-doculect-102-37,tuyu1244-std,concepticon-1654,1.55,bɨ'po'wããyo,lightning,bi'po'waayo
clics-doculect-102-38,tuyu1244-std,concepticon-1150,1.56,bɨ'po,thunder,bi'po
clics-doculect-102-39,tuyu1244-std,concepticon-2007,1.57,bɨ'po'paa,lightning (as striking),bi'po'paa
clics-doculect-102-40,tuyu1244-std,concepticon-1733,1.59,bu'eda,rainbow,bu'eda
clics-doculect-102-41,tuyu1244-std,concepticon-630,1.61,sĩã'boekore,light (noun),sia'boekore
clics-doculect-102-42,tuyu1244-std,concepticon-630,1.61,sĩã'wokore,light (noun),sia'wokore
clics-doculect-102-43,tuyu1244-std,concepticon-11,1.62,'dãĩtĩãre,darkness,'daitiare
clics-doculect-102-44,tuyu1244-std,concepticon-1388,1.63,bũ'ĩpũkãbõ'taro,"shade, shadow",bu'ipukabo'taro
clics-doculect-102-45,tuyu1244-std,concepticon-1977,1.64,yõkõão'ko,dew,yokoao'ko
clics-doculect-102-46,tuyu1244-std,concepticon-27,1.71,õ'bẽ,air,o'be
clics-doculect-102-47,tuyu1244-std,concepticon-27,1.71,ũ'bẽ,air,u'be
clics-doculect-102-48,tuyu1244-std,concepticon-960,1.72,wĩ'dõ,wind,wi'do
clics-doculect-102-49,tuyu1244-std,concepticon-1489,1.73,ũbẽbɨrɨ'a,cloud,ubebiri'a
clics-doculect-102-50,tuyu1244-std,concepticon-658,1.75,o'ko,rain (noun),o'ko
clics-doculect-102-51,tuyu1244-std,concepticon-221,1.81,pe'kabẽ,fire,pe'kabe
clics-doculect-102-52,tuyu1244-std,concepticon-889,1.82,pe'kabẽpõdã,flame (noun),pe'kabepoda
clics-doculect-102-53,tuyu1244-std,concepticon-778,1.83,pe'kabẽõbẽ,smoke (noun),pe'kabeobe
clics-doculect-102-54,tuyu1244-std,concepticon-646,1.84,dũ'ã,ashes,du'a
clics-doculect-102-55,tuyu1244-std,concepticon-67,1.841,dĩ'tĩasi'yare,embers,di'tiasi'yare
clics-doculect-102-56,tuyu1244-std,concepticon-141,1.851,'soe,burn (vb trans),'soe
clics-doculect-102-57,tuyu1244-std,concepticon-1428,1.852,hɨ̃'ɨ̃,burn (vb intrans),hi'i
clics-doculect-102-58,tuyu1244-std,concepticon-737,1.86,di'o,"light, kindle, ignite",di'o
clics-doculect-102-59,tuyu1244-std,concepticon-127,1.861,'yoo,extinguish,'yoo
clics-doculect-102-60,tuyu1244-std,concepticon-10,1.88,pe'ka,firewood,pe'ka
clics-doculect-102-61,tuyu1244-std,concepticon-1188,1.89,dĩ'tĩ,charcoal,di'ti
clics-doculect-102-62,tuyu1244-std,concepticon-683,2.1,baso'kɨ,"person, human being",baso'ki
clics-doculect-102-63,tuyu1244-std,concepticon-1554,2.21,ɨ̃'bɨ̃,man (vs. woman),i'bi
clics-doculect-102-64,tuyu1244-std,concepticon-962,2.22,dũbĩ'õ,woman,dubi'o
clics-doculect-102-65,tuyu1244-std,concepticon-1553,2.23,ɨ̃'bɨ̃,male,i'bi
clics-doculect-102-66,tuyu1244-std,concepticon-1551,2.24,dũbĩ'õ,female,dubi'o
clics-doculect-102-67,tuyu1244-std,concepticon-1366,2.25,wĩ'bãgɨ̃,boy,wi'bagi
clics-doculect-102-68,tuyu1244-std,concepticon-76,2.251,bã'bɨ̃,young man (adolescent),ba'bi
clics-doculect-102-69,tuyu1244-std,concepticon-1646,2.26,wĩ'bãgõ,girl,wi'bago
clics-doculect-102-70,tuyu1244-std,concepticon-77,2.261,bã'bõ,young woman (adolescent),ba'bo
clics-doculect-102-71,tuyu1244-std,concepticon-1304,2.27,wĩ'bãgɨ̃,child,wi'bagi
clics-doculect-102-72,tuyu1244-std,concepticon-1304,2.27,wĩ'bãgõ,child,wi'bago
clics-doculect-102-73,tuyu1244-std,concepticon-1289,2.28,wĩ'bãgɨ̃,"infant, baby",wi'bagi
clics-doculect-102-74,tuyu1244-std,concepticon-1289,2.28,wĩ'bãgõ,"infant, baby",wi'bago
clics-doculect-102-75,tuyu1244-std,concepticon-1200,2.31,bã'dɨ̃,husband,ba'di
clics-doculect-102-76,tuyu1244-std,concepticon-1199,2.32,dɨ̃'bõ,wife,di'bo
clics-doculect-102-77,tuyu1244-std,concepticon-203,2.33,wãbõ'sia,marry,wabo'sia
clics-doculect-102-78,tuyu1244-std,concepticon-1134,2.341,dɨ̃'bõkõã're,divorce,di'bokoa're
clics-doculect-102-79,tuyu1244-std,concepticon-1217,2.35,pa'kɨ,father,pa'ki
clics-doculect-102-80,tuyu1244-std,concepticon-1216,2.36,pa'ko,mother,pa'ko
clics-doculect-102-81,tuyu1244-std,concepticon-505,2.37,pa'kɨsɨ̃bɨ̃ã,parents,pa'kisibia
clics-doculect-102-82,tuyu1244-std,concepticon-424,2.38,dɨ̃'bõkɨtigɨ,married man,di'bokitigi
clics-doculect-102-83,tuyu1244-std,concepticon-426,2.39,bã'dɨ̃kɨtigo,married woman,ba'dikitigo
clics-doculect-102-84,tuyu1244-std,concepticon-1620,2.41,bã'kɨ̃,son,ba'ki
clics-doculect-102-85,tuyu1244-std,concepticon-1357,2.42,bã'kõ,daughter,ba'ko
clics-doculect-102-86,tuyu1244-std,concepticon-1801,2.43,põ'dã,offspring (son or daughter),po'da
