ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-142-1,udii1243-std,concepticon-965,1.1,аьлаьм,world,a'la'm
clics-doculect-142-2,udii1243-std,concepticon-626,1.21,доьвлаьт,"earth, land",do'vla't
clics-doculect-142-3,udii1243-std,concepticon-1228,1.212,кІул,"earth=ground, soil",kIul
clics-doculect-142-4,udii1243-std,concepticon-2,1.213,тоз,dust,toz
clics-doculect-142-5,udii1243-std,concepticon-640,1.214,тор,mud,tor
clics-doculect-142-6,udii1243-std,concepticon-671,1.215,ша,sand,sha
clics-doculect-142-7,udii1243-std,concepticon-2118,1.22,бурух,"mountain, hill",burukh
clics-doculect-142-8,udii1243-std,concepticon-618,1.222,дар,"cliff, precipice",dar
clics-doculect-142-9,udii1243-std,concepticon-618,1.222,дардар,"cliff, precipice",dardar
clics-doculect-142-10,udii1243-std,concepticon-652,1.23,аъхъуън,"plain, field",a'kh'u'n
clics-doculect-142-11,udii1243-std,concepticon-921,1.24,даьраь,valley,da'ra'
clics-doculect-142-12,udii1243-std,concepticon-622,1.25,ода,island,oda
clics-doculect-142-13,udii1243-std,concepticon-166,1.26,кантинент,mainland,kantinent
clics-doculect-142-14,udii1243-std,concepticon-113,1.27,тІоъп,shore,tIo'p
clics-doculect-142-15,udii1243-std,concepticon-113,1.27,хенечІотІ,shore,khenechIotI
clics-doculect-142-16,udii1243-std,concepticon-1155,1.28,кьайа,cave,k'aia
clics-doculect-142-17,udii1243-std,concepticon-948,1.31,хе,water,khe
clics-doculect-142-18,udii1243-std,concepticon-1474,1.32,даьрйаьн,sea,da'ria'n
clics-doculect-142-19,udii1243-std,concepticon-1768,1.324,каІф,foam,kaIf
clics-doculect-142-20,udii1243-std,concepticon-645,1.329,даьркаьн,ocean,da'rka'n
clics-doculect-142-21,udii1243-std,concepticon-624,1.33,гоьл,lake,go'l
clics-doculect-142-22,udii1243-std,concepticon-978,1.35,лаьпаь,wave,la'pa'
clics-doculect-142-23,udii1243-std,concepticon-666,1.36,ок,"river, stream, brook",ok
clics-doculect-142-24,udii1243-std,concepticon-2144,1.37,орайин,"spring, well",oraiin
clics-doculect-142-25,udii1243-std,concepticon-1145,1.38,пиз,swamp,piz
clics-doculect-142-26,udii1243-std,concepticon-1145,1.38,пІыз,swamp,pIyz
clics-doculect-142-27,udii1243-std,concepticon-943,1.39,гурдондж,waterfall,gurdondzh
clics-doculect-142-28,udii1243-std,concepticon-420,1.41,ходлугъ,"woods, forest",khodlug'
clics-doculect-142-30,udii1243-std,concepticon-1803,1.43,дурутІ,wood,durutI
clics-doculect-142-31,udii1243-std,concepticon-2125,1.44,жІегъ,"stone, rock",zhIeg'
clics-doculect-142-32,udii1243-std,concepticon-2125,1.44,дар,"stone, rock",dar
clics-doculect-142-33,udii1243-std,concepticon-2125,1.44,дардал,"stone, rock",dardal
clics-doculect-142-34,udii1243-std,concepticon-6,1.45,заьлзаьлаь,earthquake,za'lza'la'
clics-doculect-142-35,udii1243-std,concepticon-1732,1.51,гоьг,sky,go'g
clics-doculect-142-36,udii1243-std,concepticon-1732,1.51,гоьи,sky,go'i
clics-doculect-142-37,udii1243-std,concepticon-1343,1.52,беъгъ,sun,be'g'
clics-doculect-142-38,udii1243-std,concepticon-1313,1.53,хаш,moon,khash
clics-doculect-142-39,udii1243-std,concepticon-1430,1.54,муч̍ули,star,muchuli
clics-doculect-142-40,udii1243-std,concepticon-1654,1.55,цаъкъ,lightning,tsa'k'
clics-doculect-142-41,udii1243-std,concepticon-1654,1.55,чІаъкъ,lightning,chIa'k'
clics-doculect-142-42,udii1243-std,concepticon-1150,1.56,дуьруьпсум,thunder,du'ru'psum
clics-doculect-142-43,udii1243-std,concepticon-2007,1.57,цаъкъ,lightning (as striking),tsa'k'
clics-doculect-142-44,udii1243-std,concepticon-2007,1.57,чІаъкъ,lightning (as striking),chIa'k'
clics-doculect-142-45,udii1243-std,concepticon-858,1.58,кирма,storm,kirma
clics-doculect-142-46,udii1243-std,concepticon-1733,1.59,диъп,rainbow,di'p
clics-doculect-142-47,udii1243-std,concepticon-1733,1.59,дупІ,rainbow,dupI
clics-doculect-142-48,udii1243-std,concepticon-630,1.61,хаш,light (noun),khash
clics-doculect-142-49,udii1243-std,concepticon-11,1.62,беъинкъун,darkness,be'ink'un
clics-doculect-142-50,udii1243-std,concepticon-1388,1.63,хожи,"shade, shadow",khozhi
clics-doculect-142-51,udii1243-std,concepticon-1977,1.64,хо,dew,kho
clics-doculect-142-52,udii1243-std,concepticon-27,1.71,гьава,air,g'ava
clics-doculect-142-53,udii1243-std,concepticon-960,1.72,муш,wind,mush
clics-doculect-142-54,udii1243-std,concepticon-1489,1.73,асой,cloud,asoi
clics-doculect-142-55,udii1243-std,concepticon-249,1.74,асой,fog,asoi
clics-doculect-142-56,udii1243-std,concepticon-658,1.75,агъала,rain (noun),ag'ala
clics-doculect-142-57,udii1243-std,concepticon-784,1.76,иъжІ,snow (noun),i'zhI
clics-doculect-142-58,udii1243-std,concepticon-617,1.77,чах,ice,chakh
clics-doculect-142-59,udii1243-std,concepticon-617,1.77,вуз,ice,vuz
clics-doculect-142-60,udii1243-std,concepticon-952,1.78,гьава,weather,g'ava
clics-doculect-142-61,udii1243-std,concepticon-221,1.81,алов,fire,alov
clics-doculect-142-62,udii1243-std,concepticon-221,1.81,арух,fire,arukh
