ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-141-1,udmu1245-std,concepticon-965,1.1,dunʸnʸe,world,dunynye
clics-doculect-141-2,udmu1245-std,concepticon-626,1.21,muzyem,"earth, land",muzyem
clics-doculect-141-3,udmu1245-std,concepticon-1228,1.212,muzyem,"earth=ground, soil",muzyem
clics-doculect-141-4,udmu1245-std,concepticon-1228,1.212,sʸuy,"earth=ground, soil",syuy
clics-doculect-141-5,udmu1245-std,concepticon-2,1.213,tuzon,dust,tuzon
clics-doculect-141-6,udmu1245-std,concepticon-640,1.214,der̃i,mud,deri
clics-doculect-141-7,udmu1245-std,concepticon-640,1.214,nëd,mud,ned
clics-doculect-141-8,udmu1245-std,concepticon-671,1.215,luo,sand,luo
clics-doculect-141-9,udmu1245-std,concepticon-2118,1.22,gur̃ezʸ,"mountain, hill",gurezy
clics-doculect-141-10,udmu1245-std,concepticon-618,1.222,mečyar̃,"cliff, precipice",mecyar
clics-doculect-141-11,udmu1245-std,concepticon-652,1.23,busɩ,"plain, field",busi
clics-doculect-141-12,udmu1245-std,concepticon-652,1.23,lud,"plain, field",lud
clics-doculect-141-13,udmu1245-std,concepticon-921,1.24,nʸožal,valley,nyozal
clics-doculect-141-14,udmu1245-std,concepticon-921,1.24,layɩg,valley,layig
clics-doculect-141-15,udmu1245-std,concepticon-622,1.25,šor̃muč,island,sormuc
clics-doculect-141-16,udmu1245-std,concepticon-166,1.26,matʸer̃ik,mainland,matyerik
clics-doculect-141-17,udmu1245-std,concepticon-113,1.27,yar̃dur̃,shore,yardur
clics-doculect-141-18,udmu1245-std,concepticon-1155,1.28,pešʸer̃a,cave,pesyera
clics-doculect-141-19,udmu1245-std,concepticon-948,1.31,vu,water,vu
clics-doculect-141-20,udmu1245-std,concepticon-1474,1.32,zar̃ezʸ,sea,zarezy
clics-doculect-141-21,udmu1245-std,concepticon-258,1.322,štʸilʸ,calm (of sea),styily
clics-doculect-141-22,udmu1245-std,concepticon-259,1.323,šukɩr̃yasʸkisʸ,rough (of sea),sukiryasykisy
clics-doculect-141-23,udmu1245-std,concepticon-259,1.323,kuašetisʸ,rough (of sea),kuasetisy
clics-doculect-141-24,udmu1245-std,concepticon-1768,1.324,šukɩ,foam,suki
clics-doculect-141-25,udmu1245-std,concepticon-645,1.329,okean,ocean,okean
clics-doculect-141-26,udmu1245-std,concepticon-624,1.33,tɩ,lake,ti
clics-doculect-141-27,udmu1245-std,concepticon-663,1.34,zalʸiv,"gulf, bay",zalyiv
clics-doculect-141-28,udmu1245-std,concepticon-623,1.341,laguna,lagoon,laguna
clics-doculect-141-29,udmu1245-std,concepticon-660,1.342,r̃if,reef,rif
clics-doculect-141-30,udmu1245-std,concepticon-660,1.342,vuulɩsʸskala,reef,vuulisyskala
clics-doculect-141-31,udmu1245-std,concepticon-1662,1.343,mukož,"headland, point",mukoz
clics-doculect-141-32,udmu1245-std,concepticon-1662,1.343,munɩr̃,"headland, point",munir
clics-doculect-141-33,udmu1245-std,concepticon-978,1.35,tulkɩm,wave,tulkim
clics-doculect-141-34,udmu1245-std,concepticon-666,1.36,šur̃,"river, stream, brook",sur
clics-doculect-141-35,udmu1245-std,concepticon-1982,1.362,vuber̃gan,whirlpool,vubergan
clics-doculect-141-36,udmu1245-std,concepticon-2144,1.37,ošmes,"spring, well",osmes
clics-doculect-141-37,udmu1245-std,concepticon-1145,1.38,nʸur̃,swamp,nyur
clics-doculect-141-38,udmu1245-std,concepticon-1145,1.38,kud,swamp,kud
clics-doculect-141-39,udmu1245-std,concepticon-943,1.39,vuusʸon,waterfall,vuusyon
clics-doculect-141-40,udmu1245-std,concepticon-420,1.41,nʸules,"woods, forest",nyules
clics-doculect-141-41,udmu1245-std,concepticon-420,1.41,telʸ,"woods, forest",tely
clics-doculect-141-43,udmu1245-std,concepticon-1803,1.43,lesʸtisʸkonpu,wood,lesytisykonpu
clics-doculect-141-44,udmu1245-std,concepticon-2125,1.44,iz,"stone, rock",iz
clics-doculect-141-45,udmu1245-std,concepticon-6,1.45,muzyemzur̃kan,earthquake,muzyemzurkan
clics-doculect-141-46,udmu1245-std,concepticon-1732,1.51,in,sky,in
clics-doculect-141-47,udmu1245-std,concepticon-1732,1.51,inbam,sky,inbam
clics-doculect-141-48,udmu1245-std,concepticon-1343,1.52,šundɩ,sun,sundi
clics-doculect-141-49,udmu1245-std,concepticon-1313,1.53,tolezʸ,moon,tolezy
clics-doculect-141-50,udmu1245-std,concepticon-1430,1.54,kizʸilʸi,star,kizyilyi
