ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-223-1,vene1258-std,concepticon-2,1.213,pols,dust,pols
clics-doculect-223-2,vene1258-std,concepticon-640,1.214,fanc,mud,fanc
clics-doculect-223-3,vene1258-std,concepticon-2118,1.22,mont,"mountain, hill",mont
clics-doculect-223-4,vene1258-std,concepticon-618,1.222,risc,"cliff, precipice",risc
clics-doculect-223-5,vene1258-std,concepticon-618,1.222,precipici,"cliff, precipice",precipici
clics-doculect-223-6,vene1258-std,concepticon-652,1.23,planura,"plain, field",planura
clics-doculect-223-7,vene1258-std,concepticon-1155,1.28,buit,cave,buit
clics-doculect-223-8,vene1258-std,concepticon-1155,1.28,ida,cave,ida
clics-doculect-223-9,vene1258-std,concepticon-1155,1.28,cova,cave,cova
clics-doculect-223-10,vene1258-std,concepticon-258,1.322,calma,calm (of sea),calma
clics-doculect-223-11,vene1258-std,concepticon-258,1.322,calmar,calm (of sea),calmar
clics-doculect-223-12,vene1258-std,concepticon-623,1.341,llacuna,lagoon,llacuna
clics-doculect-223-13,vene1258-std,concepticon-6,1.45,tèrratremol,earthquake,terratremol
clics-doculect-223-14,vene1258-std,concepticon-1150,1.56,trò,thunder,tro
clics-doculect-223-15,vene1258-std,concepticon-630,1.61,llum,light (noun),llum
clics-doculect-223-16,vene1258-std,concepticon-11,1.62,oscuritat,darkness,oscuritat
clics-doculect-223-17,vene1258-std,concepticon-1388,1.63,ombra,"shade, shadow",ombra
clics-doculect-223-18,vene1258-std,concepticon-889,1.82,flama,flame (noun),flama
clics-doculect-223-19,vene1258-std,concepticon-646,1.84,freix,ashes,freix
clics-doculect-223-20,vene1258-std,concepticon-646,1.84,cendra,ashes,cendra
clics-doculect-223-21,vene1258-std,concepticon-141,1.851,ardir,burn (vb trans),ardir
clics-doculect-223-22,vene1258-std,concepticon-141,1.851,socarrar,burn (vb trans),socarrar
clics-doculect-223-23,vene1258-std,concepticon-127,1.861,extinguit,extinguish,extinguit
clics-doculect-223-24,vene1258-std,concepticon-765,10.11,mudar,move,mudar
clics-doculect-223-25,vene1258-std,concepticon-765,10.11,moure,move,moure
clics-doculect-223-26,vene1258-std,concepticon-1588,10.12,girar,turn over,girar
clics-doculect-223-27,vene1258-std,concepticon-1588,10.12,girar,turn over,girar
clics-doculect-223-28,vene1258-std,concepticon-827,10.15,rodar,roll,rodar
clics-doculect-223-29,vene1258-std,concepticon-568,10.21,sorgir,rise,sorgir
clics-doculect-223-30,vene1258-std,concepticon-568,10.21,alçarse,rise,alcarse
clics-doculect-223-31,vene1258-std,concepticon-1280,10.23,caure,fall,caure
clics-doculect-223-32,vene1258-std,concepticon-1909,10.26,agitar,shake,agitar
clics-doculect-223-33,vene1258-std,concepticon-1909,10.26,espolsat,shake,espolsat
clics-doculect-223-34,vene1258-std,concepticon-1088,10.33,afonar,sink,afonar
clics-doculect-223-35,vene1258-std,concepticon-1439,10.35,nadar,swim,nadar
clics-doculect-223-36,vene1258-std,concepticon-175,10.38,bufar,blow,bufar
clics-doculect-223-37,vene1258-std,concepticon-66,10.412,agenollarse,kneel,agenollarse
clics-doculect-223-38,vene1258-std,concepticon-1829,10.43,saltar,"jump, leap",saltar
clics-doculect-223-39,vene1258-std,concepticon-1135,10.431,chutar,kick,chutar
clics-doculect-223-40,vene1258-std,concepticon-366,10.451,claudicar,limp,claudicar
clics-doculect-223-41,vene1258-std,concepticon-1519,10.46,funcionar,run,funcionar
clics-doculect-223-42,vene1258-std,concepticon-1519,10.46,correr,run,correr
clics-doculect-223-43,vene1258-std,concepticon-1519,10.46,correr,run,correr
clics-doculect-223-44,vene1258-std,concepticon-695,10.47,anar,go,anar
clics-doculect-223-45,vene1258-std,concepticon-705,10.471,pujat,go up,pujat
clics-doculect-223-46,vene1258-std,concepticon-1102,10.472,trepar,climb,trepar
clics-doculect-223-47,vene1258-std,concepticon-1102,10.472,escalar,climb,escalar
clics-doculect-223-48,vene1258-std,concepticon-1107,10.474,eixir,go out,eixir
clics-doculect-223-49,vene1258-std,concepticon-1446,10.48,vindre,come,vindre
clics-doculect-223-50,vene1258-std,concepticon-1752,10.49,desamparar,"go away, depart",desamparar
clics-doculect-223-51,vene1258-std,concepticon-485,10.491,desapareixer,disappear,desapareixer
clics-doculect-223-52,vene1258-std,concepticon-485,10.491,desapareixer,disappear,desapareixer
clics-doculect-223-53,vene1258-std,concepticon-1085,10.52,resultar,follow,resultar
clics-doculect-223-54,vene1258-std,concepticon-1387,10.55,aplegat,"reach, arrive",aplegat
clics-doculect-223-55,vene1258-std,concepticon-1778,10.56,acostarse,approach,acostarse
clics-doculect-223-56,vene1258-std,concepticon-1778,10.56,acostar,approach,acostar
clics-doculect-223-57,vene1258-std,concepticon-1778,10.56,acostarse,approach,acostarse
clics-doculect-223-58,vene1258-std,concepticon-700,10.61,acarrejar,carry (bear),acarrejar
clics-doculect-223-59,vene1258-std,concepticon-692,10.62,aportar,bring,aportar
clics-doculect-223-60,vene1258-std,concepticon-1127,10.63,oferir,send,oferir
clics-doculect-223-61,vene1258-std,concepticon-367,10.66,cavalcat,ride,cavalcat
clics-doculect-223-62,vene1258-std,concepticon-1769,10.77,eix,axle,eix
clics-doculect-223-63,vene1258-std,concepticon-14,10.78,jou,yoke,jou
clics-doculect-223-64,vene1258-std,concepticon-610,10.91,oporto,"harbor, port",oporto
clics-doculect-223-65,vene1258-std,concepticon-773,11.11,tindre,have,tindre
