ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-35-1,viet1252-std,concepticon-965,1.1,thếgiới,world,thegioi
clics-doculect-35-2,viet1252-std,concepticon-626,1.21,đất,"earth, land",dat
clics-doculect-35-3,viet1252-std,concepticon-1228,1.212,đất,"earth=ground, soil",dat
clics-doculect-35-4,viet1252-std,concepticon-2,1.213,bụi,dust,bui
clics-doculect-35-5,viet1252-std,concepticon-640,1.214,bùn,mud,bun
clics-doculect-35-6,viet1252-std,concepticon-671,1.215,cát,sand,cat
clics-doculect-35-7,viet1252-std,concepticon-2118,1.22,núi,"mountain, hill",nui
clics-doculect-35-8,viet1252-std,concepticon-2118,1.22,đồi,"mountain, hill",doi
clics-doculect-35-9,viet1252-std,concepticon-618,1.222,váchđá,"cliff, precipice",vachda
clics-doculect-35-10,viet1252-std,concepticon-652,1.23,đồngbằng,"plain, field",dongbang
clics-doculect-35-11,viet1252-std,concepticon-921,1.24,thunglũng,valley,thunglung
clics-doculect-35-12,viet1252-std,concepticon-921,1.24,lưuvực,valley,luuvuc
clics-doculect-35-13,viet1252-std,concepticon-622,1.25,đảo,island,dao
clics-doculect-35-14,viet1252-std,concepticon-622,1.25,cùlao,island,culao
clics-doculect-35-15,viet1252-std,concepticon-166,1.26,đạilục,mainland,dailuc
clics-doculect-35-16,viet1252-std,concepticon-113,1.27,bờ,shore,bo
clics-doculect-35-17,viet1252-std,concepticon-1155,1.28,hang,cave,hang
clics-doculect-35-18,viet1252-std,concepticon-948,1.31,nước,water,nuoc
clics-doculect-35-19,viet1252-std,concepticon-1474,1.32,biển,sea,bien
clics-doculect-35-20,viet1252-std,concepticon-258,1.322,khôngnổisóng,calm (of sea),khongnoisong
clics-doculect-35-21,viet1252-std,concepticon-259,1.323,động,rough (of sea),dong
clics-doculect-35-22,viet1252-std,concepticon-1768,1.324,bọt,foam,bot
clics-doculect-35-23,viet1252-std,concepticon-645,1.329,đạidương,ocean,daiduong
clics-doculect-35-24,viet1252-std,concepticon-624,1.33,hồ,lake,ho
clics-doculect-35-25,viet1252-std,concepticon-663,1.34,vịnh,"gulf, bay",vinh
clics-doculect-35-26,viet1252-std,concepticon-623,1.341,phá,lagoon,pha
