ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-71-1,waor1240-std,concepticon-965,1.1,ĩgipo,world,igipo
clics-doculect-71-2,waor1240-std,concepticon-626,1.21,õbæ,"earth, land",obae
clics-doculect-71-3,waor1240-std,concepticon-1228,1.212,õgipo,"earth=ground, soil",ogipo
clics-doculect-71-4,waor1240-std,concepticon-2,1.213,gidĩbõ,dust,gidibo
clics-doculect-71-5,waor1240-std,concepticon-640,1.214,akĩbæ̃,mud,akibae
clics-doculect-71-6,waor1240-std,concepticon-671,1.215,ẽbõdai,sand,ebodai
clics-doculect-71-7,waor1240-std,concepticon-2118,1.22,ãdãkidi,"mountain, hill",adakidi
clics-doculect-71-8,waor1240-std,concepticon-618,1.222,õtadãa,"cliff, precipice",otadaa
clics-doculect-71-9,waor1240-std,concepticon-652,1.23,biyõdæ,"plain, field",biyodae
clics-doculect-71-10,waor1240-std,concepticon-921,1.24,wĩyãbẽka,valley,wiyabeka
clics-doculect-71-11,waor1240-std,concepticon-622,1.25,waãtĩĩwæ̃dẽ,island,waatiiwaede
clics-doculect-71-12,waor1240-std,concepticon-166,1.26,õbækoo,mainland,obaekoo
clics-doculect-71-13,waor1240-std,concepticon-113,1.27,æpæ̃wedeka,shore,aepaewedeka
clics-doculect-71-14,waor1240-std,concepticon-1155,1.28,õtato,cave,otato
clics-doculect-71-15,waor1240-std,concepticon-948,1.31,æpæ̃,water,aepae
clics-doculect-71-16,waor1240-std,concepticon-1474,1.32,gãwapæ̃yæ̃dæ̃,sea,gawapaeyaedae
clics-doculect-71-17,waor1240-std,concepticon-258,1.322,dæ̃æ̃gõgæ̃,calm (of sea),daeaegogae
clics-doculect-71-18,waor1240-std,concepticon-259,1.323,bæ̃æ̃gõtabæ̃æ̃gõtaã,rough (of sea),baeaegotabaeaegotaa
clics-doculect-71-19,waor1240-std,concepticon-1768,1.324,bãwãta,foam,bawata
clics-doculect-71-20,waor1240-std,concepticon-645,1.329,gãwapæ̃yæ̃dæ̃gadepõdĩ,ocean,gawapaeyaedaegadepodi
clics-doculect-71-21,waor1240-std,concepticon-624,1.33,gãwapæ̃,lake,gawapae
clics-doculect-71-22,waor1240-std,concepticon-623,1.341,gãwapæ̃,lagoon,gawapae
clics-doculect-71-23,waor1240-std,concepticon-660,1.342,pĩpĩkæwate,reef,pipikaewate
clics-doculect-71-24,waor1240-std,concepticon-1026,1.353,gædægopæ̃,lowtide,gaedaegopae
clics-doculect-71-25,waor1240-std,concepticon-613,1.354,gædæpõbæ̃,hightide,gaedaepobae
clics-doculect-71-26,waor1240-std,concepticon-666,1.36,õdõ,"river, stream, brook",odo
clics-doculect-71-27,waor1240-std,concepticon-2144,1.37,æpæ̃tayõbõ,"spring, well",aepaetayobo
clics-doculect-71-28,waor1240-std,concepticon-1145,1.38,akĩbæ̃ĩyõbõ,swamp,akibaeiyobo
clics-doculect-71-29,waor1240-std,concepticon-943,1.39,tĩyataa,waterfall,tiyataa
clics-doculect-71-30,waor1240-std,concepticon-420,1.41,awæ̃dẽ,"woods, forest",awaede
clics-doculect-71-32,waor1240-std,concepticon-1803,1.43,awæ̃,wood,awae
clics-doculect-71-33,waor1240-std,concepticon-2125,1.44,dika,"stone, rock",dika
clics-doculect-71-34,waor1240-std,concepticon-6,1.45,goĩke,earthquake,goike
clics-doculect-71-35,waor1240-std,concepticon-1732,1.51,õõdæ,sky,oodae
clics-doculect-71-36,waor1240-std,concepticon-1343,1.52,dæ̃ke,sun,daeke
clics-doculect-71-37,waor1240-std,concepticon-1313,1.53,apãikã,moon,apaika
clics-doculect-71-38,waor1240-std,concepticon-1430,1.54,dẽbõ,star,debo
clics-doculect-71-39,waor1240-std,concepticon-1654,1.55,dãĩpa,lightning,daipa
clics-doculect-71-40,waor1240-std,concepticon-1150,1.56,detæbo,thunder,detaebo
clics-doculect-71-41,waor1240-std,concepticon-2007,1.57,dãĩpa,lightning (as striking),daipa
clics-doculect-71-42,waor1240-std,concepticon-858,1.58,wĩdikæĩ,storm,widikaei
clics-doculect-71-43,waor1240-std,concepticon-1733,1.59,daibẽ,rainbow,daibe
clics-doculect-71-44,waor1240-std,concepticon-630,1.61,yãõ,light (noun),yao
clics-doculect-71-45,waor1240-std,concepticon-11,1.62,wẽbõ,darkness,webo
clics-doculect-71-46,waor1240-std,concepticon-1388,1.63,gãdẽĩyõbõ,"shade, shadow",gadeiyobo
