ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-139-1,wayu1243-std,concepticon-626,1.21,mma,"earth, land",mma
clics-doculect-139-2,wayu1243-std,concepticon-1228,1.212,mmooľuʔu,"earth=ground, soil",mmoolu?u
clics-doculect-139-3,wayu1243-std,concepticon-640,1.214,pootši,mud,pootsi
clics-doculect-139-4,wayu1243-std,concepticon-671,1.215,hasai,sand,hasai
clics-doculect-139-5,wayu1243-std,concepticon-2118,1.22,uuči,"mountain, hill",uuci
clics-doculect-139-6,wayu1243-std,concepticon-652,1.23,patahatšii,"plain, field",patahatsii
clics-doculect-139-7,wayu1243-std,concepticon-113,1.27,paľaaima,shore,palaaima
clics-doculect-139-8,wayu1243-std,concepticon-1155,1.28,koʔušii,cave,ko?usii
clics-doculect-139-9,wayu1243-std,concepticon-948,1.31,wɨin,water,wiin
clics-doculect-139-10,wayu1243-std,concepticon-1474,1.32,paľaa,sea,palaa
clics-doculect-139-11,wayu1243-std,concepticon-1768,1.324,hɨtoľoin,foam,hitoloin
clics-doculect-139-12,wayu1243-std,concepticon-978,1.35,hɨšipaľaa,wave,hisipalaa
clics-doculect-139-13,wayu1243-std,concepticon-666,1.36,wɨinpaľatɨsɨ,"river, stream, brook",wiinpalatisi
clics-doculect-139-14,wayu1243-std,concepticon-2144,1.37,iši,"spring, well",isi
clics-doculect-139-15,wayu1243-std,concepticon-943,1.39,hɨšor̃oľoinwɨin,waterfall,hisoroloinwiin
clics-doculect-139-16,wayu1243-std,concepticon-420,1.41,mohuui,"woods, forest",mohuui
clics-doculect-139-18,wayu1243-std,concepticon-1803,1.43,wunuʔu,wood,wunu?u
clics-doculect-139-19,wayu1243-std,concepticon-2125,1.44,ipa,"stone, rock",ipa
clics-doculect-139-20,wayu1243-std,concepticon-1732,1.51,aituʔu,sky,aitu?u
clics-doculect-139-21,wayu1243-std,concepticon-1343,1.52,kaʔi,sun,ka?i
clics-doculect-139-22,wayu1243-std,concepticon-1313,1.53,kaši,moon,kasi
clics-doculect-139-23,wayu1243-std,concepticon-1430,1.54,šɨľiwaľa,star,siliwala
clics-doculect-139-24,wayu1243-std,concepticon-1654,1.55,hɨyaahuya,lightning,hiyaahuya
clics-doculect-139-25,wayu1243-std,concepticon-1150,1.56,atɨttaahuya,thunder,atittaahuya
clics-doculect-139-26,wayu1243-std,concepticon-2007,1.57,haʔapɨľaʔɨhuya,lightning (as striking),ha?apila?ihuya
clics-doculect-139-27,wayu1243-std,concepticon-1733,1.59,kasipoľuin,rainbow,kasipoluin
clics-doculect-139-28,wayu1243-std,concepticon-630,1.61,hɨwar̃aľa,light (noun),hiwarala
clics-doculect-139-29,wayu1243-std,concepticon-11,1.62,puyuuši,darkness,puyuusi
clics-doculect-139-30,wayu1243-std,concepticon-1388,1.63,hamɨyouši,"shade, shadow",hamiyousi
clics-doculect-139-31,wayu1243-std,concepticon-1388,1.63,hɨyoľuha,"shade, shadow",hiyoluha
clics-doculect-139-32,wayu1243-std,concepticon-1977,1.64,hoohotši,dew,hoohotsi
clics-doculect-139-33,wayu1243-std,concepticon-960,1.72,houtai,wind,houtai
clics-doculect-139-34,wayu1243-std,concepticon-1489,1.73,sir̃uma,cloud,siruma
clics-doculect-139-35,wayu1243-std,concepticon-249,1.74,ľuuwana,fog,luuwana
clics-doculect-139-36,wayu1243-std,concepticon-658,1.75,huya,rain (noun),huya
clics-doculect-139-37,wayu1243-std,concepticon-221,1.81,siki,fire,siki
clics-doculect-139-38,wayu1243-std,concepticon-889,1.82,hɨčuwaľa,flame (noun),hicuwala
clics-doculect-139-39,wayu1243-std,concepticon-778,1.83,sikamɨsaľa,smoke (noun),sikamisala
clics-doculect-139-40,wayu1243-std,concepticon-646,1.84,paľiiʔi,ashes,palii?i
clics-doculect-139-41,wayu1243-std,concepticon-646,1.84,paľiʔi,ashes,pali?i
clics-doculect-139-42,wayu1243-std,concepticon-67,1.841,sikemeča,embers,sikemeca
clics-doculect-139-43,wayu1243-std,concepticon-141,1.851,aʔahaa,burn (vb trans),a?ahaa
