ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-80-1,west2369-std,concepticon-965,1.1,ǰæhɑn,world,jaehan
clics-doculect-80-2,west2369-std,concepticon-626,1.21,zæmin,"earth, land",zaemin
clics-doculect-80-3,west2369-std,concepticon-1228,1.212,xɑk,"earth=ground, soil",xak
clics-doculect-80-4,west2369-std,concepticon-1228,1.212,zæmin,"earth=ground, soil",zaemin
clics-doculect-80-5,west2369-std,concepticon-2,1.213,gærd,dust,gaerd
clics-doculect-80-6,west2369-std,concepticon-2,1.213,xɑk,dust,xak
clics-doculect-80-7,west2369-std,concepticon-640,1.214,gel,mud,gel
clics-doculect-80-8,west2369-std,concepticon-671,1.215,rig,sand,rig
clics-doculect-80-9,west2369-std,concepticon-671,1.215,šen,sand,sen
clics-doculect-80-10,west2369-std,concepticon-2118,1.22,kuh,"mountain, hill",kuh
clics-doculect-80-11,west2369-std,concepticon-2118,1.22,teppe,"mountain, hill",teppe
clics-doculect-80-12,west2369-std,concepticon-618,1.222,pærtgɑh,"cliff, precipice",paertgah
clics-doculect-80-13,west2369-std,concepticon-618,1.222,tæxtesæng,"cliff, precipice",taextesaeng
clics-doculect-80-14,west2369-std,concepticon-652,1.23,dæšt,"plain, field",daest
clics-doculect-80-15,west2369-std,concepticon-921,1.24,dærre,valley,daerre
clics-doculect-80-16,west2369-std,concepticon-113,1.27,kenɑr,shore,kenar
clics-doculect-80-17,west2369-std,concepticon-113,1.27,kerɑne,shore,kerane
clics-doculect-80-18,west2369-std,concepticon-948,1.31,ɑb,water,ab
clics-doculect-80-19,west2369-std,concepticon-1474,1.32,dæryɑ,sea,daerya
clics-doculect-80-20,west2369-std,concepticon-258,1.322,ɑrɑm,calm (of sea),aram
clics-doculect-80-21,west2369-std,concepticon-1768,1.324,kæf,foam,kaef
clics-doculect-80-22,west2369-std,concepticon-624,1.33,dæryɑče,lake,daeryace
clics-doculect-80-23,west2369-std,concepticon-1662,1.343,dæmɑḡe,"headland, point",daemage
clics-doculect-80-24,west2369-std,concepticon-666,1.36,rud,"river, stream, brook",rud
clics-doculect-80-25,west2369-std,concepticon-666,1.36,rudxɑne,"river, stream, brook",rudxane
clics-doculect-80-26,west2369-std,concepticon-666,1.36,dæryo,"river, stream, brook",daeryo
clics-doculect-80-27,west2369-std,concepticon-1982,1.362,gerdɑb,whirlpool,gerdab
clics-doculect-80-28,west2369-std,concepticon-2144,1.37,češme,"spring, well",cesme
clics-doculect-80-29,west2369-std,concepticon-2144,1.37,čɑh,"spring, well",cah
clics-doculect-80-30,west2369-std,concepticon-1145,1.38,mordɑb,swamp,mordab
clics-doculect-80-31,west2369-std,concepticon-943,1.39,ɑbšɑr,waterfall,absar
clics-doculect-80-32,west2369-std,concepticon-420,1.41,ǰængæl,"woods, forest",jaengael
clics-doculect-80-35,west2369-std,concepticon-1803,1.43,čub,wood,cub
clics-doculect-80-36,west2369-std,concepticon-2125,1.44,sæng,"stone, rock",saeng
clics-doculect-80-37,west2369-std,concepticon-1732,1.51,ɑsmɑn,sky,asman
clics-doculect-80-38,west2369-std,concepticon-1343,1.52,ɑftɑb,sun,aftab
clics-doculect-80-39,west2369-std,concepticon-1343,1.52,xoršid,sun,xorsid
clics-doculect-80-40,west2369-std,concepticon-1313,1.53,mɑh,moon,mah
clics-doculect-80-41,west2369-std,concepticon-1430,1.54,setɑre,star,setare
clics-doculect-80-42,west2369-std,concepticon-2007,1.57,ɑzæræxš,lightning (as striking),azaeraexs
clics-doculect-80-43,west2369-std,concepticon-1733,1.59,rænginkæmɑn,rainbow,raenginkaeman
clics-doculect-80-44,west2369-std,concepticon-630,1.61,rowšænɑʔi,light (noun),rowsaena?i
clics-doculect-80-45,west2369-std,concepticon-11,1.62,tɑriki,darkness,tariki
