ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-204-1,wich1264-std,concepticon-965,1.1,hunhat,world,hunhat
clics-doculect-204-2,wich1264-std,concepticon-626,1.21,hunhat,"earth, land",hunhat
clics-doculect-204-3,wich1264-std,concepticon-1228,1.212,hunhat,"earth=ground, soil",hunhat
clics-doculect-204-4,wich1264-std,concepticon-2,1.213,hulu,dust,hulu
clics-doculect-204-5,wich1264-std,concepticon-2,1.213,lamukw,dust,lamukw
clics-doculect-204-6,wich1264-std,concepticon-640,1.214,iyhot,mud,iyhot
clics-doculect-204-7,wich1264-std,concepticon-671,1.215,alena,sand,alena
clics-doculect-204-8,wich1264-std,concepticon-2118,1.22,tachenaj,"mountain, hill",tachenaj
clics-doculect-204-9,wich1264-std,concepticon-618,1.222,tewukkatchenaj,"cliff, precipice",tewukkatchenaj
clics-doculect-204-10,wich1264-std,concepticon-652,1.23,alhu,"plain, field",alhu
clics-doculect-204-11,wich1264-std,concepticon-921,1.24,lakawayhi,valley,lakawayhi
clics-doculect-204-12,wich1264-std,concepticon-622,1.25,lhiletaj,island,lhiletaj
clics-doculect-204-13,wich1264-std,concepticon-113,1.27,tewuklhip,shore,tewuklhip
clics-doculect-204-14,wich1264-std,concepticon-1155,1.28,chuwej,cave,chuwej
clics-doculect-204-15,wich1264-std,concepticon-948,1.31,inot,water,inot
clics-doculect-204-16,wich1264-std,concepticon-1474,1.32,inotlitak,sea,inotlitak
clics-doculect-204-17,wich1264-std,concepticon-258,1.322,iwutamsecha,calm (of sea),iwutamsecha
clics-doculect-204-18,wich1264-std,concepticon-259,1.323,nilhek’alhi,rough (of sea),nilhek'alhi
clics-doculect-204-19,wich1264-std,concepticon-1768,1.324,lakuj,foam,lakuj
clics-doculect-204-20,wich1264-std,concepticon-645,1.329,inotlitak,ocean,inotlitak
clics-doculect-204-21,wich1264-std,concepticon-624,1.33,lawumek,lake,lawumek
clics-doculect-204-22,wich1264-std,concepticon-624,1.33,lhemchitaj,lake,lhemchitaj
clics-doculect-204-23,wich1264-std,concepticon-623,1.341,lawumek,lagoon,lawumek
clics-doculect-204-24,wich1264-std,concepticon-978,1.35,komoktaj,wave,komoktaj
clics-doculect-204-25,wich1264-std,concepticon-666,1.36,tewuk,"river, stream, brook",tewuk
clics-doculect-204-26,wich1264-std,concepticon-1982,1.362,lalenchitaj,whirlpool,lalenchitaj
clics-doculect-204-27,wich1264-std,concepticon-1145,1.38,inotw’et,swamp,inotw'et
clics-doculect-204-28,wich1264-std,concepticon-943,1.39,inotn’oyij,waterfall,inotn'oyij
clics-doculect-204-29,wich1264-std,concepticon-420,1.41,tayhi,"woods, forest",tayhi
clics-doculect-204-30,wich1264-std,concepticon-1803,1.43,hal’o,wood,hal'o
clics-doculect-204-31,wich1264-std,concepticon-2125,1.44,tente,"stone, rock",tente
clics-doculect-204-32,wich1264-std,concepticon-6,1.45,hunhatw’ahi,earthquake,hunhatw'ahi
clics-doculect-204-33,wich1264-std,concepticon-1732,1.51,pele,sky,pele
clics-doculect-204-34,wich1264-std,concepticon-1343,1.52,fwala,sun,fwala
clics-doculect-204-35,wich1264-std,concepticon-1313,1.53,wel’a,moon,wel'a
clics-doculect-204-36,wich1264-std,concepticon-1430,1.54,kates,star,kates
clics-doculect-204-37,wich1264-std,concepticon-1654,1.55,yoklep,lightning,yoklep
clics-doculect-204-38,wich1264-std,concepticon-1150,1.56,pelhayy’iplhi,thunder,pelhayy'iplhi
clics-doculect-204-39,wich1264-std,concepticon-2007,1.57,pelhach’e,lightning (as striking),pelhach'e
clics-doculect-204-40,wich1264-std,concepticon-858,1.58,pelhay,storm,pelhay
clics-doculect-204-41,wich1264-std,concepticon-1733,1.59,lawu,rainbow,lawu
clics-doculect-204-42,wich1264-std,concepticon-630,1.61,fwala,light (noun),fwala
clics-doculect-204-43,wich1264-std,concepticon-11,1.62,hunataj,darkness,hunataj
