ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-140-1,yagu1244-std,concepticon-965,1.1,hnda,world,hnda
clics-doculect-140-2,yagu1244-std,concepticon-965,1.1,mukadi,world,mukadi
clics-doculect-140-3,yagu1244-std,concepticon-626,1.21,ko,"earth, land",ko
clics-doculect-140-4,yagu1244-std,concepticon-626,1.21,muko,"earth, land",muko
clics-doculect-140-5,yagu1244-std,concepticon-626,1.21,muki,"earth, land",muki
clics-doculect-140-6,yagu1244-std,concepticon-1228,1.212,mukadi,"earth=ground, soil",mukadi
clics-doculect-140-7,yagu1244-std,concepticon-1228,1.212,rupihyo,"earth=ground, soil",rupihyo
clics-doculect-140-8,yagu1244-std,concepticon-2,1.213,huru,dust,huru
clics-doculect-140-9,yagu1244-std,concepticon-640,1.214,mukadi,mud,mukadi
clics-doculect-140-10,yagu1244-std,concepticon-671,1.215,tĩ,sand,ti
clics-doculect-140-11,yagu1244-std,concepticon-671,1.215,tĩčã,sand,tica
clics-doculect-140-12,yagu1244-std,concepticon-2118,1.22,musi,"mountain, hill",musi
clics-doculect-140-13,yagu1244-std,concepticon-2118,1.22,musiki,"mountain, hill",musiki
clics-doculect-140-14,yagu1244-std,concepticon-618,1.222,wimuhũ,"cliff, precipice",wimuhu
clics-doculect-140-15,yagu1244-std,concepticon-618,1.222,wumuhũ,"cliff, precipice",wumuhu
clics-doculect-140-16,yagu1244-std,concepticon-652,1.23,watapada,"plain, field",watapada
clics-doculect-140-17,yagu1244-std,concepticon-652,1.23,watupada,"plain, field",watupada
clics-doculect-140-18,yagu1244-std,concepticon-622,1.25,rarãtyu,island,raratyu
clics-doculect-140-19,yagu1244-std,concepticon-622,1.25,rãtyu,island,ratyu
clics-doculect-140-20,yagu1244-std,concepticon-166,1.26,sinu,mainland,sinu
clics-doculect-140-21,yagu1244-std,concepticon-113,1.27,tĩ,shore,ti
clics-doculect-140-22,yagu1244-std,concepticon-113,1.27,tĩčã,shore,tica
clics-doculect-140-23,yagu1244-std,concepticon-113,1.27,hido,shore,hido
clics-doculect-140-24,yagu1244-std,concepticon-113,1.27,hini,shore,hini
clics-doculect-140-25,yagu1244-std,concepticon-1155,1.28,wudi,cave,wudi
clics-doculect-140-26,yagu1244-std,concepticon-948,1.31,hã,water,ha
clics-doculect-140-27,yagu1244-std,concepticon-1474,1.32,hãmunãwa,sea,hamunawa
clics-doculect-140-28,yagu1244-std,concepticon-1474,1.32,nãwa,sea,nawa
clics-doculect-140-29,yagu1244-std,concepticon-258,1.322,huwayã,calm (of sea),huwaya
clics-doculect-140-30,yagu1244-std,concepticon-259,1.323,rĩyẽrya,rough (of sea),riyerya
clics-doculect-140-31,yagu1244-std,concepticon-1768,1.324,hikadi,foam,hikadi
clics-doculect-140-32,yagu1244-std,concepticon-1768,1.324,hiryũdi,foam,hiryudi
clics-doculect-140-33,yagu1244-std,concepticon-645,1.329,hãmunãwa,ocean,hamunawa
clics-doculect-140-34,yagu1244-std,concepticon-645,1.329,nãwa,ocean,nawa
clics-doculect-140-35,yagu1244-std,concepticon-624,1.33,hmityõ,lake,hmityo
clics-doculect-140-36,yagu1244-std,concepticon-624,1.33,hmutyõ,lake,hmutyo
clics-doculect-140-37,yagu1244-std,concepticon-624,1.33,tõ,lake,to
clics-doculect-140-38,yagu1244-std,concepticon-623,1.341,hmutyõ,lagoon,hmutyo
clics-doculect-140-39,yagu1244-std,concepticon-623,1.341,hmityõ,lagoon,hmityo
clics-doculect-140-40,yagu1244-std,concepticon-1662,1.343,rapuriči,"headland, point",rapurici
clics-doculect-140-41,yagu1244-std,concepticon-978,1.35,rĩyẽrya,wave,riyerya
clics-doculect-140-42,yagu1244-std,concepticon-666,1.36,siɲu,"river, stream, brook",sinu
clics-doculect-140-43,yagu1244-std,concepticon-666,1.36,mũ,"river, stream, brook",mu
clics-doculect-140-44,yagu1244-std,concepticon-666,1.36,hadayamũ,"river, stream, brook",hadayamu
clics-doculect-140-45,yagu1244-std,concepticon-1982,1.362,radaputusãhã,whirlpool,radaputusaha
clics-doculect-140-46,yagu1244-std,concepticon-2144,1.37,punudeho,"spring, well",punudeho
clics-doculect-140-47,yagu1244-std,concepticon-2144,1.37,hãrihyo,"spring, well",harihyo
clics-doculect-140-48,yagu1244-std,concepticon-1145,1.38,padye,swamp,padye
clics-doculect-140-49,yagu1244-std,concepticon-1145,1.38,sawãy,swamp,saway
clics-doculect-140-50,yagu1244-std,concepticon-943,1.39,hãhũrya,waterfall,hahurya
clics-doculect-140-51,yagu1244-std,concepticon-420,1.41,to,"woods, forest",to
clics-doculect-140-53,yagu1244-std,concepticon-1803,1.43,hipu,wood,hipu
clics-doculect-140-54,yagu1244-std,concepticon-2125,1.44,rawičũ,"stone, rock",rawicu
clics-doculect-140-55,yagu1244-std,concepticon-2125,1.44,nu,"stone, rock",nu
clics-doculect-140-56,yagu1244-std,concepticon-6,1.45,mukadimučutye,earthquake,mukadimucutye
clics-doculect-140-57,yagu1244-std,concepticon-1732,1.51,hariču,sky,haricu
clics-doculect-140-58,yagu1244-std,concepticon-1732,1.51,nãway,sky,naway
clics-doculect-140-59,yagu1244-std,concepticon-1732,1.51,widawi,sky,widawi
clics-doculect-140-60,yagu1244-std,concepticon-1343,1.52,hiɲĩ,sun,hini
clics-doculect-140-61,yagu1244-std,concepticon-1343,1.52,hɲi,sun,hni
clics-doculect-140-62,yagu1244-std,concepticon-1313,1.53,hanimyurĩ,moon,hanimyuri
clics-doculect-140-63,yagu1244-std,concepticon-1313,1.53,harimyunĩ,moon,harimyuni
clics-doculect-140-64,yagu1244-std,concepticon-1430,1.54,darči,star,darci
clics-doculect-140-65,yagu1244-std,concepticon-1430,1.54,dariči,star,darici
clics-doculect-140-66,yagu1244-std,concepticon-1430,1.54,hũdariči,star,hudarici
clics-doculect-140-67,yagu1244-std,concepticon-1654,1.55,rãduyãra,lightning,raduyara
clics-doculect-140-68,yagu1244-std,concepticon-1150,1.56,rũwatarya,thunder,ruwatarya
clics-doculect-140-69,yagu1244-std,concepticon-2007,1.57,rãdurya,lightning (as striking),radurya
clics-doculect-140-70,yagu1244-std,concepticon-858,1.58,hantyunuwãčãda,storm,hantyunuwacada
clics-doculect-140-71,yagu1244-std,concepticon-1733,1.59,hnču,rainbow,hncu
clics-doculect-140-72,yagu1244-std,concepticon-630,1.61,nõnõ,light (noun),nono
clics-doculect-140-73,yagu1244-std,concepticon-630,1.61,da,light (noun),da
clics-doculect-140-74,yagu1244-std,concepticon-11,1.62,nupokudi,darkness,nupokudi
clics-doculect-140-75,yagu1244-std,concepticon-11,1.62,hiɲipuyada,darkness,hinipuyada
clics-doculect-140-76,yagu1244-std,concepticon-1388,1.63,nupohotu,"shade, shadow",nupohotu
clics-doculect-140-77,yagu1244-std,concepticon-1388,1.63,kanuwũ,"shade, shadow",kanuwu
clics-doculect-140-78,yagu1244-std,concepticon-1977,1.64,daričisčãhã,dew,dariciscaha
clics-doculect-140-79,yagu1244-std,concepticon-27,1.71,widawi,air,widawi
clics-doculect-140-80,yagu1244-std,concepticon-960,1.72,ričo,wind,rico
clics-doculect-140-81,yagu1244-std,concepticon-960,1.72,mutyanay,wind,mutyanay
clics-doculect-140-82,yagu1244-std,concepticon-1489,1.73,nuwači,cloud,nuwaci
