ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-193-1,yami1256-std,concepticon-965,1.1,maitio,world,maitio
clics-doculect-193-2,yami1256-std,concepticon-626,1.21,mai,"earth, land",mai
clics-doculect-193-3,yami1256-std,concepticon-1228,1.212,mai,"earth=ground, soil",mai
clics-doculect-193-4,yami1256-std,concepticon-2,1.213,mapo,dust,mapo
clics-doculect-193-5,yami1256-std,concepticon-640,1.214,mɨβɨ,mud,mibi
clics-doculect-193-6,yami1256-std,concepticon-671,1.215,maši,sand,masi
clics-doculect-193-7,yami1256-std,concepticon-2118,1.22,mãčikɨya,"mountain, hill",macikiya
clics-doculect-193-8,yami1256-std,concepticon-618,1.222,maβa,"cliff, precipice",maba
clics-doculect-193-9,yami1256-std,concepticon-652,1.23,maimĩspa,"plain, field",maimispa
clics-doculect-193-10,yami1256-std,concepticon-921,1.24,mačitɨnãmãnakiraβɨ,valley,macitinamanakirabi
clics-doculect-193-11,yami1256-std,concepticon-622,1.25,βakanɨ̃ṣ̌pakĩamai,island,bakanispakiamai
clics-doculect-193-12,yami1256-std,concepticon-166,1.26,maiɨβapa,mainland,maiibapa
clics-doculect-193-13,yami1256-std,concepticon-113,1.27,βakakɨ̃sɨmɨ̃,shore,bakakisimi
clics-doculect-193-14,yami1256-std,concepticon-1155,1.28,tapɨiti,cave,tapiiti
clics-doculect-193-15,yami1256-std,concepticon-948,1.31,βaka,water,baka
clics-doculect-193-16,yami1256-std,concepticon-1474,1.32,βakaβã,sea,bakaba
clics-doculect-193-17,yami1256-std,concepticon-258,1.322,βãkaβãβɨroikima,calm (of sea),bakababiroikima
clics-doculect-193-18,yami1256-std,concepticon-259,1.323,βãkaβãβɨroiki,rough (of sea),bakababiroiki
clics-doculect-193-19,yami1256-std,concepticon-1768,1.324,βãkoṣ̌,foam,bakos
clics-doculect-193-20,yami1256-std,concepticon-645,1.329,βakaβã,ocean,bakaba
clics-doculect-193-21,yami1256-std,concepticon-624,1.33,ĩa,lake,ia
clics-doculect-193-22,yami1256-std,concepticon-663,1.34,βakačitia,"gulf, bay",bakacitia
clics-doculect-193-23,yami1256-std,concepticon-623,1.341,βakaamãnãoṣ̌ačiβo,lagoon,bakaamanaosacibo
clics-doculect-193-24,yami1256-std,concepticon-978,1.35,βakapakɨai,wave,bakapakiai
clics-doculect-193-25,yami1256-std,concepticon-666,1.36,βaka,"river, stream, brook",baka
clics-doculect-193-26,yami1256-std,concepticon-666,1.36,aṣ̌ka,"river, stream, brook",aska
clics-doculect-193-27,yami1256-std,concepticon-666,1.36,ṣ̌ɨṣ̌a,"river, stream, brook",sisa
clics-doculect-193-28,yami1256-std,concepticon-1982,1.362,βakašiβi,whirlpool,bakasibi
clics-doculect-193-29,yami1256-std,concepticon-2144,1.37,βakapoyopoyoiki,"spring, well",bakapoyopoyoiki
clics-doculect-193-30,yami1256-std,concepticon-943,1.39,mãṣ̌apoiti,waterfall,masapoiti
clics-doculect-193-31,yami1256-std,concepticon-420,1.41,nii,"woods, forest",nii
clics-doculect-193-33,yami1256-std,concepticon-1803,1.43,koṣ̌a,wood,kosa
clics-doculect-193-34,yami1256-std,concepticon-2125,1.44,makɨṣ̌,"stone, rock",makis
clics-doculect-193-35,yami1256-std,concepticon-2125,1.44,tokiri,"stone, rock",tokiri
clics-doculect-193-36,yami1256-std,concepticon-6,1.45,mĩmaβa,earthquake,mimaba
clics-doculect-193-37,yami1256-std,concepticon-1732,1.51,nai,sky,nai
clics-doculect-193-38,yami1256-std,concepticon-1343,1.52,ṣ̌ini,sun,sini
clics-doculect-193-39,yami1256-std,concepticon-1313,1.53,oṣ̌ɨ,moon,osi
clics-doculect-193-40,yami1256-std,concepticon-1430,1.54,ištiβɨro,star,istibiro
clics-doculect-193-41,yami1256-std,concepticon-1430,1.54,βiši,star,bisi
clics-doculect-193-42,yami1256-std,concepticon-1654,1.55,kanapɨišaiki,lightning,kanapiisaiki
clics-doculect-193-43,yami1256-std,concepticon-1150,1.56,naitiriiki,thunder,naitiriiki
clics-doculect-193-44,yami1256-std,concepticon-2007,1.57,kana,lightning (as striking),kana
clics-doculect-193-45,yami1256-std,concepticon-858,1.58,nɨ̃βɨβa,storm,nibiba
clics-doculect-193-46,yami1256-std,concepticon-1733,1.59,nãβaβai,rainbow,nababai
clics-doculect-193-47,yami1256-std,concepticon-630,1.61,peiika,light (noun),peiika
clics-doculect-193-48,yami1256-std,concepticon-630,1.61,ota,light (noun),ota
clics-doculect-193-49,yami1256-std,concepticon-11,1.62,βakiš,darkness,bakis
clics-doculect-193-50,yami1256-std,concepticon-1388,1.63,mãtatõka,"shade, shadow",matatoka
clics-doculect-193-51,yami1256-std,concepticon-1977,1.64,niβi,dew,nibi
clics-doculect-193-52,yami1256-std,concepticon-27,1.71,nɨβɨ,air,nibi
clics-doculect-193-53,yami1256-std,concepticon-960,1.72,nɨβɨ,wind,nibi
clics-doculect-193-54,yami1256-std,concepticon-1489,1.73,kõi,cloud,koi
clics-doculect-193-55,yami1256-std,concepticon-249,1.74,čakapakɨi,fog,cakapakii
clics-doculect-193-56,yami1256-std,concepticon-658,1.75,oi,rain (noun),oi
clics-doculect-193-57,yami1256-std,concepticon-617,1.77,oinami,ice,oinami
clics-doculect-193-58,yami1256-std,concepticon-221,1.81,čii,fire,cii
clics-doculect-193-59,yami1256-std,concepticon-889,1.82,toro,flame (noun),toro
clics-doculect-193-60,yami1256-std,concepticon-778,1.83,kõi,smoke (noun),koi
clics-doculect-193-61,yami1256-std,concepticon-646,1.84,čiimapo,ashes,ciimapo
clics-doculect-193-62,yami1256-std,concepticon-67,1.841,čiirɨ̃kɨ,embers,ciiriki
clics-doculect-193-63,yami1256-std,concepticon-141,1.851,koakĩ,burn (vb trans),koaki
clics-doculect-193-64,yami1256-std,concepticon-141,1.851,kooβaki,burn (vb trans),koobaki
clics-doculect-193-65,yami1256-std,concepticon-1428,1.852,ṣ̌oisakĩ,burn (vb intrans),soisaki
clics-doculect-193-66,yami1256-std,concepticon-737,1.86,kɨtɨβakĩ,"light, kindle, ignite",kitibaki
clics-doculect-193-67,yami1256-std,concepticon-127,1.861,nokaβakĩ,extinguish,nokabaki
clics-doculect-193-68,yami1256-std,concepticon-1133,1.87,čii,match (noun),cii
clics-doculect-193-69,yami1256-std,concepticon-10,1.88,karo,firewood,karo
clics-doculect-193-70,yami1256-std,concepticon-1188,1.89,c̷ɨstɨ,charcoal,cisti
clics-doculect-193-71,yami1256-std,concepticon-683,2.1,yora,"person, human being",yora
clics-doculect-193-72,yami1256-std,concepticon-1554,2.21,nokoβɨnɨ,man (vs. woman),nokobini
clics-doculect-193-73,yami1256-std,concepticon-962,2.22,kɨro,woman,kiro
clics-doculect-193-74,yami1256-std,concepticon-1553,2.23,βɨronaβakɨ,male,bironabaki
clics-doculect-193-75,yami1256-std,concepticon-1551,2.24,ṣ̌otoβaʔɨ,female,sotoba?i
clics-doculect-193-76,yami1256-std,concepticon-1551,2.24,ãβi,female,abi
clics-doculect-193-77,yami1256-std,concepticon-1366,2.25,βɨronaβakɨ,boy,bironabaki
clics-doculect-193-78,yami1256-std,concepticon-76,2.251,naɨtapa,young man (adolescent),naitapa
clics-doculect-193-79,yami1256-std,concepticon-1646,2.26,ṣ̌otokoβakɨ,girl,sotokobaki
clics-doculect-193-80,yami1256-std,concepticon-77,2.261,naɨtaβa,young woman (adolescent),naitaba
