ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-97-1,yuwa1244-std,concepticon-965,1.1,ʰkʸo,world,kkyo
clics-doculect-97-2,yuwa1244-std,concepticon-626,1.21,ʰkʸo,"earth, land",kkyo
clics-doculect-97-3,yuwa1244-std,concepticon-1228,1.212,ʰlẽi,"earth=ground, soil",klei
clics-doculect-97-4,yuwa1244-std,concepticon-2,1.213,ʰlẽi,dust,klei
clics-doculect-97-5,yuwa1244-std,concepticon-640,1.214,ʰleʰte,mud,klekte
clics-doculect-97-6,yuwa1244-std,concepticon-671,1.215,ʰkabaʰyu,sand,kkabakyu
clics-doculect-97-7,yuwa1244-std,concepticon-2118,1.22,ilẽwã,"mountain, hill",ilewa
clics-doculect-97-8,yuwa1244-std,concepticon-652,1.23,bẽi,"plain, field",bei
clics-doculect-97-9,yuwa1244-std,concepticon-921,1.24,ilẽwãʰkɨke,valley,ilewakkike
clics-doculect-97-10,yuwa1244-std,concepticon-622,1.25,hetoʰwɨkalatelã,island,hetokwikalatela
clics-doculect-97-11,yuwa1244-std,concepticon-113,1.27,hetoaʰkulẽ,shore,hetoakkule
clics-doculect-97-12,yuwa1244-std,concepticon-1155,1.28,ilẽwãʰlaikɨ,cave,ilewaklaiki
clics-doculect-97-13,yuwa1244-std,concepticon-948,1.31,au,water,au
clics-doculect-97-14,yuwa1244-std,concepticon-259,1.323,hetohuluwaka,rough (of sea),hetohuluwaka
clics-doculect-97-15,yuwa1244-std,concepticon-1768,1.324,hetoʰkolo,foam,hetokkolo
clics-doculect-97-16,yuwa1244-std,concepticon-624,1.33,bãbo,lake,babo
clics-doculect-97-17,yuwa1244-std,concepticon-623,1.341,bãbo,lagoon,babo
clics-doculect-97-18,yuwa1244-std,concepticon-978,1.35,hetohuluwaka,wave,hetohuluwaka
clics-doculect-97-19,yuwa1244-std,concepticon-666,1.36,heto,"river, stream, brook",heto
clics-doculect-97-20,yuwa1244-std,concepticon-1982,1.362,hetohulaheikɨ,whirlpool,hetohulaheiki
clics-doculect-97-21,yuwa1244-std,concepticon-2144,1.37,ʰlẽiʰkʷahelou,"spring, well",kleikkwahelou
clics-doculect-97-22,yuwa1244-std,concepticon-1145,1.38,ʰleʰteʰta,swamp,klektekta
clics-doculect-97-23,yuwa1244-std,concepticon-943,1.39,hetoʰlaho,waterfall,hetoklaho
clics-doculect-97-24,yuwa1244-std,concepticon-420,1.41,'yelito,"woods, forest",'yelito
clics-doculect-97-26,yuwa1244-std,concepticon-1803,1.43,ʰtawɨ,wood,ktawi
clics-doculect-97-27,yuwa1244-std,concepticon-2125,1.44,iʰto,"stone, rock",ikto
clics-doculect-97-28,yuwa1244-std,concepticon-6,1.45,ʰlẽiʰkeʰkekɨtehai,earthquake,kleikkekkekitehai
clics-doculect-97-29,yuwa1244-std,concepticon-1732,1.51,ʰkʸo,sky,kkyo
clics-doculect-97-30,yuwa1244-std,concepticon-1343,1.52,ʰtilẽwã,sun,ktilewa
clics-doculect-97-31,yuwa1244-std,concepticon-1313,1.53,abĩyẽ,moon,abiye
clics-doculect-97-32,yuwa1244-std,concepticon-1430,1.54,atetɨhã,star,atetiha
clics-doculect-97-33,yuwa1244-std,concepticon-1654,1.55,ʰkʸoaibulewetehai,lightning,kkyoaibulewetehai
clics-doculect-97-34,yuwa1244-std,concepticon-1150,1.56,ʰkʸoaihobetehai,thunder,kkyoaihobetehai
clics-doculect-97-35,yuwa1244-std,concepticon-2007,1.57,ʰkʸoaiʰkãlĩtiyu,lightning (as striking),kkyoaikkalitiyu
