ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-13-1,zaca1242-std,concepticon-965,1.1,čalʸū,world,calyu
clics-doculect-13-2,zaca1242-std,concepticon-626,1.21,ločalʸu,"earth, land",localyu
clics-doculect-13-3,zaca1242-std,concepticon-1228,1.212,yū,"earth=ground, soil",yu
clics-doculect-13-4,zaca1242-std,concepticon-2,1.213,kita,dust,kita
clics-doculect-13-5,zaca1242-std,concepticon-2,1.213,kitayū,dust,kitayu
clics-doculect-13-6,zaca1242-std,concepticon-640,1.214,yūkuc̷uʔ,mud,yukucu?
clics-doculect-13-7,zaca1242-std,concepticon-671,1.215,yši,sand,ysi
clics-doculect-13-8,zaca1242-std,concepticon-2118,1.22,kiʔʸa,"mountain, hill",ki?ya
clics-doculect-13-9,zaca1242-std,concepticon-618,1.222,tuʔkʷaʔã,"cliff, precipice",tu?kwa?a
clics-doculect-13-10,zaca1242-std,concepticon-652,1.23,ntẽʔ,"plain, field",nte?
clics-doculect-13-11,zaca1242-std,concepticon-652,1.23,lontẽʔ,"plain, field",lonte?
clics-doculect-13-12,zaca1242-std,concepticon-921,1.24,ntẽʔ,valley,nte?
clics-doculect-13-13,zaca1242-std,concepticon-921,1.24,lahayū,valley,lahayu
clics-doculect-13-14,zaca1242-std,concepticon-622,1.25,yūhluʔʷe,island,yuhlu?we
clics-doculect-13-15,zaca1242-std,concepticon-166,1.26,yūwtʸ,mainland,yuwty
clics-doculect-13-16,zaca1242-std,concepticon-113,1.27,tuʔtuhoʔo,shore,tu?tuho?o
clics-doculect-13-17,zaca1242-std,concepticon-1155,1.28,tukē,cave,tuke
clics-doculect-13-18,zaca1242-std,concepticon-948,1.31,tiʔa,water,ti?a
clics-doculect-13-19,zaca1242-std,concepticon-1474,1.32,tuhoʔo,sea,tuho?o
clics-doculect-13-20,zaca1242-std,concepticon-258,1.322,seʔẽndiʔĩtī̃tiʔa,calm (of sea),se?endi?ititi?a
clics-doculect-13-21,zaca1242-std,concepticon-259,1.323,nčkʷẽtiʔa,rough (of sea),nckweti?a
clics-doculect-13-22,zaca1242-std,concepticon-259,1.323,nc̷atuhoʔo,rough (of sea),ncatuho?o
clics-doculect-13-23,zaca1242-std,concepticon-1768,1.324,ngōʔ,foam,ngo?
clics-doculect-13-24,zaca1242-std,concepticon-645,1.329,tuhoʔotlʸu,ocean,tuho?otlyu
clics-doculect-13-25,zaca1242-std,concepticon-624,1.33,tiyuʔ,lake,tiyu?
clics-doculect-13-26,zaca1242-std,concepticon-623,1.341,tiyuʔ,lagoon,tiyu?
clics-doculect-13-27,zaca1242-std,concepticon-978,1.35,kulōʔ,wave,kulo?
clics-doculect-13-28,zaca1242-std,concepticon-666,1.36,čku,"river, stream, brook",cku
clics-doculect-13-29,zaca1242-std,concepticon-1982,1.362,kinũʔtiʔa,whirlpool,kinu?ti?a
clics-doculect-13-30,zaca1242-std,concepticon-2144,1.37,seʔẽndʸukʷatiʔa,"spring, well",se?endyukwati?a
clics-doculect-13-31,zaca1242-std,concepticon-1145,1.38,ykʷaʔ,swamp,ykwa?
clics-doculect-13-32,zaca1242-std,concepticon-420,1.41,šoʔo,"woods, forest",so?o
clics-doculect-13-34,zaca1242-std,concepticon-1803,1.43,yka,wood,yka
clics-doculect-13-35,zaca1242-std,concepticon-1803,1.43,kaʔ,wood,ka?
clics-doculect-13-36,zaca1242-std,concepticon-2125,1.44,kʸē,"stone, rock",kye
clics-doculect-13-37,zaca1242-std,concepticon-6,1.45,nɲã,earthquake,nna
clics-doculect-13-38,zaca1242-std,concepticon-1732,1.51,kʷãniʔkʷã,sky,kwani?kwa
clics-doculect-13-39,zaca1242-std,concepticon-1343,1.52,kʷičā,sun,kwica
clics-doculect-13-40,zaca1242-std,concepticon-1313,1.53,koʔ,moon,ko?
clics-doculect-13-41,zaca1242-std,concepticon-1430,1.54,kula,star,kula
clics-doculect-13-42,zaca1242-std,concepticon-1654,1.55,šātʸiʔʸu,lightning,satyi?yu
clics-doculect-13-43,zaca1242-std,concepticon-1654,1.55,ndʸuwi,lightning,ndyuwi
clics-doculect-13-44,zaca1242-std,concepticon-1150,1.56,nčkʷiʔtʸiʔʸu,thunder,nckwi?tyi?yu
clics-doculect-13-45,zaca1242-std,concepticon-2007,1.57,nštʸišāndʸuwi,lightning (as striking),nstyisandyuwi
clics-doculect-13-46,zaca1242-std,concepticon-858,1.58,kʸōkʷiʔĩ,storm,kyokwi?i
clics-doculect-13-47,zaca1242-std,concepticon-858,1.58,lʸenčkakʷiʔĩ,storm,lyenckakwi?i
clics-doculect-13-48,zaca1242-std,concepticon-1733,1.59,kunãtā,rainbow,kunata
clics-doculect-13-49,zaca1242-std,concepticon-630,1.61,šā,light (noun),sa
clics-doculect-13-50,zaca1242-std,concepticon-11,1.62,tla,darkness,tla
clics-doculect-13-51,zaca1242-std,concepticon-1388,1.63,tlanundaskanã,"shade, shadow",tlanundaskana
clics-doculect-13-52,zaca1242-std,concepticon-1977,1.64,kʷaʔ,dew,kwa?
clics-doculect-13-53,zaca1242-std,concepticon-27,1.71,kʷiʔĩ,air,kwi?i
clics-doculect-13-54,zaca1242-std,concepticon-960,1.72,kʷiʔĩ,wind,kwi?i
clics-doculect-13-55,zaca1242-std,concepticon-1489,1.73,ko,cloud,ko
clics-doculect-13-56,zaca1242-std,concepticon-249,1.74,ko,fog,ko
clics-doculect-13-57,zaca1242-std,concepticon-658,1.75,kʸō,rain (noun),kyo
clics-doculect-13-58,zaca1242-std,concepticon-952,1.78,kʷiʔĩniʔkʷã,weather,kwi?ini?kwa
clics-doculect-13-59,zaca1242-std,concepticon-952,1.78,nišāndaniʔkʷã,weather,nisandani?kwa
clics-doculect-13-60,zaca1242-std,concepticon-221,1.81,kīʔ,fire,ki?
clics-doculect-13-61,zaca1242-std,concepticon-889,1.82,yaʔkīʔ,flame (noun),ya?ki?
clics-doculect-13-62,zaca1242-std,concepticon-778,1.83,sɲī,smoke (noun),sni
clics-doculect-13-63,zaca1242-std,concepticon-646,1.84,hī,ashes,hi
clics-doculect-13-64,zaca1242-std,concepticon-67,1.841,nǰuwiʔ,embers,njuwi?
clics-doculect-13-65,zaca1242-std,concepticon-141,1.851,tikĩ,burn (vb trans),tiki
clics-doculect-13-66,zaca1242-std,concepticon-1428,1.852,čkĩ,burn (vb intrans),cki
clics-doculect-13-67,zaca1242-std,concepticon-737,1.86,čkĩ,"light, kindle, ignite",cki
clics-doculect-13-68,zaca1242-std,concepticon-127,1.861,šuwiʔ,extinguish,suwi?
clics-doculect-13-69,zaca1242-std,concepticon-10,1.88,ykančkĩ,firewood,ykancki
clics-doculect-13-70,zaca1242-std,concepticon-10,1.88,ška,firewood,ska
clics-doculect-13-71,zaca1242-std,concepticon-1188,1.89,nǰuwiʔ,charcoal,njuwi?
clics-doculect-13-72,zaca1242-std,concepticon-683,2.1,ntẽ,"person, human being",nte
clics-doculect-13-73,zaca1242-std,concepticon-1554,2.21,yukiʔʸu,man (vs. woman),yuki?yu
clics-doculect-13-74,zaca1242-std,concepticon-962,2.22,neʔkunaʔã,woman,ne?kuna?a
clics-doculect-13-75,zaca1242-std,concepticon-1553,2.23,ʔnikala,male,?nikala
clics-doculect-13-76,zaca1242-std,concepticon-1551,2.24,ʔnikuteʔ,female,?nikute?
clics-doculect-13-77,zaca1242-std,concepticon-1366,2.25,nušuwekiʔʸu,boy,nusuweki?yu
clics-doculect-13-78,zaca1242-std,concepticon-76,2.251,kiʔʸukuneʔ,young man (adolescent),ki?yukune?
clics-doculect-13-79,zaca1242-std,concepticon-1646,2.26,nušuwekunaʔã,girl,nusuwekuna?a
clics-doculect-13-80,zaca1242-std,concepticon-77,2.261,kunaʔãkuneʔ,young woman (adolescent),kuna?akune?
clics-doculect-13-81,zaca1242-std,concepticon-1304,2.27,nulʸuʔti,child,nulyu?ti
clics-doculect-13-82,zaca1242-std,concepticon-1304,2.27,nušuwe,child,nusuwe
clics-doculect-13-83,zaca1242-std,concepticon-1289,2.28,kuwiʔ,"infant, baby",kuwi?
clics-doculect-13-84,zaca1242-std,concepticon-1200,2.31,kʷilʸoʔonukunaʔã,husband,kwilyo?onukuna?a
clics-doculect-13-85,zaca1242-std,concepticon-1200,2.31,kʷilʸoʔo,husband,kwilyo?o
clics-doculect-13-86,zaca1242-std,concepticon-1199,2.32,kʷilʸoʔoyukiʔʸu,wife,kwilyo?oyuki?yu
clics-doculect-13-87,zaca1242-std,concepticon-1199,2.32,kʷilʸoʔo,wife,kwilyo?o
clics-doculect-13-88,zaca1242-std,concepticon-203,2.33,kaha,marry,kaha
