ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-130-1,zuni1245-std,concepticon-965,1.1,ʔawiteli,world,?awiteli
clics-doculect-130-2,zuni1245-std,concepticon-626,1.21,teyala,"earth, land",teyala
clics-doculect-130-3,zuni1245-std,concepticon-1228,1.212,ʔaweɬi,"earth=ground, soil",?aweli
clics-doculect-130-4,zuni1245-std,concepticon-1228,1.212,ʔawekli,"earth=ground, soil",?awekli
clics-doculect-130-5,zuni1245-std,concepticon-2,1.213,so,dust,so
clics-doculect-130-6,zuni1245-std,concepticon-640,1.214,heli,mud,heli
clics-doculect-130-7,zuni1245-std,concepticon-671,1.215,so,sand,so
clics-doculect-130-8,zuni1245-std,concepticon-2118,1.22,yala,"mountain, hill",yala
clics-doculect-130-9,zuni1245-std,concepticon-2118,1.22,kuʔtele,"mountain, hill",ku?tele
clics-doculect-130-10,zuni1245-std,concepticon-618,1.222,teleči,"cliff, precipice",teleci
clics-doculect-130-11,zuni1245-std,concepticon-652,1.23,teyaččina,"plain, field",teyaccina
clics-doculect-130-12,zuni1245-std,concepticon-948,1.31,kˀʸa,water,k?ya
clics-doculect-130-13,zuni1245-std,concepticon-1474,1.32,kˀʸātuɬʔullapna,sea,k?yatul?ullapna
clics-doculect-130-14,zuni1245-std,concepticon-1768,1.324,ʔummo,foam,?ummo
clics-doculect-130-15,zuni1245-std,concepticon-645,1.329,kˀʸātuɬʔullapna,ocean,k?yatul?ullapna
clics-doculect-130-16,zuni1245-std,concepticon-624,1.33,kˀʸana,lake,k?yana
clics-doculect-130-17,zuni1245-std,concepticon-666,1.36,kˀʸawina,"river, stream, brook",k?yawina
clics-doculect-130-18,zuni1245-std,concepticon-2144,1.37,kˀʸanakʷayina,"spring, well",k?yanakwayina
clics-doculect-130-19,zuni1245-std,concepticon-420,1.41,tanayāwe,"woods, forest",tanayawe
clics-doculect-130-21,zuni1245-std,concepticon-1803,1.43,ta,wood,ta
clics-doculect-130-22,zuni1245-std,concepticon-2125,1.44,ʔa,"stone, rock",?a
clics-doculect-130-23,zuni1245-std,concepticon-6,1.45,ʔanukʷayi,earthquake,?anukwayi
clics-doculect-130-24,zuni1245-std,concepticon-1732,1.51,ʔaʔpoʔya,sky,?a?po?ya
clics-doculect-130-25,zuni1245-std,concepticon-1343,1.52,yatokkʸa,sun,yatokkya
clics-doculect-130-26,zuni1245-std,concepticon-1313,1.53,yaʔonakkʸa,moon,ya?onakkya
clics-doculect-130-27,zuni1245-std,concepticon-1430,1.54,moʔyaču,star,mo?yacu
clics-doculect-130-28,zuni1245-std,concepticon-1654,1.55,wilo,lightning,wilo
clics-doculect-130-29,zuni1245-std,concepticon-1150,1.56,towowo,thunder,towowo
clics-doculect-130-30,zuni1245-std,concepticon-630,1.61,ʔakli,light (noun),?akli
clics-doculect-130-31,zuni1245-std,concepticon-11,1.62,tekˀʷi,darkness,tek?wi
clics-doculect-130-32,zuni1245-std,concepticon-1388,1.63,teɬuʔwa,"shade, shadow",telu?wa
clics-doculect-130-33,zuni1245-std,concepticon-960,1.72,pinna,wind,pinna
clics-doculect-130-34,zuni1245-std,concepticon-1489,1.73,lo,cloud,lo
clics-doculect-130-35,zuni1245-std,concepticon-249,1.74,šipololo,fog,sipololo
clics-doculect-130-36,zuni1245-std,concepticon-658,1.75,ɬito,rain (noun),lito
clics-doculect-130-37,zuni1245-std,concepticon-784,1.76,ʔu,snow (noun),?u
clics-doculect-130-38,zuni1245-std,concepticon-617,1.77,ɬemkˀʸaya,ice,lemk?yaya
clics-doculect-130-39,zuni1245-std,concepticon-952,1.78,tewuc̷oʔya,weather,tewuco?ya
