@classification: North Caucasian,East Caucasian,Avar-Andic,Andic
@ids-name: Andi_CyrillTrans
@iso: ani
@language: Andi
@size: 1486
@source: ids
@variety: std
1.1	world	дунял
1.21	earth, land	улка
1.21	earth, land	рек̅Іу
1.212	earth=ground, soil	онщи
1.213	dust	кьехва
1.214	mud	гъузи
1.215	sand	сур
1.22	mountain, hill	бул
1.22	mountain, hill	гъижи
1.22	mountain, hill	рокъо
1.222	cliff, precipice	кьури
1.222	cliff, precipice	хъинссил
1.23	plain, field	гьарч̅Іи
1.23	plain, field	алахи
1.24	valley	рек̅Іу
1.24	valley	къватІла
1.25	island	чІинкІил
1.26	mainland	континент
1.27	shore	рагьал
1.27	shore	рагьалълъир
1.28	cave	реч̅Іо
1.31	water	лъен
1.32	sea	релъо
1.32	sea	тенгизи
1.322	calm (of sea)	ригъибрелъо
1.323	rough (of sea)	рергъаб
1.324	foam	пол
1.329	ocean	окиан
1.33	lake	игьур
1.35	wave	карачил
1.36	river, stream, brook	гъадор
1.36	river, stream, brook	инххи
1.362	whirlpool	ххару
1.37	spring, well	инцци
1.37	spring, well	гъуй
1.38	swamp	хьуц̅Іи
1.39	waterfall	чвалчвал
1.39	waterfall	чваххи
1.41	woods, forest	решу
1.42	tree (cf 08.600)	реша
1.43	wood	лъуди
1.44	stone, rock	гьинцІо
1.44	stone, rock	кьури
1.45	earthquake	дунялбергъар
1.51	sky	решно
1.52	sun	милъи
1.53	moon	борц̅Іи
1.54	star	ц̅Іа
1.55	lightning	пири
1.56	thunder	хухуй
1.57	lightning (as striking)	бахабпири
1.57	lightning (as striking)	пири
1.58	storm	мочи
1.59	rainbow	цІоборцІив
1.61	light (noun)	кванорлъир
1.61	light (noun)	кванлъи
1.61	light (noun)	кванор
1.62	darkness	ботІи
1.62	darkness	лалиботІи
1.63	shade, shadow	анч̅у
1.64	dew	щиб
1.71	air	гьава
1.72	wind	мочи
1.73	cloud	лерчол
1.73	cloud	гьиро
1.74	fog	гьиро
1.75	rain (noun)	ц̅Іа
1.76	snow (noun)	анзи
1.77	ice	зар
1.78	weather	милъиц̅Іа
1.78	weather	гьава
1.81	fire	цІа
1.82	flame (noun)	цІа
1.82	flame (noun)	цІал̅Іимиц̅Іу
1.83	smoke (noun)	к̅Іой
1.84	ashes	кье
1.841	embers	бококосолгьабодул
1.841	embers	хохой
1.851	burn (vb trans)	бежиду
1.852	burn (vb intrans)	бикуду
1.86	light, kindle, ignite	бикол̅у
1.861	extinguish	бищон̅у
1.87	match (noun)	испишка
1.87	match (noun)	син̅ики
1.88	firewood	лъуди
1.89	charcoal	гьабу
2.1	person, human being	гьекІа
2.21	man (vs. woman)	кунтІакІа
2.21	man (vs. woman)	кунтІикІа
2.22	woman	йешикІа
2.23	male	кунтІа
2.24	female	гьорч̅Іи
2.25	boy	мочІи
2.251	young man (adolescent)	олохъан
2.26	girl	мочІи
2.261	young woman (adolescent)	йеши
2.27	child	мочІи
2.28	infant, baby	мичІимочІи
2.31	husband	кунтІа
2.32	wife	гьорч̅Іи
2.33	marry	ригьиниду
2.33	marry	кунтІуйилину
2.33	marry	гьорчІийичин̅у
2.34	marriage, wedding	ригьин
2.34	marriage, wedding	бетен
2.341	divorce	ватІолду
2.341	divorce	йилІол̅у
2.35	father	има
2.36	mother	ила
2.37	parents	илайма
2.38	married man	йешкІайичом
2.38	married man	йешкІайчом
2.39	married woman	гьакъулойухиб
2.39	married woman	кунтІуйилом
2.41	son	вошо
2.42	daughter	йеши
2.43	offspring (son or daughter)	мочІил
2.44	brother	воц̅и
2.444	older brother	вочІухавоц̅и
2.445	younger brother	мичІивоц̅и
2.45	sister	йец̅и
2.454	older sister	йечІухайец̅и
2.455	younger sister	мичІийец̅и
2.456	sibling	воц̅ец̅и
2.458	twins	чІел̅Іик̅ус̅ол
2.46	grandfather	вочІухаима
2.461	old man	вохор
2.47	grandmother	нечІухаила
2.471	old woman	йохор
2.48	grandson	вошуввошо
2.48	grandson	йешулІивошо
2.49	granddaughter	вошуййоши
2.51	uncle	имуввоц̅и
2.51	uncle	илулІивоц̅и
2.511	mother's brother	илулІивоц̅и
2.512	father's brother	илулІивоц̅и
2.52	aunt	имуййоц̅и
2.52	aunt	йец̅и
2.521	mother's sister	илулІийоц̅и
2.522	father's sister	имуййоц̅и
2.53	nephew	воц̅уввошо
2.54	niece	воц̅уй
2.54	niece	йоц̅улІи
2.54	niece	йец̅улІи
2.54	niece	йеши
2.55	cousin	вацъал
2.55	cousin	йацъал
2.56	ancestors	имодул
2.57	descendants	бехудуссиэл
2.61	father-in-law (of a man)	имакьоро
2.611	father-in-law (of a woman)	имакьоро
2.62	mother-in-law (of a man)	илакьоро
2.621	mother-in-law (of a woman)	илакьоро
2.63	son-in-law (of a man)	нусо
2.631	son-in-law (of a woman)	нусо
2.64	daughter-in-law (of a man)	ихум
2.641	daughter-in-law (of a woman)	нуса
2.71	stepfather	бесдалима
2.72	stepmother	бесдалила
2.73	stepson	бесдалвошо
2.74	stepdaughter	бесдалйеши
2.75	orphan	бесдал
2.76	widow	серешкІа
2.77	widower	серо
2.81	relatives, kinsmen	мийарлІол
2.82	family	хъизан
2.91	I	ден
2.92	you (singular)	мен
2.93	he/she/it	гьедев
2.93	he/she/it	гьедей
2.93	he/she/it	гьедеб
2.94	we	илІил
2.94	we	ищил
2.941	we (inclusive)	илІил
2.942	we (exclusive)	ищил
2.95	you (plural)	бисил
2.96	they	гьелъевул
2.96	they	гьедевул
2.96	they	гьунговул
3.11	animal	гьайван
3.12	male (adj)	кунтІа
3.13	female (adj)	гьорч̅Іи
3.15	livestock	буц̅Іир
3.16	pasture	алху
3.16	pasture	бил
3.18	herdsman	хороша
3.19	stable, stall	бун
3.2	cattle (bovine)	буц̅Іир
3.21	bull	бугъа
